title,PCOD I Midterm Exam (Fall 2022),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Please circle the true statement:,"When preparing #31 for an amalgam restoration, the buccal and distal walls should be divergent","When preparing #19 for an amalgam restoration, the buccal and mesial walls should be divergent","When preparing #18 for an amalgam restoration, the distal and mesial walls should be divergent","When preparing #18 for an amalgam restoration, the buccal and lingual walls should be divergent",,,,,C,
"When preparing #19 for a Class I amalgam restoration, it is important that you are able to fit your condenser/amalgam plugger into your preparation in order",To ensure that all the decay was removed,Because Dr. Erdfarb said it was the best way to do it,To make sure your patient is not allergic to metal,To make sure you can properly restore it,,,,,D,
In SimLab Dr. Schechter told a student to use a #56 bur. Dr. Freeman said to use a #330. Which of the following statements are correct?,Dr. Freeman is wrong in his assessment,Dr. Schechter is wrong in his assessment,Double check with Dr. Marchick,There is no right or wrong bur to use,,,,,D,
"All the following are important when preparing a #31 for a Class I amalgam, EXCEPT:",Make sure that the marginal ridge maintains a width of 1.6mm,Make sure the preparation is centered,Make sure the preparation does not cut through the cusps,All the pits and fissures are incorporated,,,,,A,
The axial wall is defined as,The wall directly above the pulp chamber,The wall that comes into contact with a cavosurface margin,The wall that joins the pulpal and gingival floors,As an external wall,,,,,C,
The cavosurface margin is,"The junction, or line where two walls join",The point in which three walls join,The junction of prepared and unprepared tooth structure,The junction where the pulpal floor meets the axial wall,,,,,C,
An example of retention form for a Class II amalgam restoration may be:,Incorporating all the grooves,Divergent Walls,Convergent walls,Undermining the marginal ridge,,,,,C,
Mr. James shows up to the ER after a dental visit. He has a prescription for a chest x-ray from the dentist. What is the most likely reason Mr. James needs a chest xray?,He was coughing a lot and the dentist thought he had COVID,His dentist did not use a rubberdam,The xray machine dismounted from the wall and fell on his chest,The xray machine in the dentist's office could not properly capture the anterior teeth,,,,,B,
While walking through SimLab Dr. Erdfarb yelled “heads up!” as a Rubberdam clamp went flying through the air. What was the student's MOST LIKELY error?,The student did not use a rubberdam,The student did not tie their clamp to the frame,The student thought they can throw their clamp across the room to their friend who lost theirs,The student did not place the forceps into the clamp's holes,,,,,B,
Which is true regarding the proper setup of the rubberdam?,The open side of the rubberdam frame should be toward the patient's chin,You should floss the rubberdam clamp on the bow of the clamp,You should clamp at least one tooth posterior to the one you are working on,You must clamp the entire maxilla when working on tooth #4,,,,,C,
5.5 is considered the critical pH because:,At this pH teeth are healthy and strong,At this pH teeth begin to demineralize,At this pH bacteria replicate,At this pH teeth begin to discolor,The acid that comes up with acid reflux that causes erosion on the lingual surface of the teeth,,,,B,
The caries producing bacteria is named:,Streptococcus Mutans,Streptococcus Carious,Lactobacillus Mutansis,Lactobacillus Gingivalis,,,,,A,
You are looking at a radiograph of interproximal decay. The progression of interproximal decay will be represented by a triangle. Please select the correct statement:,"In enamel, the apex of the decay triangle will be toward the DEJ, and the base toward the external tooth structure","In enamel, the apex of the decay triangle is toward the external tooth structure and the base is toward the DEJ","In dentin, the apex of the decay triangle will be toward the DEJ, and the base toward the pulp",A and C,,,,,A,
What is not a function of saliva?,Helps in the retention of the restoration,Helps protect oral musoca,Helps in remineralization,Helps with digestion,,,,,A,
"In the case of disease, operative dentistry is would NOT be indicated when a lesion is",E1,E2,D2,D1,A and B,A and D,B and C,C and D,E,
Lactic Acid is,The acid we use to etch a tooth for a composite restoration,The acid biproduct created by bacteria that cause tooth decay,The acid released in amalgam when it is condensed,,,,,,B,
Class V preparations refers to:,The gingival third of buccal or lingual surface of the teeth,The incisal edge and approximal surface of incisors and canines,Approximal surfaces of incisors and canines,Approximal surfaces of premolars and molars,,,,,A,
Smoothing out the pulpal floor for a Class I restoration will help with,Outline form,Resistance form,Retention form,Convenience form,,,,,B,
Indirect restorative restorations are restorations that,Utilize a lab for the restoration,Can be done chair side,Are always indicated,Always include amalgam,,,,,A,
"When preparing a tooth, a provider may modify his preparation in order to get his instruments into the preparation. The provider is most likely taking into account:",The Outline form,The Retention form,The Resistance form,The Convenience form,,,,,D,
A Class II defect can include,Pit and Fissure caries of anterior teeth,Smooth Surface caries of posterior teeth,Root Surface caries of anterior teeth,A and B,,,,,B,
Which statement is TRUE?,G. V. Black is the Father of Operative Dentistry,We need to extend our preparations for prevention of disease,Using digital dentistry allows us to study less and work faster,You need to turn off your overhead light when working with amalgam,,,,,A,
"Mrs. Smith came in for a restorative procedure. Upon reviewing the radiograph, you see that the lesion she was treatment planned to receive was an E2 lesion. What is the most ethical thing to do?",Explain to Mrs. Smith that an E2 lesion can be remineralized.,Review oral hygiene and give her Fluoride mouthwash and toothpaste,Prepare and Restore the tooth as per the treatment plan,A and B,,,,,D,
