title,Ethics Final Exam (Summer 2018),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Consider the following two statements: I. Beneficence is the duty to promote the patient's welfare and do good. II. Non-maleficence is the duty to both protect the patient from harm and to do no harm. Which one of the following choices is CORRECT?,I and II are true,I is true and II is false,I is false and II is true,I and II are false.,Concepts like these do not belong in an ethics course.,,,A,
The following resources can be used when “considering the judgement of others” in ethical decision making:,American Dental Association Principles of Ethics and Code of Professional Conduct,Hippocratic Oath,Touro College of Dental Medicine faculty members,American College of Dentists handbook,American Dental Association Ethics hotline,All of the above,,F,
SPEA stands for the Student Professionalism and Ethics Association in Dentistry. Its purpose is to promote and support students' lifelong commitment to ethical behavior in order to benefit the patients they serve and to further the dental profession. TCDM has an active and exciting chapter that any student can join.,True,False,,,,,,A,
It is obvious that availability of healthcare/dental care is an important factor to consider when assessing access to healthcare/dental care. Which of the following other factors must also be considered to determine true access to healthcare/dental care?,Availability,Utilization,Affordability,Acceptability,Effectiveness,All of the above,,F,
Populations that are underserved in the area of dentistry include a number of cohorts. Which of the following groupings is comprised entirely of cohorts that are underserved?,"Children, low-income, elderly, people of color, disabled, those in institutions, homeless, inner city residents, rural residents","Middle-aged adults, children, low-income, elderly, people of color, disabled, those in institutions, homeless, inner city residents, rural residents","Children, low-income, elderly, people of color, disabled, those in institutions, homeless, inner city residents, suburban residents","Children, low-income, elderly, people of color, disabled, those in institutions, white collar workers and professional, inner city residents, rural residents",,,,A,
Which of the following statements related to the elderly is TRUE?,The median income of white Medicare beneficiaries is significantly higher than that of black and Hispanic Medicare beneficiaries,Approximately 90% of seniors have dental benefits,Medicare covers both medical and dental expenses,Medicare provides protections to ensure that beneficiaries never have to spend more than 3% of their yearly income on out-of-pocket health care costs,Over 90% of Medicare beneficiaries have significant savings,,,A,
Which of the following statements about opiate prescriptions and the opioid crisis are NOT TRUE?,Physicians and Dentists have contributed to the Opioid Epidemic by excessively prescribing opioids,Patients often illegally divert their opiate prescriptions to family and friends,The use of legally prescribed opiates for a medical issue may predispose a patient to the subsequent use of illegal opioids,The pharmaceutical industry has no responsibility for the current opioid crisis,,,,D,
"Current recommendations for pain control following dental procedures include all of the following, EXCEPT:","NSAIDs (e.g. ibuprofen, Motrin, Aleve) and acetaminophen (Tylenol) in combination generally provide adequate pain control that is equivalent to or greater than that provided by opiates","If opioids are required, no more than a three-day supply should be prescribed","A patient should be given up to three refills of opioids without being evaluated. For refills beyond this amount, the patient must be re-evaluated.","If opioids are prescribed, the patient and their guardian should be counselled regarding their use, as well as their potential misuse and abuse.",Utilization of long-acting local anesthetics and completion of treatment in as few appointments as possible may be advantageous in reducing the need for opioid analgesics.,,,C,
"All of the patients described below have an increased risk for opioid abuse and/or harm, EXCEPT:",Patients on opioids and benzodiazepines,Patients with co-morbidities including substance use and mental health disorders,Patients with kidney and/or liver disease,Patients with “legitimate” opioid use before high school graduation,All of these patients have an increased risk for opioid abuse and/or harm.,,,E,
"Examples of drug seeking behavior include all of the following, EXCEPT:",Patient in pain showing up at closing time,Patient coming up with excuses not to do actual treatment,Patient with list of specific drugs that they cannot take and specific requests for what they can take,Patient who is extremely manipulative and controlling,Patient who is very reliable at keeping appointments,,,E,
Opiates should never be prescribed to substance abusers.,True,False,,,,,,B,
Which of the following statements is TRUE,Addiction is a disease,People with substance use disorder can choose to stop abusing if they really want to,It is unusual for a person with drug addiction to relapse once they stop using,Dentists cannot refer a person with an addiction problem for treatment because this falls out of the scope of the practice of dentistry,It is unlikely that medically educated professionals such as physicians and dentists will develop substance abuse problems because of their education,,,A,
The provisions of the federal Stark Law govern the financial relationships between and among healthcare providers.,True,False,,,,,,A,
The following statements relate to HIPAA regulations. Which one of these statements is TRUE?,"Before HIPAA regulations took effect, there were no legal provisions to protect patient confidentiality","The TPO (Treatment Payment and Operations) Exception allows sharing of protected patient information with other covered entities, enabling provision of care and conduction of business activities associated with that care","A schedule showing the names of patients and the procedures they will be receiving can be posted in a dental operatory where other patients can see it, as long as the dentist and staff do not verbally communicate using the patients' names",HIPAA regulations do not apply to messages left on an answering machine,Patient information can be shared with any immediate family members without the express permission of the patient,,,B,
"Patients below the age of 18, cannot legally give consent for medical or surgical treatments. Consent must be obtained from either a parent or a legal guardian. There are no exceptions to these statements.",True,False,,,,,,B,
"Consider the following two statements: I. Dentists are mandated by law to report any suspicion of child abuse. II. If a dentist acts in “good faith” to report a suspicion of child abuse and the allegation turns out to be untrue, she/he cannot be held civilly liable for filing the report.",I and II are true,I is true and II is false,I is false and II is true,I and II are false,,,,A,
"In New York State, dental licenses are granted by:",The New York State Education Department,The Department of Health,Dr. Wachs,Dr. Wachs's wife,Dr. Wachs's dog,All of the above,,A,
"Consider the two following statements regarding the Office of Professional Discipline in New York State. I. This office has the power to limit or remove a practitioner's dental license. II. When dealing with this office, it is better to not bring in a lawyer to defend you as this will just make you look guilty.",I and II are true,I is true and II is false,I is false and II is true,I and II are false,,,,B,
"Fee splitting is allowed between one dentist and another and between one physician and another, but not between dentists and physicians.",True,False,,,,,,B,
Assigned readings included two references regarding the nonmedical use of prescription stimulants for studying. One reference was a study that concluded that students who participated in nonmedical use of prescription stimulants showed no increases in their GPAs and gained no detectable advantages over their peers. The other reference was a Fact Sheet that stated that there is no evidence that this strategy is effective and it is unlikely that these drugs can improve academic performance in the long run. These statements are:,True,False,,,,,,A,
All of the following are considered violations of academic integrity EXCEPT:,Plagiarism,Copying on an examination,Studying from previous examinations that were released by the school,Hoarding of pre-clinical materials,Performing unnecessary treatment on a patient to meet school requirements,Sending assigned pre-clinical laboratory work to a dental laboratory,Falsifying records and or faculty signatures/approvals,C,
TCDM faculty and students must adhere to an Honor Code. The Faculty Honor Code has been formulated in consideration of the fact that the faculty owe their allegiance to protecting and bettering:,The TCDM students,The general public and society,The TCDM and the entire Touro system,All of the above,None of the above,,,D,
TCDM faculty members strive to treat students fairly and consistently. Some of the methods and approaches we utilize to do this include:,Faculty members are calibrated with regard to the material that is taught,Faculty members are calibrated with regard to grading criteria for laboratory assignments and practical examinations,Two faculty members grade all work submitted on practical examinations,Course directors review all failures,All of the above,,,E,
We discussed a case in which a patient refused to take antibiotic premedication prior to dental treatment. He stated he would go to another dentist and not reveal his medical history so that he could receive treatment without the necessary antibiotics. This treatment would put him at risk for significant medical complications and possibly death. Which of the following statements is NOT TRUE?,"Treating the patient as he wants, without the necessary antibiotics, is consistent with the ethical principle of autonomy","Treating the patient as he wants, without the necessary antibiotics, goes against the ethical principles of beneficence","Although treating the patient without the necessary antibiotics could be considered malpractice, it is legally permissible to do this as the patient consented to this treatment after having the risks explained to him","Treating the patient as he wants, without the necessary antibiotics, goes against the ethical principles of non-maleficence",This case demonstrates that actions can be taken which are consistent with one ethical principle and inconsistent with a different ethical principle,,,C,
"We discussed a case in which the practice manager in a dental office changed a treatment plan so that teeth would be restored by crowns instead of less extensive restorations, even though the dentist who developed the original treatment plan still believed that restorations, not crowns, were indicated. Consider the following two statements: I. If the dentist provides the crowns, this could be considered unethical as unnecessary treatment is being performed. II. If the dentist provides the crowns, this provision of unnecessary treatment could have legal implications as it may be interpreted as fraud.",I and II are true,I is true and II is false,I is false and II is true,I and II are false.,,,,A,
We discussed a case in which two students were not prepared for an examination. One of the students opted to prepare for the examination with the use of prescription stimulants which were not prescribed for him. There was disagreement in our discussion sections as to whether or not this should be considered cheating. This demonstrated that:,Ethical decision making is subject to interpretation and there is not always “a right answer”,Our faculty preceptors were ineffective in teaching our students how to arrive at an ethical decision,There was not enough discussion time allowed for the groups to agree on the right answer,There is no reason to teach ethics courses as students will just use their pre-existing beliefs to make an ethical decision,It is too early in the dental school curriculum to try to teach ethics to D1 students,,,A,
"If a HIPAA violation is performed by an employee who should have known better, it is only the employee and not the employer physician or doctor who bears the legal responsibility for this violation.",True,False,,,,,,B,
"You are a practicing dentist and you become aware that your partner is treating patients while impaired due to a substance abuse problem. Your ethical obligations include: - the duty to urge your partner to seek appropriate care and to refrain from treating patients - the duty to report your partner to the professional assistance or chemical dependency committee of your dental society if he does not self-report From the perspective of your practice's patients, these obligations are consistent with all of the ethical principles listed here, EXCEPT:",Justice,Beneficence,Non-maleficence,Veracity,Autonomy,,,E,
"We discussed a case in which a physician was required to report a patient's noncompliance with appointments, medication regimens, and health improvement plans. The patient was subject to penalties that could affect their healthcare finances when this occurred. Which of the following statements is NOT TRUE?",The program was designed to promote patient responsibility for actions they took which affected their health.,The requirement for a physician to report a patient may put a physician in a position where their legal and ethical obligations are in conflict.,Physicians may have some latitude in determining if a patient is compliant or noncompliant,There is no benefit in having patients take responsibility for their compliance with healthcare interventions.,,,,D,
"We discussed a case which is described here. A patient presented to a medical practice with what a nurse thought was a false identification card. The nurse believed that the patient was an undocumented immigrant and wanted to “turn the patient in.” As licensed healthcare providers, physicians and dentists are obligated to report illegal activity.",True,False,,,,,,B,
"We discussed a case which is described here. A patient presented to a medical practice with what a nurse thought was a false identification card. The nurse believed that the patient was an undocumented immigrant and wanted to “turn the patient in.” As licensed healthcare providers, physicians and dentists are obligated to take on any individual requesting their services as a patient.",True,False,,,,,,B,
"We discussed a case which is described here. A patient presented to a medical practice with what a nurse thought was a false identification card. The nurse believed that the patient was an undocumented immigrant and wanted to “turn the patient in.” If the nurse in this case took action that was determined to be a HIPAA violation, the employer would be correct to:",Educate the nurse if they felt the violation occurred because the nurse was unaware of his/her confidentiality obligations,Suspend or terminate the nurse if they felt the nurse's actions were deliberate in spite of adequate previous training and education,Either of these actions could be justified based on the circumstances described and be consistent with existing laws and regulations,,,,,C,
We discussed a case which is described here. A patient presented to a medical practice with what a nurse thought was a false identification card. The nurse believed that the patient was an undocumented immigrant and wanted to “turn the patient in.” Throughout history healthcare providers have been asked to act as “agents of the state”. From an ethical standpoint… I. Providers are justified in refusing to take actions that are human rights violations II. Providers are justified in performing actions that clearly benefit their community such as mandatory reporting of patients with communicable diseases or the administration of vaccines to children.,I and II are true,I is true and II is false,I is false and II is true,I and II are false.,,,,A,
"The ADA Ethics Hotline - 800.621.8099 - is a service available to members of the ADA. This member service is designed to assist new dentists and other members in managing ethical challenges that may arise in day to day practice. The Ethics Hotline is not a legal resource but rather a service for helping to resolve ethical dilemmas much like an ethics consult service. Callers will be matched with a member of the Council on Ethics, Bylaws, and Judicial Affairs who will arrange to call the member at a mutually agreeable time to discuss the dilemma and offer resources that may assist in resolving the dilemma.",True,,,,,,,A,
