title,Oral & Maxillofacial Surgery Final Exam (Spring 2022),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements related to suturing is TRUE?,Sutures should be pulled tight to ensure good closure of a wound or incision.,"No matter how deep a wound or incision is, it is only necessary to close the tissue at the surface.",Using a curved needle makes suturing more difficult.,A 10-0 size suture has a larger diameter than a 3-0 size suture.,Sutures should be placed at equal depths and distances on both sides of a wound or incision.,,,E,
Which of the following signs or techniques should NOT be used to diagnose an oro-antral communication following an extraction?,Examine the tooth for bone attached to the roots.,Observe for drainage from the socket.,Listen for air movement through the socket.,Pinch the patient's nostrils closed and observe for blood bubbles in the socket.,None of these - all of these signs or techniques should be used to diagnose an oro-antral communication following an extraction.,,,D,
Which of the following techniques and/or circumstances DECREASES the risk or likelihood of causing TMJ injuries when performing mandibular extractions?,Inadequate support of the mandible,Application of excessive forces during the extraction,Previous history of TMJ issues,Having the patient bite down on a bite block while the operator or an assistant pushes up on the anterior inferior border of the mandible.,Using a 3-corner flap rather than an envelope flap.,,,D,
A tooth may accidentally be displaced into the infratemporal fossa during extraction of a maxillary third molar. Which of the following statements regarding treatment is FALSE?,"If the tooth is visible at the time of displacement, it should be grasped and removed.","If the tooth is not visible at the time of displacement, no more than five blind attempts should be made to grasp it and remove it.","If the tooth cannot be immediately removed at the time of displacement, the site should be sutured, antibiotics should be prescribed, and the patient should be informed of the need for future removal of the tooth.","If the tooth cannot be immediately removed at the time of displacement, removal should be delayed, allowing fibrosis to occur and stabilize the tooth, avoiding further displacement.",Delayed removal of the displaced tooth is generally beyond the scope and capabilities of a general dentist and should be referred to an Oral and Maxillofacial Surgeon.,,,B,
Which of the following statements about post-operative hemorrhage following an extraction is FALSE?,It often occurs due to a patient's failure to properly follow instructions.,It may occur due to a “liver clot” which is a blood clot that forms outside of the extraction socket.,Injecting local anesthesia with epinephrine into the surgical site may help achieve hemostasis but it may also mask bleeding which could resume when the epinephrine effects wear off.,It is always related to local factors and not a result of systemic medical issues or medications that the patient may be taking.,Biting on a teabag may help slow or stop bleeding.,,,D,
Which of the following instructions are NOT included in “sinus precautions” given to a patient when a maxillary posterior extraction may have resulted in an oro-antral communication?,Do not blow your nose for two weeks.,Sneeze with your mouth open.,Do not do any heavy lifting.,Do not bend over.,All of these instructions are included in “sinus precautions”.,,,E,
Which of the following statements relating to maintaining hemostasis following oral surgical procedures is a TRUE statement that should be included in the instructions given to the patient?,The purpose of the patient biting on gauze after a procedure is to soak up the blood coming from the surgical site.,Bleeding can start and stop after a procedure and often is heavier after the numbing wears off.,It is extremely unusual for some bleeding to persist throughout the first 24 hours,"The longer the blood clot is kept in the extraction site, the greater the likelihood of developing a painful condition known as a DRY SOCKET.","Patients can rinse, spit, smoke, use a straw, or do heavy lifting beginning one hour after an extraction.",,,B,
Which of the following techniques is NOT a primary treatment modality for jaw tumors?,Enucleation and/or curettage.,Marginal or partial resection.,Composite resection.,All of these techniques can be primary treatment modalities for jaw tumors.,None of these techniques can be primary treatment modalities for jaw tumors.,,,D,
Which of the following statements about reconstruction following resection of jaw tumors is FALSE?,Delayed reconstruction is recommended when the patient has both intraoral and extraoral defects.,A disadvantage of immediate reconstruction is the potential for recurrence which may necessitate further surgery.,"If reconstruction is delayed, it is not necessary to maintain the proper anatomical position of mandibular segments.",A disadvantage of immediate reconstruction is the potential for loss of the graft due to infection.,"Maintaining the inferior border of the mandible, if possible, aids in reconstruction.",,,C,
Consider this image depicting a portion of the mandible removed during a resection: Which of the following best describes the type of resection which was performed?,Marginal resection,Partial resection,Total resection,Composite resection,None of the above,,,A,images/omfs-final-spring-2022/fig21.jpeg
Which of the following statements about marsupialization is TRUE?,The portion of the lesion which is not removed during a marsupialization procedure cannot be diagnosed and may contain a more aggressive lesion than the tissue which is removed.,Marsupialization inconveniences patients as they are required to irrigate the site once per week.,Tissue cannot be obtained for pathologic diagnosis when marsupialization is performed.,Marsupialization is a definitive treatment after which no additional treatment is necessary.,The risk of mandible fracture related to a large mandibular lesion is reduced immediately following the marsupialization procedure.,,,A,
Which of the following statements about marsupialization is FALSE?,This technique may be helpful to avoid neurovascular injury when a cystic lesion is in close proximity to the inferior alveolar nerve.,This technique may be helpful to avoid an oro-antral fistula when removing a solid tumor of the posterior maxilla.,This technique may be helpful to allow eruption of a tooth that has been displaced by a cystic lesion.,This technique may allow for a lesser surgery to be utilized when removing some lesions in medically compromised patients.,This lesion may be helpful to lessen the risk of fracture when removing a large cyst of the posterior mandible.,,,B,
Which of the following statements related to biopsy procedures is FALSE?,Suction can cause increased bleeding during biopsy procedures.,The specimen can accidentally be lost via suctioning.,Suction can cause tissue damage during biopsy procedures.,"If palpation reveals that a lesion is pulsatile, aspiration prior to biopsy is not necessary.","Blotting, compression, clamping, silver nitrate, cautery, and laser can all be useful for achieving hemostasis during biopsy procedures.",,,D,
"If a symmetric canine bulge does not exist in a patient's vestibule by age 6, then radiographic assessment &/or orthodontic consultation is indicated.",True,False,,,,,,B,
A maxillary impacted canine is to be exposed so that it can be erupted orthodontically. The technique should be selected to ensure all of the following EXCEPT:,Functional occlusion,Good esthetics,Adequate attached gingiva surrounding the tooth.,Healthy periodontal status of the adjacent teeth.,Alveolar mucosa surrounding the tooth.,,,E,
Which of the following statements regarding coronectomy procedures is TRUE?,A panoramic radiograph is the only imaging modality needed to decide between extraction and coronectomy of a mandibular their molar.,There is no risk of damaging the inferior alveolar nerve during coronectomy of a mandibular third molar.,The root fragment left in place during coronectomy of a mandibular third molar may need to be extracted in the future.,There are no contraindications to coronectomy procedures.,The tooth fragment that is left in place during a coronectomy should be cut even with the bone margin at the surgical site.,,,C,
Which of the following steps after removal of an impacted tooth is INCORRECT?,Any areas of sharp bone should be smoothed.,Follicular fragments or pathology should be removed.,The socket and area under the flap should be irrigated to remove any tooth and/or bone debris.,The surgical site should be checked for adequate hemostasis.,Soft tissues surrounding the extraction site should be sutured tightly over the socket to achieve primary closure.,,,E,
Which of the following statements about flap design and development for the removal of impacted third molars is TRUE?,The general principles for designing and developing a flap are different for erupted teeth and impacted teeth.,"When designing and developing a flap to extract a mandibular third molar, the surgeon should remember that the mandible often diverges lingually in this region.",A flap designed for the extraction of a mandibular third molar can de described as a “baseball bat” because of the shape of the flap.,A 3-corner flap with a vertical release is preferred over an envelope flap for the extraction of mandibular third molars because it heals better and is quicker to suture.,A releasing incision can be made at the mesial aspect of second molar to gain increased access when extracting a maxillary third molar that is impacted in a high position.,,,E,
Which of the following statements pertaining to the removal of impacted teeth is TRUE?,Post-operative recovery is generally the same following extraction of impacted teeth as the recovery following extraction of erupted teeth.,Longer surgeries result in decreased swelling and shorter healing periods than shorter surgeries.,"When sectioning an impacted tooth, it is necessary to drill through the entire tooth from the buccal to the lingual.","A skilled surgeon should be able to extract an impacted tooth with either bone removal or sectioning, but should not need to do both on the same tooth.",Insufficient bone removal and/or sectioning may complicate an extraction as the use of increased force may then become necessary.,,,E,
It is important to assess the potential for damage to the inferior alveolar canal during extraction of a mandibular third molar. Which of the following findings on panoramic radiographs is NOT indicative of the position of a mandibular third molar relative to the inferior alveolar nerve?,Interruption of the superior cortical border of the inferior alveolar nerve canal by a portion of the tooth.,Deflection of the inferior alveolar canal at the tooth.,Narrowing of the inferior alveolar canal at the tooth.,Darkening of the root of the tooth where the inferior alveolar nerve overlies it on the radiograph.,Extreme anterior positioning of the mental foramen.,,,E,
"Options for the management of impacted teeth include any of the following treatments, EXCEPT:",Clinical and radiographic observation over time,Extraction,Exposure,Removal of associated pathology,Marsupialization of associated pathology,Treatment of the adjacent tooth,None of the above - all of these choices are potential options for the management of impacted teeth.,G,
Which of the following statements related to maxillary tuberosity fracture during an extraction is FALSE?,Tuberosity fracture may result in an oro-antral communication.,Tuberosity fracture is more likely to occur with mesioangular impacted maxillary third molars than with distoangular impacted maxillary third molars.,Tuberosity fracture is more likely to occur with increased pneumatization of the tuberosity.,Tuberosity fracture may only occur with extraction of a maxillary third molar - not with any other maxillary teeth.,The risk of causing a tuberosity fracture during extraction of a maxillary third molar can be lessened by careful separation of the distal bone from the tooth with a periosteal or dental elevator.,,,D,
The degree of difficulty of extracting an impacted mandibular third molar is NOT related to:,The position of the tooth relative to the anterior border of the ramus.,The position of the tooth relative to the occlusal height of the adjacent second molar.,The angulation of the tooth.,The proximity of the tooth to the adjacent second molar.,The degree of root development of the tooth.,None of the above - all of these choices influence the degree of difficulty of extracting an impacted mandibular third molar.,,F,
Which of the following statements regarding impacted teeth is FALSE?,"If a mandibular third molar tooth bud begins development in a horizontal position, it will never be able to erupt.",The amount of space between the mandibular second molar and the ramus can play a role in whether or not the third molar tooth will become impacted.,Decreased flexibility/Increased rigidity of bone contributes to increased treatment complications and more difficult and slower recovery in patients undergoing extraction of impacted teeth at increased age.,Maxillary canines may become impacted because they erupt after the lateral incisor and first premolar and thus have inadequate space.,Local factors that may allow eruption of impacted teeth in older patients include extraction of adjacent teeth and use of a denture overlying the impacted tooth.,,,A,
Which of the following is not a systemic factor associated with tooth impaction?,Cleidocranial dysplasia.,Irradiation,Chemotherapy,Certain endocrine deficiencies,Febrile disease,Trisomy 21,,C,
Late complications following dental trauma can occur up to:,1 month after the trauma has occurred.,6 months after the trauma has occurred.,1 year after the trauma has occurred.,5 years after the trauma has occurred.,10 years after the trauma has occurred,Anytime over the patient's lifetime.,,F,
On routine exam a patient is found to have a horizontal root fracture in the middle third of #9. It is asymptomatic and not tender on percussion or palpation. There is no mobility. Pulp testing is inconclusive. The patient recalls a history of trauma about 10 years ago. The treatment of choice is:,Partial pulpotomy.,Direct pulp cap.,Monitor,Root canal therapy.,Extraction,,,C,
"A patient presents four months after trauma to #9. The tooth is restorable, although it has a complicated crown fracture. The tooth tests non-vital and is symptomatic to percussion. The treatment of choice is:",Partial pulpotomy.,Direct pulp cap.,Monitor,Root canal therapy.,Extraction,,,D,
Which of these statements regarding the reimplantation of primary teeth after avulsion is TRUE?,Semi-rigid splinting for 2 - 3 weeks is necessary.,Semi-rigid splinting for 6 weeks is necessary.,Rigid splinting for 2 - 3 weeks is necessary.,Rigid splinting for 6 weeks is necessary.,Primary teeth should not be reimplanted after avulsion.,,,E,
Consider the following diagnoses: I. Complicated crown fracture (open apex) II. Complicated crown fracture (closed apex) III. Root fracture - apical or middle third IV. Extrusion V. Avulsion VI. Alveolar fracture Which of the following choices include injuries that all require a SEMI-RIGID splint?,"I, IV and V.","II, IV, and V.","III, IV, and V.",III and VI.,IV and V.,,,E,
Which of the following effects on the succedaneous permanent tooth can result from trauma to a primary tooth?,White or yellow/brown discoloration and/or hypoplasia of the enamel,Odontoma like formations,"Lateral root formation, dilaceration of the root, and/or partial or incomplete root formation",Disturbance in eruption,Sequestration of the permanent tooth germ,All of these effects on the succedaneous permanent tooth can result from trauma to a primary tooth.,,F,
Which of the following factors is not a consideration when assessing the likelihood of success when re-implanting an avulsed tooth?,Pre-existing periodontal status of the tooth,Length of time tooth was out of the socket,Degree of root formation/apical closure of the tooth,How the tooth was handled and stored when out of the socket,Mechanism of avulsion,,,E,
"All of the following may be clinical signs of advanced infection, EXCEPT:",Dehydration,Limited mouth opening,Dysphagia,Dyspnea,None of the above - all of these choices may be clinical signs of advanced infection.,,,E,
Which of the following statements about a periapical abscess is TRUE?,The location of the swelling provides no useful information when determining the source or cause of the infection.,"Trephination - going through the cortical bone to enter the boney abscess cavity - will not resolve the pain caused by a periapical abscess; only definitive treatment such as extraction, endodontic treatment, or apicoectomy can resolve the pain.",A chronic periapical abscess may not be painful if the infection is able to drain via a fistula.,All maxillary anterior teeth with periapical infections will naturally drain on the buccal.,"There is no downside to doing an apicoectomy on an endodontically treated tooth with a periapical abscess, other than the possibility that the procedure may not work and the patient may then need the tooth extracted.",,,C,
"A patient presents for emergency evaluation of increasing pain of their lower left 3rd molar and swelling of the face. Exam reveals a raised floor of the mouth, as well as non-fluctuant swelling along the left inferior border of the mandible, that is warm and erythematous. The operculum over tooth #17 is edematous and erythematous. A panoramic radiograph reveals a partially impacted tooth #17 with pericoronal radiolucency. You determine that the patient has a cellulitis of odontogenic origin. The infection has likely spread to which space(s)?",Sublingual only,Buccal only,Sublingual and buccal,Sublingual and submandibular,Buccal and submandibular,,,D,
The sublingual and submandibular spaces are separated by which muscle?,Mylohyoid,Hyoglossus,Genioglossus,Buccinator,Geniohyoid,,,A,
Which of the following statements regarding treatment of oral infections is TRUE?,"If a drainage procedure is performed on a true cellulitis, purulence (pus) will be obtained.","If a drainage procedure is performed on a cellulitis, progression to an abscess may be prevented as the procedure can allow oxygen into the site and prevent a shift to anaerobic bacteria.",The technique used for draining an abscess associated with a mandibular first bicuspid is not of critical importance as there is little risk associated with making an incision in this region.,Drainage procedures are most effective when incisions are placed to draw purulence (pus) in an upwards direction against gravity.,Blunt instruments are not effective when dissecting through tissues to perform a drainage procedure.,,,B,
Which of the following statements about PERICORONITIS related to a mandibular third molar is FALSE?,Extraction is the most effective treatment for attaining resolution of the infection.,Chlorhexidine and antibiotics may be helpful to attain resolution of the infection.,Local anesthesia may have a diminished effect in the area of pericoronitis.,Operculectomy generally provides long-term resolution of the infection and makes extraction unnecessary. Operculectomy should be accomplished via incision of tissue at the lingual position on the retromolar pad.,Elimination of trauma to the retromolar pad may be helpful in attaining resolution of the acute infection and can be accomplished via extraction of the opposing third molar or reduction of the cusp(s) causing the trauma.,,,D,
