title,Intro to Clinical Dentistry Exam 3 (Spring 2019),icd,exam3
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
po on a prescription form,means by injection,means by mouth,means topical application,po is never used on a RX,,,B,
QID instructs the patient to take,the medication in the morning,the medication at bedtime,the medication with food,none of the above,,,D,
Touro Dental Health Clinic policy regarding dispensing medication for pain states;,nsaids and acetaminophen are the first choice for pain relief,selected faculty members are able to approve narcotic Rx's,if the patient request opioids we can then comply,a and b,,,D,
The current ADA AHA recommendation regarding patient that need prophylaxis antibiotic coverage before invasive dental treatment,limits the need to a small subset of patients with heart conditions that predispose them to infective endocarditis or joint infection,limits the need to elderly patients,limits the need to immunocompromised patients,did not change the recommendation from earlier reports,,,A,
Contradiction to prescribing nsaids or acetaminophen can include patients that,have hypertension,Have liver disease,take blood thinners,all of the above,b and c,,E,
The proper dosage of amoxicillin for antibiotic prophylaxis is,2000 mg I hr. before treatment,2000 mg 6 hrs. before treatment,500 mg I hr. before treatment,500 mg 6 hrs. before treatment,,,A,
"when dispensing a sedative medication such as valium to a nervous patient who has no experience taking valium, it is a good idea to have the patient",take a dose the night before the appointment to gauge how the sedative affects them. Then have them take it an hour before the appointment,"take it before the appointment and not worry, valium's effect on patients are not a problem",not take valium if they have not used it before,none of the above,,,A,
The Flexi-Flange post systems is specifically engineered to be used on,Posterior teeth with the majority of coronal tooth structure intact,Anterior teeth with the majority of coronal tooth structure intact,Anterior teeth with no coronal tooth structure left,a and b,,,C,
the pupose of a post is to:,strengthen the root,help retain the core buildup,Resist lateral forces,all of the above,,,B,
Tissue retraction and management is important during,restorative treatments,impression taking,crown preps,all of the above,,,D,
methods of tissue retraction and management include all except,mechanical,laser,electro surgery,oral medication,,,D,
"Epinephrine, a vasoconstrictive agent stops gingival bleeding",by reducing blood vessels size,clogging cut arterioles vessels with proteins,by improving healing of tissue,None of the above,,,A,
"to stop significant bleeding or to remove a lot of tissue, the best method to use is",a Laser,a scalpel,Electro surgery,,,,C,
The most successful plan for tissue management for fixed prosthodontic treatments include,having the patient rinse with water every day for two weeks to hydrate the tissue,having the patient rinse with Chlorohexidine for two weeks before initial prep appointment,having the patient rinse with lemon juice for the two weeks between final impression and final insertion,having the patient rinse with Chlorohexidine for the two weeks between final impression and final insertion,b and d,,E,
The technique to assure a good solid bond with no post op sensitivity includes (In no particular order) all except,disinfecting tooth with chlorohexidine,isolation from contamination,proper etch and rinse technique,only using All Bond 3 bonding agent,,,D,
differences between a passive parallel post and a passive tapered post include,strength,stress on root,construction material,retention,b and d,,E,
"Most post systems do not have specific post preparation drills for their systems, they recommend using only peeso drills to prepare canals",True,False,,,,,B,
An acceptable prefabricated post must,be actively screwed into the root,be at least two sizes wider than the final endodontic file used in a correctly treated tooth,be in root supported by bone,never be cemented into the canal,,,C,
"in order to prevent future root fractures, a crown preperation must follow the ""ferrule rule"". The “ferrule rule” states",that there must be at least 2 mm of tooth structure above the alveolar bone,that there must be at least 1 mm of tooth structure above the alveolar bone,Any amount of tooth structure above the alveolar bone is acceptable,,,,A,
A crown must have the marginal finish on solid tooth structure,True,False,,,,,A,
The best approach to presenting a large complicated treatment plan to a patient is to:,Just lay it all out there and let the patient decide,begin by explaining to the patient that although it may be a large treatment plan there are ways to break it up to manageable pieces,educate the patient of the importance of comprehensive treatment,just discuss part of the plan,b and c,,E,
information that is vital to understand how to approach a patient to deliver a treatment plan includes,what are the treatment goals of a patient,what would hold them back from completing a treatment plan,past dental history of the patient,a and b,all of the above,,E,
"segmenting a treatment plan can easily be accomplished, even if you are not familiar with every aspect of the plan.",True,False,,,,,B,
the attributes of a secondary treatment plan include,fulfilling most of the patients' treatment goals,restoring the dentition using methods that differ from the primary treatment plan,additional treatments not in the primary treatment plan,a and b,,,D,
"when preparing a canal for a post, using a Gates Glidden reamer is preferred for the initial removal of the gutta percha because",a Gates Glidden reamer will remove all Gutta percha at once,a Gates Glidden reamer is able to completely prepare the root walls for the post,it is just a personal choice there is no preference to use a Gates Glidden,a Gates Glidden reamer only has an end cutting function minimizing the possibility of a perforation,,,D,
Before inserting a post it is vital to take a radiograph to verify post position,True,False,,,,,A,
if you are prescribing a medication that must be taken precisely every 8 hrs the proper way to write the RX would be,QID,TID,Q8h,b and c,,,C,
The minimum amount of gutta percha seal that must remain in a post prep is,7 mm,1 mm,2 mm,3 mm,,,D,
