title,Oral Pathology Exam 4 (Spring 2018),oralpath,exam4
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
"Please see attached image. This periapical radiograph is from a 78-year-old male. He reports no pain on the mandibular incisor teeth. There is no evidence of a draining sinus. The mandibular incisor teeth are negative to electric pulp testing, endo ice, percussion, palpation and the bite stick test (i.e. no pain is elicited from any of the tests performed). What is the most likely diagnosis for the radiographic changes at the apex of tooth #23 (tooth with missing crown)?",PERIAPICAL CYST,DENTIGEROUS CYST,PERIAPICAL ABSCESS,PERIODONTAL ABSCESS,GINGIVAL ABSCESS,,,,A,images/oralpath-exam4-spring-2018/fig18.jpeg
"A patient presents with a painful, fluctuant nodule on the interdental papilla between teeth #3 and #4.  Endo ice and electric pulp testing are positive on both teeth #3 and #4. Periodontal pocketing is absent on all surfaces of teeth #3 and #4. Bitewing and periapical radiographs fail to demonstrate any abnormalities. As you are palpating the nodule it decompresses and a yellow-white fetid fluid drains out. You correctly recognize this fluid as purulence. The nodule was a localized, circumscribed collection of purulence. What is the most likely diagnosis?",Periapical abscess,Periapical granuloma,Periodontal abscess,Pyogenic granuloma,Gingival abscess,,,,E,
Please see the attached image. The patient in this image has a history of chronic periodontitis and a periodontal pocket on tooth #31. The patient reports a recent onset of pain with chewing. Tooth #31 is positive to palpation and positive to percussion. There is no evidence of a nodule on the gingiva. How would you manage this patient?,EXTRACTION,,,,,,,,FILL,
Please see the attached image. The patient in this image has a history of chronic periodontitis and a periodontal pocket on tooth #31. The patient reports a recent onset of pain with chewing. Tooth #31 is positive to palpation and positive to percussion. There is no evidence of a nodule on the gingiva. A periodontal abscess is a likely diagnosis.,True,False,,,,,,,A,images/oralpath-exam4-spring-2018/fig21.jpeg
The odontogenic myxoma is a tumor derived from:,Odontogenic epithelium,Odontogenic mesenchyme,Both odontogenic epithelium and mesenchyme,Neither odontogenic epithelium and mesenchyme,,,,,B,
Statement 1: A multilocular radiolucency suggests lesion growth between bony trabeculae. Statement 2: A unilocular radiolucency is strongly suggestive of malignancy.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,,C,
Which of the following is/are unlikely to present with symptoms of pain?,Periapical cyst,Periapical granuloma,Periapical abscess,Periodontal abscess,All the above,A and B,A and C,A and D,F,
What is the most likely diagnosis for the abnormality represented by the radiographic changes in the attached image indicated by the arrows? (type your response in all upper case/capital characters),DENTIGEROUS CYST,,,,,,,,FILL,
"Please see the attached image. The buccal bifurcation cyst typically occurs in children from the age of 5-13-years, involves the permanent mandibular first molar, and may demonstrate periodontal pocket formation as well as slight-to-moderate tenderness. The radiographic features include a well-circumscribed radiolucency with lingual-tilted roots. Exodontia is not necessary, only simple enucleation is required for treatment.",True,False,,,,,,,A,images/oralpath-exam4-spring-2018/fig26.jpeg
A maxillary tooth was extracted from the area of alveolar bone associated with the radiolucency in the attached image. This radiolucency could represent a residual cyst that resulted from inadequate curettage directly following the extraction of the tooth.,True,False,,,,,,,A,images/oralpath-exam4-spring-2018/fig27.jpeg
"A maxillary lateral incisor has a necrotic pulp and an associated periapical radiolucency. The tooth is treated by root canal therapy. Following root canal therapy the tooth is restored with a crown. At the patient's six-month follow-up visit the crown margins are excellent and the surrounding tissues appear healthy with the patient reporting no symptoms. A periapical radiograph is taken. The radiograph demonstrates excellent obturation of the root canal system. However, the periapical radiolucency shows minimal change. Which of the following are valid explanations for the periapical radiolucency at the six-month follow-up visit?",Periapical scar formation,Failure of the root canal therapy,A different type of pathology (not related to pulp necrosis) is responsible for the present radiolucency,All the above are possible valid explanations,,,,,D,
Please see the attached image. What is the diagnosis (one word)? (type your response in upper case letters/all caps),AMELOBLASTOMA,,,,,,,,FILL,
Please see the attached image. What is the diagnosis (two words)? (type your response in upper case letters/all caps),ODONTOGENIC KERATOCYST,,,,,,,,FILL,
All of the following are characteristics of carcinoma arising in a cyst with one EXCEPTION. Which one is the EXCEPTION?,Radiographic findings that may mimic an odontogenic cyst,Radiographic findings that may include irregular or ragged margins,The majority of cases occur in young patients (children and young-adults),"Possible pain, swelling and paraesthesia",Originate (arise) from the epithelium of a cyst,,,,C,
All of the following are components of nevoid basal cell carcinoma syndrome (aka Gorlin syndrome) with one EXCEPTION. Which one is the EXCEPTION?,Multiple squamous cell carcinomas,Palmer and planter pits,Rib and vertebral anomalies,Multiple basal cell carcinomas,Calcified falx cerebri,,,,A,
Which odontogenic cyst is described and depicted in the attached image? The term for this entity is comprised of three words. (type your response in upper case letters/all caps),GLANDULAR ODONTOGENIC CYST,,,,,,,,FILL,
Statement 1: The orthokeratinized odontogenic cyst demonstrates an orthokeratinized epithelial lining of varying thickness. Statement 2: The orthokeratinized odontogenic cyst demonstrates a low recurrence rate following treatment of about 2%.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,,A,
"The attached histopathological image shows tissue from an odontogenic cyst. Ghost cells are one of the features that can be identified on this histopathological image. What is the diagnosis? (type your response in uppercase letters/all caps) 1 Hint: The other term used for this entity is ""Gorlin cyst"".",CALCIFYING ODONTOGENIC CYST,,,,,,,,FILL,
What is the diagnosis? The name of this entity is comprised of three words. (respond in all upper case letters/all caps),LATERAL PERIODONTAL CYST,,,,,,,,FILL,
"A female of 47-years presents with a large, multilocular radiolucency of the left posterior mandible. While not necessarily the most likely possibilities, all of the following are acceptable entities to place on the differential diagnosis, EXCEPT one. Which one is the EXCEPTION?",Dentigerous cyst,Keratocystic odontogenic tumor,Central giant cell granuloma,Calcifying epithelial odontogenic tumor,,,,,A,
What is the diagnosis for this pediatric patient with erupting deciduous maxillary central incisors? The name of this disease entity is comprised of two words. (type your response in all upper case letter/all caps),ERUPTION CYST,,,,,,,,FILL,
Which of the following entities is described and depicted in the attached image?,Calcifying epithelial odontogenic tumor,Adenomatoid odontogenic tumor,Ameloblastic fibroma,Ameloblastic fibro-odontoma,,,,,A,images/oralpath-exam4-spring-2018/fig40.jpeg
