title,Pain & Anxiety Control Midterm Exam (Spring 2018),painanx,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A common complication of an inferior alveolar nerve block in pediatric patients is,Hematoma,Trismus,Ecchymosis,Traumatic ulcer,,,D,
Why would you consider the use of Phentolamine (OraVerse) after performing an inferior alveolar nerve block in a 9 year old child undergoing multiple dental restorations?,To lower the patient's blood pressure,To reverse the effects of the local anesthetic and reduce the risk of a traumatic ulcer,To provide additional pain control following the procedure,To reverse the effects of Epinephrine on the mucosal tissues.,,,B,
"Following the administration of a dental local anesthetic you accidental develop a needle stick injury when trying to recap the needle. The source patient is a healthy 30 year old woman, married, with three children, no medical problems, and no history of substance abuse. Your next step should be:","Wash the area with soap and water, encourage bleeding, notify TCDM faculty and immediately be seen by Student Health Services.","Wash the area with soap and water, cover the puncture wound and proceed with dental treatment.","Wash the area with soap and water, proceed with dental treatment and do not worry because the source patient was not at high risk for transmission of infectious agents","Wash area with soap and water, immediately seek anti-viral therapy, and stop treating patients for the next 2 months.",,,A,
A 56 year old female has a large palatine torus that is interfering with the construction of a maxillary removable partial denture requiring removal of the torus. She has had numerous dental procedures under local anesthesia without any issues. Which local anesthesia injections are necessary to enable you to perform this procedure?,Inferior alveolar nerve blocks bilaterally and posterior superior alveolar nerve blocks bilaterally,Mental nerve blocks bilaterally and nasopalatine nerve block.,Greater palatine nerve blocks bilaterally and posterior superior nerve blocks bilaterally,"Greater palatine nerve blocks bilaterally, nasopalatine nerve block and local infiltration of the middle and anterior palate bilaterally",,,D,
Essential landmarks for performing a successful inferior alveolar nerve block include:,"Sigmoid notch, internal oblique ridge, pterygomandibular raphe","Coronoid notch, external oblique ridge, pterygomandibular raphe","Lingula, sigmoid notch, internal oblique ridge","Gonial notch, sigmoid notch, pterygomandibular raphe",,,B,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. The history of having severe palpitations is most likely due to:",A side effect of her anti-hypertensive medication,An allergic reaction to the local anesthetic,The effect of Epinephrine associated with dental injections.,The patient is likely to have an underlying cardiac arrhythmia.,,,C,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. What is the maximum dose of Bupivacaine 0.5% with Epinephrine 1:200,000 you should give this patient?",9 mg Bupivacaine with 0.009 mg Epinephrine,18 mg Bupivacaine with 0.018 mg Epinephrine,27 mg Bupivacaine with 0.027 mg Epinephrine,36 mg Bupivacaine with 0.036 mg Epinephrine,,,D,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. You decide to use 3% Mepivacaine as your local anesthetic of choice for this patient. What is the maximum dose of Mepivacaine you can give and approximately how many cartridges is this maximum amount?","Mepivacaine 390 mg, 7 cartridges","Mepivacaine 108 mg, 2 cartridges","Mepivacaine 162 mg, 3 cartridges","Mepivacaine 900 mg, 17 cartridges",,,A,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. You proceed to administer a left inferior alveolar nerve block, lingual nerve block and buccal nerve block. After 5 minutes, the patient has signs of adequate anesthesia with complete numbness of the left lower lip, chin and buccal mucosa. You attempt a pulpotomy, but as soon as the bur touches the tooth, the patient jumps in pain. What nerve may be responsible for providing supplemental anesthesia to tooth #18?",Mental nerve,Auriculotemporal nerve,Incisive nerve,Mylohyoid nerve,,,D,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. You administer local anesthesia to block the nerves that may be supplying additional sensory information to tooth #18. However, in spite of blocking all of the appropriate nerves, the patient continues to respond with pain to anything that touches tooth #18. The next best approach would be which of the following:",Administer a local anesthetic injection directly into the periodontal ligament around tooth #18.,"Prescribe antibiotics, oral sedative premedication, and have the patient return to your office in 4 days.",Refer the patient to a psychiatrist as you believe that she may be over reacting to the situation.,Refer the patient to have the procedure performed under general anesthesia.,,,A,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. You eventually are able to provide successful local anesthesia to perform the pulpotomy on tooth #18. Upon entering the pulp chamber of tooth #18 you immediately see a purulent exudate with a very foul odor. What is the most likely reason for the difficulty that you had in providing successful local anesthesia in this patient?","The purulent exudate increases the pH of the surrounding tissues, reducing the effectiveness of the local anesthetic","The purulent exudate causes so much pressure within the pulp chamber that the pain receptors are excessively stimulated, reducing the effectiveness of the local anesthetic.","The local anesthetic injected into the tissues results in most of the drug existing in the charged form, reducing the ability of the local anesthetic to diffuse through nerve membranes.",The increased vascularity of the tissues surrounding tooth #18 results in a rebound vasoconstriction negating the effectiveness of the local anesthetic.,,,C,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. After you evacuate all of the purulent exudate from tooth #18, you find that there is a fracture in the distal root of the tooth and you indicate that this tooth requires extraction. You have already administered the maximum dose of 3% Mepivacaine to this patient and you proceed to perform a surgical extraction of tooth #18. You began to treat this patient one hour ago. Initially, the patient is comfortable but this is a tough extraction and after 15 minutes into the procedure, the patient is having severe pain. Which one of the following IS NOT a factor that is causing the patient to have pain?",3% Mepivacaine has a short duration of action,3% Mepivacaine causes vasodilation shortening the duration of action,3% Mepivacaine does not contain any vasoconstricting agents,"3% Mepivacaine interacts with Valsartan, offsetting the local anesthetic effect",,,D,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. Since the patient is not adequately anesthetized and you are in the middle of a surgical extraction, you decide that you must proceed. You administer an additional 3 cartridges of 3% Mepivacaine to provide adequate local anesthesia and you proceed with the surgery. The patient informs you that she is not feeling well and you are worried there may be signs of local anesthetic toxicity. Which one of the following is NOT a sign of local anesthetic toxicity?",Slurred speech,Muscle twitching,"Restlessness, dizziness and confusion",Hives and itching,Seizures,,D,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. Five cartridges of 2% Lidocaine with Epinephrine 1:100,000 administered to a patient provides what dose of Lidocaine and Epinephrine?","Lidocaine 180 mg, Epinephrine 0.09 mg","Lidocaine 90 mg, Epinephrine 0.045 mg","Lidocaine 360 mg, Epinephrine 0.18 mg","Lidocaine 45 mg, Epinephrine 0.045 mg",,,A,
"Ms. AB is a 45 year old female who presents with a chief complain of pain localized to the mandibular left second molar. She has had a problem with pain associated with this tooth for the past 9 months. She sought consultation with her dentist 8 months ago who discovered an old amalgam restoration with open margins and recurrent decay. There was no periapical pathology seen on the dental radiograph. The dentist excavated the decay and ultimately underwent restoration with a full crown. Although the tooth was sensitive when she was biting on it for the following three months, this sensitivity ultimately resolved and she was feeling well without symptoms for several months, until one week ago. Over the past week tooth #18 has become increasingly symptomatic, initially with pain to chewing and over the past 2 days pain that is continuous. The tooth is exquisitely painful when it is touched and when she bites down on it even with the slightest pressure. The pain at rest without provocation is “8” on the visual analog scale (0=no pain, 10=the most severe pain). When there is any pressure on the tooth the pain goes up to level “10”. The past medical history is significant for hypertension, which is well controlled with anti-hypertensive medication, Valsartan 80 mg per day. The patient has a history of a supraventricular tachycardia which was treated successfully with cardiac ablation 3 years ago. She sees her primary care MD on a regular basis who has provided you with written medical clearance to provide dental treatment on this patient. The patient also takes Aspirin 81 mg per day as well. She denies having any allergies and in general, she is a very cooperative dental patient. The patient does tell you that she has had severe palpitations following dental injections in the past. Since that time she has notified her dentists about this and subsequently has had dental injections without any untoward effects. Her weight is 130 lbs and height is 68 inches. The clinical examination reveals the neck and oral soft tissues to be normal. There is no extra-oral or intra-oral swelling. Tooth #18 has a crown with excellent margins clinically and radiographically. The PA radiograph is unremarkable, without any apical lesions. You gently touch tooth #18 with your finger and the patient jumps indicating that this has created severe pain. Your initial diagnosis is an acute pulpitis and you inform the patient that you recommend a pulpotomy and will perform this under local anesthesia. Injecting local anesthesia directly into tissue with severe inflammation shortens the duration of local anesthesia due to increased amounts of the uncharged form of the local anesthetic molecule",True,False,,,,,B,
A nasopalatine nerve block provides local anesthesia to,buccal mucosa,floor of mouth,anterior tongue,anterior palate from canine to canine,,,D,
A lingual nerve block anesthetizes all of the following structures EXCEPT for:,Lateral tongue to the midline,Lingual mandibular gingival tissues,Floor of the mouth,Buccal mucosa,,,D,
Which of the following local anesthetics provides the longest duration of pulpal and soft tissue anesthesia?,3% Mepivacaine,"2% Lidocaine with Epinephrine 1:50,000","0.5% Marcaine with Epinephrine 1:200,000","4% Articaine with Epinephrine 1:200,000",,,C,
