title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2019),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements regarding the management of adrenally suppressed patients is NOT TRUE?,Use measures to minimize their anxiety in the peri-operative period.,Monitor HR/BP intra- and post-op &other signs/symptoms of adrenal crisis,Administer supplemental steroids for all dental procedures.,"For a patient currently on steroids, supplemental steroids should be administered as follows: Give 2X daily dose on pre-op, op, &post-op day 1, then resume daily dose.","For a patient who has had 20 mg hydrocortisone for >or = 2 weeks within past year: Use a “steroid taper” as follows: Give 60 mg hydrocortisone on pre-op and op days Give 40 mg hydrocortisone on post-op days 1 &2 Give 20 mg hydrocortisone on post-op days 3,4, &5.",,,C,
Which of the following statements regarding patients with hypertension is NOT TRUE?,Avoid rapid positional changes in hypertensive patients on vasodilators.,Blood pressure measurements with systolic pressure above 140 but below 200 and diastolic pressure above 90 but below 140 are considered to be in the mild/moderate hypertension range.,"Every attempt should be made to achieve a “normal textbook” blood pressure, approximately 120/80, in all patients on whom oral surgery is being performed.","Patients with severe hypertension should not be provided with dental treatment when they present to a dental office. Instead, they should immediately be referred to their primary care physician or an Emergency Department for evaluation and treatment..","Patients with severe hypertension are at risk for CVA (cerebrovascular accident, a.k.a. stroke).",,,C,
Which of the following statements regarding a patient's heart rate is TRUE?,Normal heart rate is considered anywhere between 50 and 110.,"If a patient's heart rate is lower than what is considered within the normal range, the patient clearly has a medical problem and should receive appropriate treatment before dental treatment is performed.","Increased heart rate can occur due to a substance that has been ingested, a heart rhythm abnormality, or a patient being a “trained athlete”.",Epinephrine may cause an increase in a patient's heart rate.,"Decreased heart rate can occur due to a heart rhythm abnormality, pain, or anxiety.",,,D,
Which of the following statements regarding patients with cardiac issues is NOT TRUE?,"If a patient tells you that they have had a coronary artery stent placed, you can conclude that they have had a myocardial infarction.","If circumstances allow, it may be prudent to delay dental treatment during the period following a myocardial infarction.","In a patient with angina pectoris, nitroglycerin can be used prior to dental treatment to reduce the chances of an episode occurring.","Generally, patients with congestive heart failure should not be placed in the supine position during dental treatment.","Anxiety reduction, supplemental O2, and limiting the amount of epinephrine administered with local anesthesia may all be useful techniques when treating patients with cardiac issues.",,,A,
Radiographs of 5 teeth are shown below. Which of these teeth do you anticipate would be the ”EASIEST” one to extract?,(Mandibular left first molar.),(Mandibular right first molar.),(Maxillary right second molar.),(Maxillary right second premolar.),(Maxillary left third molar.),,,E,images/omfs-midterm-spring-2019/fig24.jpeg
Which of the following statements is TRUE?,"A full thickness mucoperiosteal flap involves the elevation of periosteum, submucosa, and mucosa.",A full thickness mucoperiosteal flap involves the elevation of submucosa and mucosa.,A full thickness mucoperiosteal flap involves the elevation of periosteum and submucosa.,A partial thickness mucoperiosteal flap involves the elevation of periosteum and mucosa.,"A partial thickness mucoperiosteal flap involves the elevation of periosteum, submucosa, and mucosa.",,,A,
There are several principles that should be adhered to when planning and developing a flap. Which of the following concepts regarding flap design is FALSE?,The free margin of the flap should be broader than the base.,The flap should be of proper size to allow for adequate visualization.,Releasing incisions should be used only when necessary.,Injury to vital structures in the area should be avoided.,Flaps should be closed over sound bone.,,,A,
Several flap designs are displayed in the picture below. Which line shows a flap with two vertical releases that has been properly designed to respect all principles of flap design?,Red line.,Yellow line.,Blue line.,Green line.,,,,C,images/omfs-midterm-spring-2019/fig27.jpeg
"Which of the following statements is TRUE concerning envelope, 3 corner, and 4 corner flaps?",The 3 corner flap is developed using 2 vertical releasing incisions.,The 4 corner flap is developed using 2 vertical releasing incisions.,The envelope flap is developed using 1 vertical releasing incision.,The 3 corner flap is developed using 3 vertical releasing incisions.,The 4 corner flap is developed using 4 vertical releasing incisions.,,,B,
Which of the following should be considered when making a decision as to whether or not a root fragment can be left in?,The proximity of the root to the maxillary sinus.,The proximity of the root to the inferior alveolar nerve canal.,The presence or absence of periapical radiolucency at the root apex.,The anticipated prosthetic treatment plan including possible implant placement.,All of the above.,,,E,
"Bone and soft tissue changes which occur after tooth extraction are affected by all of the following systemic and local factors, EXCEPT:",Patient nutrition.,Osteoporosis.,Endocrine dysfunction.,Flap design and elevation techniques utilized at the time of the extractions.,Alveoplasty techniques utilized at the time of the extractions.,Distribution of occlusal forces on the denture the patient is wearing.,All of the choices in this answer are factors that affect bone and soft tissue changes.,G,
"A determination as to whether or not preprosthetic surgery is necessary is based on the evaluation of the patient's oral hard and soft tissues. The following factors are all important to assess during the soft tissue evaluation, EXCEPT:",Amount of keratinized tissue.,Soft tissue pathology,Ulcerations from existing ill-fitting dentures or overlying boney protuberances.,Muscle/frenum attachments,Vestibular depth.,Pneumatization of posterior maxilla by maxillary sinus.,,F,
Which one of the following statements regarding alveoplasty procedures is FALSE?,Bone can be removed/recontoured with a handpiece/bur.,One goal of an alveoplasty is to eliminate bony interferences with denture insertion.,One goal of an alveoplasty is to eliminate bony protuberances which may cause discomfort under a removable prosthesis.,Bone can be removed/recontoured with a rongeur and/or a bone file.,"When doing an alveoplasty, the operator should palpate for any remaining sharp boney areas which may irritate the patient by moving his/her finger directly over the surface of the bone underneath the flap.",,,E,
Excessive size of the maxillary tuberosity might interfere with removable prosthesis fabrication and use. Tuberosity reduction may be performed to eliminate this problem. Which of the following statements regarding tuberosity reduction is FALSE?,"Under some circumstances, tuberosity reduction may be successfully accomplished by bone removal only.","Under some circumstances, tuberosity reduction may be successfully accomplished by soft tissue removal only.","Under some circumstances, tuberosity reduction may be successfully accomplished by a combination of both soft tissue and bone removal.",The informed consent discussion prior to tuberosity reduction procedures should include the potential post-procedure risk of an oro-antral communication.,The informed consent discussion prior to tuberosity reduction procedures should include the potential post-procedure risk of a neurosensory disturbance of upper lip.,,,E,
Which of the following statements regarding torus reduction/removal is TRUE?,"If a patient has pain or ulceration overlying a torus following insertion of a removable prosthesis, accommodation will occur and the torus will not need to be removed.",Either a “y” or „double Y” incision can be utilized when reducing/removing a mandibular torus.,"When performing the reduction/removal of a mandibular torus, excessive bleeding or swelling which may ultimately cause airway compromise is a potential complication.","Since reduction/removal of mandibular tori is a procedure that has very little risk, these tori should always be removed when a removable prosthesis is being fabricated.",A horizontal incision across a maxillary torus should be utilized when reducing/removing the torus.,,,C,
"The steps below are all involved in a combination labial vestibuloplasty, floor-of-mouth lowering procedure and skin grafting (i.e. Obwegeser technique), but are NOT necessarily listed in the correct order. (1) Place skin graft over the supraperiosteal dissection. (2) Tether the labial and lingual flaps near the inferior border of the mandible by passing sutures under the inferior border of the mandible. (3) Make a crestal incision. (4) Stabilize the stent on the mandible with circummandibular wires. (5) Create buccal and lingual flaps via a supraperiosteal dissection. The correct sequence for these steps is:","3, 5, 2, 1, 4.","3, 2, 5, 4, 1.","4, 5, 3, 2, 1.","5, 2, 1, 3, 4.","3, 5, 4, 1, 2.",,,A,
"Submucosal vestibuloplasty, as described by Obwegeser, can be used to correct soft tissue attachment on or near the crest of the alveolar ridge of the maxilla. Which of the following statements regarding this procedure is TRUE?",The residual bony maxilla must be adequate for proper denture support,The labiovestibular mucosa is sutured to the periosteum of the remaining maxilla.,Adequate mucosal length must be available in this area to provide adequate vestibular depth without producing an abnormal appearance of the upper lip.,To determine whether adequate labiovestibular mucosa is present a dental mouth mirror is used under the upper lip to elevate the superior aspect of the vestibule to the desired postoperative depth.,All of the answers listed here are true.,,,E,
What is the most important piece of information to gather during a patient interview and examination?,Chief concern.,History of the present illness.,Head and neck exam findings.,Radiographic imaging.,All of the above.,,,E,
Extraction of which of the following teeth is NOT the best treatment option?,43 year old male with nonrestorable carious tooth 19 (lower left first molar).,86 year old female with periodontally hopeless and symptomatic tooth 23 (lower left lateral incisor).,"33 year old female with irreversible pulpitis tooth 13 (upper left second premolar), which has 2/3 of the crown still intact.",26 year old female with a vertical root fracture through tooth 8 (upper right central incisor).,7 year old male with supernumerary tooth 58 preventing normal eruption pattern of his maxillary central incisors.,,,C,
Which of the following might be considered a contraindication for performing oral surgery on a patient?,Severe uncontrolled diabetes.,Pregnancy.,Von Willebrand Factor Deficiency.,Prior head and neck radiation treatment.,All of the answers given here are correct.,,,E,
Which of the following is the LEAST complicated tooth to extract?,Partial bony impacted tooth 32 (lower right third molar) with mesial root in close proximity to the inferior alveolar nerve.,Erupted tooth 31 (lower right second molar) with notable variant third root.,Tooth 20 (lower left second premolar) with 0.5cm x 0.5cm cementoblastoma connected to the root apex.,Tooth 18 (lower left second molar) with 1/3 of its crown missing and clear periapical abscess.,Tooth 22 with an excessively long oblong root.,,,D,
Which of the following instruments are the best choices to extract tooth 4 (upper right second premolar)? I. No. 150 II. No. 151 III. No. 1 IV. No. 7,"I, II, III","I, III","II, III","I, IV",All of the above answers are correct.,,,B,
"When a surgeon stands to perform a mandibular extraction, how should the patient be positioned?",The patient's mandibular occlusal plane should be at the surgeon's shoulder height.,The patient's mandibular occlusal plane should be above the surgeon's shoulder height.,The patient's mandibular occlusal plane should be parallel to the floor.,The patient's mandibular occlusal plane should be perpendicular to the floor.,None of the other answer choices given here are correct.,,,C,
Which of the following is the primary direction of delivery of a mandibular first molar during extraction?,Apical.,Lingual.,Occlusal Buccal.,Occlusal Lingual.,Apical Palatal.,,,C,
A vestibuloplasty is a procedure that:,Decreases the vestibular depth without producing an abnormal appearing upper or lower lip.,Can require soft tissue grafting when there is insufficient labiovestibular mucosa.,Does not allow for immediate denture insertion post-operatively.,Decreases denture retention.,All of the answer choices given here are correct.,,,B,
The “lipswitch” procedure is most commonly indicated when:,There is inadequate mandibular height (<15mm).,There is adequate facial vestibular depth from mucosal and muscular attachments in the anterior mandible.,There is adequate vestibular depth on the lingual aspect of the mandible.,There is inadequate vestibular depth on the lingual aspect of the mandible..,,,,C,
Which of the following is TRUE?,Teeth in the line of a mandible fracture are always extracted.,A patient who underwent head and neck radiation treatment is safe to have any dental extractions under local anesthesia.,Premolars are always extracted to create space in a crowded arch.,All impacted third molars should be extracted to prevent pathology.,All of the answer choices given here are true.,All of the answer choices given here are false.,,F,
Which of the following instruments is used to elevate a flap?,No. 9 Molt periosteal elevator.,No. 301 elevator.,No. 77R elevator.,Straight elevator.,34S elevator.,,,A,
All of the following can be used to debride an extraction socket EXCEPT:,Rongeur.,Bone file.,Hemostat.,No. 9 Molt periosteal elevator,,,,D,
What directions of luxation should be used for extraction of mandibular central incisors? I. Apical II. Rotational III. Buccal IV. Lingual,"I, II","I, IV","I, II, IV","III, IV","II, I",,,A,
Which of the following is the LEAST common post-operative occurrence after teeth extractions?,Edema.,Bleeding.,Alveolar Osteitis.,Pain.,Jaw fracture.,,,E,
Which is the most commonly used scalpel blade for oral and maxillofacial surgery procedures?,10.,11.,15.,13.,17.,,,C,
The bone file is a bidirectional instrument to be used in BOTH pushing and pulling maneuvers.,True.,False.,,,,,,B,
"Cowhorn forceps are commonly used to extract mandibular first, second and third molars.",True.,False,,,,,,B,
Which of the following can be used to extract a mandibular first molar? I. Cowhorn II. No 151 forceps III. No 150 Forceps IV. Ash forceps,"I, II","I, II, IV","II, IV","I, III","I, III, IV",,,A,
