title,Pathomedicine Exam 2 (Fall 2023),patho,exam2
question,option_a,option_b,option_c,option_d,correct,image
"T/F: Interruption of therapy and/or physician consultation for routine dental care is unnecessary for all anti-platelet medications, including dual therapy, and all direct oral anti-coagulants.",True,False,,,A,
Which of the following may be experienced by an individual with untreated hypertension?,Death by coronary heart disease or congestive heart failure,Death by cerebrovascular accident,Death by renal failure,All of the above,D,
Which statement best differentiates systolic from diastolic blood pressure?,Systolic is during heart rest; diastolic is during contraction,Systolic is during heart contraction; diastolic is during rest,Systolic is always lower than diastolic,Systolic is heart filling; diastolic is heart ejecting,B,
"If lifestyle modification alone is ineffective at reducing blood pressure to healthy levels, what class of drug is most commonly prescribed first?",Beta blockers,Angiotensin-converting enzyme inhibitors,Calcium channel blockers,Diuretics,D,
How often should you measure the blood pressure of a patient with upper Stage 2 hypertension?,At initial and recall appointments,Once at the start of every appointment,Throughout the procedure at regular intervals,This patient should not receive dental treatment,C,
Which of the following blood pressure readings may cause you to defer elective dental treatment?,140/90 mmHg,160/100 mmHg,180/110 mmHg,All of the above,C,
Which of the following complications may be anticipated in a patient regularly taking medication for hypertension?,Orthostatic hypotension,Hyperglycemia,Hyperkalemia,Tachycardia,A,
Drug induced gingival hyperplasia can result from which of the following class of antihypertensives?,Beta blockers,Angiotensin-converting enzyme inhibitors,Calcium channel blockers,Diuretics,C,
Which of the following is the most common cause of ischemic heart disease?,Embolism,Coronary ostial stenosis,Coronary artery spasm,Coronary atherosclerosis,D,
Elevated levels of which of the following increases risk for atherosclerosis?,Low density lipoprotein (LDL) cholesterol,High density lipoprotein (HDL) cholesterol,Omega-3 fatty acids,All of the above,A,
Foam cells form when macrophages phagocytose which of the following?,Red blood cells,Lymphocytes,Plasma cells,Low density lipoproteins (LDLs),D,
"Which artery is referred to as the “widow maker”, due to its critical role in supplying blood to the heart and the potential fatal outcome if occluded?",Right coronary artery,Left circumflex artery,Left anterior descending artery,Posterior descending artery,C,
"Statement 1: Unstable angina is classically incited by physical effort, emotional stress, or eating. Statement 2: Unstable angina has a poorer prognosis than stable angina.",Both statements are true,The first statement is true and the second statement is false,The first statement is false and the second statement is true,Both statements are false,C,
What two medications are often administered in the immediate treatment of a myocardial infarction?,Aspirin and nitroglycerin,Digoxin and warfarin,Nitroglycerine and calcium channel blockers,Warfarin and aspirin,A,
Which nonsteroidal anti-inflammatory drug (NSAID) was not found to increase the risk of myocardial infarction for up to 7 days following use?,Ibuprofen,Naproxen,Aspirin,Celecoxib,B,
Dental extractions are generally well tolerated by patients on warfarin when their International Normalized Ratio (INR) is less than what cut-off value?,4.5,4.0,3.5,3.0,C,
"Which clinical sign, characterized by painful nodules on the pads of the fingers and toes, is often associated with infective endocarditis?",Osler's nodes,Roth spots,Janeway lesions,Beau's lines,A,
"All of the following are cardiac conditions for which antibiotic prophylaxis is recommended, EXCEPT one. Which is the EXCEPTION?",Patient with prosthetic cardiac valve,Patient with unrepaired cyanotic congenital heart disease,Cardiac transplant recipient with cardiac valvulopathy,Patient with history of myocardial infarction and angioplasty two years prior,D,
Anesthetic without vasoconstrictors should be administered to patients on which of the following medications?,Propranolol,Digoxin,Nitroglycerin,Coumadin,B,
What is the underlying cause of Sudden Cardiac Death (SCD) in the majority of cases?,Inherited channelopathies,Congenital coronary arterial abnormalities,Ischemic heart disease,Mitral valve prolapse,C,
How does the Frank-Starling mechanism compensate for decreased cardiac output in initial stages of heart failure?,Decreased heart rate,Increased myocardial oxygen consumption,Stretching of myocardial fibers during diastole,Reduced preload,C,
Which of the following clinical manifestations is most characteristic of left-sided heart failure?,Ascites and hepatic congestion,Peripheral edema and jugular venous distention,Dyspnea and rales at lung bases,Abdominal bloating and nausea,C,
"In patients with congestive heart failure, Cheyne-stokes respirations are characterized by:",Continuous deep and rapid breathing without pauses,Shallow breathing interrupted by frequent coughing episodes,"Alternating cycles of rapid, deep breathing and central apnea",Persistent shortness of breath that worsens with exertion,C,
"In patients with Stage B congestive heart failure who is not taking digoxin, what is the maximum dose of epinephrine that can safely be administered during a dental appointment?",0 mg,0.018 mg,0.036 mg,0.042 mg,C,
What is the appropriate dosage of prophylactic Amoxicillin for an adult with a prosthetic cardiac valve?,250 mg,500 mg,1 g,2 g,D,
"The WHO recommends initiation of pharmacological antihypertensive treatment of individuals with a confirmed diagnosis of hypertension, no known existing cardiovascular disease, and a blood pressure greater than or equal to which of the following:",120/80 mmHg,130/85 mmHg,140/90 mmHg,150/95 mmHg,C,
"According to the WHO, what is the most important modifiable risk factor responsible for cardiovascular disease burden and all-cause mortality?",Obesity,Smoking,Sedentary lifestyle,Hypertension,D,
"For adults with hypertension requiring pharmacologic treatment, the WHO recommends the use of drugs from which of the following classes as an initial treatment?",Thiazide and thiazide-like agents,Angiotensin-converting enzyme inhibitors,Long-acting dihydropyridine calcium channel blockers,All of the above,D,
"According to “Treatment in the dental practice of the patient receiving anticoagulation therapy”, which dental procedure(s) can typically be performed without the need for physician consultation in patients receiving full therapeutic anticoagulation?",Dental scaling,Dental scaling and dental restorations,"1-2 dental extractions, prosthodontic procedures, endodontic procedures, soft-tissue biopsies, dental scalings, and dental restorations",Any dental procedure is safe to perform without physician consultation,C,
"According to “Treatment in the dental practice of the patient receiving anticoagulation therapy”, which of the following drugs should be avoided or taken with caution due to a potential interaction with warfarin?",Nonsteroidal anti-inflammatory drugs,Amoxicillin,Azole antifungals,All of the above,D,
"According to “Treatment in the dental practice of the patient receiving anticoagulation therapy”, which local measure is generally sufficient for appropriate hemostasis in most patients taking anticoagulants during dental procedures?",Tranexamic acid,Local pressure with gauze compression,Cautery,Administering a short course of low-molecular-weight heparins (LMWHs),B,
