title,Pain & Anxiety Control Final Exam (Spring 2019),painanx,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
"You are the dentist anesthesiologist for a full mouth rehabilitation case on a 6 yo M patient. The patient has no significant past medical history. It is 9am, you have completed your pre-op assessment of the patient, verified NPO status and obtained consents. As you're bringing the patient back to the treatment room, mom tells you “I forgot to mention, my son had a cup of apple juice at 7am.” What do you do?","Proceed with the case, as this is within NPO guidelines of fasting","Cancel the case and re schedule, reinforcing NPO guidelines",Delay the case for two hours in order to be within NPO guidelines of fasting,None of the above,,,,,A,
Which of the following are benefits of utilizing benzodiazepines:,Retrograde amnesia,Minimal respiratory depression,Minimal cardiovascular effects,Decreased secretions,All of the above,(a) and (b),(b) and (c),(a) and (c),G,
"You have administered midazolam for a sedation procedure and you notice your patient is not breathing at a regular rate and without stimulation, the patient is not able to follow your commands. Which medication might you consider administering?",Flumazenil,Naloxone,Narcan,All of the above,,,,,A,
All of the following statements are true with regards to Propofol except one. Which one is the exception?,It is an antiemetic,It can induce general anesthesia,It contains lecithin,Its induction and emergence are slow,,,,,D,
"Opioids can cause all of the following, except:",Mydriasis,Muscle rigidity,Constipation,Ventilatory depression,Bradycardia,,,,A,
Which of the following anticholinergics causes sedation and amnesia?,Glycopyrrolate,Atropine,Scopalomine,All of the above,,,,,C,
"All of the following are associated with Ketamine, except:",It causes bronchodilation,It causes dissociative anesthesia,It causes nystagmus,Analgesia and amnesia,Bradycardia and hypotension,,,,E,
"The presence of stridor, use of accessory muscles for respiration and substernal and intercostal soft tissue retraction are indications that your sedated patient is in:",A deep plane of anesthesia,Laryngospasm,Bronchospasm,All of the above,,,,,B,
"Nitrous oxide can be a biohazard and potentially harmful to administrators due to long term exposure. Therefore, OSHA and NIOSH established that 50ppm is the maximum exposure limit for personnel in operating rooms and 25ppm is the maximum exposure limit for personnel in the dental setting.",True,False,,,,,,,B,
Nitrous oxide can cause,Leukopenia,Megaloblastic erythropoiesis,Myeloneuropathies,Spontaneous abortion,All of the above,,,,E,
Which stage of anesthesia presents with the most complications?,Stage 1 - Analgesia,Stage 2 - Delirium,Stage 3 - Surgical Anesthesia,None of the above,,,,,B,
The image depicts which type of laryngoscope blade?,Macintosh Blade,Miller Blade,McGrath Blade,Laryngeal Mask Airway,,,,,A,images/painanx-final-spring-2019/fig22.jpeg
A Laryngeal Mask Airway (LMA) is a subglottic device.,True,False,,,,,,,B,
Statement 1: An oropharyngeal airway (OPA) is better tolerated in an awake patient than a nasopharyngeal airway (NPA). Statement 2: The purpose of an OPA and an NPA is to displace the tongue from the pharynx.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,C,
What is the most common first sign of malignant hyperthermia?,Muscle rigidity,Tachycardia,Tachypnea,Fever,Masseter muscle rigidity,,,,E,
Statement 1: triggering agents for malignant hyperthermia are volatile anesthetics and depolarizing muscle relaxant. Statement 2: treatment for malignant hyperthermia is dantrolene.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,A,
"Three dental cartridges of 2% Lidocaine with Epinephrine 1:100,000 contain:",Lidocaine 108 mg and Epinephrine 0.054 mg,Lidocaine 108 mg and Epinephrine 0.036mg,Lidocaine 72 mg and Epinephrine 0.054,Lidocaine 108 mg and Epinephrine 0.54 mg,,,,,A,
Statement 1: both the charged and uncharged form exists simultaneously; Statement 2: only the uncharged form diffuses across nerve membranes,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,A,
Which nerve fibers carry the pain response?,A delta and C Fibers,A beta and C Fibers,A alpha and C Fibers,A Alpha and A beta Fibers,,,,,A,
Which local anesthetics have anti-dysrhythmic properties?,Lidocaine and Septocaine,Lidocaine and Mepivacaine,Lidocaine and Procainamide,Lidocaine and Prilocaine,,,,,C,
"You have a 50kg patient. What is the maximum amount of 2% lidocaine with 1:100,000 epi this patient can receive?",330 mg,350 mg,420 mg,210 mg,,,,,B,
What is the maximum dose of epinephrine (in mg) a patient with cardiovascular disease can receive? Fill in the blank __ ___ mg.,0.04,,,,,,,,FILL,
Which needle would permit easiest aspiration?,#25-gauge needle,#22-gauge needle,#20-gauge needle,#18-gauge needle,,,,,D,
Statement #1: A nerve block anesthetizes a smaller area of hard and soft tissue because the sensory nerves are blocked more proximally compared to a local infiltration technique Statement #2: Bilateral infraorbital nerve blocks will anesthetize the buccal aspects of the maxillary anterior teeth,Statement #1 and statement #2 are both true,"Statement #1 is true, statement #1 is false",Statement # 1 is false and statement #2 is true,Statement # 1 and statement #2 are both false,,,,,C,
Which of the following are proper landmarks for an inferior alveolar nerve block?,Coronoid notch,Ptergyomandibular raphe,Occlusal plane of mandibular posterior teeth,(a) and (b),All of the above,,,,E,
Identify the landmark for a greater palatine nerve block:,"Distal to the second molar, junction between vertical and horizontal hard palate","Distal to the first molar, junction between vertical and horizontal hard palate","Mesial to the second molar, junction between vertical and horizontal hard palate","Distal to the second premolar, junction between vertical and horizontal hard palate",,,,,A,
Statement # 1: a 30 gauge needle has a larger diameter than a 27 gauge needle. Statement #2: a 30 gauge needle has less deflection and easier aspiration than a 27 gauge needle.,Statement #1 and statement #2 are both true,"Statement #1 is true, statement #1 is false",Statement # 1 is false and statement #2 is true,Statement # 1 and statement #2 are both false,,,,,D,
Your patient needs removal of tooth #32. Which one of the following injections is NOT necessary for adequate anesthesia to perform this surgery with proper pain control?,Right inferior alveolar nerve block,Right mental nerve block,Right lingual nerve block,Right buccal nerve block,,,,,B,
A left posterior superior alveolar local anesthetic nerve block is administered along with a left greater palatine nerve block on a patient requiring extraction of #14 and #15 Statement # 1: these injections are adequate for painless removal of tooth #14 Statement #2: these injections are adequate for painless removal of # 15.,Both statement #s 1 &2 are true,"Statement # 1 is true, statement #2 is false","Statement #1 is false, statement #2 is true",Both statement #s 1 &2 are false,,,,,C,
Statement 1: parenteral drugs are absorbed directly from their site of administration into systemic circulation and bypasses the GI tract. Statement 2: Administering intranasal midazolam is an example of a parenteral route.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,A,
The concentration of oxygen in a patient breathing system is measured by a pulse oximeter.,True,False,,,,,,,B,
Please indicate the color of the Left Limb lead,White,Black,Red,Green,,,,,C,images/painanx-final-spring-2019/fig42.jpeg
"A child who has interest in dental procedures and has a good relationship with the dentist, should receive a Frankl behavior score rating of:",1,2,3,4,5,,,,D,
A convenient position in which to thoroughly examine the oral cavity of an 18 month old child is known as:,Lap to lap,Knee to knee,Head in lap,Supine,,,,,B,
Which of the following statements is FALSE?,Individuals who are prescribed opioids prior to graduating high school are 33% more likely to misuse prescription opioids after graduating.,Over half of young adults who misused prescription opioids got them from a friend or family member.,Dependence on prescription opioids can happen after just five days.,Heroin abuse does not occur in patients who previously abused prescription painkillers.,Taking opioids after wisdom teeth removal increases the odds of long term use.,,,,D,
DEA Registration allows dentists to prescribe Schedule C-I Controlled Substances to their patients for pain control.,True,False,,,,,,,B,
Which of the following statements regarding the TCDM Opioid Prescribing Policy is TRUE?,Narcotic analgesics will not be utilized as first line agents for pain control unless special circumstances exist.,Narcotic analgesics can only be prescribed after the prescribing faculty member personally examines and interviews the patient.,Controlled substance prescriptions will only be issued to cover three days of pain control.,Lost or damaged prescriptions will not be re-issued.,Informed consent regarding narcotic analgesics must be obtained from the patient or his/her guardian before these substances are prescribed.,All of the statements in this question are TRUE.,,,F,
"Although a combination of ibuprofen-acetaminophen may be more effective than narcotics for dental pain, the increased incidence of untoward effects makes this combination an impractical analgesic therapy.",True,False,,,,,,,B,
Which of the following patient behaviors/scenarios should NOT be considered a “red flag” that may indicate that a patient is seeking narcotics?,An adult patient needs another adult to stay with them to talk to the dentist.,A patient claims to have multiple allergies to common prescription and over-the counter analgesics.,A patient insists on a specific controlled substance medication.,A patient lives a long distance from the dentist and there are many dentists between their home and the dentist they have chosen.,A patient comes in for a scheduled appointment shortly after the dental office has opened for the day.,,,,E,
"All of the following conditions are potential contraindications for NSAID's, EXCEPT...",Patient with renal disease,Patient on anticoagulation therapy,Patient with gastric ulcer,Patient with allergy to aspirin,Patient with diabetes,,,,E,
