title,GDA Final Exam (Summer 2016),gda,final,"The question about a plane of reference may have an incorrect marked answer in the original source: the same figure is used elsewhere in this question bank to represent the median/sagittal plane, but here the answer key marks the correct answer as coronal. Not yet confirmed with the instructor."
question,option_a,option_b,option_c,option_d,option_e,correct,image
"What does the ""A"" in OSCAR stand for when evaluating and treatment planning for older patients?",Autonomy,Abnormality,Ability,Age,,A,
Which of the following is the biggest risk factor for squamous cell carcinoma?,Age,Heavy alcohol use,Gender,Poor oral hygiene,,B,
Which of the following is shown in the photo?,Attrition,Erosion,Abfraction,Abrasion,,A,images/gda-final-summer-2016/fig31.jpeg
Which of the following is NOT an appropriate treatment for attrition?,Occlusal guard wear,Full coverage crowns,Correction of abnormalities that cause occlusal trauma,Orthodontic treatment,,D,
Which of the following is not a cause of dental erosion?,Toothpick use,Acidic drinks,Acid reflux,Lemons,Bulimia,A,
Which of the following is NOT true regarding root caries in older adults?,Women are effected more than men,Older adults are more likely to have root caries because of increased recession,Glass ioomer is an excellent restorative treatment choice due to its fluroide release,Risk factors include cigarettes and smokeless tobacco,,A,
Which of the following is not a change to the periodontal ligament?,Decreased and more irregular fibroblasts,Decreased organic matrix production,Decreased cell proliferation,Increased stability of teeth due to strengthened PDL,,D,
Which of the following is NOT an appropriate treatment for dry mouth?,Sipping on water or sugarless drinks,Saliva substitutes,Chewing on sugar-free gum or eating sugar-free candy,Eating salty and spicy foods more frequently,,D,
Which complication of denture wear is shown in the photo?,Stomatitis,Candidiasis,Angular Chelitis,Ulcerations,,C,images/gda-final-summer-2016/fig37.jpeg
What is the maximum amount of epinephrine that should be administered when giving local anesthetic to older patients?,0.04 mg epi,0.017 mg epi,0.034 mg epi,0.004 mg,,A,
"A patient presents to your office after falling and hitting their front tooth on the edge of the sink. The tooth is not mobile, there is no displacement and pulp test is positive. Tooth is painful to percussion but there is no bleeding or abnormalities on the radiograph. What is the appropriate term for the diagnosis?",Avulsion,Lateral luxation,Subluxation,Concussion,,D,
Which of the following is NOT an appropriate treatment for an enamel fracture?,Bonding of broken fragment to the tooth,Smoothing of the inicisal edge,Composite restoration,Root canal treatment,,D,
How long should a displaced tooth be splinted?,1 week,2 weeks,2 months,3 weeks,,B,
Which of the following injuries is shown in the figure?,Extrusion,Avulsion,Subluxation,Lateral luxation,,A,images/gda-final-summer-2016/fig42.jpeg
Pulp testing is not needed for which of the following injuries?,Avulsion,Luxation,Concussion,Intrusion,,A,
In lateral luxation there is fracture of the labial or palatal/lingual alveolar bone.,True,False,,,,A,
Primary teeth should always be replanted if they are avulsed before they are ready for exfoliation.,True,False,,,,B,
Which of the following is NOT an appropriate storage medium for an avulsed tooth?,Water,Hank's Balanced Salt Solution,Saliva,Milk,,A,
Which of the following injuries can require root canal treatment?,Enamel Infraction,Enamel-Dentin Fracture,Crown-Root Fracture with Pulp Involvement,Concussion,,C,
Which of the following planes of reference is shown in the figure?,Sagittal,Transverse,Coronal,Lateral,,C,images/gda-final-summer-2016/fig48.jpeg
Which pharyngeal arch is innervated by Cranial Nerve VII?,Arch 1,Arch 2,Arch 3,Arch 4,,B,
What is the derivative of pharyngeal arch 2?,Auditory tube,Palatine tonsils,Thymus,Ultimobranchial body,,B,
Which suture is shown in the photo?,Metopic,Coronal,Sagittal,Lamboidal,,D,images/gda-final-summer-2016/fig51.jpeg
Which are the first primary teeth to erupt?,Mandibular central incisors,Maxillary central incisors,Mandibular canines,Maxillary lateral incisors,,A,
A patient presents to your office and you take the attached clinical photograph. A panoramic film was also taken to confirm that the patient is in fact missing one set of mandibular premolars. The appropriate diagnosis for this patient is what?,Supernumerary teeth,Hyperdontia,Hypodontia,Oligodontia,None of the above,C,images/gda-final-summer-2016/fig53.jpeg
Which of the following statements is true regarding Dentinogenesis Imperfecta?,Teeth are normal in color with decreased translucency,Inherited as an autosomal recessive trait,Relatively common in Asian children,Both deciduous and permanent teeth are usually effected,,D,
An individual is not considered to be in the permanent dentition stage until the third molars have erupted.,True,False,,,,B,
At what age do girls reach the peak of their growth spurt?,10 years old,12 years old,14 years old,8 years old,,B,
What is the gonial angle measurement for a person with a narrow face?,Less than 120 degrees,120-130 degrees,More than 130 degrees,None of the above,,A,
The patient in the photo also has a cleft palate. What is the appropriate classification for this patient?,Class I,Class II,Class III,Class IV,,D,images/gda-final-summer-2016/fig58.jpeg
Topical fluoride should only be applied to patients until the age of 12.,True,False,,,,B,
Which of the following statements is NOT true regarding the occlusal management of the adolescent patient?,Malocclusion is often unimportant and requires no further treatment.,Clinical and radiographic examination of third molars should be made regularly.,TMJD symptoms may increase as stress increases.,Congenitally missing teeth require a long-term treatment plan.,,A,
Which of the following is NOT an etiology of orthodontic problems?,Heredity,Congenital defects,Diet,Abnormal Pressure Habits,None of the above,E,
When is it possible for a patient to exhibit their tongue thrust habit?,When swallowing,During speech,At rest,All of the above,,D,
