title,Intro to Clinical Dentistry Exam 1 (Spring 2018),icd,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
please choose the correct order for proper treatment planning,stabilize>stop disease>restore>temporize,stop disease>stabilize> restore>temporize,restore>temporize> stabilize>stop disease,stop disease>stabilize> temporize>restore,,D,
instrument lists for procedures are used,to prepare all materials needed before the patient is seated,to keep track of missing instruments,to allow clinic partners to learn each other preferences in each procedure,a and c,,D,
"You have just taken a blood pressure measurement on a 25 year old male patient. The measurement was 155/95. The patient reports no history of hypertension, but has not seen a physician in a year. Your next step is:",to advise the patient that he has high blood pressure and needs to see his physician,to retake the BP measurement to make sure it was accurate,to Tell the patient that we cannot treat him today,to call the oral surgery attendant to check out the patient,,B,
an Intraoral screening exam involves all except,soft and hard tissue,buccal mucosa,hard Palate,oropharynx,teeth,E,
Diastolic blood pressure measurement with a manual cuff and stethoscope is accomplished by Inflating the cuff then slowly releasing the air and,listening for the sound of blood flow and counting 3 seconds then recording the measurement,watching the dial and recording when the dial moves,Listening for the first sound of blood flow and recording the measurement,none of the above,,D,
Proper consent means,The patient signed the consent form,the provider reads the consent form to the patient,the provider asks the patient if they read the consent,the provider explains and makes sure the patient understands the consent form that was signed,,D,
Which of the following is not usually a risk factor for dental Pathology?,Smoking,Refined Sugars,Alcohol,Renal disease,Diabetes,D,
Xerostomia reduces the risk of caries:,True,False,,,,B,
Which of these is considered a normal clinical finding?,Odontogenic lesion,Squamous cell cancer,Maxillary torus,None of the above,,C,
Adaptive release on blackboard,allows grades to be released at different times,allows multiple submission of assignment,controls the ability to move to the next assignment,only appears after completion of prior assignments,c and d,E,
the benefits of partnering students in the clinic are,"by assisting, a student can learn as much as the treating student",Continuity of care,partners can help formulate difficult treatment plans,All of the above,,D,
oral risk assessment includes both social and biological factors,True,False,,,,A,
After asking a patient a question the best practice is to:,listen while entering the response on Axium,listen while writing down the response on a pad,think of the follow up question,listen while looking at the patient,,D,
an open ended question is a question,that has a yes or no answer,that is rhetorical,that allows the patient to answer in their own words,has a leading answer,,C,
"Proper use of the support arm of the assistant chair involves,",leaning your elbows on the arm for support,placing the support at your back to support the lower back,using the support arm is not recommended,placing the support arm at the side of you torso to help stabilize your movements without leaning on it,,D,
"to ensure successful treatments, the first stage of treatment planning should be to",determine if the foundation (periodontium) is healthy,determine if teeth are restorable,determine if the patient has the ability to pay for treatment,,,A,
While reviewing your daily schedule in your office you notice that Mr. Blue has a morning appointment and Mrs. Blue has an afternoon appointment. HIPPA Regulation,allows you to discuss appointments of family members,allows you to discuss appointments of family members only if you know they would agree to the disclosure,allows you to discuss appointments only for spouses,Never allows disclosing an appointment even to a spouse,,D,
Treatment notes that are placed in Axium are legal records and cannot be changed once approved,True,False,,,,A,
All are Components of Disease Transmission Except,sufficient source of infecting pathogens,location or medium where organisms are able to multiply such as the blood stream or dental unit water lines.,"route of transmission (hands, surfaces, blood, water, air, droplet spatter, etc)","portal of entry (cuts, punctures, or exposed mucosa)",an intermediary to facilitate pathogen mediation,E,
New patients at Touro Health Clinic are evaluated and categorized for treatment. If the treatment is too complicated for a dental student to treat. The patient is,told that we cannot treat them and should seek treatment elsewhere,assigned to the faculty practice for treatment,referred to an affiliated institution for treatment,b and c,accepted anyway and waits until the dental students get enough experience to treat them.,D,
If a patient treats a student or faculty member rudely then it is acceptable to treat the patient the same way,True,False,,,,B,
Empathizing with a patient can help them open up with details about their medical history,True,False,,,,A,
in Touro Dental Health Clinic Students will not rotate through,Oral Surgery,Pediatrics,Intake,Endodontics,,D,
Cleanup Criteria in Rubrics assess whether stations have been wiped down with wet paper towels after barrier removal.,True,False,,,,B,
