title,Oral Radiology Final Exam (Fall 2018),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
"When taking a panoramic radiograph, if the patient's head is tilted to the patient's left side:","The right side is projected inferiorly, and the left side is projected superiorly","The left side is projected inferiorly, and the right side is projected superiorly","The right side is enlarged in size, and the left side is reduced in size","The left side is enlarged in size, and the right side is reduced in size",B,
Which of the following is an ADVANTAGE of panoramic radiography?,Broad coverage of the facial bones and teeth,Useful in patients with trismus or maxillomandibular fixation,Low patient dose,All of the answer choices are advantages,D,
The enamel and dentin of teeth appear _____ in CBCT. The enamel and dentin of teeth appear _____ in MRI.,bright; dark,dark; bright,dark; dark,bright; bright,A,
Which of the following is the most appropriate way to describe a bright white spot on an MRI?,Radiopaque,Hyperdense,High signal,Bony,C,
The following radiograph is best described as a:,PA (Posterior-anterior) radiograph,Waters view radiograph,Lateral cephalometric radiograph,Lateral oblique radiograph,A,images/oralrad-final-fall-2018/fig21.jpeg
The following radiograph is best described as a:,PA (Posterior-anterior) radiograph,Waters view radiograph,Lateral cephalometric radiograph,Lateral oblique radiograph,D,images/oralrad-final-fall-2018/fig22.jpeg
Which of the following choices is the BEST use of CBCT?,To evaluate the position of wisdom teeth relative to the mandibular canals,To evaluate ensure the patient gets no radiation during the radiographic examination,To evaluate the buccinator muscle (soft tissue),To screen an asymptomatic patient for dental caries,A,
The black (hypodense) line indicated by the red arrows would be best described as:,Beam-hardening artifact,A fracture,Osteomyelitis,Mandibular canal,A,images/oralrad-final-fall-2018/fig24.jpeg
Universal precautions dictates that we should:,treat all human blood and certain human body fluids as if they were known to be infectious,use extra barriers when treating patients with known infectious diseases,treat saliva but not blood as potentially infectious,treat blood but not saliva as potentially infectious,A,
It is recommended to use ____________ to prevent contamination of the x-ray exposure button imaging patients.,sterilization,a disposable barrier AND a disinfectant wipe,a disinfectant wipe,a disposable barrier,B,
Elderly patients are more likely than the general population to have muscle tremors.,True,False,,,A,
All of the following are TRUE regarding a papoose board EXCEPT for one. Which is the EXCEPTION?,Papoose boards prevent erratic patient movements which could risk injury of the patient or the doctor,Papoose boards are manufactured in both child and adult sizes,Papoose boards are recommended when treating any pediatric patient,Papoose boards can potentially cause emotional scarring but may allow the dentist to accomplish an important dental procedure,C,
All of the following are TRUE regarding pediatric radiography EXCEPT for one. Which is the EXCEPTION?,Pediatric patients may have trouble sitting still for a radiographic exposure.,Pediatric patients may respond well to “tell-show-do”.,Pediatric patients may require firm guidance to help them through the procedure.,Pediatric patients may be yelled at forcefully to show them who is the boss,D,
Each of the following about different patient populations in radiography is true EXCEPT for one. Which is the EXCEPTION?,Patients have the right to refuse a radiographic examination.,Elderly patients generally have poorer neuromuscular control.,Pediatric patients generally have trouble sitting still for long periods of time.,Patients with motor dysfunction always have an intellectual disability (ID),D,
Dental caries that is limited to the enamel is known as:,incipient decay,gross decay,root decay,apical periodontitis,A,
Xerostomia is best defined as:,root caries,decreased salivary flow,generalized calculus,a caries-free mouth,B,
The MOST TYPICAL location of INERPROXIMAL dental caries is:,on the root surface,at or slightly apical to the contact point,at or slightly coronal to the contact point,buccal or lingual surfaces,B,
"When evaluating for alveolar bone loss, one should look to see if the bone level is more than 0.5 to 2.0 apical to the ___________.",dentinoenamel junction,cementoenamel junction,root apex,interproximal height of contours,B,
The following image demonstrates:,Periodontal bone loss only,Calculus only,Both periodontal bone loss and calculus,Neither periodontal bone loss nor calculus,A,images/oralrad-final-fall-2018/fig35.jpeg
One of the EARLIEST signs of periodontal bone loss is:,Loss of crestal cortication,Horizontal bone loss,Vertical bone loss,Calculus formation,A,
"When teeth are connected by cementum only, the condition is known as:",Fusion,Concrescence,Gemination,Dilaceration,B,images/oralrad-final-fall-2018/fig37.jpeg
The dental terminology for teeth which have changed places is:,Transposition,Impaction,Dilaceration,Macrodontia,A,
The dental terminology for a smaller-than-normal tooth is:,Hypodontia,Microdont,Oligodontia,Dilaceration,B,
Hutchinson's incisors and Mulberry Molars are associated with which of the following condition:,Amelogenesis imperfecta,Dentinogenesis imperfecta,Syphilis,Gonorrhea,C,
Which of the following conditions describes one tooth splitting into two teeth?,Fusion,Gemination,Concrescence,Touro-dontism,B,
Which of the following conditions is depicted in the radiograph below?,Pulp stones,Calculus,Turner's teeth,Taurodontism,D,images/oralrad-final-fall-2018/fig42.jpeg
"In an orbital blowout fracture, which wall has the greatest tendency to fracture?",Superior wall / roof,Inferior wall / floor,Medial wall,Lateral wall,B,
Which type of dental injury has the worst prognosis?,Concussion,Intrusion,Extrusion,Lateral luxation,B,
Vertical root fractures have a worse prognosis than horizontal root fractures.,True,False,,,A,
Osteonecrosis is MOST likely to result from:,A periapical infection,Periodontal disease,An impacted tooth,Xerostomia,A,
Which of the following disease entities is associated with a periosteal bone reaction?,Lateral luxation,Periodontal disease,Dental caries,Osteomyelitis,D,
Which of the following best describes the radiographic appearance of osteomyelitis?,Radiolucent,Radiopaque,Mixed radiolucent/radiopaque,Neither radiolucent nor radiopaque,C,
The bony aspects of the TMJ are best evaluated with a ______. The disc is best evaluated with a ________.,CBCT / MRI,MRI / CBCT,Panoramic / CBCT,MRI / Panoramic,A,
Happy 2019! Your first fall semester is just about over! (Note: Any answer choice to this question will give you full credit.),Thank you!,"No way, don't you know how many other exams we have?",Rumors say spring semester is more difficult :(,We earned another break!,D,
