title,Intro to Implants Exam 2 (Spring 2021),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What design considerations are inconsequential when fabricating an implant surgical guide?,Whether the surgical plan will be pilot vs. fully-guided,Making the guide as thin as possible so it can fit in the patient’s mouth,Limiting the number of implants per guide,"Making the guide as thin as possible so it can fit in the patient’s mouth, and limiting the number of implants per guide",,,D,
Radiographic materials in surgical assist guides helped the surgeon visualize the patients bone architecture.,TRUE,FALSE,,,,,B,
The reasons clinicians take the time to complete digital implant surgical planning include:,It allows for visualization and avoidance of important anatomical landmarks,One can plan the position of the implant based on the desired final prosthetic,It best ensures no surprises the day of surgery,All of the answers,,,D,
A tissue-supported surgical guide is less predictable than a tooth-supported guide.,TRUE,FALSE,,,,,A,
Which of the following data sets is not required for digital implant surgical planning?,CBCT scan,Surface scan,3D facial scan,,,,C,
What is the goal of digital implant surgical planning ?,Digital implant surgical planning visualizes the amount of bone available to determine the position of the final restoration,Digital implant surgical planning is prosthetically driven to ensure proper placement of an implant based on the desired final restoration,Digital implant surgical planning let’s the surgeon know if he can achieve primary stability of the planned implants,,,,B,
What materials can be 3D printed for digital implant prosthetics?,Titanium,Bone,Surgical Guide Material,,,,C,
Cement-retained implant crowns are preferred to screw-retained implant crowns because they minimize the risk for peri-implantitis.,TRUE,FALSE,,,,,B,
Why would you elect to restore an implant with a cement-retained crown?,Because the implant angulation was unfavorable to the final case aesthetics,To ensure the restoration lasts longer,Because a two-part system has enhanced retention,,,,A,
What removable pre-surgical prosthetics can be manufactured when digitally planning an implant surgery?,Maryland Bridge,Screw-retained provisional,Essix Appliance,All of the answers,,,C,
Which statement is TRUE?,Scan streams make sure the implant position is accurately recorded,The scan stream requires you to complete the scan flag scan before the emergence profile scan,You need to focus on limiting image count in the emergence profile scan so enough images are remaining at your disposal for the scan flag scan,,,,C,
What is a scan flag used for?,It’s the prosthetic component that records the position of an implant relative to the surrounding dentition in the design software,It’s the software that is used in completing a digital implant impression,It’s the flag you wave at your row instructor when you are lost and need help finishing your digital implant impression,,,,A,
Which scan is optional in a TRIOS digital implant impression?,The pre-prep scan,The emergence profile scan,The scan flag scan,The antagonist scan,The bite scan,"The pre-prep scan, and the emergence profile scan",F,
Which statement is FALSE?,Immediate provisionalization involves placement of a temporary restoration at the time of surgery on an implant out of all occlusal contacts,Immediate loading refers to provisionalizing an implant(s) where it is in function,There is less risk of implant failure when immediate loading an implant because being in function stimulates osseointegration,,,,C,
