title,Pain & Anxiety Control Exam 2 & 3 (Spring 2019),painanx,exam23
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"During administration of local anesthesia to perform an extraction of tooth #5, the bevel of the needle should be directed away from the periosteum at the apex of the tooth.",True,False,,,,,,B,
"You need to perform scaling and root planning on teeth #s 2, 3, 4 &5. Which one of the following injections WILL NOT help to provide adequate anesthesia?",Posterior superior alveolar nerve block on the right side,Greater palatine nerve block on the right side,Mental nerve block on the right side,Middle superior nerve block on the right side,Supplemental infiltration on the palatal aspects of teeth #'s 4 &5.,,,C,
When administering a posterior superior alveolar nerve block the needle is advanced,45 degrees from the occlusal plane,20 degrees from the occlusal plane,Parallel to the occlusal plane,90 degrees from the occlusal plane,,,,A,
You are preparing to perform endodontic therapy on tooth #11 using a rubber dam. Which combination of injections will provide adequate pulpal and soft tissue anesthesia?,Infiltration #11 on the buccal combined with a greater palatine nerve block,"Infraorbital nerve block on the left, combined with infiltration of the palatal mucosa adjacent to #11","Posterior alveolar nerve block on the left, combined with infiltration of the palatal mucosa adjacent to #11",Nasopalatine nerve block combined with greater palatine nerve block on the left.,,,,B,
You are preparing to extract an upper right third molar tooth. Which combination of injections will provide adequate anesthesia?,Right inferior alveolar nerve block and buccal nerve block,Right middle superior nerve block and palatal infiltration adjacent to #1,Right posterior superior nerve block and palatal infiltration adjacent to #16,Right posterior superior nerve block and right greater palatine nerve block,Right infraorbital nerve block and right greater palatine nerve block,,,D,
"You are preparing to perform deep scaling and root planning on the maxillary anterior teeth #'s 6 - 11. You proceed to perform maxillary anterior buccal infiltrations with local anesthesia. Now you are ready to anesthetize the palatal tissues in this region. To reduce the pain associated with palatal injections, which one of the following is the best technique?",Use topical anesthesia on the palatal tissues for 5 minutes instead of the usual 2-3 minutes,"Infiltrate the interdental papilla between #8 and #9 from the buccal, then gradually administer the local anesthesia in steps on the palatal mucosa, inserting the needle into areas that are anesthetized","Perform a nasopalatine nerve block and administer quickly, to rapidly anesthetize the nasopalatine nerve",All of the above techniques must be performed,,,,B,
A nasopalatine nerve block will provide anesthesia to which areas?,The palatal mucosa of teeth #s 2 through 15,The palatal mucosa of teeth #s 3 through 14,The palatal mucosa of teeth #s 4 through 13,The palatal mucosa of teeth #s 6 through 11,,,,D,
The proper technique for administering a right greater palatine nerve block requires placement of the needle,Just distal to #1 and below the junction of the vertical and horizontal hard palate,Just distal to #2 and above the junction of the vertical and horizontal hard palate,Just distal to #2 and at the junction of the vertical and horizontal hard palate,Just distal to #3 and at the junction of the vertical and horizontal hard palate,,,,C,
Statement #1: A nerve block anesthetizes a larger area of hard and soft tissue because the sensory nerves are blocked more proximally compared to a local infiltration technique Statement #2: Bilateral infraorbital nerve blocks will anesthetize the buccal aspects of the maxillary anterior teeth,Statement #1 and statement #2 are both true,"Statement #1 is true, statement #1 is false",Statement # 1 is false and statement #2 is true,Statement # 1 and statement #2 are both false,,,,A,
You are preparing a patient for extraction of tooth # 10. Which of the following injection techniques will provide adequate anesthesia,Left infraorbital nerve block with left greater palatine nerve block,Left buccal infiltration at apex of #10 and left greater palatine nerve block,Left infraorbital nerve bock and left posterior superior alveolar nerve block,Left buccal infiltration at apex of #10 and left palatal infiltration at #10,,,,D,
"You are preparing a patient for extraction of teeth #s 2, 4, 5, &7. Which combination of injections will provide adequate anesthesia?","Maxillary buccal infiltrations at the apices of #s 2, 4, 5, &7 along with a nasopalatine nerve block","Right posterior superior alveolar nerve block, maxillary buccal infiltrations at the apices of #s 2, 4, 5, 7, right greater palatine nerve block and palatal infiltrations at the apices of #s 5 and 7.","Right posterior superior alveolar nerve block, right buccal nerve block, right greater palatine nerve block","Right posterior superior alveolar nerve block, right greater palatine nerve block, nasopalatine nerve block",,,,B,
A patient presents with a right canine space abscess requiring incision and drainage of the infection and removal of tooth # 5. Which combination of injections is most likely to provide adequate anesthesia?,Maxillary infiltration at apex of #5 along with palatal infiltration at site #5,Maxillary right infraorbital nerve block,"Right V2 nerve block using either the greater palatine canal approach or pterygomaxillary fissure approach, combined with supplemental infiltration of local anesthesia around the periphery of the abscess",Right inferior alveolar nerve block combined with right posterior superior nerve block and palatal infiltration at site #5,,,,C,
Which one of the following IS NOT an effective way of informing your patient prior to administration of local anesthesia?,“I will be giving you a shot with a needle that will take away your pain”,“I will be giving you a topical paste on the gum which will help take away some of the sting from the injection and I will check to make certain that you feel no discomfort prior to starting the procedure”,"“If you have any discomfort during the procedure, just raise your hand and I will stop and do what is needed to make you comfortable”","“I will be giving you an injection which will take away discomfort, but will not affect touch or vibration”",,,,A,
"Statement #1: when administering an inferior alveolar nerve block, the coronoid notch represents the horizontal plane to guide proper needle placement Statement #2: when administering an inferior alveolar nerve block, the area just lateral to the pterygomandibular raphe represents the vertical plane to guide proper needle placement.",Both statement #s 1 and 2 are true,"Statement #1 is true, statement #2 is false","Statement # 1 is false, statement #2 is true",Both statement #s 1 and 2 are false,,,,A,
"You administer a right inferior alveolar nerve block, lingual nerve block and buccal nerve block for the removal of an impacted tooth #32. You proceed to perform the procedure and the patient indicates that they are having pain. What is your next step?",Proceed with the surgery and inform the patient that they are feeling pressure not pain,Administer local anesthesia to the right mylohoid nerve and the periodontal ligament of #32,Administer local anesthesia to the right mental nerve,Provide supplemental anesthesia to the right buccal nerve,,,,B,
The third division of the Trigeminal Nerve exits the skull base at the:,Foramen Ovale,Foramen Rotundum,Foramen Spinosum,Stylomastoid Foramen,,,,A,
Statement #1: The chorda tympani nerve travels with the lingual nerve to transmit impulses that provide taste sensation Statement # 2: The chorda tympani nerve originates proximally from cranial nerve V,Both statement #s 1 and 2 are true,"Statement #1 is true, statement #2 is false","Statement # 1 is false, statement #2 is true",Both statement #s 1 and 2 are false,,,,B,
The lingual nerve is responsible for sensory input to the following areas EXCEPT:,Buccal mucosa,Lingual gingiva,Floor of the mouth,Lateral tongue,,,,A,
"During a routine dental procedure in which you are performing a DO restoration on tooth # 21, an instrument accidently slips, resulting in a laceration of the lower left lip oral mucosa. Due to the significant bleeding, you decide to suture the wound. Which local anesthetic technique will permit you to perform this wound repair?",Lingual nerve block,Buccal nerve block,Right inferior alveolar nerve block,Left mental nerve block,,,,D,
You are performing pulpotomies on teeth #'s 20 and 24. You perform a left inferior alveolar nerve block using Lidocaine 36 mg with Epinephrine 0.018 mg and the patient is very comfortable during the procedure on #20. You then proceed to do the pulpotomy on #24 and the patient complains of pain. The reason for this is:,The local anesthetic effect from the nerve block was wearing off,You need to provide supplemental anesthesia with a lingual nerve block on the left side,"There is cross over sensory innervation from branches of the left and right incisive nerves, necessitating supplemental local infiltration at site #24.",You need to perform bilateral inferior alveolar nerve blocks on a routine basis when you provide anesthesia to teeth #s 24 and 25.,,,,C,
"Statement #1: A local anesthetic infiltration on the buccal of tooth # 26 will usually provide adequate anesthesia for an extraction of this tooth. Statement #2: A local anesthetic infiltration on the buccal of tooth #26 will usually provide adequate anesthesia for scaling a root planing of the mesiobuccal, facial and distobuccal tissues of this tooth.",Both statement #s 1 and 2 are true,"Statement #1 is true, statement #2 is false","Statement # 1 is false, statement #2 is true",Both statement #s 1 and 2 are false,,,,C,
You need to perform deep scaling and root planing of teeth #s 27 to 31 on a patient who has significant periodontal disease. Which combination of injections will provide adequate anesthesia?,Right inferior alveolar nerve block and buccal infiltration,"Right inferior alveolar neve block, buccal infiltration and lingual nerve block",Right posterior superior alveolar nerve block and buccal infiltration,"Right posterior superior alveolar nerve block, buccal infiltration and lingual nerve block",,,,B,
"You perform an inferior alveolar nerve block to remove tooth #32. As you insert the needle, you notice that you get resistance to advancing because the needle tip has contacted the bone a depth of 1/3 of the length of a long #27 gauge needle. When this occurs what should you do?",Aspirate and inject the contents of the local anesthetic because your landmarks are correct.,Withdraw the needle and inform the patient that they have abnormal anatomy and you cannot remove the tooth,Withdraw the needle slightly and direct the barrel of the syringe over the mandibular left molar teeth then advance the needle until you contact the mandible 2/3 the length of the needle.,Withdraw the needle slightly and direct the barrel of the syringe medially over the mandibular incisor teeth then advance the needle until you contact the mandible 2/3 the length of the needle.,,,,D,
"You are performing a left inferior alveolar nerve block, lingual nerve block and buccal nerve block to achieve pain control for an endodontic procedure on #19. The correct technique for performing the inferior alveolar nerve and lingual nerve blocks is which of the following?","After you have injected 1.5 ml of local anesthetic for the inferior alveolar nerve block, you withdraw the needle a few mm so that ½of the needle is remaining in the tissue, then you rapidly inject the remaining 0.3 ml of local anesthetic.","After you have injected 1.5 ml of local anesthetic for the inferior alveolar nerve block, you withdraw the needle a few mm so that ½of the needle is remaining in the tissue, you aspirate to determine if you are in a blood vessel then you inject the remaining 0.3 ml of local anesthetic.",You inject 1.8 ml of the local anesthetic posterior to the site of the mandibular foramen.,You aspirate and then inject 1.8 ml of local anesthetic directly at the site of the mandibular foramen.,,,,B,
Which of the following local anesthetic techniques is useful when a patient has very limited mouth opening and requires a dental procedure on #31?,V2 nerve block using a pterygomaxillary fissure approach,Gow Gates mandibular nerve block,Auriculotemporal nerve block,Vazirani-Akinosi mandibular nerve block,,,,D,
"You need to determine the site and source of pain from an individual who has left sided facial pain. You think that it is mostly coming from the temporomandibular joint, but you are not certain. You decide to perform a diagnostic nerve block to determine the site and source of the pain. Which injection would be most useful?",V2 nerve block using a pterygomaxillary fissure approach,Gow Gates mandibular nerve block,Auriculotemporal nerve block,Vazirani-Akinosi mandibular nerve block,,,,C,
Which nerve block(s) provide regional anesthesia to predominantly soft tissues,Lingual nerve,Buccal nerve,Inferior alveolar nerve,Incisive nerve,(a) and (b),(c) and (d),All of the above,E,
Which injection technique provides regional anesthesia to all sensory branches of V3?,Gow Gates mandibular nerve block,Inferior alveolar nerve block + Lingual nerve block,Vazirani-Akinosi mandibular block,Mental nerve block,,,,A,
Which of the following are proper landmarks for an inferior alveolar nerve block?,Coronoid notch,Ptergyomandibular raphe,Occlusal plane of mandibular posterior teeth,(a) and (b),All of the above,,,E,
Statement #1: The buccal nerve is a branch of the posterior division of V2 Statement #2: The buccal nerve is anesthetized during an inferior alveolar nerve block.,The first statement is true; the second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,,C,
Your patient has a non restorable #19 and presents to your practice for an extraction. You have given an inferior alveolar nerve block. Your patient then begins complaining that they cannot close their left eye and their upper lip is beginning to droop. What happened?,The facial nerve has been blocked,The posterior superior alveolar nerve has been blocked,The infraorbital nerve has been blocked,"None of the above, that is a common after an inferior alveolar nerve block",,,,A,
"A 32 year old female patient presents to your office with a limited mouth opening (20 mm, the breadth of one finger). She complains of pain and points to her right TMJ. She also points to her right masseter muscle and reports the feeling of muscle spasms occurring as the day progresses. You review the radiograph and determine that tooth #30 has a periapical lucency and is non restorable due to the amount of tooth structure remaining and the crown to root ratio. The treatment plan is extraction of #30. What injection technique(s) would be appropriate for this patient?",Vazirani-Akinosi Mandibular Block,Extraoral Right Auriculotemporal Nerve Block,Extraoral local anesthetic trigger injections into the right masseter muscle,(a) and (b),(a) and (c),All of the above,,F,
The correct terminology for pulpal anesthesia in maxillary teeth is:,Subperiosteal injection,Local infiltration,Supraperiosteal injection,Nerve block,,,,C,
Tooth #3 has mesial occlusal caries requiring a restoration. What nerves do you need to anesthetize for proper pain control?,Posterior Superior Alveolar nerve block,Middle Superior Alveolar nerve block,Anterior superior Alveolar nerve block,(a) and (b),(a) and (c),,,D,
The target area for the Posterior Superior Nerve block is ________ and the bevel of the needle is oriented _______.,"Posterior, superior, and medial to the posterior border of the maxilla; AND oriented toward bone.","Posterior, inferior, and distal to the posterior border of the maxilla; AND oriented toward bone.","Posterior, superior, and medial to the posterior border of the maxilla; AND oriented away from bone.","Posterior, inferior, and distal to the posterior border of the maxilla; AND oriented away from bone.",,,,A,
The Middle Superior Alveolar Nerve Block anesthetizes which teeth?,Pulp of maxillary first premolar,Pulp of maxillary second premolar,Mesial buccal root of the first molar,(a) and (b),All of the above,,,E,
"The anterior superior alveolar nerve block can anesthetize the lower eyelid, lateral aspect of the nose and upper lip?",True,False,,,,,,A,
Where do you insert the needle to perform an anterior superior alveolar nerve block?,Over the maxillary first premolar,Distal aspect of the canine,Between the maxillary first and second premolar,Over the maxillary second premolar,,,,A,
The greater palatine foramen is most frequently located:,Distal to the maxillary second molar,Distal aspect of maxillary third molar,Distal to the maxillary first molar,None of the above,,,,A,
The Anterior Middle Superior Alveolar Nerve block is described as:,A field block of the terminal branches of the ASA nerve,A field block of the terminal branches of the MSA nerve,A field block of the terminal branches of the PSA nerve,All of the above,,,,A,
