title,Clinical Oral Radiology Exam 2 (Fall 2020),coralrad,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What plane is this?,Axial,Coronal/Frontal,Sagittal,,,,C,
Which of the following best describes the internal structure of the lesion apical to tooth #3?,"Hypodense, like air",Isodense with (the same density as) soft tissues,"HYPERdense, like bone","HYPERdense, like restorative material",,,B,
Which of the following best describes the borders of the lesion apical to tooth #3?,Well-defined,Poorly-defined,,,,,A,
Which of the following best describes the borders of the lesion apical to tooth #3?,Corticated,Non-corticated,,,,,A,
Which of the following best describes the shape of the lesion apical to tooth #3?,Oval,Irregular,Scalloped,Rectangular,,,A,
"Based on the radiographic presentation of the lesion apical to tooth #3, which of the following is the most likely origin of the lesion?",Formed inside of the right maxillary sinus,Formed from the apex of tooth #3,,,,,B,
A bony defect is present. Where is this defect located?,Right buccal mandible,Right lingual mandible,Left buccal mandible,Left lingual mandible For following 5 questions:,,,D,images/coralrad-exam2-fall-2020/fig22.jpeg
"One tooth, depicted in all 3 slices, has a lesion. What is the number of this tooth?",#3,#14,#19,#30,,,A,
"One tooth, depicted in all 3 slices, has a lesion. Which of the following best describes the location of the lesion?",Associated with the tooth’s buccal roots,Associated with the tooth’s palatal/lingual roots,Associated with the tooth’s crown,,,,A,
"One tooth, depicted in all 3 slices, has a lesion. Which of the following BEST describes the internal structure of the lesion?",Hypodense,HYPERdense,Air,Multilocular,,,A,
"One tooth, depicted in all 3 slices, has a lesion. Which of the following BEST describes the borders of the lesion?",Well-corticated,"Corticated on most, but not all, sides",Non-corticated,,,,B,
"One tooth, depicted in all 3 slices, has a lesion. Which of the following is the BEST impression?",Periodontal defect,Dental caries,Mucous retention pseudocyst,Apical periodontitis (periapical lesion) For following 3 questions:,,,D,images/coralrad-exam2-fall-2020/fig27.jpeg
Tooth #30 typically has how many roots?,1,2,3,4,,,B,
"Upon examining #30 closely, you note that there is an extra, unobturated lingual root. You also not that #30 has one mesial root with two canals. Based on this information, how many roots does tooth #30 have in this case?",1,2,3,4,,,C,
One other tooth in this image has undergone root canal treatment. What is the number of this tooth?,#27,#28,#29,#31,,,B,
Which of the lines indicates the alveolar crest?,The line labeled “A”,The line labeled “B” For following 2 questions:,,,,,A,images/coralrad-exam2-fall-2020/fig31.jpeg
Which of the paranasal sinuses are visualized in this image?,Maxillary,Ethmoid,Sphenoid,Frontal,,,A,
Which of the visualized paranasal sinuses is ABNORMAL?,Patient’s left,Patient’s right For following 2 questions:,,,,,A,images/coralrad-exam2-fall-2020/fig33.jpeg
What plane is this?,Axial,Coronal/Frontal,Sagittal,,,,C,
"Please note that mesial and distal are labeled with M and D, respectively. Tooth #30 has undergone root canal treatment. Which root has a periapical hypodensity?",Mesial,Distal,,,,,A,
Which of the following TMJ degenerative changes is MOST apparent in the image?,Flattening,Expansion,Erosion,Crepitus,,,A,images/coralrad-exam2-fall-2020/fig36.jpeg
Which of the following TMJ degenerative changes is MOST apparent in the image?,Flattening,Sclerosis,Erosion,Disc displacement,,,C,images/coralrad-exam2-fall-2020/fig37.jpeg
An entity isodense with (the same density as) soft tissue is noted on the floor of the maxillary sinuses. Note how it follows the walls of the sinus. Which of the following is the BEST impression?,Nasal polyps,Mucosal thickening,Mucous-retention pseudocyst,Frothy mucus For following 2 questions:,,,B,images/coralrad-exam2-fall-2020/fig38.jpeg
Structures A and B are most likely:,Ghost images,Extraction sockets,Periapical lesions,Supernumerary teeth,,,B,
"Structure C, which runs through the mandible, is known as the:",Mandibular canal,Mental foramen,Mandibular foramen,Mental canal For following 4 questions:,,,A,images/coralrad-exam2-fall-2020/fig40.jpeg
The visualized TMJ has some erosive changes.,True,False,,,,,A,
The visualized TMJ has some sclerotic changes.,True,False,,,,,A,
The visualized TMJ has some flattening.,True,False,,,,,A,
The visualized TMJ has some anterior osteophyte formation.,True,False For following 3 questions:,,,,,A,images/coralrad-exam2-fall-2020/fig44.jpeg
Which of the paranasal sinuses is indicated by the YELLOW color?,Maxillary,Ethmoid,Sphenoid,Frontal,,,A,
Which of the paranasal sinuses is indicated by the MAGENTA/PURPLE/PINK color?,Maxillary,Ethmoid,Sphenoid,Frontal,,,B,
Which of the paranasal sinuses is indicated by the GREEN color?,Maxillary,Ethmoid,Sphenoid,Frontal,,,C,
