title,Pain & Anxiety Control Exam 1 (Spring 2019),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which nerve fibers are sensory for pain?,C and A-alpha,C and A-beta,C and A-delta,A-delta and A-alpha,A-delta and A-beta,C,
The Gate Control Theory of Pain describes how touch and vibration sensations can further stimulate pain impulses at the dorsal root ganglion resulting in the perception of increased pain levels through transmission to the cerebral cortex.,True,False,,,,B,
The structures within a peripheral nerve that represent the greatest barriers to the diffusion of local anesthetics are the,Endoneurium,Epineurium,Fascicles,Epineural sheath,Perineurium,E,
Statement #1: dental experiences early in life can produce dental phobia Statement #2: patients with dental phobias are at higher risk for life threatening infections of the head and neck,"Statement #1 is true, Statement #2 is true","Statement #1 is true, Statement #2 is false","Statement #1 is false, Statement #2 is true","Statement #1 is false, Statement #2 is false",,A,
The transmission of pain impulses from the periphery to the cerebral cortex involves the following EXCEPT:,Noxious stimuli from the periphery transmitted by neurons to the dorsal root ganglion (lumbar &thoracic dermatomes) or the trigeminal nucleus caudalis (head),"Impulses synapse at the dorsal root ganglion or trigeminal nucleus caudalis, and ascend ipsilaterally to the thalamus","Impulses synapse at the dorsal root ganglion or trigeminal nucleus caudalis, cross over and ascend contralaterally to the thalamus",Impulses synapse at the ventral posteromedial nucleus of the thalamus to the cerebral cortex where the impulse is perceived as pain,,B,
"A 25-year-old female presents with a chief complaint of severe pain in the upper right posterior region of her mouth. She reports that the pain has increased in severity over the past several days. The patient indicates that she is in agony but has avoided coming to the dentist because she had a bad experience in the past. When she was 8 years old, she fell on her front tooth and had the tooth pulled, which she recalls was a very painful experience. The past medical history is negative. She recalls being “allergic to dental local anesthesia” as it gives her heart palpitations. Your examination reveals no extraoral or neck swelling. Intraorally there is a partially erupted upper left third molar which is inclined buccally. You notice that there is what seems to be a traumatic ulceration of the upper left buccal mucosa immediately adjacent to the malpositioned upper left third molar (#16). You obtain a panoramic radiograph which reveals the partially erupted #16 as well as partial bony impacted teeth #'s 1, 17 &32. You inform the patient that her diagnosis is a non-functional, malpositioned upper left third molar causing a traumatic ulcer of the adjacent buccal mucosa. What is the best treatment plan for this phobic dental patient who is in severe pain?","Surgical removal of teeth #'s 1, 16, 17 &32 under local anesthesia.",Surgical removal of tooth #16 under general anesthesia and refer her to a hospital dental clinic.,Surgical removal of tooth #16 under local anesthesia supplemented with nitrous oxide and oxygen inhalation sedation with frequent reassurances that you will repeatedly check to determine if she is has any discomfort,Surgical removal of teeth #'s 16 and 17 under local anesthesia.,,C,
"A 25-year-old female presents with a chief complaint of severe pain in the upper right posterior region of her mouth. She reports that the pain has increased in severity over the past several days. The patient indicates that she is in agony but has avoided coming to the dentist because she had a bad experience in the past. When she was 8 years old, she fell on her front tooth and had the tooth pulled, which she recalls was a very painful experience. The past medical history is negative. She recalls being “allergic to dental local anesthesia” as it gives her heart palpitations. Your examination reveals no extraoral or neck swelling. Intraorally there is a partially erupted upper left third molar which is inclined buccally. You notice that there is what seems to be a traumatic ulceration of the upper left buccal mucosa immediately adjacent to the malpositioned upper left third molar (#16). You obtain a panoramic radiograph which reveals the partially erupted #16 as well as partial bony impacted teeth #'s 1, 17 &32. You inform the patient that her diagnosis is a non-functional, malpositioned upper left third molar causing a traumatic ulcer of the adjacent buccal mucosa. Regardless of your best recommendations, the patient informs you that she must get treated today, because she is a rock singer going on tour tomorrow and this is her big chance to become rich and famous. You obtain informed consent for the removal of the tooth. What is the initial local anesthetic of choice?",3% Mepivacaine,"2% Lidocaine with Epinephrine 1:100,000","2% Lidocaine with Epinephrine 1:50,000","4% Articaine with Epinephrine 1:100,000",,A,
"A 25-year-old female presents with a chief complaint of severe pain in the upper right posterior region of her mouth. She reports that the pain has increased in severity over the past several days. The patient indicates that she is in agony but has avoided coming to the dentist because she had a bad experience in the past. When she was 8 years old, she fell on her front tooth and had the tooth pulled, which she recalls was a very painful experience. The past medical history is negative. She recalls being “allergic to dental local anesthesia” as it gives her heart palpitations. Your examination reveals no extraoral or neck swelling. Intraorally there is a partially erupted upper left third molar which is inclined buccally. You notice that there is what seems to be a traumatic ulceration of the upper left buccal mucosa immediately adjacent to the malpositioned upper left third molar (#16). You obtain a panoramic radiograph which reveals the partially erupted #16 as well as partial bony impacted teeth #'s 1, 17 &32. You inform the patient that her diagnosis is a non-functional, malpositioned upper left third molar causing a traumatic ulcer of the adjacent buccal mucosa. You discover that the only local anesthetic available in your office is 3% Mepivacaine. You perform a left posterior superior alveolar nerve block, administering the anesthesia very slowly and in stages to minimize pain. After the administration of 2 dental cartridges, you believe that you have achieved adequate anesthesia to perform the procedure. What dose of anesthesia has the patient received?",Mepivacaine 54 mg,Mepivacaine 36 mg,Mepivacaine 108 mg,Mepivacaine 72 mg,,C,
"A 25-year-old female presents with a chief complaint of severe pain in the upper right posterior region of her mouth. She reports that the pain has increased in severity over the past several days. The patient indicates that she is in agony but has avoided coming to the dentist because she had a bad experience in the past. When she was 8 years old, she fell on her front tooth and had the tooth pulled, which she recalls was a very painful experience. The past medical history is negative. She recalls being “allergic to dental local anesthesia” as it gives her heart palpitations. Your examination reveals no extraoral or neck swelling. Intraorally there is a partially erupted upper left third molar which is inclined buccally. You notice that there is what seems to be a traumatic ulceration of the upper left buccal mucosa immediately adjacent to the malpositioned upper left third molar (#16). You obtain a panoramic radiograph which reveals the partially erupted #16 as well as partial bony impacted teeth #'s 1, 17 &32. You inform the patient that her diagnosis is a non-functional, malpositioned upper left third molar causing a traumatic ulcer of the adjacent buccal mucosa. As you proceed with the surgery, the patient informs you that she is having significant pain. You check again and conclude that she is not just responding to pressure, and that she indeed is not adequately anesthetized. You administer an additional 2 cartridges and she continues to have pain. To this point, the patient has received a total of 4 dental cartridges of 3% Mepivacaine. The patient weighs 108 lbs. What is the maximum number of ADDITIONAL cartridges of 3% Mepivacaine can you administer to this patient without giving more than the maximum recommended dose?",5 dental cartridges,4 dental cartridges,3 dental cartridges,2 dental cartridges,1 dental cartridge,D,
"A 25-year-old female presents with a chief complaint of severe pain in the upper right posterior region of her mouth. She reports that the pain has increased in severity over the past several days. The patient indicates that she is in agony but has avoided coming to the dentist because she had a bad experience in the past. When she was 8 years old, she fell on her front tooth and had the tooth pulled, which she recalls was a very painful experience. The past medical history is negative. She recalls being “allergic to dental local anesthesia” as it gives her heart palpitations. Your examination reveals no extraoral or neck swelling. Intraorally there is a partially erupted upper left third molar which is inclined buccally. You notice that there is what seems to be a traumatic ulceration of the upper left buccal mucosa immediately adjacent to the malpositioned upper left third molar (#16). You obtain a panoramic radiograph which reveals the partially erupted #16 as well as partial bony impacted teeth #'s 1, 17 &32. You inform the patient that her diagnosis is a non-functional, malpositioned upper left third molar causing a traumatic ulcer of the adjacent buccal mucosa. You eventually get the patient adequately anesthetized to remove the tooth painlessly. However, 5 minutes after you complete the procedure the patient complains of significant pain. Which one of the following factors DOES NOT account for the rapid onset of this pain?",Mepivacaine is a vasodilator,"The duration of pulpal anesthesia for Mepivacaine is short, often only 5-10 minutes",The is no vasoconstrictor in the local anesthetic,The tissues in the region of the surgery were very inflamed and vascular,Mepivacaine caused tachycardia,E,
"A 78 year-old elderly man requires removal of multiple maxillary teeth. He has no pain, but the teeth are quite mobile and there is a significant periodontitis with inflammation and bleeding. The patient has renal insufficiency and has been told that he will be a candidate for dialysis within the next year. He has chronic hypertension that is well controlled with medications. He has no other medical problems. You obtain written medical clearance from his physician that he may undergo the procedure under local anesthesia. The preoperative blood pressure is 130/85 and he has taken his blood pressure medications. The patient weighs 125 lbs. You proceed to administer local anesthesia using Lidocaine 144 mg and Epinephrine 0.054mg. How many dental cartridges did you use?",1 dental cartridge,2 dental cartridges,3 dental cartridges,4 dental cartridges,5 dental cartridges,D,
"A 78 year-old elderly man requires removal of multiple maxillary teeth. He has no pain, but the teeth are quite mobile and there is a significant periodontitis with inflammation and bleeding. The patient has renal insufficiency and has been told that he will be a candidate for dialysis within the next year. He has chronic hypertension that is well controlled with medications. He has no other medical problems. You obtain written medical clearance from his physician that he may undergo the procedure under local anesthesia. The preoperative blood pressure is 130/85 and he has taken his blood pressure medications. The patient weighs 125 lbs. You find it difficult to get the patient adequately anesthetized. The most likely reason(s) for this is",The vascular inflamed tissues have a low pH,There is rapid uptake of the local anesthetic into the systemic circulation,You didn't administer enough Epinephrine,Only a &c are correct,Only a &b are correct,E,
"A 78 year-old elderly man requires removal of multiple maxillary teeth. He has no pain, but the teeth are quite mobile and there is a significant periodontitis with inflammation and bleeding. The patient has renal insufficiency and has been told that he will be a candidate for dialysis within the next year. He has chronic hypertension that is well controlled with medications. He has no other medical problems. You obtain written medical clearance from his physician that he may undergo the procedure under local anesthesia. The preoperative blood pressure is 130/85 and he has taken his blood pressure medications. The patient weighs 125 lbs. You administer additional local anesthetic adding Lidocaine 108 mg and Epinephrine 0.054 mg. The patient begins to slur his speech, develop tremors and feel dizzy. What is the most likely reason for this reaction?",Early signs of local anesthetic toxicity,Hypertension,Anxiety,Allergic reaction,All of the above are correct,A,
"A 78 year-old elderly man requires removal of multiple maxillary teeth. He has no pain, but the teeth are quite mobile and there is a significant periodontitis with inflammation and bleeding. The patient has renal insufficiency and has been told that he will be a candidate for dialysis within the next year. He has chronic hypertension that is well controlled with medications. He has no other medical problems. You obtain written medical clearance from his physician that he may undergo the procedure under local anesthesia. The preoperative blood pressure is 130/85 and he has taken his blood pressure medications. The patient weighs 125 lbs. What is the effect of renal insufficiency on the administration of dental local anesthesia?",Higher systemic blood levels,Reduced effectiveness of the local anesthetic,Reduced duration of the local anesthetic,Increased risk of fainting,,A,
"A 78 year-old elderly man requires removal of multiple maxillary teeth. He has no pain, but the teeth are quite mobile and there is a significant periodontitis with inflammation and bleeding. The patient has renal insufficiency and has been told that he will be a candidate for dialysis within the next year. He has chronic hypertension that is well controlled with medications. He has no other medical problems. You obtain written medical clearance from his physician that he may undergo the procedure under local anesthesia. The preoperative blood pressure is 130/85 and he has taken his blood pressure medications. The patient weighs 125 lbs. The patient eventually starts to feel better with the resolution of the abnormal reaction described (question 23). The blood pressure remains stable. You have completed 50% of the planned surgical procedure. The patient is not adequately anesthetized to finish the entire procedure. How should you proceed?","Administer additional local anesthesia using 2% Lidocaine with Epinephrine 1:100,000 to complete the procedure","Defer completion of the procedure, contact the patient's physician and plan for shorter procedures at the next visit",Administer additional local anesthesia using 3% Mepivacaine to complete the procedure,Call 911,,B,
