title,Pathomedicine Exam 1 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,correct,image
Statement 1: The flipping of phosphatidylserine from the inner leaflet to the outer leaflet of the cell membrane enables recognition of apoptotic cells for phagocytosis. Statement 2: Apoptotic cells secrete soluble factors that recruit phagocytes.,Both statements are true,Bother statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,A,
Mallory bodies are identified in:,Alcoholic liver disease,Disrupted neuronal cytoskeletons,The proximal convoluted tubule,Plasma cell cytoplasm,Exogenous pigment,A,
Lipofuscin represents:,A wear-and-tear pigment that is a marker of long-term free radical injury,An inhaled pollutant,Endogenous pigment that provides UV protection,Iron deposited in tissue due to systemic overload,Calcium phosphate deposited during inflammatory processes,A,
Telomerase primarily functions in:,Shortening the DNA at linear ends of chromosomes during each successive cell division in somatic cells,Maintenance of telomere length in germ and stem cells,Inducing necrosis,Decreasing the longevity of cell lines,None of the above,B,
"All of the following represent management strategies for drug-related gingival overgrowth, EXCEPT one. Which one is the EXCEPTION?",Medication cessation,Frequent cleanings,Oral hygiene,Excision (gingivectomy),Radiation therapy,E,
Statement 1: The key white blood cell in acute inflammation is the neutrophil. Statement 2: The key white blood cells in chronic inflammation are lymphocytes and macrophages.,Both statements are true,Bother statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,A,
Which of the following represents the correct sequence of events (as taught in module 2.1)?,Injury to tissue -> transient constriction of microcirculation -> dilation of microcirculation -> increase in the permeability of microcirculation -> fluid leaving the microcirculation -> increase in blood viscosity -> decrease in blood flow -> movement of white blood cells into tissue to perform their function,Injury to tissue -> dilation of microcirculation -> increase in the permeability of microcirculation -> transient constriction of microcirculation -> fluid leaving the microcirculation -> increase in blood viscosity -> decrease in blood flow -> movement of white blood cells into tissue to perform their function,Transient constriction of microcirculation -> injury to tissue -> dilation of microcirculation -> increase in the permeability of microcirculation -> fluid leaving the microcirculation -> increase in blood viscosity -> decrease in blood flow -> movement of white blood cells into tissue to perform their function,,,A,
Statement 1: Toll-like receptors and the inflammasome function to recognize pathogens. Statement 2: The inflammasome functions to deactivate IL-1.,Both statements are true,Bother statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,C,
A transudate has a lower protein content compared to an exudate.,True,False,,,,A,
"All of the following induce a short-lived (15-30 minute) increase in vascular permeability, EXCEPT one. Which one is the EXCEPTION?",Histamine,Bradykinin,Leukotrienes,IL-1,,D,
Statement 1: Transmigration is the process by which white blood cells firmly attach to the endothelial surface. Statement 2: Transmigration is mediated by PECAM-1 (CD31).,Both statements are true,Bother statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,D,
Statement 1: Lymphocytes may be the first white blood cell to arrive in viral infections. Statement 2: Eosinophils may be the first white blood cell to arrive in hypersensitivities.,Both statements are true,Bother statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,A,
Which of the following are utilized by white blood cells to kill pathogens?,Bactericidal permeability-increasing protein,Lysozyme,Major basic protein,Defensins,All of the above,E,
"Chediak-Higashi syndrome is an inherited disease in which a genetic mutation impairs the fusion of lysosomes with phagosomes, rendering a specific white blood cell unable secrete lytic granules. Which white blood cell is affected in this disease?",Memory B cell,Neutrophil,Macrophage,Cytotoxic T cell,Monocyte,D,
Which of the following is considered an infectious cause of a defect in white blood cells?,Human immunodeficiency virus,Radiation therapy,Chemotherapy,Chronic granulomatous disease,Leukocyte adhesion deficiency type I,A,
"All of the following represent cell-derived mediators of inflammation, EXCEPT one. Which one is the EXCEPTION?",C3a,Histamine,Prostaglandins,Reactive oxygen species,Cytokines,A,
Statement 1: Thromboxane TXA2 is a potent platelet aggregator and vasoconstrictor. Statement 2: Prostaglandin PGL2 is potent inhibitor of platelet aggregation and a vasodilator.,Both statements are true,Bother statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,A,
Which of the following is NOT considered a primary cytokine of acute inflammation?,IL-1,IL-6,TNF,IL-8,,D,
Which of the following diseases can be caused by alpha-1-antitrypsin deficiency?,Emphysema,Chronic granulomatous disease,Tuberculosis,Hypertrophic scar (keloid),Hereditary angioedema,A,
"Which class of chemical mediator is most directly involved in the processes of fever, pain and vasodilation?",Thromboxanes,Prostaglandins,Leukotrienes,Chemokines,Reactive oxygen species,B,
"All of the following represent anti-inflammatory mediators, EXCEPT one. Which one is the EXCEPTION?",IL-10,TGF-beta,Tyrosine phosphatases,IL-8,,D,
"A patient presents to the dental clinic for comprehensive care. She reports a medical history of fatty liver disease, and a social history of consuming purple drank, consuming alcohol, smoking tobacco, and smoking marijuana. The patient denies a history of diabetes, elevated fasting blood glucose, obesity, hypertension and elevated triglycerides. Which aspect of her history is most likely responsible for her fatty liver disease?",Purple drank use,Tobacco smoking,Marijuana smoking,Alcohol use,,D,
"All of the following represent settings of chronic inflammation, EXCEPT one. Which one is the EXCEPTION?",Persistent infections,Immune-mediated inflammatory diseases,Prolonged exposure to potentially toxic agents,There are no exceptions on this list,,D,
See attached image. Macrophages were involved in the producing of this patient's scar tissue (indicated by the arrow). Which of the following were most likely involved in the activation of these macrophages?,IL-4,Microbial products,IL-1,IFN-gamma,Nitric oxide,A,images/patho-legacy-fall-2018-1/fig39.jpeg
In which of the following clinical scenarios is granulomatous inflammation least likely to be present?,Tuberculosis infection,Syphilis infection,Crohn disease,Wound healing with the presence of granulation tissue,Sarcoidosis,D,
NSAIDs reduce fever by inhibiting the activity of a specific class of enzymes. Which of the following represents this class of enzymes?,Cyclooxygenases,Lipoxygenases,Phospholipases,Endonucleases,Caspases,A,
Which of the following represents a tissue that is considered to be nonproliferative in postnatal life?,Cardiac muscle,Surface mucosa,Smooth muscle,Tissue of the liver,Bone marrow,A,
Which of the following diseases are caused by a genetic defect in collagen?,Ehlers-Danlos,Osteogenesis imperfecta,Marfan syndrome,A and B,B and C,D,
Which of the following represent the primary function(s) of elastin?,Recoil and return to baseline following physical stress,Provide compressibility to tissues and reservoir for growth factors,Bind ECM components together and attach cells to integrin,Attachment of cells to the underlying extracellular matrix,Provision of tensile strength,A,
"You are preparing tooth #30 for a full-coverage restoration using a diamond shoulder burr. As you remove the handpiece from the patient's oral cavity to view your work, you inadvertently run the rotating burr lightly across his lower lip. The patient's lower lip begins to bleed immediately. You apply pressure with gauze to the area to help make the bleeding stops (achieve hemostasis). The patient had no sensation from the injury. You had anesthetized the area with a mandibular block injection. He did not seem too phased by the injury. You are worried that you may have induced a cosmetic defect. You called the patient that evening to check on how he was feeling. He reported no bleeding since he left the dental clinic and that the area was slightly sensitive, but not painful. Two weeks later the patient presents for the crown insertion. You are happily surprised to see that the lip appears totally normal with no signs that it was ever injured. You ask the patient if he had done anything to help the lip injury in the healing process. He stated that it was sensitive, but he did nothing and it healed on its own. Which of the following most likely represents an accurate statement regarding the degree of injury to his lip?","The injury passed all the way down to the muscle, destroying significant amounts of epithelium, basement membrane and underlying connective tissues","The injury destroyed the epithelium, but left most of the basement membrane intact","The injury passed all the way down to the bone, destroying significant amounts of epithelium, basement membrane, underlying connective tissues and muscle",,,B,
Which of the following are components of granulation tissue?,Fibroblasts,Delicate capillaries,White blood cells,Loose extracellular matrix,All the above,E,
Which of the following changes are expected as a scar progresses through the remodeling process?,Increase in angiogenesis,Increase in proliferation of fibroblasts,Increased deposition of collagen,Increased collagen degradation,None of the above,C,
"See attached image. You are considering extracting tooth #30 versus completing root canal therapy in this patient: Introduction (Intro): Presents for comprehensive care. History of Present Illness (HPI): Reports to have neglected his teeth for a few years and would like to get them repaired. Medical History (MedHx): Denies. Medications (Meds): Denies. Allergies: No known drug allergies (NKDA) Social History (SocHx): Denies. PhysEx: Regional H&N: Extraoral Exam (EOE): No extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and negative for clinically detectible temporomandibular joint dysfunction. Intraoral Exam (IOE): All oral mucosal surfaces including the upper and lower labial mucosae, gingiva, tongue, FOM, bilateral buccal mucosae, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: Tooth #30 demonstrates periapical radiolucencies on the mesial and distal root apices each measuring approximately 0.4 x 0.4 cm. Clinical impressions/patient conversation: Not provided. Tx: Not provided. Rx: Not provided. NV: Not provided. If you choose to extract #30, which of the following factors is most likely to be a cause of delayed healing?",Infection,Nutrition,Pressure and torsion at the wound site,Location of the injury,Smoking,A,
"See attached image. If you make the decision to extract tooth #30 from this patient and do not place sutures, what type of healing do you anticipate? Introduction (Intro): Presents for comprehensive care. History of Present Illness (HPI): Reports to have neglected his teeth for a few years and would like to get them repaired. Medical History (MedHx): Denies. Medications (Meds): Denies. Allergies: No known drug allergies (NKDA) Social History (SocHx): Denies. PhysEx: Regional H&N: Extraoral Exam (EOE): No extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy and negative for clinically detectible temporomandibular joint dysfunction. Intraoral Exam (IOE): All oral mucosal surfaces including the upper and lower labial mucosae, gingiva, tongue, FOM, bilateral buccal mucosae, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate and clinically visible oropharynx appeared healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Radiographic exam: Tooth #30 demonstrates periapical radiolucencies on the mesial and distal root apices each measuring approximately 0.4 x 0.4 cm. Clinical impressions/patient conversation: Not provided. Tx: Not provided. Rx: Not provided. NV: Not provided.",Healing by first (primary) intention,Healing by second (secondary) intention,,,,B,
Why should you avoid prescribing aspirin to children?,Risk of bleeding from TXA2 inhibition,It is an expensive medication,Risk of Reye syndrome,It is an ineffective reliever of pain,,C,
