title,Pathomedicine Exam 4 (Fall 2023),patho,exam4
question,option_a,option_b,option_c,option_d,correct,image
"What is the term for dense, reactive bone formation around periapical lesions in the setting of apical periodontitis?",Osteosarcoma,Chronic osteomyelitis,Condensing osteitis,Involucrum,C,
What is the most common joint disorder?,Reactive arthritis,Rheumatoid arthritis,Osteoarthritis,Gout,C,
How do monosodium urate crystals (MUSCs) cause joint injury in gout?,Reduction of bone density,Activation of the immune response and subsequent inflammation,Increased production of synovial fluid,Direct damage to joint cartilage without an immune response,B,
Which joint is most commonly affected in the first attack of acute gouty arthritis?,Knee joint,Metatarsophalangeal joint (big toe),Elbow joint,Wrist joint,B,
Where is the pituitary gland located?,Within the sella turcica,Above the hypothalamus,Within the fourth ventricle,Adjacent to the pineal gland,A,
Which condition can result from an adenoma in the anterior pituitary?,Diabetes insipidus,Gigantism,Addison's disease,Myxedema,B,
"If a growth hormone-producing adenoma occurs after the closure of growth plates, it may cause:",Gigantism,Dwarfism,Acromegaly,Cushing's syndrome,C,
What hormones are primarily produced by the adrenal cortex?,Insulin and glucagon,Thyroxine and triiodothyronine,Catecholamines (epinephrine and norepinephrine),"Glucocorticoids, mineralocorticoids, and sex steroids",D,
Which condition is characterized by an excess of cortisol production?,Addison's disease,Cushing's syndrome,Conn syndrome,Pheochromocytoma,B,
All of the following are clinical features of Cushing syndrome EXCEPT one. Which one is the EXCEPTION?,Hypertension,Central obesity with moon facies and buffalo hump,Decreased muscle mass with peripheral wasting,Hyperpigmentation,D,
Which of the following best describes Conn syndrome?,Chronic excess secretion of catecholamines,Solitary aldosterone-secreting neoplasm,Decreased renal perfusion,Neurovascular abnormalities,B,
Hyperaldosteronism can lead to which of the following clinical features?,Hypokalemia due to renal potassium wasting,Hyperkalemia due to renal potassium retention,Hypoglycemia due to excess insulin,Hypernatremia due to decreased sodium reabsorption,A,
Which of the following is a clinical feature of Addison's disease due to primary adrenal insufficiency?,Hyperpigmentation of skin and mucosa,High serum ACTH levels,Lack of hyperpigmentation seen in secondary adrenocortical insufficiency,None of the above,A,
What triggers an adrenal crisis in patients with chronic adrenal insufficiency?,Long-term administration of high-dose steroids,Stress that taxes physiological reserves,High ACTH levels,Hyperpigmentation,B,
Which of the following conditions is associated with massive adrenal hemorrhage?,Addison disease,Waterhouse-Friderichsen syndrome,Adrenal adenoma,Cushing's syndrome,B,
Thyrotoxicosis is a condition characterized by:,Low levels of circulating T3 and T4,High levels of circulating T3 and T4,An underactive sympathetic nervous system,Decreased basal metabolic rate,B,
All of the following are clinical manifestations of hyperthyroidism EXCEPT one. Which one is the EXCEPTION?,Weight gain,Palpitations and tachycardia,"Nervousness, tremor, and irritability",Diarrhea and malabsorption,A,
Which of the following laboratory findings is typically associated with the diagnosis of primary hyperthyroidism?,Increased serum TSH and decreased T3/T4,Increased serum TSH and increased T3/T4,Decreased serum TSH and increased T3/T4,Decreased serum TSH and decreased T3/T4,C,
The most common cause of hypothyroidism worldwide is:,Autoimmune destruction,Genetic defects,Hypothalamic disease,Dietary deficiency of iodine,D,
All of the following are clinical features of myxedema in hypothyroidism EXCEPT one. Which one is the EXCEPTION?,Generalized apathy and mental sluggishness,Heat intolerance and excessive sweating,Cold intolerance and obesity,Coarsening of the facial features,B,
Which of the following lab values would support a diagnosis of primary hypothyroidism along with decreased T3/T4?,Serum TSH is decreased,Serum TSH is increased,Serum TSH falls within a normal range,Serum TSH levels are irrelevant in making the diagnosis of primary hypothyroidism,B,
What is the most common cause of hypothyroidism in areas of the world with sufficient iodine levels?,Subacute granulomatous thyroiditis,Subacute lymphocytic thyroiditis,Riedel thyroiditis,Hashimoto thyroiditis,D,
Subacute granulomatous thyroiditis (de Quervain thyroiditis) is thought to be caused by:,Bacterial infection,Autoimmune response,Viral illness or inflammatory process,Genetic predisposition,C,
What is a common clinical feature of Hashimoto thyroiditis?,Painless enlargement of the thyroid,Severe neck pain,Recurrent fever and night sweats,Rapid onset of symptoms,A,
What is the most common thyroid malignancy?,Anaplastic carcinoma,Medullary thyroid carcinoma,Papillary thyroid carcinoma,Follicular adenoma,C,
What is the most common benign neoplasm of the thyroid?,Anaplastic carcinoma,Medullary thyroid carcinoma,Papillary thyroid carcinoma,Follicular adenoma,D,
Which of the following neoplasms demonstrates amyloid on histopathology?,Anaplastic carcinoma,Medullary thyroid carcinoma,Papillary thyroid carcinoma,Follicular adenoma,B,
Osteitis fibrosis cystica and brown tumor are seen in conjunction with which of the following?,Primary hyperparathyroidism,Secondary hyperparathyroidism,Primary hyperthyroidism,Secondary hyperthyroidism,A,
Primary hyperparathyroidism is most commonly caused by which of the following?,Adenoma,Primary hyperplasia,Carcinoma,Vitamin deficiency,A,
Chvostek's sign is a clinical manifestation of which of the following conditions?,Hyperparathyroidism,Hypoparathyroidism,Hyperthyroidism,Hypothyroidism,B,
"According to the guidelines from the JADA study regarding patients on long-term glucocorticoid therapy, what is the advised protocol for steroid management before elective minor oral surgery if their medical conditions are well-controlled?",Increase steroid dose preoperatively,Maintain current steroid regimen without changes,Cease steroid use preoperatively,Transition to a different medication preoperatively,B,
What did the JADA study on steroid supplementation find regarding periprocedural adverse events in patients on long-term glucocorticoid therapy undergoing minor oral surgical procedures?,Significant increase in adverse events,Complete absence of adverse events,Low incidence of adverse events,No relationship between adverse events and glucocorticoid therapy,C,
