title,Preclinical Pediatric Dentistry Final Exam (Spring 2022),pedo,final
question,option_a,option_b,option_c,option_d,correct,image
Which statement is true regarding Apexification?,"It is performed on young, immature, permament teeth with closed apices",It is considered vital pulpal therapy,Root end closure is accomplished with an apical barrier such as MTA,It allows for continued root formation,C,
Lime-lite is a protective liner that promotes pulp tissue healing and tertiary dentin formation and is indicated for direct placement on an exposed pulp of carious primary molars.,True,False,,,B,
"Based on the picture below, what best represents the chronological age for this baby?",3 months,6 months,9 months,11 months,D,images/pedo-final-spring-2022/fig31.jpeg
"Statement 1: Nitrous oxide/oxygen inhalation is a pharmacological behavior management technique used to reduce anxiety, produce analgesia and enhance effective communication between the patient and the dentist. Statement 2: It is indicated for use on an anxious, cooperative child undergoing lengthy dental procedures.",The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements true.,Both statements are false.,C,
Before administering an inferior alveolar nerve block to a three-year-old patient it is important to remember:,the mandibular foramen is lower than in an adult,the mandibular foramen is at the same level as an adult,the mandibular foramen is higher than in an adult,an inferior alveolar nerve block is not indicated in a three-year-old patient,A,
A 3-year-old boy requires a pulpotomy and stainless steel crown on #K and an extraction of # L. What answer best describes the local anesthesia required?,inferior alveolar nerve block with 3% mepivacaine,"local infiltration with 2% lidocaine with 1:100,000 epinephrine","inferior alveolar nerve block with 2% lidocaine with 1:100,000 epinephrine",local infiltration with 4% articaine,C,
The most commonly prescribed systemic antibiotics for children with odontogenic infections include:,Penicillin V Potassium and Amoxicillin,Penicillin V Potassium and Erythromycin,Clindamycin and Azithromycin,Both A and C,D,
The following considerations are important to remember when prescribing antibiotics for a 5-year-old:,"As a general rule, you can just prescribe one-half the adult dose",Most children are more complaint when the medication is given twice daily,Most children are unable to swallow capsules therefore the prescription is written for a suspension or chewable tablet,Both B and C,D,
This picture was taken about one hour after this five-year-old was treated at his dentist for restorations on #K and #L. What is the most likely cause of this soft tissue trauma?,A bisulfate allergy,Child abuse,A self-inflicted lip injury,pressure to the lip from the rubber dam,C,images/pedo-final-spring-2022/fig37.jpeg
What percentage of children in the US are diagnosed with a mental health disorder?,50%,20%,40%,15%,B,
A 3 year old patient presents to your office with a fever and these lesions. What is your diagnosis and treatment plan?,Herpangina; Amoxicillin,Primary Herpetic Gingivostomatitis; supportive therapy,Herpangina; supportive therapy,Primary Herpetic Gingivostomatits; Amoxicillin,B,images/pedo-final-spring-2022/fig39.jpeg
"If an orthodontist sends a prescription, written in the Palmer notation, to extract the upper left D, which tooth are they asking you to extract?",I,J,K,H,A,
Statement 1: The timing of primary tooth eruption is more important than the sequence of eruption. Statement 2: A 2 year old child who lives in a home with unfluoridated well water should receive a 0.5mg fluoride supplement from his dentist.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,D,
All of the following are indications for placement of dental sealants except:,"Deep, retentive pits and fissures",Radiographic interproximal caries,Poor oral hygiene,High caries risk,B,
Use of the rubber dam may be contraindicated in all of the following except:,a patient who is claustrophobic or congested,a partially erupted tooth,an anxious or nervous child,all of the above,C,
The frequency of sugar ingestion is more important than the quantity of sugar ingested.,True,False,,,A,
Which of the following statements is true regarding the transmission of dental caries?,Transmission is mainly from the mother/ primary care giver and is referred to as horizontal transmission.,Transmission is mainly from siblings/ friends and is referred to as vertical transmission.,Transmission is mainly from the mother/ primary care giver and is referred to as vertical transmission.,Transmission is mainly from the siblings/ friends and is referred to as horizontal transmission.,C,
"The maximum dose of 2% lidocaine with 1:100,000 epinephrine that can safely be used on a pediatric patient is calculated using:",4.4 mg/kg,4.4 mg/lb,3.4 mg/kg,3.4 mg/lb,A,
Which teeth are circled?,A; H,C; J,6; 14,B; K,B,images/pedo-final-spring-2022/fig47.jpeg
Which of the following describes Epstein Pearls:,Trapped epithelial remnants located on the midpalatal raphe,Mucous gland tissue located on the alveolar ridge,Remnants of dental lamina located on the crest of the alveolar ridge,White nonadherent papules and plaques on the tongue,A,
Which pulp horn is the most prominent in primary teeth?,Mesiobuccal,Mesiolingual,Distobuccal,Distolingual,A,
All of the following are contraindications to nitrous oxide/ oxygen administration except:,Severe emotional disturbances,History of asthma,Upper respiratory infection,Otitis media,B,
All of the following are goals of behavior guidance except:,"Building trust between the dental team, child and parent",Delivering quality dental care,Always keeping the parent out of the operatory,Promoting positive attitude towards care,C,
A band and loop space maintainer is an example of what type of appliance?,Bilateral passive,Bilateral active,Unilateral passive,Unilateral active,C,
Which factor is not necessary to consider when creating a caries management plan for a pediatric patient?,Caries risk,Diagnostics,Necessity of restorations,None of the above,D,
What form of fluoride is not included in a caries management plan for a 7 year old patient with a high caries risk who lives in an optimally fluoridated community?,SDF on cavitated lesions,Fluoride supplements,Brushing with 0.5% fluoride gel/ paste,Professionally appplied topical fluoride treatment every three months,B,
"A patient presents to your office in pain with an abscessed tooth J and a temperature of 100.9. You are unable to perform immediate definitive treatment. What medication/ dosage would you prescribe assuming she has a noncontributory medical history, no known allergies and she weighs 45 pounds.",Amoxicillin 200mg/ 5ml bid X 10 days,Amoxicillin 500mg/ 5ml tid X 10 days,Amoxicillin 400mg/ 5ml tid X 10 days,Amoxicillin 400mg/ 5ml bid X 10 days,D,
A 4-year-old who presents to your office for a new patient exam who is cautious but able to sit and get her exam and prophylaxis completed would benefit from which behavior guidance techniques?,"Tell Show Do, Protective Stabilization, Distraction","Nitrous Oxide, Distraction, Voice Control","Tell Show Do, Distraction, Positive Reinforcement","Tell Show Do, Protective Stabilization, Positive Reinforcement",C,
"A 4 year old who presents to your office crying, fearful, will not get in the chair, and refuses treatment should be given which Frankl score?",F0,F1,F3,F4,B,
A 5 year old female with a noncontributory medical history presents to your general practice office for a new patient examination. It is her first time at the dentist and she is extremely fearful and keeps putting her hands over her mouth and crying. You manage to take these X-rays. What is the best method of delivering comprehensive care?,Refer to a pediatric dentist for care under general anesthesia,Wait and monitor the lesions until she gets older,Prescribe prevident toothpaste,Papoose the patient in your operatory and complete all work in one day,A,
A 5 year old female with a noncontributory medical history presents to your general practice office for a new patient examination. It is her first time at the dentist and she is extremely fearful and keeps putting her hands over her mouth and crying. Which statement represents the most ideal restorations for the primary molars in this patient?,"A- MO resin, B- DO resin, I- pulp/SSC, J-MO resin, K- LSTR/ SSC, L- extraction, S- extraction, Tpulp/ SSC","A-SDF, B-SDF, I-MOD resin, J-SDF, K- LSTR/ SSC, L- pulp/ SSC, S- pulp/SSC, T- SSC","A- MO resin, B- DO resin, I- pulp/ MOD resin, J- MO resin, K- LSTR/ SSC, L- pulp/ DO resin, Spulp/ DO resin, T- SSC","A-SDF, B-SDF, I- extraction, J-SDF, K- LSTR/ SSC, L- extraction, S- extraction, T- extraction",A,
A 5 year old female with a noncontributory medical history presents to your general practice office for a new patient examination. It is her first time at the dentist and she is extremely fearful and keeps putting her hands over her mouth and crying. Does the patient above require space maintenance? If so... what space maintenance should be used?,No space maintenance necessary,2 band and loops,Lower lingual holding arch,2 distal shoes,B,
