title,PCOD II Final Exam (Spring 2018),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
The difference in the bonding mechanism to tooth structure for a composite and a glass ionomer (GIC) is:,"the bond of composite to dentin is chemical, and GIC to dentin is micromechanical","the bond of composite to dentin is micromechanical, and GIC to dentin is chemical","the bond of composite to enamel is chemical, and GIC to enamel is micromechanical",there is no difference between the bond of composites and GIC to tooth structure,none of the above,B,
"For a lingual approach Class III composite preparation, the facial margin is beveled:",when the facial margin extends into the facial embrasure,whenever the gingival margin is beveled,whenever the lingual margin is beveled,all of the above,none of the above,A,
A facial approach Class III composite preparation is used only when:,a carious lesion is visually evident from the facial view,the lingual wall is intact with no visual evidence of a carious lesion,the proximal carious lesion is only evident on a radiograph and not visually evident,a and b,all of the above,D,
"In a lingual approach Class III composite preparation, retention is achieved by:",preparing the gingival and incisal walls parallel to each other,beveling and bonding the lingual cavosurface margin,beveling the facial cavosurface margin,a and c,all of the above,A,
The buccal and lingual walls of the proximal box of a Class II MOD composite preparation should not be:,divergent,parallel,convergent,all of the above,none of the above,A,
Marginal breakdown (loss of marginal seal) of an amalgam restoration may be due to:,solubility,refraction,corrosion,aborption,adsorption,C,
Which of the following restorative materials has a compressive strength approximately equal to the compressive strength of tooth enamel?,amalgam,composite,glass ionomer,cast gold,porcelain,A,
The elastic modulus is a measurement of:,the toughness of a restorative material,the ductility of a restorative material,the yield strength of a restorative material,the stiffness of a restorative material,plastic deformation of a restorative material,D,
The amount of stress exerted on a restoration by an opposing tooth cusp depends on:,the occlusal contact area of the opposing cusp on the restoration,the strength of the masseter muscle,the proximity of the tooth to the TMJ,all of the above,none of the above,D,
Tensile strength measurements are useful when evaluating:,wear resistance of restorations against natural tooth structure,elastic modulus of restorative materials in function,bond strength of restorative materials to tooth structure,resistance of restorative materials to occlusal crushing forces,strength of the masseter muscle,C,
What clinical property does “compressive strength” relate to?,the burnishability of the margins of a gold crown,the ability of a restorative material to resist crushing forces during mastication,the flexure of a three-unit bridge in function,the retention of a restorative material,none of the above,B,
The clinical performance of a restorative material depends on:,its chemical and physical properties,its composition and microstructure,the manner in which it is placed by the dentist,a and b only,all of the above,E,
"When a material is being considered for the restoration of a large occlusal area of a second molar, a major consideration should be its:",tensile strength,shear strength,compressive strength,percent elongation,flexural strength,C,
Which of the following physical and chemical properties can affect the abrasive wear of a restoration in function?,hardness,thermal expansion,passivation,compressive strength,elastic modulus,A,
A composite hardens primarily by what mechanism?,acid-base reaction,polymerization reaction,gelation,hydrogen bonding,evaporation,B,
In which of the following clinical situations would a conventional glass ionomer be the material of choice as a restorative material?,Class IV restorations of permanent teeth.,Restoration of deciduous teeth in a pediatric patient with rampant caries.,Restoration of root caries in an adult.,b and c,all of the above,D,
Which of the following has the greatest amount of fluoride release?,resin modified glass ionomer,glass ionomer,compomer,all are the same,,B,
Which of the following statements is true?,An inlay replaces tooth structure within the cusp tips of the tooth,An onlay replaces one or more cusps of the tooth,A crown replaces the entire exterior surface of the tooth,b and c,all of the above,E,
The advantage of using a ceramic onlay restoration vs. a gold onlay restoration is:,the ceramic onlay does not fatigue,the ceramic onlay cementation is not as technique sensitive,the ceramic onlay is softer than the opposing natural enamel,all of the above,none of the above,E,
In order to achieve a bond between a ceramic onlay and the natural tooth structure:,the onlay is etched with hydrofluoric acid and the tooth is etched with phosphoric acid,the onlay is etched with phosphoric acid and the tooth is etched with hydrofluoric acid,both the onlay and tooth are etched with phosphoric acid,both the onlay and tooth are etched with sulfuric acid,none of the above,A,
Indications for cast gold onlays include:,low caries rate,areas of the mouth where esthetics are important,high stress areas,a and c,none of the above,D,
The major difference between a cast gold onlay preparation and a ceramic onlay preparation is (are):,"the internal line angles of the cast gold onlay preparation are round, and for the ceramic onlay they are sharp","the axio-pulpal line angle of the cast gold onlay preparation is round, for the ceramic it is sharp","the cavosurface margin of the cast gold onlay prep is beveled, and for the ceramic it is a butt joint","the internal walls of the cast gold onlay prep are divergent, for the ceramic they are convergent",all the above,C,
The non-working side shelf is a characteristic of which type of preparation?,the ceramic inlay prep,the ceramic onlay prep,the cast gold inlay prep,the ceramic inlay prep,none of the above,B,
A provisional restoration is fabricated in order to:,provide for protection of the pulp,prevent tooth movement,maintain occlusion,prevent food impaction,all of the above,E,
Retention of a ceramic inlay or onlay restoration is derived from:,parallelism of the internal walls of the preparation,convergence of the axial wall of the preparation,slots and grooves in the pulpal and gingival floor of the preparation,the cementation procedure,all of the above,D,
A 200 pound male patient comes to your office with a medium sized area of decay on the lingual surface of tooth #14. What would be the best restorative material for this situation?,composite,glass ionomer,amalgam,gold onlay,ceramic onlay,C,
A geriatric patient comes to your office with root surface decay in most of his anterior and posterior teeth and complains that his mouth often feels very dry. You determine that this is due to psychotropic medications that he is taking that have a side effect of chronically severely reducing his saliva flow. The best material for restoring the carious lesions on the root surfaces is:,amalgam,composite.,glass ionomer,hybrid ionomer,compomer,C,
Which of the following treatment possibilities is/are indications for porcelain veneers?,Modifying the shade of a tooth,Altering the length or width of a tooth,Closing anterior diastemas,a and c only,all of the above,E,
Reducing the incisal edge of a maxillary anterior tooth that will be restored with aporcelain veneer increases the incisal translucency of the restoration. How muchshould the incisal edge of a maxillary anterior tooth be reduced?,0.5 mm,2.0 mm,0.3 mm,It doesn't really matter as long as the porcelain shade matches the tooth.,,B,
"When preparing an anterior tooth to be restored with a porcelain veneer, it is desirable to have the margin finish line on:",a pre-existing composite restoration.,enamel only,dentin and enamel only,cementum and enamel only,where the margin finish line ends is unimportant,B,
The shade of a cemented porcelain veneer is influenced by:,the porcelain shade itself,the shade of the underlying resin cement,the translucency of the porcelain,the color of the underlying tooth structure,all of the above,E,
Which of the following can be limitations or problems of porcelain veneer restorations:,marginal discoloration,debonding of the restoration,wear of any natural teeth when the veneers oppose natural teeth,b and c only,all the above,E,
"When preparing a tooth for a porcelain veneer, if the tooth is lingually inclined (i.e., in“lingual version”) the facial reduction of the preparations should be",the same as normal,less than normal,greater than normal,,,B,
The single most important measure a patient can take to arrest (halt) the progression of an enamel white spot lesion is?,Reducing sugar intake.,Effective plaque control.,Fluoride application.,All the above measures are of equal importance in halting the progression of enamel white enamel white spot lesions.,,D,
Which of the following dental findings is a sign of a potentially serious eating disorder?,White spots on the facial surface of the mandibular teeth.,Severe erosion of the palatal aspects of the maxillary teeth.,Wear or erosion on any portion of the tooth surface.,Eating disorders never cause changes in the dentition.,All of the above,B,
"In the enamel white spot lesion, the area of maximal mineral loss is?",At the surface of the lesion.,Below the surface of the lesion.,Uniform through the depth of the lesion.,,,B,
Which of the following are virulence factors of Streptococcus mutans?,Ability to produce acids.,Acid tolerance.,Ability to convert sucrose into an extracellular matrix.,All the above.,,D,
The interproximal surfaces are susceptible to caries since they,are subjected to occlusal forces.,are areas of plaque accumulation.,are areas of poor access to saliva flow.,b and c,all the above,D,
"With one more year of preclinical training, I believe that I will be ready to treat live patients.",I agree 100%,I agree 75%,I agree 50%,I agree 25%,I'm ready now!,E,
