title,Biochemistry Exam 1 (Unofficial) (Summer 2026),biochem,,Unofficial student-compiled exam; not sourced from the official exam bank
What does HbA1c (Hemoglobin A1c) measure?,The total insulin produced over a lifetime,The average blood glucose level over the past 2-3 months,The amount of glucagon secreted in the past week,The current blood glucose level at the moment of testing,B
What triggers the extrinsic pathway of the coagulation cascade?,Activation of Factor XII by phosphatidylserine,Damage to the interior of the blood vessel,Damage to the exterior of the blood vessel,Release of thromboxane A2 from platelets,C
"Besides somatostatin, what else can shut down GHRH and GH release?",High blood glucose alone,High blood levels of IGF-1,Low blood glucose alone,Low blood levels of IGF-1,B
Which base is found in RNA in place of thymine?,Guanine,Xanthine,Uracil,Inosine,C
What is a neoplasm?,"A new and abnormal growth of tissue, characteristic of cancer",The process of programmed cell death,A benign structure that never becomes a tumor,"A normal, healthy growth of tissue during development",A
How does the growth rate of a benign neoplasm compare to a malignant one?,"Benign neoplasms are slow growing, while malignant neoplasms are fast growing","Benign neoplasms are fast growing, while malignant neoplasms are slow growing",Neither benign nor malignant neoplasms have a defined growth rate,Both grow at the same rate,A
What two ribosomal subunits are found in eukaryotes?,30S and 50S,30S and 60S,40S and 60S,40S and 50S,C
What is the primary function of DNA?,Catalyzes metabolic reactions,Provides structural support to the cell,Transports oxygen through the blood,Carries all the genetic information,D
"What component of TFIID binds directly to the TATA box, and what effect does its binding have?",TATA-binding protein binds the TATA box and bends the DNA,The spliceosome binds the TATA box and splices the DNA,RNA polymerase II binds the TATA box and cleaves the DNA,TFIIH binds the TATA box and unwinds the DNA,A
What is an exon?,A type of ribosomal RNA,A coded sequence of DNA/RNA,A repetitive telomeric sequence,An uncoded sequence of DNA/RNA,B
What effect does IGF-1 have on muscle cells?,Has no effect on muscle cells,"Only affects bone cells, not muscle cells",Decreases uptake of glucose and amino acids by muscle cells,"Increases uptake of glucose and amino acids by muscle cells, increasing muscle mass",D
How does PTH ultimately raise blood calcium levels via vitamin D?,"PTH directly binds calcium in the blood, increasing free calcium levels",PTH stimulates the thyroid to release more calcitonin,"PTH causes the kidneys to convert inactive vitamin D into active Calcitriol, allowing the intestines to absorb calcium","PTH inhibits calcitriol production, indirectly raising blood calcium",C
What can excess free-floating glucose be converted into within cells?,Amylin,Thyroglobulin,Sorbitol,Glycogen,C
What is inversion as a cause of cancer?,A gene segment is inverted,A single nucleotide is exchanged for another,A gene is completely deleted,A gene segment moves to a different chromosome,A
How does parathyroid hormone relate to calcitonin?,It has no functional relationship to calcitonin,It is antagonistic to calcitonin,It works synergistically with calcitonin to lower blood calcium,It is produced by the same cells as calcitonin,B
What allows RNA to fold into structures like ribozymes?,The presence of thymine,Its phosphate backbone alone,Intramolecular base pairing,Its double-stranded nature,C
What does activated Protein Kinase A (PKA) go on to do?,Directly opens ion channels in the membrane,Activates additional pathways such as carbohydrate metabolism and gene expression,Cleaves introns from pre-mRNA,Directly converts ATP into cAMP,B
What triggers insulin release from the secretory vesicle once calcium enters the pancreatic cell?,Calcium directly converts proinsulin into insulin,"Calcium binds the insulin secretory vesicle to the cell membrane, causing insulin release","Calcium reopens the K channels, stopping insulin release","Calcium closes the Glut-2 transporter, stopping insulin release",B
What state is an inactive G protein in?,"Bound to GDP, with alpha, beta, and gamma subunits together",Bound to ATP,"Bound to GTP, with subunits separated",Bound to cAMP,A
Can the intestines absorb calcium without Calcitriol?,"Yes, calcium absorption is entirely independent of Calcitriol","No, calcium absorption instead requires TSH","No, the intestines are unable to absorb calcium without the help of Calcitriol","Yes, but only in the presence of calcitonin instead",C
What happens to introns during splicing of pre-mRNA?,They are joined together to form the mature mRNA,They remain in place within the mature mRNA,They are converted into exons,"They are spliced out, leaving exons to form the mature mRNA",D
What causes Von Willebrand Disease?,Excess Factor XII,Excess Vitamin K,Low levels of Von Willebrand Factor,Low levels of Factor VIII only,C
What happens to the pancreatic cell membrane once the K channels close and positive potassium accumulates inside?,The membrane potential remains unchanged,The membrane hyperpolarizes,The membrane becomes permanently impermeable,The membrane depolarizes,D
How can enhancers/activators work from a distance on a gene's promoter?,Through diffusion of the enhancer through the nucleus,Through binding to the poly-A tail,Through DNA looping caused by DNA binding proteins,Through direct covalent bonding to the promoter,C
Is photolyase functional in humans?,"Yes, but only in germ line cells","Yes, it is the primary repair mechanism in humans","No, humans have no way to repair thymine dimers","No, humans use NER instead to repair thymine dimers",D
"During translocation, which ribosomal subunit shifts first?",Both subunits shift simultaneously,"The small 40S subunit shifts first, then the large 60S subunit","The large 60S subunit shifts first, then the small 40S subunit",Neither subunit shifts; only the mRNA moves,C
