title,Pathomedicine Exam 5 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Cholecystitis is usually caused by:,Motor vehicle accidents,Burns,Sepsis,Gallstones,Iatrogenic injury,,D,
The most common cause of acute pancreatitis in the United States is:,Gallstones,Excessive alcohol intake,Azathioprine,Cytomegalovirus (HHV-5),SPINK1 mutations,,A,
Obstruction causes backup in the pancreatic duct -> lipases in the duct begin to cause fat necrosis -> initiation of an inflammatory reaction occurs -> trypsin is activated -> additional pancreatic enzymes are activated -> tissue destruction takes place. The preceding series of events best describes:,Acute pancreatitis,Barret esophagus,Ulcerative colitis,Peptic ulcer disease,Hirschsprung disease,,A,
Intussusception is best described as:,Protrusion due to a weakness or defect in the bowel wall,Abnormal union of bowel segments due to inflammation or other injury,Inversion of a bowel segment into another segment of the bowel,Twisting a segment of the bowel around itself,,,C,
"Dermatitis herpetiformis is a pruritic, blistering cutaneous condition. It is associated with:",Crohn disease,Celiac disease,Ulcerative colitis,Chronic gastritis,Pancreatitis,,B,
Which disease involves defective migration of neural crest cells in segments of the colon?,Tropical sprue,Celiac sprue,Hirschsprung disease,Whipple disease,Zollinger-Ellison syndrome,,C,
The most common cause of Cushing syndrome is,Administration of cortical steroid medication,Cushing disease,An ACTH-secreting pituitary adenoma,A cortisol-secreting neoplasm,Milliary tuberculosis,,A,
See Image #1. What is the most likely diagnosis?,Cushing syndrome,Graves disease,Hashimoto thyroiditis,Hyperpituitarism,Diabetic nephropathy,,A,images/patho-legacy-fall-2017-5/fig25.jpeg
"Virilism results from excess androgens in adrenogenital syndrome. Virilism in females includes all of the following, except:",Signs of masculinization,Clitoral hypertophy,Hirsutism,Acne,Oligospermia,,E,
Conn syndrome is a result of a/an:,Aldosterone-secreting neoplasm,Cortisol-secreting neoplasm,Androgen-secreting neoplasm,Kaposi sarcoma of the adrenal gland,Coccidiodes immitus infection of the adrenal gland,,A,
"All of the following causes of adrenal insufficiency would be accompanied by hyperpigmentation of skin and mucosal tissues, except:",Metastatic cancer to the anterior pituitary,TB infection of the adrenal gland,Autoimmune adrenalitis,Metastatic breast adenocarcinoma to the adrenal gland,Histoplasma capsulatum infection of the adrenal gland,,A,
Waterhouse-Friderichsen syndrome is best described as:,Massive hemorrhage into the adrenal during an episode of N. meningitis-related sepsis,Post-partum necrosis of the adrenal gland,Granulomatous destruction of the adrenal gland,Cortical steroid-related atrophy of the adrenal gland,Autoimmune destruction of the adrenal gland,,A,
Di George syndrome includes all of the following except:,Cardiac defects,Immune dysfunction (thymic aplasia/thymus does not develop),Cleft palate,Low calcium (parathyroid aplasia/does not develop),High calcium (parathyroid is hyperplastic),,E,
Hyperparathyroidism may include changes within bone. When these changes are severe the term used to describe them is osteitis fibrosa cystica. Osteitits fibrosa cystica includes all of the following except:,Thinned bone cortices,Increased fibrous tissue and hemorrhage in marrow spaces,Granulomatous inflammation,All of the above,,,C,
"1. Brown tumors occur in hypoparathyroidism. 2. They consist of an aggregation of osteoclasts, reactive giant cells and hemorrhagic debris.",Both statements are true,Both statements are false,The first statement is true and the second statement in false.,The first statement is false and the second statement is true.,,,D,
A positive Chvostek's sign supports the diagnosis of hypoparathyroidism/hypocalcemia. It is positive when the upper lip twitches following tapping of the facial nerve just below the zygomatic process. The preceding statement is:,True,False,,,,,A,
The clinical findings related to diseases of the pituitary gland can be categorized into one of the following: 1) Excessive secretion of trophic hormones 2) Deficiency of secreted trophic hormones 3) Expansion of the gland for various reasons and impingement on other structures Which category does gigantism fall into?,Excessive secretion of trophic hormones,Deficiency of secreted trophic hormones,Expansion of the gland for various reasons and impingement on other structures,,,,A,
Postpartum necrosis of the anterior pituitary describes:,Sheehan syndrome,Dwarfism,Prolactinoma,Zollinger-Ellison syndrome,Plummer syndrome,,A,
Apathetic hyperthyroidism occurs when the extreme clinical findings are blunted in:,Children,Elderly adults,Middle-aged adults,Adolescents,Infants,,B,
"Choose the correct terms to fill in the blank spaces. When compared to normal values, ________ levels are ________ in primary hypothyroidism.","TSH, elevated","TSH, decreased","ACTH, elevated","ACTH, decreased","TH, normal","TH, decreased",F,
"See Image #2. This image is derived from an endocrine organ removed from a 35-year-old female patient. The removal of the endocrine organ was part of the patient's treatment. Based on the histopathology and the treatment the patient received, which of the following would have been the most likely clinical findings prior to treatment?","Soft, flushed, warm skin, heat intolerance, weight loss despite increased caloric intake, and exophthalmos",Clinical findings would be absent in this disease,"Cold intolerance, generalized apathy, mental sluggishness and obesity",Recent viral respiratory infection and neck pain,,,A,images/patho-legacy-fall-2017-5/fig38.jpeg
In which of the following diseases is a patient most likely to present with an enlarged tongue?,Hypothyroidsim,Hypopituitarism,Hyperthyroidism,Hyporparathyroidism,Hyperaldosteronism,,A,
Which of the following diseases is characterized by extensive fibrosis of the thyroid and contiguous neck structures:,Riedel thyroiditis,Subacute lymphocytic thyroiditis,Subacute granulomatous thyroiditis,Graves disease,Hashimoto thyroiditis,,A,
The destruction leading to thyroid failure in Hashimoto thyroiditis is understood to be caused by a/an:,Infectious process,Post-infectious inflammatory disorder,Autoimmune process,Physical injury,Chemical injury,,C,
Which of the following entities represents the most common thyroid malignancy?,Papillary thyroid carcinoma,Follicular adenoma,Anaplastic thyroid carcinoma,Medullary thyroid carcinoma,Follicular carcinoma,,A,
Which of the following complications seen in diabetic patients results most directly from disturbances in polyol pathways?,Diabetic neuropathy,Atherosclerosis,Arteriosclerosis,Retinopathy,All the above,,A,
Which of the following is a result of hyperglycemia AND is responsible for complications in diabetes mellitus?,Accelerated formation of advanced glycation end products (AGEs),Activation of protein kinase C,Disturbances in polyol pathways,All the above,,,D,
1. Metabolic ketoacidosis is a common problem among patients with type 2 diabetes mellitus. 2. Metabolic ketoacidosis is a medical emergency.,Both statements are true,Both statements are false,The first statement is true and the second statement in false.,The first statement is false and the second statement is true.,,,D,
"A 9-year-old male presents to his pediatrician. He is underweight and reports frequent urination, significant thirst and frequent hunger. What is the most likely diagnosis based on the clinical presentation?",Type 1 diabetes mellitus,Type 2 diabetes mellitus,Hypothyroidism,Hypoparathyroidism,Adrenal insufficiency,,A,
Which disease/syndrome is associated with hyperpigementation of the skin and mucosal tissues (including oral)?,Conn syndrome,Cushing disease,Cushing syndrome,Addison disease,Grave disease,,D,
"A 40-year-old male presents for recall. When you greet him, he asks if there is any way to turn off the air conditioning in your office. Everyone else thinks the temperature is fine. You note that he seems slower in his speech than at prior appointments. He has also gained some weight in his face and hands (or at least his skin appears thicker). What is the most likely association?",Hyperparathyroidism,Hyperpituitarism,Adrenal insufficiency,Hypothyroid,Hyperthyroid,Thyroid neoplasia,D,
Which type of diabetes mellitus has a stronger genetic association?,Type 1,Type 2,They have equivalent genetic associations,Neither has a genetic association,,,B,
"A 35-year-old female presents to your practice for recall. You note that her face is red, she is fidgety and her eyes seem to be protruding more than you remember. Your assistant notes that her heart rate is elevated. What is the most likely underlying diagnosis?",Conn syndrome,Cushing disease,Cushing syndrome,Addison disease,Graves disease,,E,
"Please refer to case 2. Based on the available data, does this patient seem to be a well-managed diabetic?",Yes,No,There is no data related to her diabetic condition,,,,B,
"Please refer to case 2. You determine that tooth #1 is non-restorable and requires extraction in order to relieve her pain. Are there any contraindications to performing the procedure during the present appointment? (True=yes, False=no)",True,False,,,,,B,
Please refer to case 2. What other diseases is she at risk for?,Peripheral and autonomic neuropathy,"Cataracts, glaucoma and retinopathy",CKD,Atheroslcreosis and HTN,Drop foot,All the above,F,
Please refer to case 2. In which of the following scenarios is insulin shock most likely to occur?,Patient ate breakfast and took her medication,Patient ate breakfast and did not take her medication,Patient did not eat breakfast and did not take her mediation,Patient did not eat breakfast and took her medication,,,D,
