title,Pathomedicine Exam 6 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
"Long-term (over four weeks) adequate immobilization of a bone fracture, along with appropriate nutrition and absence of infection or vascular compromise, is most likely to result in the formation of a:",Pseudoarthrosis,Hard tissue callus,Soft tissue callus,,,,,,B,
"Peak bone mass is reached in the 3rd decade (20s) or the 4th decade (30s). Once peak bone mass is achieved, loss of bone mass occurs at an average rate of:",0.05% per year,0.1% per year,0.25% per year,0.01% per year,0.5% per year,,,,E,
Osteoporosis is accelerated in post-menopausal patients. Which of the following is most responsible for this acceleration?,Diminished physical activity,Increased levels of inflammatory mediators,Decreased vitamin D production,Decreased calcium absorption,Inadequate calcium and vitamin D dietary intake Approve,,,,B,
The most prevalent vitamin deficiency observed worldwide is:,Vitamin A,Vitamin C,Vitamin B12,Vitamin D,Vitamin K,,,,A,
Folate deficiency results in a/an:,Microcytic anemia,Megaloblastic anemia,Iron deficiency anemia,Sickle cell anemia,Aplastic anemia,,,,B,
Which group of coagulation factors are vitamin K-dependent?,"II, VII, IX and X","III, VII, X and XI","I, II, VII and X","II, VIII, IX and XI","I, III, IX and X",,,,A,
Protrusion of the costochondral junction in children (so-called “rosary”) occurs in: (There are 8 answer choices),Vitamin A deficiency,Vitamin B12 deficiency,Vitamin C deficiency,Vitamin D deficiency,Vitamin K deficiency,Vitamin A and vitamin B12 deficiencies,Vitamin C and vitamin D deficiencies,Vitamin A and vitamin D deficiencies,G,
Broad-spectrum antibiotics are most likely to disrupt the available levels of:,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,Vitamin K,,,,E,
The organism most commonly responsible for osteomyelitis is:,S. aureus,E. coli,S. pyogenes,T. denticola,S. pneumoniae,,,,A,
Suppurative arthritis most commonly occurs in:,Young adults,Infants,Middle-aged adults,Elderly adults,Adolescents,,,,B,
See image 1. The tip of the red arrow is located on a radiopaque object. This object is a fragment of non-viable bone and is surrounded by soft tissue. The best term for this object is:,Sequestrum,Haversian canal,Root tip,Involucrum,Osteon,,,,A,images/patho-legacy-fall-2017-6/fig21.jpeg
"Common known triggers of erythema multiforme include all of the following, except:",Flu virus infection,HSV infection,Mycoplasma pneumonia,NSAID administration,Antibiotic administration,,,,A,
Erythema multiforme is most commonly diagnosed in:,Young adults,Infants,Middle-aged adults,Elderly adults,Adolescents,,,,A,
See image 2. A 4-year-old male presents with perioral papular erythema and pruritis with an overlying amber/honey crust as seen in image 2. Which organism(s) have been commonly implicated in the development of this disease?,S. aureus,S. pyogenes,S. pneumoniae,S. aureus and S. pyogenes,S. aureus and S. pneumoniae,,,,D,images/patho-legacy-fall-2017-6/fig24.jpeg
See image 3. This abnormality on the buccal mucosa was present bilaterally and did NOT change when wiped with gauze. What is the most likely diagnosis?,Lichen planus,Impetigo,Psuedomembranous candidiasis,Erythema multiforme,Stevens-Johnson syndrome,,,,A,images/patho-legacy-fall-2017-6/fig25.jpeg
"See image 4. This patient was placed on a seven-day course of amoxicillin for an odontogenic infection six-days prior. The patient complained of an oral burning sensation, stating that ""it felt as if hot coffee had scalded it"". What is the most likely diagnosis?",Candidiasis,Erythema multiforme,Lichen planus,Syphilis,Impetigo,,,,A,images/patho-legacy-fall-2017-6/fig26.jpeg
Statement 1: Osteoarthritis is characterized by degeneration of the articular cartilage. Statement 2: Ankylosis is a common complication observed in this disease.,Both statements are true.,Both statements are false.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,,,,,C,
See image 5. What is the term for the prominent osteophytes seen on this patient's distal interphalangeal joints?,Virchow's node,Osler's node,Nodes of Ranvier,Heberden's nodes,Bouchard's nodes,,,,D,images/patho-legacy-fall-2017-6/fig28.jpeg
See image 6. A 55-year-old male presents with extreme pain of recent onset emanating from his left metatarsophalangeal joint (big toe). The diagnosis is gout. Which of the following is NOT a known risk factor for the development of gout?,Heavy alcohol consumption,Diet high in purine-rich foods,Obesity,Wear and tear occurring with aging,Genetic polymorphisms,,,,D,images/patho-legacy-fall-2017-6/fig29.jpeg
Statement 1: Codman triangle is a triangular shadow resulting from neoplastic growth causing the periosteum to be lifted up from the bone. Statement 2: Codman triangle is typically seen in osteoarthritis.,Both statements are true.,Both statements are false.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,,,,,C,
Which of the following is NOT a feature of osteosarcoma?,Occurs more commonly in males than females,The majority of cases (75%) occur in patients under 20-years of age,The radiographic appearance may show a “sunburst” pattern,The most common location for metastasis is the lung,Histopathology of involved tissue shows malignant-appearing epithelial cells,,,,E,
Which of the following is NOT a feature of Down Syndrome?,Susceptibility to gingivitis,Severe peridontal disease,Enamel hypercalcification,Yeast infections in the mouth,Alkaline saliva,,,,C,
Which of the following is associated with Edward Syndrome?,Horseshoe kidney,Macrocephaly,Large protruding tongue,Long fingers,Brushfield spots,,,,A,
Which of the following is associated with Kleinfelter syndrome?,Cystic hygroma,Broad chest (shield chest),High waist-to-hip ratio,Low posterior hairline,Gynecomastia,,,,E,
Which of the following is true concerning alkaptonuria?,Treatment with a special diet,Musty smell,Light skin,Increased risk for skin cancer,Pancreatic insufficiency,,,,A,
Which of the following is NOT associated with Marfan syndrome?,Autosomal dominant transmission,Arm span greater than height,Increased incidence of superior subluxation of the lens,Increased incidence of aortic aneurysm,European ancestry,,,,E,
Which of the following is NOT associated with PKU?,Lifelong special diet,Autosomal recessive transmission,Seizures,Behavioral issues,Pain in weight-bearing joints,,,,E,
"Rickets and osteomalacia are different manifestations of the same underlying pathological process that occurs in maturing bone. While rickets is caused by defective mineralization of the epiphyseal growth plate cartilage, osteomalacia is a result of:",Incomplete mineralization of the underlying mature organic osteoid within trabeculae,Mutation in the formation of osterix transcription factor,Decreased formation of Runx2 due to vitamin C deficiency,Decreased conversion of under-carboxylated osteocalcin to osteocalcin,"Increased conversion of 25 hydroxyD3 to 24,25 dihydroxyD3",,,,A,
Lisch nodules are often identified in patients with:,Huntington disease,Fragile X syndrome,Leber hereditary optic neuropathy,Neurofibromatosis type 1,Von Hippel-Lindau disease,,,,D,
Which of the following is the most common cause of inherited intellectual disabilities?,Huntington disease,Fragile X syndrome,Leber hereditary optic neuropathy,Neurofibromatosis type 1,Von Hippel-Lindau disease,,,,B,
Statement 1: Maternal thalidomide exposure during pregnancy is known to produce limb and ear abnormalities in infants. Statement 2: Thalidomide is considered a teratogenic substance.,Both statements are true.,Both statements are false.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,,,,,A,
Statement 1: Deformations result from mechanical forces exerted on the fetus over a long period time. Statement 2: All deformations are permanent.,Both statements are true.,Both statements are false.,The first statement is true and the second statement is false.,The first statement is false and the second statement is true.,,,,,C,
"All of the following are inherited in an autosomal recessive pattern, except:",PKU,Alkaptonuria,Cystic fibrosis,Neimann-Pick disease,There are NO exceptions on this list,,,,E,
"Adult-onset Huntington disease is the most common form of the disorder. It develops in the 4th and 5th decades (30s and 40s). Early signs and symptoms may include irritability, depression, small involuntary movements, poor coordination, and trouble learning new information or making decisions. Life expectancy following the development of signs and symptoms is:",0-5 years,5-10 years,10-15 years,15-20 years,20-25 years,,,,D,
A father has myoclonic epilepsy with ragged red fibers (MERRF). Will his daughter inherit this disease? True = Yes False = No,True,False,,,,,,,B,
