title,DAO Final Exam (Summer 2019),dao,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What tooth MOST commonly causes partial anodontia?,Maxillary lateral incisors,Mandibular 1st premolars,Mandibular 2nd premolars,Maxillary 3rd molars,Maxillary Central incisor,,D,
Where on a tooth would one normally notice attrition?,Incisal edge,Lingual surface,Cervical on buccal,Interproximal,Apex of root,,A,
Which is the only tooth in the mouth that is wider on the lingual than on the facial?,max central incisor,max 1st molar,max 2nd molar,mand 1st molar,mand 2nd molar,,B,
Which of the following teeth are non-succedaneous?,# 29,# 19,# 3,# 6,Both B &C,,E,
Which of the following is NOT visible on the clinical crown?,Amelogenesis imperfecta,Fluorosis,Tetracycline staining,Dentinogenesis imperfecta,Taurodontism,,E,
Which of the following is NOT related to abnormal root formation?,Enamel pearl,Concrescence,Gemination,Hypercementosis,,,C,
Which of the following DO NOT resemble each other:,Maxillary primary second molar and maxillary permanent first molar,Mandibular primary second molar and mandibular permanent first molar,Maxillary primary first molar and maxillary permanent first premolar,Mandibular primary first molar and mandibular permanent first premolar,,,D,
Which of the following is NOT generally true for primary teeth compared to permanent teeth:,primary teeth have a better crown to root ratio,pulp horns in primary teeth are smaller than permanent teeth due to their size,primary teeth have a larger cervical bulge due to cervical construction,primary teeth have thinner enamel and dentin,primary teeth have less anomalies,,B,
Which of the following should ONLY exist in primary dentition:,leeway space,primate space,diastema,a &b,all of the above,,D,
Which of the following is true regarding occlusion?,It is a determinant of successful dental treatment,"If you get it close, the patient will adapt their bite",It can only be measured correctly in a patient who has had orthodontic treatment,Every patient needs it corrected,,,A,
Which of the following is NOT found within the oral cavity:,frenum,vermillion border,tonsils,uvula,vestibule,,B,
Which tooth has a depression in the cervical one third of the mesial side of the crown and root?,Maxillary first premolar,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar (2-cusp type),Mandibular second premolar (3-cusp type),,A,
Which tooth has a nonfunctioning lingual cusp?,Maxillary first premolar,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar (2-cusp type),Mandibular second premolar (3-cusp type),,C,
Which tooth is more likely to have lingual decay:,maxillary central incisor,maxillary lateral incisor,Maxillary Canine,Maxillary 1st premolar,,,B,
Which tooth is most likely to have 3 cusps? 1) mand 3rd molar 2) max 3rd molar 3) mand 2nd premolar 4) max 2nd premolar,1 &3,2 &4,2 &3,1 &4,,,C,
