title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2018),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,correct,image
Several scenarios and management strategies regarding patients presenting for oral surgery are paired below. Which of the following management strategies DOES NOT MAKE SENSE for the scenario it accompanies?,A 22-year-old male professional bicycle racer presents with a blood pressure of 118/72 and a pulse of 48. Treatment can be provided as these vital signs do not indicate a problem for this patient. Lidocaine with epinephrine can be administered for local anesthesia.,A 16-year-old girl who weighs 101 pounds presents with a blood pressure of 97/68 and a pulse of 102. Treatment can be provided as these vital signs do not indicate a problem for this patient. Mepivaciane can be administered for local anesthesia.,A 72-year-old male with a history of hypertension presents with a blood pressure of 162/94 and a pulse of 84. Treatment can be provided as these vital signs do not indicate a problem for this patient. Either mepivacaine or up to two carpules of lidoocaine with epinephrine can be administered for local anesthesia.,A 78-year-old female with a history of hypertension presents with a blood pressure of 212/112 and a pulse of 92. She is complaining of pain in one of her maxillary molars and feels the tooth is causing her to have a headache. Treatment should not be provided at this time. The dentist should arrange for immediate evaluation and treatment of the patient's blood pressure.,An anxious 16-year-old boy presents with a blood pressure of 122/72 and a pulse of 138. Treatment can be provided as these vital signs do not indicate a problem for this patient. lidocaine with epinephrine can be administered for local anesthesia.,,,,,E,
"A patient with a history of angina presents for extraction of a tooth. All of the following management strategies can be used by a general dentist, EXCEPT:",Consult the patient's physician pre-operatively.,"Monitor the patient's vital signs before, during, and following the procedure.",Use techniques to minimize the patient's anxiety.,Administer nitroglycerin if the patient experiences an episode of angina.,Maximize pain control.,Limit or avoid epinephrine use with local anesthetics.,Administer supplemental oxygen intraoperatively.,Refer the patient to an Oral and Maxillofacial Surgeon for tooth extraction.,All of these strategies can be used.,I,
"When treating an asthmatic patient, which of the following is NOT a helpful strategy/management technique?","Determine the severity and risk related to their asthma by obtaining a history including information about the frequency and severity of their episodes; whether they have presented to an Emergency Department, been hospitalized, or intubated for their asthma; what triggers their asthma; and when their most recent episode was.","If an asthma attack does occur intraoperatively, immediately administer cromolyn sodium to treat the patient.",Use a bronchodilator pre-operatively prophylactically and intra-operatively if an episode occurs.,Assess the patient for wheezing pre- and intra-operatively.,"If general anesthesia is being contemplated, consult the patient's physician regarding the risks associated with the general anesthesia.","When choosing post-operative analgesics, be aware that some asthmatics have an increased risk for aspirin allergy.",,,,B,
"When general dentists are making decisions on the appropriate treatment for medically compromised patients that they may be taking care of, which of the following is NOT a legitimate consideration?",The general dentist's level of experience and expertise regarding the necessary procedure.,Relative or absolute medical contraindications to the proposed surgery or anesthesia that may necessitate a change in the planned procedures.,“Modification” of the patient's condition and/or management so that surgery may be safely performed.,Referral to an Oral and Maxillofacial Surgeon may be the best option for treatment.,Consultation with the patient's physician may be necessary prior to treatment.,General dentists should never perform surgical procedures on medically compromised patients.,,,,F,
Which of the following layers is NOT included in the flap when a full thickness mucoperiosteal flap (FTMPF) is elevated?,Mucosa.,Bone.,Submucosa.,Periosteum.,"Mucosa, submucosa, periosteum, and bone are all included in the flap.",,,,,B,
"When developing a full thickness mucoperiosteal flap (FTMPF) with 2 releasing incisions, the flap should be broader at the free gingival margin than at the base.",True.,False.,,,,,,,,B,
Which of the following flaps/incisions should generally NOT be used during extractions?,Envelope flap.,3 corner flap.,Semilunar incision.,Submarginal incision.,Semilunar and submarginal incisions.,,,,,E,
"When making a vertical releasing incision during dentoalveolar surgery, the incision should be placed:",Mid-tooth.,At the tip of the papilla.,At the line angle of the tooth.,Directly over the area of pathology.,Across the root just crossing the apex.,Just over or anterior to the mental foramen when extracting a mandibular bicuspid.,,,,C,
"It is June 2018. While extracting a tooth and doing everything the way you were taught, much to your surprise, the tooth fractures. Before calling your instructor over, you start thinking about what the best treatment would be at this time. You remember that the apical portion of a tooth can be left in place if:",It is mobile.,It has a radiolucency at the apex of the root.,It is greater than 4 to 5 mm in length.,It is close to a vital structure.,The patient would have no way of ever finding out that it was there.,,,,,D,
Which of the following terms does NOT refer to a portion of a suture needle?,Swage.,Body.,Shank.,Point.,,,,,,C,
Which of the following suture materials is non-resorbable?,Vicryl.,Silk.,Chromic gut.,Plain gut.,None of the above.,,,,,B,
"When penetrating a soft tissue flap with a suture needle, the angle of penetration is…",important and ideally it should enter the tissue perpendicular to the flap.,important and ideally it should enter the tissue at an acute angle to the flap.,important and ideally it should enter the tissue at an obtuse angle to the flap.,"important, but it will vary based on the location and type of flap.",not important. It should enter the tissue at whatever angle is most comfortable for the operator.,,,,,A,
A flap should be designed so that all of the incisions can be closed over bone.,True.,False.,,,,,,,,A,
"A surgical handpiece should be used during surgical procedures to section teeth and cut bone instead of a regular dental handpiece that is used for operative dentistry, because:",A surgical handpiece expels air from the rear of the handpiece to prevent air emphysema from occurring.,"A surgical handpiece is longer than a regular dental handpiece, providing better access for reaching the apical portion of teeth.","A surgical handpiece expels air around the bur so that it keeps the surgical field clear, providing better visibility.","A surgical handpiece expels air around the bur so that it clears the surgical field of debris, minimizing the risk of infection.",Either a surgical handpiece or a regular dental handpiece can be used during surgical procedures.,,,,,A,
What happens to the alveolar bone and soft tissues after teeth are extracted?,The bone contour changes but the soft tissue contour does not.,The soft tissue contour changes but the bone contour does not.,Both bone and soft tissue contour changes take place.,Neither bone or soft tissue contour changes take place.,"Periosteum and bone changes occur, but mucosal changes do not.",,,,,C,
"When evaluating patients for pre-prosthetic surgery, it is always necessary to:",Perform a visual exam.,Palpate the hard and soft tissues.,Perform a radiographic exam.,Obtain a CBCT.,Three of the above.,All of the above.,,,,E,
Which of the following statements regarding an epulis fissuratum is TRUE:,The etiology can be a poor fitting denture.,The etiology can be a retained root tip.,Excision of the lesion is curative.,Excision of the lesion alone is not curative - radiation is also necessary.,Excision of the lesion alone is not curative - chemotherapy is also necessary.,Excision of the lesion alone is not curative - radiation and chemotherapy are both also necessary.,,,,A,
Which of the following techniques and information are routinely required by a well-trained dentist to diagnose the condition of a patient's tooth and determine what treatment options are indicated? • I. Radiographic imaging. • II. Chief complaint and related history. • III. Clinical examination. • IV. Clinical research. • V. Literature review.,"I, II, and III.","I, II, and IV.","I, III, and IV.","I, II, III, and IV.","I, II, III, and V.",,,,,A,
Which of the following instruments are used for retracting? • I. Weider • II. Minnesota • III. Seldin • IV. 301 • V. 46R,"I, II, and III.","I, III, and IV","III, IV, and V.","I, II, IV, and V.","I, II, III, and IV.",,,,,A,
What is a No 9 Molt periosteal elevator used for?,To make an incision through periosteum.,To reflect mucosa and periosteum.,To elevate a tooth from the periodontal ligament.,To suture periosteum to mucosa.,To administer local anesthesia.,,,,,B,
Which is the most common scalpel blade used to make an incision in oral surgery?,#15.,#17.,#11.,#12.,#10.,The Ginsu blade.,,,,A,
Your “first-day-on-the-job” dental assistant is setting up an instrument tray for you to use to extract tooth #8. He asks you in what order you like your instruments to be placed on the tray. You tell him to set them up in the order in which you will use them. Which of the following makes the most sense?,"Scalpel, periosteal elevator, straight elevator, upper ash forceps, rongeur.","Periosteal elevator, straight elevator, rongeur, upper ash forceps.","Periosteal elevator, scalpel, straight elevator, rongeur upper ash forceps.","Scalpel, periosteal elevator, rongeur, straight elevator, upper ash forceps.","Scalpel, periosteal elevator, straight elevator, rongeur, upper ash forceps.",,,,,A,
It is May 2020. You are on your final TCDM Oral Surgery Rotation. Your schedule includes five patients requiring extractions as described below. Which patient/tooth scenario would you anticipate will be the MOST DIFFICULT surgical procedure that you are being asked to perform that day?,Extraction of endodontically treated maxillary central incisor on a 65-year-old male.,Extraction of erupted maxillary second premolar on a 12-year-old female.,Extraction of erupted maxillary third molar on a 21-year-old female.,Extraction of mandibular first molar on a 54-year-old female with MIO (maximum interincisal opening) of 10mm.,Extraction of mobile mandibular central incisor on an 85-year-old male on warfarin with an INR of 1.9.,,,,,D,
Which of the following is most helpful in removing and contouring bone around the socket of an extracted tooth?,Bone file.,Curette.,Rongeur.,Irrigation.,No 65.,,,,,C,
A mandibular first molar with a severely carious crown is being extracted. Which of the following techniques should NOT be used in the removal of this tooth?,Luxation with a cowhorn forceps.,Removal of the thin lingual cortical plate of bone.,Elevation of the individual roots with east-west elevators.,Sectioning the tooth into separate mesial and distal roots.,Reflecting a modest buccal flap and removing the most minimal amount of buccal bone necessary to accomplish the extraction.,,,,,B,
Which of the following teeth must be luxated buccal-lingually to minimize the risk of fracture of the roots during extraction?,Tooth #8.,Tooth #27.,Tooth #24.,Tooth #12.,Tooth #4.,,,,,D,
A mandibular molar is fractured during extraction. The entire mesial root and the superior portion of the distal root are removed with the crown. The remaining one third of the distal root is visualized in its original position. What is the best instrument for removal of this fragment?,Crane pick.,Cryer elevator.,Straight elevator.,Lower universal forceps.,"Either a North or South elevator, depending if the tooth is on the left or right side of the mandible.",,,,,B,
Which of the following teeth are most susceptible to root fracture during extraction?,Mandibular first molars.,Maxillary third molars.,Maxillary first premolars.,Mandibular first premolars.,Mal-developed supernumerary teeth.,,,,,C,
Dental elevators are single blade instruments that are:,Used to reflect gingiva prior to the application of the dental forceps.,Designed to engage the tooth apical to the cemento-enamel junction.,Designed to engage the tooth coronal to the cemento-enamel junction.,Used to reflect a full thickness mucoperiosteal flap prior to application of the dental forceps.,Designed to mobilize the tooth by using an adjacent tooth as a fulcrum.,,,,,B,
The beaks of a needle holder are ______________ than the beaks of a hemostat.,longer and thicker,longer and thinner,shorter and stronger,shorter and more delicate,no different,,,,,C,
Which of the following instruments is the best choice for grasping soft tissue during various oral surgical procedures such as suturing?,Hemostat.,Allis forceps.,Adson forceps.,Drain inserter.,Krobar.,,,,,C,
Consider the following radiograph: What is the indication for removal of tooth #31shown in this radiograph?,Pulpal necrosis.,Bone loss in furcation due to probable fracture or perforation and/or periodontal issue.,Impaction.,Non-restorable carious lesion.,Periapical lesion.,Extraction is not indicated as there does not appear to be any pathology associated with this tooth.,,,,B,images/omfs-midterm-spring-2018/fig42.jpeg
"(Bonus Question) You are on your Oral Surgery Rotation at Touro Dental Health. An emergency patient presents complaining of several days of pain of increasing severity from a carious non-restorable tooth. You review the patient's medical history, obtain informed consent, and administer mepivacaine so that you may perform an extraction. As you are about to begin the extraction, the patient's wife comes in and asks the patient if he remembered to tell you that he started warfarin several weeks ago for atrial fibrillation. You want to help the patient out so you:","Extract the tooth, supplementing the mepivacaine with lidocaine with epinephrine to minimize bleeding, tell the patient not to take his warfarin for three days, and give him detailed post-operative instructions regarding bleeding control. Advise the patient to take acetaminophen for his post-operative pain.",Tell the patient to take ibuprofen for his pain and not take his warfarin for three days and re-schedule the extraction in three days.,Tell the patient to take acetaminophen for his pain and not take his warfarin for three days and re-schedule the extraction in three days.,Call the patient's physician to see if he knows the patient's platelet count. Based on this information decide with the physician how to manage the patient's warfarin and when to perform the extraction. Advise the patient to take acetaminophen for his pain.,Check the patient's INR and find out that it is 2.0. Tell the patient it is his lucky day. Proceed with the extraction and take local measures to maximize hemostasis. Advise the patient to take acetaminophen for his post-operative pain.,,,,,E,
