title,Removable Prosthodontics Final Exam (Spring 2023),rempros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
A landmark for the anterior-posterior positioning of the anterior maxillary teeth in a complete denture is the ____.,Residual ridge,Incisive papilla,Incisal foramen,Mandibular wax rim,,B,
"For an alloy to be considered noble metal, it should ____.",Contain at least 25% silver,Contain at least 25% platinum or palladium,Contain 40% gold,Contain at least 80% gold,,B,
What is the function of mentalis muscle?,Elevates and protrudes lower lip,Raises the Upper Lip,Raises angle of mouth,none of the above,,A,
The image below depicts an instrument used to,Establish the occlusal plane,Establish parallelism to ala tragus line,Establish parallelism to the interpupillary line,All of the above,,D,images/rempros-final-spring-2023/fig24.jpeg
The instrument is called the,Hot plate,Trubyte plate,Fox plane,None of the above,,C,images/rempros-final-spring-2023/fig25.jpeg
The photo below demonstrates which clinical procedure:,Measurement of the VDO/VDR,Establishment of the occlusal plane,Marking the canine line,Marking of the midline,,A,images/rempros-final-spring-2023/fig26.jpeg
When setting the maxillary anterior denture teeth on the occlusal rim which of the following is true?,The central is set flush with the rim,The lateral incisor is set 2 mm above the occlusal rim,The canine is set 1 mm above the occlusal rim,The central is set 1 mm above the occlusal rim,,A,
The images below depict a landmark used to determine the proper position of,The middle of the canines,The labial surface of the centrals,The lingual of the centrals,A and C,All of the above,D,images/rempros-final-spring-2023/fig28.jpeg
Which of the following images below demonstrates the proper positioning of the mandibular anterior denture teeth.,1,2,3,"1, 2, and 3 are acceptable",,A,images/rempros-final-spring-2023/fig29.jpeg
Which posterior denture tooth mold would be most suitable for the patient who has severe resorption in both the maxillary and mandibular arches and whose current dentures have minimal cusp heights and appear flat.,0 degree teeth,20 degree teeth,33 degree teeth,40 degree teeth,,A,
What denture occlusal concept is being demonstrated below?,Monoplane,Cross tooth cross arch balanced occlusion,Lingualized occlusion,All of the above,,C,images/rempros-final-spring-2023/fig31.jpeg
What is the recommended amount of time to allow for healing after extraction of the posterior teeth before the final impression in the fabrication of immediate dentures?,1-2 weeks,2-3 weeks,3-4 weeks,5-6 weeks,,C,
Which of the following are characteristic of Combination Syndrome?,Maxillary flabby ridge,Hyperplasia of the maxillary tuberosities,Papillary hyperplasia,Supra-eruption of the mandibular anterior teeth,All of the above,E,
An immediate removable complete denture is inserted how long after the extraction of all the remaining teeth?,1 day later,3 days later,"Immediately after the extraction, same day",1 week later,,C,
Which of the following reline methods is the most stable and long term?,Tissue conditioner,Soft reline,Chairside hard reline,Laboratory hard reline,,D,
Which of the following occlusal schemes does not require a compensating curve?,Balanced occlusion,Monoplane occlusion,Lingualized occlusion,None of the above,,B,
The horizontal overlap between the maxillary and mandibular removable complete denture artificial denture teeth should be?,No overlap,0-0.5 mm,1-2 mm,2-3 mm,,C,
All removable complete denture tooth setups should be in Class I relation regardless of the skeletal relationship.,True,False,,,,B,
The canine lines marked on the maxillary occlusal rim at the maxillomandibular visit are used in selecting which of the following?,The maxillary posterior teeth,The maxillary anterior teeth,The mandibular anterior teeth,None of the above,,B,
"When setting the maxillary posterior denture teeth for a balanced occlusion, all the cusps should be flush with the occlusal plane.",True,False,,,,B,
Which of the following is used to establish the VDO?,The vertical dimension of rest,Facial esthetics,Phonetics,All of the above,,D,
A high cusp angle denture tooth is best suited for a patient with a:,Poor ridge,Moderate ridge,Good ridge,None of the above,,C,
