title,GDA Midterm Exam (Spring 2019),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following statements is NOT true regarding Zika virus?,Zika virus has been linked to Guillon Barre syndrome.,Zika can be passed between partners having unprotected sex.,"Common symptoms of the Zika virus are sore throat, stomach cramping and vomiting.",Women who have traveled to countries with Zika virus should be tested for the virus if they plan to become pregnant.,Once a person is infected with Zika it is unlikely for them to be infected again.,,C,
Pharyngeal arch 2 is innervated by which Cranial Nerve?,CN V,CN VII,CN IX,CN III,CN XII,,B,
Fill in the blanks: Cranial Nerve IX is also known as the _______ Nerve and is responsible for __________.,Hypoglossal; swallowing,Vagus; Visceral muscle movement,Glossopharyngeal; Taste on the posterior tongue,Trigeminal; Mastication,None of the above,,C,
The derivative of which pharyngeal pouch is the thymus?,Pouch 1,Pouch 2,Pouch 3,Pouch 4,,,C,
The philtrum of the lip is formed by the fusion of the lateral nasal processes and the maxillary processes.,True,False,,,,,B,
Which Cranial Nerve is responsible for taste on the anterior 2/3 of the tongue?,Hypoglossal,Glossopharyngeal,Facial,Vagus,Trigeminal,,E,
Frenectomy is used to treat which developmental abnormality associated with the tongue?,Micorglossia,Macroglossia,Anklyglossia,Geographic tongue,,,C,
Which plane is depicted by the dotted line shown in the image?,Median,Saggital,Transverse,Caudal,Lateral,,B,images/gda-midterm-spring-2019/fig58.jpeg
Which reaction is responsible for accumulation of glycogen and lipids and cellular swelling which provides nutrition for the early embryo?,Decidual,Acrosome,Cortical,Zona,,,A,
The embryonic mesoderm gives rise to which of the following?,Central nervous system,Neural crest cells,Blood cells,Lining of digestive tract,,,C,
Which nutrient is needed by pregnant women to prevent neural tube defects in the developing fetus?,Vitamin C,Zinc,Vitamin D,Folic acid,Phosphorus,,D,
Which plate sends information away from the spinal cord?,Basal,Alar,,,,,A,
What is the adult derivative of the metencephalon?,Medulla oblongata,Pons,Thalamus,Cerebrum,Midbrain,,B,
At what week can the heartbeat begin to be detected on ultrasound?,Week 4,Week 5,Week 8,Week 12,Week 15,,B,
What is the adult derivative of Aortic Arch 4?,Aortic arch,Stapedial artery,Common Caortid Artery,Ductus arteriosus,,,A,
The liver is an adult derivative of which section of the developing gastrointestinal system?,Foregut,Midgut,Hindgut,,,,A,
During which stage of lung maturation does surfactant begian to form?,Terminal Sac Stage,Alveolar Stage,Pseudoglandular,Canilicular,,,A,
