title,Clinical Oral Radiology Exam 1 (Fall 2017),coralrad,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What is the name of the major error found in this radiographic?,Double image,Horizontal misangulation,Vertical misangulation,Cone cut,Beam-hardening artifact,,D,images/coralrad-exam1-fall-2017/fig26.jpeg
Which of the following teeth is missing in this left premolar bitewing image but would normally be expected to be present?,#10,#11,#12,#13,#14,,D,images/coralrad-exam1-fall-2017/fig27.jpeg
What is the most likely explanation for the radiolucency in the #29 region?,Periapical lucency,Primary intraosseous carcinoma,Periodontal bone loss,Extraction socket,,,D,images/coralrad-exam1-fall-2017/fig28.jpeg
Which of the following best describes the shape of the entity on the floor of the left maxillary sinus?,Dome-shaped,Irregularly-shaped,Flat,Triangular,,,A,images/coralrad-exam1-fall-2017/fig29.jpeg
Which of the following best describes the radiodensity of the entity on the floor of the left maxillary sinus?,More radiolucent than the maxillary sinus,More radiopaque than the maxillary sinus,More radiopaque than the maxillary bone,More radiolucent than the nasal cavity,,,B,images/coralrad-exam1-fall-2017/fig30.jpeg
Which of the following is the most likely contributor to the finding on the floor of the left maxillary sinus?,#14 mesial caries and periapical lucency,#15 periapical lucency,Occlusal trauma,Allergic rhinitis,,,A,images/coralrad-exam1-fall-2017/fig31.jpeg
Which of the following best describes the internal structure of the entity at the apical portion of the #20 region?,Radiopaque,Radiolucent,,,,,A,images/coralrad-exam1-fall-2017/fig32.jpeg
Which of the following best describes the borders of the entity at the apical portion of the #20 region?,Moderately well-defined,Poorly-defined,,,,,A,images/coralrad-exam1-fall-2017/fig33.jpeg
"Based on the overall radiographic presentation, what do you think is the most likely diagnosis of the entity at the apical portion of the #20 region?",Dense bone island,"Dense, reactive bone formation",Apical periodontitis,Primary intraosseous carcinoma,,,A,images/coralrad-exam1-fall-2017/fig34.jpeg
Some calcifications are noted superior to the hyoid on the patient's right side. Which of the following is most likely to be the diagnosis?,Carotid calcifications,Ossified thyroid cartilage,Ossified stylohyoid ligament,Bolus of food,,,A,images/coralrad-exam1-fall-2017/fig35.jpeg
What is the number of the tooth indicated by the red arrow?,#27,#28,#29,#30,#31,,C,images/coralrad-exam1-fall-2017/fig36.jpeg
Which of the following best describes the pattern of bone loss associated with the tooth indicated by the red arrow?,Horizontal bone loss,Vertical bone loss,Intra-radicular bone loss,Periapical bone loss,,,B,images/coralrad-exam1-fall-2017/fig37.jpeg
"Two diagonal radiopaque entities, indicated by red arrows, are noted in the anterior maxilla. What is the most likely diagnosis?",Nasolabial fold,Impacted canines,Palatal torus,Ala of the nose,,,B,images/coralrad-exam1-fall-2017/fig38.jpeg
"Based on the radiographic presentation of the two radiopaque objects in the #14 region, what are they most likely?",Dental implants,Retained roots of #14,Retained roots of #J,Retained roots of #14 and #15,,,B,images/coralrad-exam1-fall-2017/fig39.jpeg
Which of the visualized premolars is most suspicious for recurrent decay?,#12,#13,#20,#21,,,B,images/coralrad-exam1-fall-2017/fig40.jpeg
Which of the following best describes the patient's periodontal condition?,Generalized mild horizontal bone loss (bone level at coronal third of root),Generalized moderate horizontal bone loss (bone level at middle third of root),Generalized severe vertical bone loss (bone level at apical third of root),Generalized apical periodontitis,,,B,images/coralrad-exam1-fall-2017/fig41.jpeg
Horizontal radiopacities are noted in the #3 and #14 regions. Which of the following is the most likely diagnosis?,Dental Implants,Root canal treatment,Broken dental instruments,Ghost image of earrings,,,D,images/coralrad-exam1-fall-2017/fig42.jpeg
