title,Ethics Final Exam (Summer 2019),ethics,,"1 question (about the ADA Ethics Hotline and the school's SPEA chapter) has its answer choices cut off after the first option in the source file, so it was omitted from this practice exam."
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
TCDM Faculty members are expected to:,Stay current with knowledge and skills.,Maintain zero tolerance for cheating and dishonesty.,Maintain confidentiality of student information,Not embarrass or disparage students.,Decide which specifications of the Faculty Code of Conduct they must adhere to.,,E,
Which of the following is NOT an example of a practice that TCDM faculty uses to maintain fairness and consistency in grading of laboratory projects?,Faculty calibration includes review of material and criteria taught.,Ensure consistency between laboratory project and exam rubrics.,Practical exam submissions are graded by 2 faculty members.,Course director reviews examination failures only requested by SAPRC Committee.,,,D,
"During lecture we discussed a case in which a corporate dental group made an unrestricted donation to a dental school in exchange for a faculty member from one of the six general dental clinics providing resumes and rankings of what he considered to be his top five students. This dental group decided not to participate in the school's job fair after they received this information. When considering this case, which of the following statements is FALSE?",Having additional information such as whether students outside of these select five students could still apply for jobs may be helpful in deciding if this was an ethical practice.,This was an acceptable practice because all of the students at the school had an equal chance of getting a recommendation from this faculty member.,"When evaluating this case in terms of ethics, it is important to consider the perspective of the school, the students, and the other dental practices participating in the job fair.",The practice was not necessarily going to end up with the best dentist employees.,The other dental practices participating in the job fair did not have the same opportunities to meet students as did this corporate dental group.,,B,
Which of the following statements is not a part of the Protocol for Ethical Decision-Making that you learned in class?,Confer and agree on the facts.,Ask if there is any missing information.,Identify all possible alternatives for action.,Identify the ethical principles associated with each alternative for action.,Do not utilize outside resources to help during the decision-making process.,Rank your alternatives and chose a course of action.,E,
Which of the following action violates the ethical principle of VERACITY?,Advertising implants at a certain price but then charging additional fees for various additional procedures that are always done.,Selling patients a “the absolute best” mouthguard without telling them that you own the company that makes it.,Keeping the name of a dentist who died 10 years ago in the practice name to attract patients who knew him.,Advertising yourself as a “specialist” in a procedure when it is commonly done by all dentists with no special training or skills.,All of the actions on this list violate the ethical principle of VERACITY.,,E,
"Consider the following two students who take different substances to help them stay up the night before a big examination to study: Jack gets prescription Adderall from a friend, even though Jack has not been prescribed this medication. Jill buys non-prescription No-Doz, caffeine pills marketed as an “Alertness Aid”",Jack cheated but Jill did not.,Jill cheated but Jack did not.,Jack and Jill both cheated.,Jack and Jill both did not cheat.,Deciding whether or not Jack and/or Jill cheated is a decision that may vary between different individuals.,,E,
"Professionalism is the totality of professional responsibility. This includes all of the following, EXCEPT:",Understanding legal obligations.,Understanding ethical obligations.,The obligation to maintain competence and skill.,The ability to exhibit communication and behavioral skills.,The ability to run a successful business.,,E,
Which of the following statements regarding dentists' professionalism is FALSE?,The obligation that dentists have to be professionals begins when they are dental students.,The obligation that dentists have to be professionals is a component of the social contract by which dentists are bound to the public.,"The fiduciary relationship that dentists have with the public is based on trust that dentists will honor their commitments, allowing the dental profession the privilege of governing itself.",The fiduciary relationship that dentists have with the public is based on the expectation that dentists will hold their interests to be equal to the interests of patients.,The fiduciary relationship that dentists have with the public is based on patients' expectations that dentists will work to maintain their competence.,,D,
"Professionals develop their ethical standards based upon all of the following, EXCEPT:",Cultural Relativism which involves meeting the approval of their cultures.,Personal Relativism which involves conforming to their personal standards of goodness or rightness.,Professional Codes which are set forth by their profession.,Universal standards which may be based on their religion and reasoned study.,All of these choices play a role in professionals developing their ethical standards.,,E,
A patient presents with crooked teeth. The dentist tells him that he has no choices other than to have orthodontic treatment. This scenario of Dentist-Patient Interaction is an example of:,The Guild Model.,The Agent Model.,The Commercial Model,The Interactive Model,The Esthetic Model,,A,
A patient presents with deep caries in one of his teeth. His dentist explains that the best treatment is a crown. He asks the dentist if he could do a filling. The dentist explains that a filling can be done but is not his best option as she does not know how long it will hold up. The patient insists that the dentist does the filling. The dentist performs the filling as the patient wants. This scenario of Dentist-Patient Interaction is an example of:,The Guild Model.,The Agent Model.,The Commercial Model,The Interactive Model,The Esthetic Model,,D,
Which of the following is NOT an essential element of the Hippocratic oath?,Respect your teachers.,Treat all patients equally.,Respect patients' rights to make decisions.,Try to prevent as well as cure disease.,A patient's esthetic concerns take precedence over any functional issues.,,E,
"Informed consent includes all of the following elements, EXCEPT:",Risks and benefits of treatment.,Alternative treatments.,Who will be performing the treatment.,Special interests of the provider or other parties.,Treatment fees.,All of the choices listed here are elements of informed consent.,F,
What is the sixth ethical principle that has been proposed for addition into the ADA Principles of Ethics and Code of Professional Conduct?,Respect for Human Dignity.,The Golden Rule.,Compassionate Care.,Artificial Intelligence Doctrine.,Compensatory Resolution.,,A,
The dentist has a duty to promote the patient's welfare with competent and timely delivery of care. This is the definition of which of the following ethical principles?,Autonomy,Beneficence,Non-maleficence,Justice,Veracity,,B,
Which of the following does NOT apply to the theory of Utilitarian Ethics?,The critical factor is the consequence of one's actions.,The focus is on doing good and avoiding harm.,“Aggregate good” is a primary objective.,"Respecting autonomy, veracity, fidelity, and justice are prioritized ahead of maximizing aggregate good and avoiding harm.",,,D,
It is unlikely that the nonmedical use of prescription stimulants can improve academic performance in the long run.,True,False,,,,,A,
Which of the following is NOT a factor that contributes to access to dental care issues?,Individual's personal choices with oral care and diet.,Individual's personal choices with personal finances.,High level of oral health literacy.,Lack of government funding for benefit programs.,Complex social determinants of oral health.,,C,
"Access to health and dental care is measured in terms of all of the following, EXCEPT:",Availability,Utilization,Affordability,Effectiveness,All of the choices listed here are measures of access to care.,,E,
One-third of the United States population has access to care problems.,True,False,,,,,A,
Which of the following statistics about seniors is FALSE?,70 % of seniors do not have dental insurance.,The median income of Medicare beneficiaries over age 65 is greater for whites than blacks and greater for blacks than Hispanics.,Adding dental benefits with a 20% copay for Medicare beneficiaries will increase access to dental care for all Medicare beneficiaries.,One third of Medicare beneficiaries spend 20% of their yearly income on out-of-pocket healthcare costs.,,,C,
Which of the following statements about CWF (Community Water Fluoridation) is FALSE?,CWF increases access to dental care by decreasing disease burden.,CWF decreases dental decay by 20-40%.,CWF reduces disparities in dental decay between high and low socioeconomic status groups better than any other dental initiative.,"According to the American Dental Association and the FDA, CWF has not yet been proven to be safe.",CWF should be promoted by dental professionals as part of our professional responsibility to our patients and communities.,,D,
"Which of the following statements regarding legal, regulatory, and compliance issues related to dental practice is FALSE?",The federal government is responsible for HIPAA which relates to privacy for patients.,The federal government is responsible for the Stark Law which relates to business relationships among healthcare entities.,State governments are responsible for laws and regulations governing the actual practice of medicine and dentistry such as scope of practice.,Local governments are responsible for laws and regulations that may affect dental practices such as zoning and building codes.,"The federal, state and local governments can issue licenses for professionals such as physicians and dentists to practice.",,E,
Which of the following statements regarding HIPAA (Health Insurance Portability and Accountability Act) Laws is FALSE?,HIPAA was originally proposed to enable people to change their jobs and keep their insurance.,HIPAA regulates how Protected Health Information can be disclosed and utilized.,"If a breach of a patient's Protected Health Information occurs, the provider can decide of they will disclose the breach to either the patient or the Office of Civil Rights.","The TPO exception to HIPAA allows disclosure of information that is essential for treatment, payment, and healthcare operations.",Healthcare professionals should obtain and document their patients' preferences for how and to whom protected health information can be communicated.,,C,
Which of the following statements regarding consent for medical/dental treatment is FALSE?,"In general, when a person has reached the age of 18, they are considered responsible for making their own healthcare decisions and providing legal consent for healthcare.","Persons under the age of 18 may be considered responsible for making their own healthcare decisions and providing legal consent for healthcare in specific instances such as reproductive rights, pregnancy, and birth control.",Persons under the age of 18 may be considered responsible for making their own healthcare decisions and providing legal consent for healthcare in specific instances such as HIV status and treatment.,Persons under the age of 18 may be considered responsible for making their own healthcare decisions and providing legal consent for healthcare in specific instances such as psychiatric conditions and medications.,All of these statements regarding consent for medical/dental treatment are TRUE.,,E,
Which of the following statements about OPD is FALSE?,OPD is an acronym for the Office of Professional Discipline.,Many OPD actions are initiated because of complaints by disgruntled patients or employees.,OPD is obligated to investigate all complaints it receives.,There are very few rules which dictate how OPD does its investigations.,"If OPD investigators show up at your office, you should not worry about letting them in and answering their questions without contacting a lawyer first.",,E,
New York State laws govern business relationships that healthcare professionals can be involved in. Which of the following statements is TRUE regarding these potential relationships?,A medical doctor and a dentist may not be partners.,Dentists and medical doctors can pay each other a fee for referring patients to each other.,A dentist can employ a medical doctor.,Dental practices can be owned be non-dentists.,Dental specialists and general dentists can split fees with each other.,,A,
Which of the following actions exhibited by a dentist or the dental profession is not an example of the ethical principle of BENEFICENCE?,Involvement in Community Service.,Involvement in Research and Development.,Not using patents and copyrights to restrict research and care.,Learning about the signs of abuse and neglect and reporting suspicions of such acts.,All of the actions listed here are examples of the ethical principle of BENEFICENCE.,,E,
In the small group sessions we discussed a case in which a dentist was concerned that his patient who needed antibiotic prophylaxis would go to a different dentist and not receive the necessary antibiotic prior to dental treatment. The patient would not allow this dentist to inform the new dentist of the patient's condition and the need for antibiotic prophylaxis. Consider the following statements: I. The ethical principles of BENEFICENCE and NON-MALEFICENCE support the argument that the original dentist should inform the new dentist of the need for antibiotic prophylaxis. II. The ethical principle of AUTONOMY supports the argument that the original dentist should not inform the new dentist of the need for antibiotic prophylaxis.,Both statements are TRUE.,Both statements are FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,A,
In the small group sessions we discussed a case in which a patient wanted their dentist to make a bridge on teeth that were not healthy enough to support the bridge. Which of the following statements is FALSE?,A dentist's desire to deliver competent care to their patient must be coupled with the patient's right to participate in treatment decisions and to select an alternative plan.,"While allowing a patient to exercise the right of self-determination, an agreed-on treatment plan must be “within the bounds of accepted treatment.”",A dentist may be ethically bound to refuse a patient's request for sub-standard care.,Treatment options presented by a dentist should not be limited by whether or not the patient has insurance coverage or by the dentist's participation in an insurance plan.,A patient's right to autonomy takes precedent over all other ethical principles that may play a role in a dentist's decision-making.,,E,
In the small group sessions we discussed a case in which an office manager changed a new dentist's treatment plans for simple restorations to more extensive crowns. Which of the following statements is TRUE?,"If the patient was not involved in the treatment decision-making process, including when the treatment plan was changed, this may be an unethical practice as patient autonomy was violated.","If the patient was not involved in the treatment decision-making process, including when the treatment plan was changed, this may be an illegal practice as patient informed consent was not obtained.","Performing unnecessary services, including substituting a more extensive and subsequently more expensive and profitable procedure for a simpler, more effective and less expensive procedure, is an unethical practice.","Performing unnecessary services, including substituting a more extensive and subsequently more expensive and profitable procedure for a simpler, more effective and less expensive procedure and billing this to an insurance company, may be an illegal practice, as this can be considered insurance fraud.",All of these statements listed here are TRUE.,,E,
In the small group sessions we discussed a case in which a nurse suspected that a new patient was an undocumented immigrant and wanted to report the patient to “the appropriate federal authorities.” Which of the following statements is TRUE?,This action should be taken because US citizens have a general duty to report illegal activity.,The doctor has an obligation to treat the new patient once she presents for treatment.,The doctor can choose not to care for the new patient on the basis of her membership in a legally protected category.,The doctor can legally bill for services provided to the patient even if the doctor suspects that the patient presented an insurance card that was not valid.,"If the nurse reports the patient to “the appropriate federal authorities,” this may be a HIPAA violation and the nurse may be subject to disciplinary action including termination.",,E,
"When assessing a specific case, consideration of different ethical principles may result in conflicting decisions.",True,False,,,,,A,
