title,Preclinical Pediatric Dentistry Final Exam (Spring 2021),pedo,final
question,option_a,option_b,option_c,option_d,correct,image
By what age should children have all of their deciduous teeth?,2-3 years old,6-7 months old,6-7 years old,4-5 years old,A,
A child’s mixed or transitional dentition occurs between:,6 months and 2 years old,6 months and 12 years old,6 years and 12 years old,6 years and 16 years old,C,
Which tooth is the 6 year molar?,I,T,14,18,C,
Occlusal surfaces constitute the most caries susceptible sites for children. This is true because:,Enamel is the thinnest at the base of the fissures,Fissures can often be quite deep trapping food and bacteria,Base of fissure is difficult to clean mechanically with a toothbrush,All of the answers,D,
Which of the following is a contraindication for sealant application?,A fully erupted tooth with an open apex,A tooth with a deep fissure,A tooth with a cavitated carious lesion,None of the answers,C,
Early signs of decay can present as white spot lesions. Which of the following statement is false regarding white spot lesions?,They are a result of demineralization,They appear as concentrated chalky areas,They are usually located near the incisal one-third of primary teeth,Can be easily mistaken as plaque accumulation,C,
The rubber dam placement in the image below is acceptable because the mandibular tooth receiving treatment is completely isolated.,True,False,,,B,images/pedo-final-spring-2021/fig36.jpeg
Which of the following is not true in regard to glass ionomer as a restorative material for primary teeth?,Fluoride release and uptake,Less sensitive to moisture,Good material for ITR/ ART,Success highly dependent upon cavity preparation,D,
The following is a picture of which condition?,Eruption hematoma,Mucocele,Traumatic ulcer,Hyperplastic pulpitis,A,images/pedo-final-spring-2021/fig38.jpeg
Which of the following would put an 8 year old patient in the high risk category according to the AAPD Caries Risk Assessment Tool?,Recent immigrant,Patient has a lifetime of poverty or low health literacy,Lives in a fluoridated community,Patient has a lower lingual holding arch in place,B,
A 4 year old patient will require pulpotomies and stainless steel crowns on teeth K and L. What injection technique should be used?,Inferior alveolar nerve block,Supraperiosteal local infiltration,Mental nerve block,None of the answers,A,
"When creating a caries management pathway for a child, all of the following must be taken into account except:",Caries risk,Patient cooperation,Whether the dentist is a pediatric dentist,Parental engagement,C,
"A 6 year old patient weighing 52 pounds requires multiple restorations in the upper right quadrant. How many cartridges of 2% lidocaine with 1:100,000 epinephrine can you safely administer?",3,6,2,5,A,
"When preparing a tooth for a stainless steel crown, one must:",Place a shoulder around the entire circumference of the tooth,Place a chamfer around the lingual aspect of the tooth,Pick the largest size crown that you can fit so that you have a tight contact,Leave the buccal bulge for retention,D,
All of the following are true about Autism Spectrum Disorder except:,A lead apron sometimes has a calming effect on autistic patients,Is the most common neurobehavioral disorder in children,May pouch food instead of swallowing,May benefit from desensitization,B,
Having a patient watch the movie Frozen during treatment is an example of:,Distraction,Modeling,Tell Show Do,Voice Control,A,
All of the following are components of magic mouthwash except:,Diphenhydramine,Maalox,Fluoride,Lidocaine,C,
A 5 year old patient who received a toxic dose of local anesthesia may exhibit a fall in blood pressure followed by an increase in heart rate.,True,False,,,B,
All of the following are true about ectopic eruption of the first permanent molar except:,It can correct itself,Resorption of the distal root of the primary first molar,Supraeruption of the opposing molar,Can be diagnosed with pan or bitewings,B,
"The following asymptomatic, 3 year old patient presents to your office in need of definitive treatmentwhat is the best course of action?",Refer to a pediatric dentist for care under general anesthesia,Do nothing until the child is older,Prescribe amoxicillin 250 mg/ 5ml- 5ml bid for 10 days,Prescribe prevident toothpaste,A,images/pedo-final-spring-2021/fig49.jpeg
What would be the recommended treatment for teeth E and F on this 3 year old patient?,Pulpectomy and strip crown,Allow to exfoliate,Extract,Place SDF,C,images/pedo-final-spring-2021/fig50.jpeg
