title,Endodontics Final Exam (Spring 2019),endo,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
The incidence of separated instruments increases when,instruments are used in 30º oscillation,instruments that are ground rather than twisted are used,when instruments are used in either continuous or interrupted rotations,high frequency short arcs (30º) of motion are employed,,,B,
Causes of rotary instrument separation include:,inadequate access,operator inexperience,canal curvature (radius),torque setting,all the above,,E,
What is not the case when using 30º oscillating stainless steel relieved twisted reamers?,they can be used aggressively in the bucco-lingual plane,they are designed to be used as internal routers to remove more pulp tissue while preserving more dentin.,they must be replaced after shaping no more than two teeth,they can be used in highly curved canals without concern for separation,create a glide path for the larger instruments without concern for apical canal distortion,,C,
Teeth with cracks,inevitably become non-vital,invariably become complete vertical fractures,require the extraction of the tooth,may or may not require endodontics depending upon the location and depth of the crack.,,,D,
Etiology of vertical root fractures does not include:,prior endodontic treatment,their occurrence long after instrumentation and obturation,excessive force applied during root canal instrumentation and obturation.,excessive tooth structure removal,the use of a high frequency 30º oscillating handpiece,,E,
A sinus tract present on the labial surface of the gingiva is proof that a vertical fracture is present.,True,False,,,,,B,
Vertical fractures are associated with,a broad shallow pocket when probed,a definite reaction to both heat and cold tests,a narrow deep pocket when probed,a minimal amount of bone loss when viewed radiographically,,,C,
Diagnostic tools in determining if a crack or fracture is present include:,the Tooth Sleuth,fiber optic light,selective anesthesia,radiographs at different angles,cbct,,C,
During canal instrumentation less resistance is encountered when,the flutes on the instrument are more horizontally oriented,a greater number of flutes are present along the 16 mm of working length,the flutes on the instrument are more vertically oriented,the oscillating speed is increased,,,C,
"With the goal of removing as little tooth structure as possible while removing the maximum amount of pulp tissue in the safest way, the most effective approach is to use",greater tapered rotary systems,lesser tapered rotary sytems,lesser tapered instruments by hand,lesser tapered relieved reamers in a 30º oscillating handpiece,,,D,
Based on Newton's Third Law of Motion,rotating instruments are less likely to cause dentinal microcracks than 30º oscillating instruments,30º oscillating instruments are less likely to cause dentinal microcracks than rotating instruments,greater tapered instruments are safer for the remaining dentin,higher rotation speeds are safer for the remaining dentin,,,B,
The most accurate way to measure the length of the canal is via the use of,radiographs,the apex locator,manual feel,cbct,,,B,
Maxillary lateral incisors mostly have one canal. However about 20% of the time they will have two canals.,True,False,,,,,B,
On average a set of 20 mm length files will be sufficient to clean and shape tooth #6.,True,False,,,,,B,
The most common root canal configuration for a maxillary first premolar is two roots and two canals.,True,False,,,,,A,
Most studies show that more than 50% of the time the MB root of the maxillary 1st molar has two canals.,True,False,,,,,A,
"Narrow, ribbon shaped communication between two canals WITHIN THE SAME ROOT",Constriction,Isthmus,Anastomosis,Lateral foramen,,,B,
Occasionally the mandibular molar can have a third root called: Dens invaginatus,True,False,,,,,B,
Patient presents with pain on his lower right side. Deep caries are noted radiographically as well as a PAR (periapical radiolucency) on both mesial and distal roots of tooth #30. There is no response on cold testing. The best approach to treatment is:,Full root canal therapy followed by final restoration,Caries excavation and only perform root canal if there is a pulpal exposure,Extract tooth because once there is a PAR the tooth will not be restorable,Partial root canal therapy and wait for healing of PAR (pulpotomy),,,A,
A root canal filling material and sealer should be soluble in a common solvent:,To treat perforations,To remove overfilling,To perform retreatment of root canal therapy if necessary,To enhance the restoration,,,C,
The smear layer is made up of particles of organic and inorganic material that occlude the dentinal tubules within the root canal. Which of the following will do the best job of removing the smear layer?,Sodium hypochlorite and EDTA,Sodium hypochlorite and calcium hydroxide,Sodium hypochlorite and urea peroxide,Sodium hypochlorite and citric acid,,,A,
You are going to start a root canal treatment on tooth #20. The general rule is the dental dam isolation should be as follows:,Place clamp on tooth #18 and extend to tooth #25,"Place clamp on tooth #19 and place dental dam over #s 19, 20 &21",Place clamp and dam on tooth #20,The use of cotton roll isolation is sufficient for this case,,,C,
Chlorhexidine is an effective irrigant when doing root canal therapy. It is as effective as sodium hypochlorite in all the following criteria except:,Killing viruses and fungi,Killing gram negative obligate anaerobes,Killing gram positive facultative anaerobes,Dissolving pulpal tissue,,,D,
When comparing sodium hypochlorite and chlorhexidine for which of the following properties is chlorhexidine better:,Chlorhexidine has a more broad spectrum effect on microoganisms,Chlorhexidine dissolves tissue in dentinal tubules and lateral canals,Chlorhexidine is less toxic to tissue,Chlorhexidine and hyochlorite both can be used as a mouth wash to kill oral bacteria,,,C,
The final filling of a canal should reach:,Apical constriction,The anatomic length plus 1mm,The working length plus 1mm,Radiographic apex,,,A,
A person with a completely necrotic pulp will many times complain of a lingering pain to cold.,True,False,,,,,B,
A reversible pulpal inflammation will always give a positive percussion test,True,False,,,,,B,
"Rubber dam isolation should be used during all Endodontic procedures except in situations in which it causes the patient discomfort, in which case a cotton roll isolation is used",True,False,,,,,B,
Increasing the taper on a file means more dentin will be removed from the canal wall,True,False,,,,,A,
When filing the MB canal of a lower mandibular molar it is better to use .06 tapered files than .04 tapered files to avoid strip perforation,True,False,,,,,B,
A tooth with a large PAR (periapical radiolucency) that tests within normal limits to cold is indicative of a diseased pulp,True,False,,,,,B,
Tooth has been hypersensitive to cold and sweets over the past few months but these symptoms have recently subsided and now the patient feels a throbbing pain but no sensitivity to cold. Tooth is very sensitive to touch. A likely diagnosis is:,Symptomatic irreversible pulpitis with symptomatic apical periodontitis,Symptomatic irreversible pulpitis with pulp necrosis,Pulp necrosis with acute apical abscess,Pulp necrosis with symptomatic apical periodontitis,,,D,
