title,Ethics Final Exam (Summer 2021),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Consider the following statements: I. The original Hippocratic Oath includes a physician’s duty to protect patient privacy/confidentiality. II. The Modern Hippocratic Oath includes a physician’s duty to protect patient privacy/confidentiality. III. HIPAA laws include a physician’s duty to protect patient privacy/confidentiality.,"I, II, and III are all TRUE.",Only I is TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,Only III is TRUE.,,A,
"The ADA Principles of Ethics and Code of Professional Conduct include all of the following, EXCEPT:",A description of the principles of ethics which includes aspirational goals of the profession.,A Code of Professional Conduct that expresses specific conducts that are required or prohibited.,Advisory Opinions that consist of interpretations applying the Code of Professional Conduct to specific situations.,A statement that high ethical standards should be adopted and practiced throughout the dental school educational process.,A description of specific situations in which ethical behavior can be suspended.,,E,
Consider the following statements: I. A dentist must provide emergency care to their patients of record. II. A dentist cannot criticize the work of other dentists. III. A dentist can only provide expert testimony if it is just and fair. IV. A dentist can split fees with other dentists but not with medical doctors. When considering the ethical principle of justice…,…only I and IV are TRUE when considering the ethical principle of justice.,…only  I and III are TRUE when considering the ethical principle of justice.,"…only I, III, and IV are TRUE when considering the ethical principle of justice.","…only I, II, and III are TRUE when considering the ethical principle of justice.","…I, II, III, and IV are all TRUE when considering the ethical principle of justice.",,B,
A patient that you are in the midst of treating makes statements that you consider offensive and you wish to dismiss them from your practice. Consider the following two statements: I. Dismissing the patient violates the principle of patient autonomy as the patient cannot continue care with their chosen provider. II. Dismissing the patient promotes patient autonomy if you are concerned that you may now treat the patient differently because of unconscious or implicit bias and the patient should be able to choose a provider who will treat them properly.,I and II are both TRUE.,I and II are both NOT TRUE.,I is TRUE and II is NOT TRUE.,I is NOT TRUE and II is TRUE.,,,A,
Which of the following statements about healthcare is FALSE?,Healthcare can be considered a fundamental social good that promotes human dignity and well-being.,Healthcare is an individual right guaranteed to all Americans in the Constitution.,Healthcare can be considered a communal obligation.,Healthcare can be considered a commodity.,NONE of these statements is FALSE.,,B,
Access to medical care may be hindered by:,Utilizing inaccurate race-based corrections of laboratory findings.,Lack of medical insurance or funds to pay for medical care.,Differing approaches to provision of care by physicians vs. hospital facilities.,Conflicts between a physician’s obligation to an individual patient vs. society.,All of these issues.,,E,
"Health inequities are differences in health status or in the distribution of health resources between different population groups, arising from the social conditions in which people are born, grow, live, work, and age.  Which of the following parameters can be used as a measure of health inequities?",Incidence and prevalence of disease.,Disability adjusted life years.,Premature or excessive mortality.,Quality of life.,All of these choices can be used as a measure of health inequities.,,E,
Structural Determinants of Health are social variables that impact a person’s health. They include all of the following EXCEPT:,The person’s access to food.,"The neighborhood, community, and physical environment where a person lives.",The person’s economic stability.,The person’s level of education.,The presence of genes that are responsible for various diseases in a given person.,,E,
The Weathering Hypothesis is stated in which of the following?,African Americans experience early health deterioration as a consequence of the cumulative impact of repeated experience with social or economic adversity and political marginalization.,Deterioration in the health status of individuals occurs in persons subjected to weather extremes due to an inadequate housing situation and/or economic status which makes them unable to limit their exposure to these extremes.,A person will not be able to improve their health if they do not have an economic stake in making this improvement occur.,Individuals can control all factors affecting their health except their genetic makeup.,,,A,
Which of the following statements is FALSE?,Federal laws govern how you practice with specific laws directed at healthcare operations such as HIPAA.,The specific procedures you are allowed to perform in practice are governed by state laws.,Local municipality laws may affect how you practice with laws such as zoning regulations.,A license to practice dentistry is granted by the federal government.,ALL of these statements are TRUE.,,D,
Which of the following is NOT an example of a HIPAA violation?,A dentist posting his schedule with patients’ names and the procedures they will be undergoing in a location where other patients can see it.,A dentist posting his schedule with no patient names on it but only with the procedures he/she will be doing in a location where other patients can see it.,A dentist leaving a message with a patient’s relative with specific health-related information without the patient’s permission.,A dentist speaking with a representative of the patient’s insurance provider to get preapproval for a necessary procedure.,All of these statements are examples of HIPAA violations.,,B,
Which of the following statements is most accurate?,"The age of consent is always 21, the same as for buying alcohol.","The age of consent is always 18, the same as for voting.",The age of consent is generally 18 but may in certain instances be lowered to 13 if the patient is deemed to have adequate cognition and maturity.,"The age of consent is always 16, the same as for driving.",The age of consent is 18 for males and 16 for females since females mature earlier.,,C,
Which of the following statements is FALSE?,Disgruntled employees are often a source of complaints reported to the Office of Professional Discipline.,Unhappy patients are often a source of complaints reported to the Office of Professional Discipline.,The Office of Professional Discipline is required to investigate any complaints about dentists that it receives.,You should deal with Office of Professional Discipline investigations on your own because hiring a lawyer will make it look like you know you are guilty of wrongdoing.,You should not invite Office of Professional Discipline investigators into your office.,,D,
Which of the following statements regarding fee accommodations is FALSE?,A dentist can make fee accommodations for patients on a case-by-case basis.,A dentist cannot make fee accommodations that are discriminatory.,A dentist can make fee accommodations for a specific group such as all members of the clergy.,A dentist can make fee accommodations for clergy members of just one faith.,A dentist can make fee accommodations for all patients by just accepting what insurance pays and not collecting co-pays or deductibles.,,D,
Which of the following statements about dismissing a patient from a dental practice if FALSE?,Specific rules dictate the conditions for dismissing a patient from a dental practice.,"If a patient is not dismissed in a manner consistent with stated regulations, the dentist is guilty of patient abandonment.","In New York State, if a patient is dismissed from a practice, the dismissing dentist is required to continue to provide care for 180 days.",A patient cannot be dismissed from a practice if they are a member of a protected class or if the dismissal is discriminatory.,All of these statements are TRUE.,,C,
You were presented with a case where a patient did not want their current dentist to tell their new dentist about a medical issue that the patient had which required antibiotics prior to dental care.  The patient was switching dentists to avoid taking the antibiotics even though not taking the antibiotics could be life-threatening. Which of the following statements is FALSE?,The principle of non-maleficence supports the current dentist going against the patient’s wishes and informing the new dentist about the patient medical issue.,It may be illegal for the current dentist to go against the patient’s wishes and inform the new dentist about the patient medical issue.,The principle of beneficence supports the current dentist doing what is possible and clinically appropriate so that the patient receives premedication when necessary.,"The principle of beneficence supports the current dentist complying with the expressed desires of the patient. It states that the dentist must act “within the bounds of clinical circumstances presented by the patient, with due consideration being given to the needs, desires and values of the patient.”",ALL of these statements are TRUE.,,D,
You were presented with a case where a patient requested sub-standard care that would be covered by their insurance and offered to sign a waiver absolving the dentist from responsibility if the treatment did not work. Which of the following statements is most accurate?,The dentist has no choice but to comply with the patient’s request as required by the principle of patient autonomy.,If the dentist performs the requested treatment this would violate the principle of nonmaleficence.,"Since the requested sub-standard treatment would be covered by insurance and all of the other options would not be covered, the dentist can justify doing substandard treatment by invoking the principle of beneficence since from a financial perspective, this is then in the patient’s best interest.",The dentist should explain everything to the patient again and say that the requested treatment may not be optimal but it “really isn’t sub-standard” and then the dentist should perform that treatment.,The dentist can perform the sub-standard treatment by rationalizing that the patient would just go to another dentist who will do the requested procedure.,,B,
"You were presented with a case where a recently graduated dentist had his treatment plans changed to what they felt was unnecessary and more complex treatment by the practice manager, who was the wife of the dentist owner and was not a dentist herself.  The recent grad was worried that if they did not implement the revised treatment plan, they may lose their job. Consider the following statement:  If the owner dentist insists on this new treatment plan and the young dentist feels it can harm the patient, the young dentist is obligated for the patient’s sake to bring the matter to the attention of the local constituent or component dental society.",TRUE.,FALSE.,,,,,A,
You were presented with a case in which a dentist told a patient to sue their previous dentist so the patient could then afford the “good dentistry” that the new dentist would provide. Which of the following statements is TRUE?,A difference of opinion as to preferred treatment should not be communicated to the patient in a manner which would unjustly imply mistreatment.,Dentists are obligated under the ADA Code to report any “instances of gross or continual faulty treatment by other dentists” to the appropriate agencies.,Advising the patient to hold off on necessary treatment until they win their suit may be an ethical violation because dentists are obligated to provide competent and timely delivery of dental care.,ALL of these statements are TRUE.,ALL of these statements are FALSE.,,D,
You were presented with a case in which a dentist was concerned about his long-term friend and partner’s apparent drug dependency. Which of the following statements is TRUE?,"If a dentist is practicing while impaired, they can potentially harm a patient in violation of the principle of autonomy.",A dentist bears no responsibility to act when they feel another dentist is endangering the welfare of a patient.,A dentist with first-hand knowledge of a colleague’s impairment is ethically responsible to report the colleague to the professional assistance or chemical dependency committee of the appropriate dental society.,A dentist who is impaired is obligated to report this impairment to all patients that they have ever treated.,The concerned dentist should observe the impaired partner when they are providing treatment but they only need to act if they know that the patient is being harmed.,,C,
"You were presented with a case in which a participant in a research study wanted to be “reimbursed” for transportation costs that she did not actually incur. When analyzing this case, which of the following questions is legitimate to consider?",Could the transportation “reimbursement” be construed by some as a payment for participating in the study and thus be a form of coercion?,Could “reimbursing” the participant for a cost that she did not incur compromise the research?,Is there an ethical concern with the study director agreeing to “reimburse” the participant when that is not an honest description of what occurred?,Does it matter who made the decision to “reimburse” the participant?,ALL of these questions are legitimate to consider.,,E,
You were presented with a case in which a patient presented to a clinic with what appeared to be fake ID and members of the clinic staff suspected that the patient was an undocumented immigrant and wanted to turn her in to immigration authorities. Which of the following statements regarding the LEGAL considerations in this case is/are FALSE?,"Even if there was proof that the ID was fake and the patient was in the US illegally, clinic personnel are not legally required to turn her in as there is no general obligation to report a crime.",The clinic has no legal responsibility to verify the patient’s identity when they suspect identity fraud and can bill the insurance provider under the name and insurance information that the patient provided.,"If the clinic doctor reasonably concludes that they will be unable to treat the patient safely because the patient is likely to withhold or misrepresent important information, the doctor can legally decline to enter into the doctor-patient relationship from the start.","The doctor cannot legally refuse to care for the patient on the basis of her membership in a legally protected category—for example, race, religion, national origin, color, sex/gender/gender identity/sexual orientation, veteran status, or disability.","All the personal information the patient provided—her name, her address, and any other data such as her health history and current complaint—is protected from disclosure to immigration authorities under the HIPAA laws.",,B,
You were presented with a case in which a patient presented to a clinic with what appeared to be fake ID and members of the clinic staff suspected that the patient was an undocumented immigrant and wanted to turn her in. Which of the following statements regarding the ETHICAL considerations in this case is/are FALSE?,"The principle of beneficence would be consistent with a belief that the duty of a physician is to take care of anyone who comes to him or her for care, regardless of that person’s societal status.",A physician has a moral obligation to work for free.,A physician has a professional obligation to leave prejudices at home.,"If the physician was legally bound to report patients with suspicious immigration status, an argument could be made that the demands of beneficence and the weight of the patient-doctor relationship can transcend the law, and the physician would be morally justified if they chose not to report.",ALL of these statements are FALSE.,,B,
You were presented with a case in which a patient’s medical benefits were reduced because the patient smoked tobacco. Which of the following statements is FALSE?,Physicians may see conflicts between their legal and ethical duties if they are required to report a patient who smokes.,Patients may be unfairly penalized because failure to achieve the goal of not smoking does not necessarily mean that the patient was noncompliant with a smoking cessation program.,This program may be consistent with the ethical principle of beneficence because its goal is to get patients to stop a behavior that is detrimental to their health.,This program may not be consistent with the ethical principle of beneficence because it reduces their healthcare benefits which may be detrimental to their health.,ALL of these statements are TRUE.,,E,
Providing care to all patients in a non-discriminatory manner is most consistent with which of the following ethical principles?,Autonomy.,Beneficence.,Non-maleficence.,Justice.,Veracity.,,D,
"The informed consent process involves explaining treatment options to patients and providing information regarding the risks, benefits, and likelihood of success of any recommended treatments, as well as the risks, benefits, and likelihood of success of all possible alternative treatments so that the patient can determine what, if any, treatment they will accept. This is most consistent with which of the following ethical principles?",Autonomy.,Beneficence.,Non-maleficence.,Justice.,Veracity.,,A,
The American Dental Association has a toll-free hot-line that members can call when they encounter a situation and need advice on the ethics involved in making a decision.,TRUE.,TRUE.,,,,,B,
