title,Periodontics I Final Exam (Spring 2018),perio1,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following is true regarding calculus removal prior to surgery?,The is an increase in the size of the surgical field,There is a decrease in the amount of time the flap needs to be open,There is a decrease in the band of attached gingiva,None of the above,,,B,
What factors are responsible for reduced pocket depths after Scaling and Root Planing?,Inability to probe due to close adaptation of gingival to tooth,Gain of attachment,Recession of the gingiva,All of the above,,,D,
What is true regarding the cell wall of many Gram-negative bacteria?,There is a lipopolysaccharide that is cytotoxic to fibroblasts,The cell wall causes stimulation of bone deposition,It has endotoxin that is not heat stable,All of the above,,,A,
What is the rationale for removing calculus?,Because it is a mechanical irritant against the sulcular lining.,It causes plaque to be removed more easily,a and b.,None of the above,,,A,
After Scaling and Root Planing how long does it take for gingival re-epithelialization to take place?,3-5 weeks,5-8 weeks,9-12 weeks,None of the above,,,D,
At which range does the Piezoelectric Scaler operate?,"3,000 - 8,00 cycles per second","18,000 - 45,000 cycles per second","25,000 - 50,000 cycles per second","50,000 - 100,000 cycles per second",,,C,
The following conditions are an indication for the use of Interdental Aids:,Large interdental spaces,The presence removable appliances,The absence of bone loss,All of the above,,,A,
What is the average width of furcation openings?,2-3mm,1.5-2mm,3-4mm,.5-1mm,,,D,
When comparing manual scaling and ultrasonic scaling which of the following is/are true?,Pocket depth reduction is similar,Plaque removal is similar,Reduction of microflora is similar,a and b,a and c,"a, b, and c are true",D,
What are the benefits of hand scaling?,Different curette designs allow for better access,There is greater control,There is increased tactile sensitivity,All of the above,,,D,
According to the Silness and Loe 1964 Plaque Index what score has the following definition: “Abundance of soft matter within the crevice and/or on the gingival margin and adjacent tooth surface.”?,“1”,“2”,“3”,“4”,,,C,
What are the effects of Gingival Massage?,Increased circulation,Decreased keratinization,Protection against microorganisms,All of the above,,,A,
A new toothbrush removes how much more plaque than a 3 month old toothbrush?,10%,20%,30%,40%,,,C,
"When a molar tooth has a horizontal component of attachment loss into the furcation area and there is no communication with each other, what Glickman Classification is it?",Grade I,Grade II,Grade III,Grade IV,,,B,
What is special about the Naber's Probe?,It is Marquis color-coded,It is used to measure recession,It is used to detect furcation grade,None of the above,,,C,
What factors affect the results of periodontal probing?,Force applied when probing,Shape of the periodontal probe tip,Probe diameter,All of the above,,,D,
Which of the following is true regarding Gingivitis?,Gingivitis always progresses to Periodontitis,Periodontitis always precedes Gingivitis,Gingivitis may remain stable for many years and may never progress to Periodontitis,None of the above,,,C,
Chronic Periodontitis has which of the following features?,Rate of progression in most cases is slow to moderate,Subgingival calculus is usually absent,Amount of bone loss is not related to home care and plaque levels,Bone loss is not likely to occur in untreated sites,,,A,
"According to Lang 1999, which of the following are common features of Aggressive Periodontitis?",There is a contributory medical history,There is slow bone loss,There is familial aggregation of cases,None of the above,,,C,
Which of the following is a secondary feature of Aggressive Periodontitis?,The amount of plaque buildup is consistent with the severity of tissue destruction,There may be elevated production of interleukin-1B in response to bacterial endotoxin,Phagocytes are normal,The progression of attachment loss is never self-arresting,,,B,
"When describing Periodontitis, the extent and severity are described as follows:",Severity is slight when there is 26% bone loss,Severity is moderate when there is 30% bone loss,Extent is Localized when >30% of the sites are involved,Severity is severe when there is 40% bone loss,,,B,
What is true regarding the Early Lesion of Gingivitis?,There is an increase in T-cells,There is no bleeding on probing,Margination of Neutrophils begins,All of the above,,,A,
During which phase of Gingivitis does the formation of rete pegs begin?,Stage 1,Stage 2,Stage 3,Stage 4,,,C,
What is not true regarding the Established Lesion of Gingivitis,Plasma cells are found at the periphery of the lesion,Macrophages and lymphocytes are present in the lamina propria of the pocket wall,Junctional and pocket epithelium are infiltrated with neutrophils,Develops after a set period after plaque accumulation,,,D,
Which of the following is a role of Polymorphonuclear Leukocytes?,Secretion of complement proteins,Phagocytosis of bacteria and their products,Antigen processing and presentation,None of the above,,,B,
What is a disadvantage of Oral Irrigation Devices?,They can remove debris around orthodontic appliances,They can be used to deliver chemotherapeutic liquids,They may disrupt plaque,Transient bacteremia has been found following irrigation,,,D,
What is the function of GCF (Gingival Crevicular Fluid)?,There is antimicrobial activity,There is cleansing of material from the sulcus,There is antibody activity in defense of the gingiva,All of the above,,,D,
After how long of plaque accumulation does it take for the Early Lesion of Gingivitis to develop?,1 day,3 days,4-7 days,14-21 days,,,C,
