title,Pain & Anxiety Control Final Exam (Spring 2018),painanx,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"PATIENT #1: A 26 year old male in acute pain has a pericoronitis on a partially bony impacted #17. You conclude that the correct treatment is surgical removal of #17. He weighs approximately 150 lbs (70 kg). You perform an inferior alveolar nerve block with lingual nerve block using one cartridge of 0.5% Bupivacaine w Epi 1:200,000. You perform a buccal nerve block with half of a cartridge and to make certain that the patient is numb, you infiltrate local anesthesia around the surgical site using the remaining half of the cartridge. You have injected a total of 2 cartridges to this point. You wait 5 minutes and the patient indicates that his lower left lip feels numb. You proceed to remove the impacted lower left third molar. You notice that tooth #16 is hyper-erupted and is traumatizing the pericoronal soft tissues overlying the lower left third molar. You inform the patient that extraction of #16 is recommended, and you obtain informed consent to perform this surgery. The patient indicates that he is getting very nervous and requests something to ease his stress. He agrees with your suggestion to use “laughing gas,” Nitrous Oxide/Oxygen inhalation sedation. Following satisfactory induction of Nitrous Oxide/Oxygen inhalation, you proceed to administer local anesthesia. What injections are required for the extraction of #16?",Mylohyoid nerve block with supplemental buccal infiltration,Middle superior alveolar nerve block with nasopalatine nerve block,Posterior superior alveolar nerve block and greater palatine nerve block,Mental nerve block with buccal nerve block,,,C,
"PATIENT #1: A 26 year old male in acute pain has a pericoronitis on a partially bony impacted #17. You conclude that the correct treatment is surgical removal of #17. He weighs approximately 150 lbs (70 kg). You perform an inferior alveolar nerve block with lingual nerve block using one cartridge of 0.5% Bupivacaine w Epi 1:200,000. You perform a buccal nerve block with half of a cartridge and to make certain that the patient is numb, you infiltrate local anesthesia around the surgical site using the remaining half of the cartridge. You have injected a total of 2 cartridges to this point. You wait 5 minutes and the patient indicates that his lower left lip feels numb. You proceed to remove the impacted lower left third molar. You notice that tooth #16 is hyper-erupted and is traumatizing the pericoronal soft tissues overlying the lower left third molar. You inform the patient that extraction of #16 is recommended, and you obtain informed consent to perform this surgery. The patient indicates that he is getting very nervous and requests something to ease his stress. He agrees with your suggestion to use “laughing gas,” Nitrous Oxide/Oxygen inhalation sedation. You administer local anesthesia and proceed to remove #16. Following the reflection of a buccal flap, you encounter significant bleeding that does not permit you to proceed. Supplemental injection of which of the following local anesthetic solutions would be the most helpful in this scenario?",3% Mepivacaine,"0.5% Bupivacaine with Epinephrine 1:200,000","4% Articaine with Epinephrine 1:200,000","2% Lidocaine with Epinephrine 1:100,000",,,D,
"PATIENT #2: A 32 year old female presents with a painful swelling in the mucobuccal fold adjacent to the apex of a grossly carious #3. The swelling is fluctuant and you indicate that you must drain the infection and remove tooth #3. You inject one cartridge of 2% Lidocaine with Epinephrine 1:100,000 through the tissues of the mucobuccal fold directly toward the apex of tooth #3. Is this the correct or incorrect injection for obtaining local anesthesia and why?",It is the correct injection as it will anesthetize the pulp and buccal soft tissues.,It is the incorrect injection because you must also anesthetize the palatal tissues.,It is the incorrect injection because you are directly injecting into an area of infection and you can spread the infection.,"It is the correct injection because the lower pH of the tissues makes the local anesthetic exist more in the charged for RNH+, which is the form that blocks the sodium channels.",,,C,
"PATIENT #2: A 32 year old female presents with a painful swelling in the mucobuccal fold adjacent to the apex of a grossly carious #3. The swelling is fluctuant and you indicate that you must drain the infection and remove tooth #3. You inject one cartridge of 2% Lidocaine with Epinephrine 1:100,000 through the tissues of the mucobuccal fold directly toward the apex of tooth #3. You proceed to attempt to drain the infection and you realize that the patient is not adequately anesthetized. The patient also becomes extremely anxious. Which of the following two modalities would be most effective in providing a satisfactory pain control plan?",Administer N20/02 and provide a posterior superior alveolar nerve block and local infiltration in the areas around the periphery of the abscess,Administer N20/02 and perform an inferior alveolar nerve block,Administer N20/02 and perform an anterior superior alveolar nerve block,Administer a Gow Gates nerve block and use N20/02 only if necessary,,,A,
"PATIENT #3: A 40 year old female in pain, with a history of supraventricular tachycardia, requires endodontic therapy on tooth # 11. You obtain written clearance from her cardiologist who indicates that you should minimize her exposure to Epinephrine. The remainder of the medical history is unremarkable. She informs you that she has had numerous dental procedures under local anesthesia without any difficulties. Which of the following is the local anesthetic of choice for this patient?",3% Mepivacaine,"2% Lidocaine with Epinephrine 1:100, 000","2% Lidocaine with Epinephrine 1:50,000","0.5% Bupivacaine with Epinephrine 1:200,000",,,A,
"PATIENT #3: A 40 year old female in pain, with a history of supraventricular tachycardia, requires endodontic therapy on tooth # 11. You obtain written clearance from her cardiologist who indicates that you should minimize her exposure to Epinephrine. The remainder of the medical history is unremarkable. She informs you that she has had numerous dental procedures under local anesthesia without any difficulties. Which local anesthetic technique is required for you to perform this procedure on #11?",Posterior superior alveolar nerve block with greater palatine nerve block,Nasopalatine nerve block,V2 nerve block through greater palatine foramen,Infiltration to apex of #11 and palatal infiltration,,,D,
"PATIENT #3: A 40 year old female in pain, with a history of supraventricular tachycardia, requires endodontic therapy on tooth # 11. You obtain written clearance from her cardiologist who indicates that you should minimize her exposure to Epinephrine. The remainder of the medical history is unremarkable. She informs you that she has had numerous dental procedures under local anesthesia without any difficulties. You administer local anesthesia using the appropriate injections. Objectively the patient appears to be anesthetized, however, when you begin to perform endodontic access on #11, the patient jumps and responds with significant pain. You repeat the correct injections, but the patient has the same painful response. Which of the following alternatives is the best option for this patient","Repeat the correct injections using a different local anesthetic containing Epinephrine 1:50,000","Perform anterior superior alveolar nerve block using a different local anesthetic containing Epinephrine 1:200,000","Repeat the same injections that were given originally two more times, and if that doesn't provide acceptable pain relief, reschedule the patient in one week.","Repeat the same injections that were given originally two more times, and if that doesn't provide acceptable pain relief, administer inhalation sedation with Nitrous Oxide 25% with Oxygen 75% and complete the procedure, even if the patient is uncomfortable.",,,B,
Please indicate whether the statements are TRUE or FALSE based on the Touro Dental Health Policy on the Prescribing of Controlled Substances. Controlled substance prescriptions will be issued to cover seven days of pain control.,True,False,,,,,B,
Please indicate whether the statements are TRUE or FALSE based on the Touro Dental Health Policy on the Prescribing of Controlled Substances. Renewal of narcotic analgesic prescriptions can be given after the prescribing faculty member speaks to the patient on the phone and determines the need for the renewal.,True,False,,,,,B,
"Please indicate whether the statements are TRUE or FALSE based on the Touro Dental Health Policy on the Prescribing of Controlled Substances. When prescribing a controlled substance for a patient that lives in a neighboring state, the Prescription Monitoring Program registry for that state, if it exists, must also be checked by the prescribing faculty member.",True,False,,,,,A,
"Please indicate whether the statements are TRUE or FALSE based on the Touro Dental Health Policy on the Prescribing of Controlled Substances. In order to receive a prescription for a controlled substance, a patient must certify that they understand that their pain will be adequately managed so that they can expect to be pain-free at all times.",True,False,,,,,B,
"Please indicate whether the statements are TRUE or FALSE based on the Touro Dental Health Policy on the Prescribing of Controlled Substances. In order to receive a prescription for a controlled substance, a patient must certify that they will protect and store their medication safely, and promptly and properly dispose of any unused medication following their recovery from the dental condition being treated.",True,False,,,,,A,
Please indicate whether the statements are TRUE or FALSE based on the Touro Dental Health Policy on the Prescribing of Controlled Substances. Patient satisfaction is important when building our brand as Touro Dental Health. Patients who request narcotic analgesics after a procedure should be given the requested narcotics so that we can get good online reviews and the school can grow.,True,False,,,,,B,
Which one of the following would NOT be considered a “red flag” that causes you to have suspicions that a patient is a “drug seeker”?,The patient presented as a “walk-in” emergency with “excruciating” pain right before the office was closing.,The patient informed you that the only pain medication that works for them is Oxycontin.,The patient tells you that they cannot take NSAIDS because they are on anticoagulants and their physician confirms that they are on anticoagulants.,"A person, who you have never seen as a patient, calls you after hours indicating that they are in excruciating dental pain, and that they will make an appointment tomorrow, but need some Percocet medication to hold them over until they see you.",The patient's boyfriend insists that he must stay with her while you are examining and interviewing her.,,C,
Which of the following analgesic medications would you be most concerned about using in a patient with significant renal disease?,Ibuprofen,Acetaminophen,Tylenol with codeine,Hydrocodone with acetaminophen,Tylenol,,A,
Which one of the following statements regarding acetaminophen is TRUE?,The amount of acetaminophen in combination analgesics has been reduced to lessen the risk of causing renal problems.,"When given with NSAIDs, analgesic efficacy has been shown to be equivalent to that of low dose narcotics.","Acetaminophen is present in many over the counter cold and allergy medications. When calculating the overall acetaminophen dose for a patient, this can be ignored as its bioavailability is 0 in these formulations.",Acetaminophen is a weak analgesic and has no clinical use after severely impacted third molars are extracted.,"If a patient has a true allergy to acetaminophen, they cannot be given NSAIDs.",,B,
