title,Fixed Prosthodontics Final Exam (Fall 2019),fixedpros,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
George Washington presents to your office for treatment. He has a history of hypertension and atrial fibrillation causing him to be on anticoagulant therapy. You will be fabricating several ceramic crowns to be placed just below the free gingival margin. You will adjust his treatment by NOT:,Checking with physician re holding his anticoagulant,Using a retraction cord impregnated with epinephrine,Taking his blood pressure prior to treatment,None of the above,,,B,
Dr. Freeman shows up at your office at 5:00 pm as you are leaving to take your significant other out to dinner for your anniversary. He opens his hand and shows you his crown with a composite core inside. The post remains firmly in his tooth. You realize that instead of a cemented Parapost you probably should have made:,No post al all,A dentatus screw post,A cast post-core,You yell at Dr. Freeman for eating a Charleston chew.,,,C,
The noble metal content of a High Noble Metal Alloy must be at least:,25%,40%,100%,60%,,,D,
"Dr. Jackier presents to your office for restoration of several maxillary anterior teeth with large older, discolored Class IV composites. You explain that porcelain laminates are the correct restoration because you will bond the laminates to mainly dentin which will result in a successful, long lasting bond.",True,False,,,,,B,
Feldspathic porcelain restorations are highly esthetic due to their:,Ability to build porcelain in layers,Excellent control of color,Translucency,b and c,All of the above,,E,
The MOST common cause of a poorly adapted crown margin is:,Poor casting technique,Incomplete seating of the crown,Poor impression,None of the above,,,B,
"When determining the origin of a draining fistula, to determine which tooth requires endodontic therapy, which of the following diagnostic aids is the LEAST invasive:",An intra oral radiograph,A gutta percha point inserted into the fistula,Questioning the patient regarding type and location of symptoms.,All of the above,,,C,
The pulp horn most likely to be exposed during crown preparation of a maxillary first molar is:,Distobuccal,Mesiobuccal,Distolingual,Cusp of Carabelli,,,B,
All of the following metals are considered to be base metals EXCEPT:,Nickel,Cobalt,Chromium,Silver,,,D,
"When treatment planning for a fixed prosthesis, which of the following information MUST be obtained: 1) Diagnostic casts 2) Records of mandibular movements 3) Full mouth radiographs 4) Salivary flow tests 5) Clinical examination","1,2,3","1,3,5","1,2,3,4","1,3,5",None of the above,,D,
The amount that an alloy can stretch before it breaks is referred to as?,Modulus of Elasticity,Deformation,Percent Elongation,Burnishability,Yield Strength,,C,
"When using the ADA Alloy Classification System, an alloy with less than 25% noble metal is classifies as what type of",High Noble Alloy,Non Precious Alloy,Noble Alloy,Predominantly Base Alloy,b and d,,E,
Ante's Law is used to help determine:,Number of roots,Pontic shape,Margin design,Number of abutments and pontics,,,D,
"Where A equals Abutment and P equals Pontic, which fixed prosthesis design would have the least successful long term prognosis?",APA,APPPPA,AAPPAA,AAPP,,,B,
Your patient is missing tooth #4. Upon examination you discover that the ridge has lost both width and height. This would be classified as a Class ___ ridge deformity:,Class II,Class I,Class III,None of the above,,,C,
The chapter you read “Restoration of Endodontically Treated Teeth” states “Longer posts are more likely to result in root fracture” of an endodontically treated tooth:,True,False,,,,,B,
"When placing an anti rotational key way in a post preparation, that key way is most often placed in the ____________ surface of the tooth:",Buccal or Facial,Mesial or Distal,Lingual or Palatal,It makes no difference where it is placed,,,C,
The minimum occlusal reduction needed to fabricate a porcelain fused to metal crown should be:,1.0 mm,2.0 mm,1.5 mm,None of the above,,,C,
The relationship of one wall of a tooth preparation to the long axis of that tooth is known as the:,Shoulder,Inclination,Line angle,Taper,b and d,,E,
It has been an honor for Dr. Goldfinger to have taught our D2 class the Introduction to Fixed Prosthodontics course.,True,False,,,,,A,
