title,Oral & Maxillofacial Surgery Final Exam (Spring 2021),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Consider the following statements: I. It is contraindicated to reimplant an avulsed primary incisor. II. An intruded primary incisor which “collided” with and is in contact with the permanent tooth bud should be allowed to spontaneously re-erupt.,Both statements are true.,Both statements are false.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,,,,,C,
"The panoramic radiograph and CBCT images shown here are of a 14 year-old.  Clinical examination reveals that the maxillary second molar on the left, tooth #15, is erupted while the maxillary second molar on the right, tooth #2, is unerupted. Which of the following statements is TRUE?",There is no apparent explanation for why #2 has not erupted.,Tooth #2 was probably intruded in a traumatic incident that the patient and her parents cannot recall.,Tooth #1 is positioned inferiorly and palatally to #2 and has blocked its eruption.  Tooth #1 should be removed to allow eruption of well-developed #2 on its own or with orthodontic intervention if necessary.,Tooth #1 is positioned inferiorly and palatally to #2 and has blocked its eruption.  Well-developed tooth #2 should be removed and hopefully tooth #1 will develop normally and erupt.,Tooth #1 is positioned inferiorly and palatally to #2 and has blocked its eruption.  Teeth #1 and #2 should be extracted since it is very unlikely that tooth #2 will erupt on its own or with orthodontic intervention if #1 is removed.,,,,C,images/omfs-final-spring-2021/fig12.jpeg
Which of the following statements about descriptive pathology terminology is FALSE?,"Bullae, nodules, and papules are all elevated lesions.","Plaques and macules are flat, non-elevated lesions.",Hyperplastic lesions have an increased size of cells while hypertrophic lesions have an increased number of cells.,Bullae and vesicles are both fluid-containing lesions.,The terms leukoplakia and dysplasia are not interchangeable.,,,,C,
Which of the following characteristics of an oral lesion does NOT raise the suspicion of malignancy?,Lesion bleeds easily.,Lesion has been present for more than 2 weeks.,Lesion is totally red or speckled red and white.,Lesion is mobile.,Lesion and surrounding tissue are firm to the touch.,,,,D,
"Consider the following statements: I. Cytology-, vital-stain, light-, and molecular-based adjuncts have eliminated the need for surgical biopsy. II. Cytology-, vital stain-, light-, and molecular-based adjuncts have eliminated the need for conventional visual oral examinations. III. Toluidine blue, which has an affinity for tissue expressing high cellular activity, can be useful during surgical procedures to determine the extent of an oral lesion and help the surgeon determine the borders of the excision.",Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.","I, II, and III are all NOT TRUE.",C,
Which of the following statements regarding biopsy techniques is TRUE?,False positive results  indicating dysplasia may be obtained from an incisional biopsy because of variation within the lesion.,An incisional biopsy specimen should be taken from the center of a suspicious lesion.,"If an excisional biopsy is performed, a pathologic diagnosis is not necessary since the lesion is being totally removed.",Incisional biopsy is indicated for lesions less than 1 cm if excision of the entire lesion would be accompanied by significant risk to a vital structure in close proximity to the lesion.,Local anesthesia should be injected directly into a suspicious lesion being biopsied to ensure both adequate pain control and hemostasis.,,,,D,
Which of the following statements about marsupialization techniques is TRUE?,Marsupialization can be used to allow solid tumors to shrink down to avoid damage to vital structures or teeth in proximity to the tumor if complete excision was otherwise performed.,Immediate reconstruction can be performed at the same time as marsupialization if the lesion is benign.,Immediate reconstruction can be performed at the same time as marsupialization if the lesion is malignant.,Marsupialization can be used to allow cystic lesions to shrink down to avoid damage to vital structures or teeth in proximity to the cyst if complete excision was otherwise performed.,Two of the answer statements given here are TRUE.,,,,D,
Which of these statements about various techniques used to manage jaw tumors is TRUE?,Marsupialization of jaw tumors is the least aggressive technique that should be utilized for malignant lesions.,"When enucleation of jaw tumors is utilized for benign, non-aggressive lesions, peripheral ostectomy should always be performed.",Composite resection involves excision of the lesion with wide margins and may require adjunctive therapies such as radiation and/or chemotherapy.,Marginal or segmental bone resection results in disruption of the continuity of bone.,Partial bone resection causes less functional impairment than marginal or segmental bone resection.,,,,C,
Which space infection has the most direct route to extend to the diaphragm?,Sublymphatic space,Vestibular space,Submandibular space,Retropharyngeal space,Retrolaryngeal space,Peripharyngeal space,,,D,
Which of the statements below related to pericoronitis is TRUE?,Most cases of pericoronitis involve bacteria other than normal oral flora.,Pericoronitis does not only occur at wisdom teeth.,This condition can be reliably and permanently cured by removal of the gingiva overlying a partially erupted mandibular third molar.,Operculectomy procedures should be done with extreme caution as they may result in damage to the inferior alveolar nerve.,A 1 mm arcuate zone posterior to an impacted mandibular third molar is indicative of the presence of a cyst.,,,,B,
Which of the following statements about CT with contrast is TRUE?,"If a CT scan with contrast is indicated to evaluate an infection, premedication with IV steroids or IV antihistamine can be considered for a patient with a previous allergy to IV contrast.","If a CT scan with contrast is indicated to evaluate an infection, premedication with an appropriate antibiotic can be considered for a patient with a previous allergy to IV contrast.","Allergy to contrast medium is an absolute contraindication to a CT scan with contrast, even if the infection is extremely severe.","Allergy to iodine is an absolute contraindication to a CT scan with contrast, even if the infection is extremely severe.",CT with contrast is critical for evaluation of a periapical abscess.,,,,A,
"Consider the following statements: I. Increases in WBC, erythrocyte sedimentation rate, glucose, c-reactive protein, and platelet levels may all be related to the presence of infection. II. Gram stain will immediately identify the exact causative organism of an infection, so that the treating clinician does not need to wait 1 to 5 days for the results of culture and sensitivity to prescribe the most specific antibiotic. III. The only benefit in performing an incision and drainage of an infection is to obtain a sample of the organism(s) causing the infection.",Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.","I, II, and III are all NOT TRUE.",H,
Which of the following statements regarding incision and drainage procedures is TRUE?,Intraoral drainage of the submandibular and submental spaces is ideally performed via an intraoral approach.,There is no benefit to performing an incision and drainage of a cellulitis.,Incision and drainage is most effective when all loculations of pus are broken down.,"Resolution of an abscess is of paramount importance, so it is not necessary to consider risks to nerves and blood vessels when performing incision and drainage procedures.","The presence of purulence makes it more difficult to achieve adequate local anesthesia, so the best way to obtain adequate local anesthesia is to inject the anesthetic directly into an abscess.",,,,C,
Which of these statements about the mylohyoid muscle is FALSE?,It is the superior border of the submental space.,It is the inferior border of the sublingual space.,It divides the submandibular gland into two portions.,It is inferior to the lingual nerve.,It is superior to the submandibular duct.,,,,E,
Which of these statements about impacted teeth is TRUE?,Impacted teeth will not erupt after the age of 25.,Ectopic eruption of maxillary canines will occur more commonly in a palatal rather than a labial position.,Treatment of impacted teeth should only be initiated if the patient is having symptoms.,Tooth impaction may occur in the area of a cleft palate.,Systemic factors that are associated with impacted teeth will usually only affect a single tooth.,,,,D,
Consider the following statements about impacted teeth: I. Pell and Gregory numerical classification of impacted third molars is based on the relationship of the tooth to the anterior border of the ramus. II. Pell and Gregory alphabetical classification of impacted third molars is based on the relationship of the tooth to the occlusal surface of the adjacent second molar. III. Extraction of impacted teeth decreases in difficulty as Pell and Gregory Classification goes from A to C and from 1 to 3.,Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.","I, II, and III are all NOT TRUE.",D,
Which of the following statements about the degree of difficulty of extracting impacted teeth is FALSE?,Tooth buds with no root formation are more difficult to remove than teeth with 1/3 - 2/3 root formation.,Extraction of fully formed impacted teeth in patients older than 35 generally requires more bone removal than extraction of similar teeth in younger patients.,Distoangular impacted mandibular third molars are easier to extract than mesioangular impacted mandibular third molars because they can be elevated away from the adjacent second molar.,Mesioangular impacted maxillary third molars are more difficult to extract than distoangular maxillary impacted third molars because elevator access and positioning is more difficult.,Both wider PDL space and wider follicular sacs make extractions of impacted third molars easier.,,,,C,
Consider the panoramic radiograph of a 13 year-old shown here: Which of the following statements is TRUE?,Both maxillary canines should be extracted because it is extremely unlikely that they will erupt into a healthy position.,The maxillary third molars should be extracted at this time as it is extremely unlikely that they will erupt due to their severe impaction.,The maxillary third molars should be extracted at this time as the lack of root formation makes this a relatively simple procedure.,"The maxillary left canine should be extracted because it is extremely unlikely that it will erupt into a healthy position.  However, the maxillary right canine should not be extracted because it will likely erupt into a healthy position.",None of these statements is TRUE.,,,,E,images/omfs-final-spring-2021/fig28.jpeg
"Consider the following two statements about the extraction of impacted mandibular third molars: I. In general, the greater the extent of bone removed during the extraction of an impacted mandibular third molar, the worse the post-operative course will be. B. Minimizing the extent of bone removed during the extraction of an impacted mandibular third molar may not improve the post-operative course if it leads to increased surgical time and force required for the extraction.",Both statements are true.,Both statements are false.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,,,,,A,
Consider the following statements regarding differences in extraction of impacted maxillary third molars differs compared to extraction of impacted mandibular third molars: I. Removal of bone with a handpiece is rarely necessary for maxillary third molars. II. Sectioning of the tooth is rarely necessary for maxillary third molars. III. A regular handpiece rather than a surgical handpiece can be used for maxillary third molars if bone removal or sectioning is necessary.,Only I is TRUE.,Only II is TRUE.,Only III is TRUE.,Only I and II are TRUE.,Only I and III are TRUE.,Only II and III are TRUE.,"I, II, and III are TRUE.","I, II, and III are all NOT TRUE.",D,
Consider this panoramic radiograph taken on a patient who was referred for extraction of the maxillary right third molar for periodontal considerations. Which of the following statements is FALSE?,"During the extraction of this tooth, the adjacent bridge may be broken or dislodged.","During extraction of this tooth, the risk of tuberosity fracture may be reduced by careful separation of the distal bone from the tooth with periosteal and/or dental elevators.",This tooth can be safely removed without any additional imaging.,Additional imaging will not provide any benefit for extraction of the mandibular third molars.,The radiolucent lesion at the mandibular left third molar should be submitted for pathologic diagnosis.,,,,D,images/omfs-final-spring-2021/fig31.jpeg
Consider the following panoramic radiograph taken on a 67 year-old male who had a recent extraction of his mandibular left second molar. Which of the following statements is FALSE?,"If the impacted mandibular right third molar and supernumerary tooth are extracted, there is a risk that the mandible could fracture at the surgical site intraoperatively.","If the impacted mandibular right third molar and supernumerary tooth are extracted, there is a risk of temporary post-operative neurosensory disturbance that can occur due to damage to the inferior alveolar nerve.","If the impacted mandibular right third molar and supernumerary tooth are extracted, there is a risk of permanent post-operative neurosensory disturbance that can occur due to damage to the inferior alveolar nerve.",There was a risk of fracture of the mandible at the site of the impacted teeth on the mandibular right during the recent extraction of the mandibular left second molar.,There is no legitimate reason to obtain a CBCT if the impacted teeth at the right mandible become symptomatic and require treatment since treatment would be the same no matter what the CBCT shows.,,,,E,images/omfs-final-spring-2021/fig32.jpeg
Consider the following panoramic radiograph: Extraction of the mandibular left third molar is indicated due to repeated episodes of pericoronitis. Consider the following actions that may be utilized during extraction of this tooth. I. Elevation of a split-thickness mucoperiosteal flap. II. Elevation of a full-thickness mucoperiosteal flap. III. Sectioning of tooth. IV. Use of surgical handpiece to cut a lingual trough. V. Use of surgical handpiece to cut a buccal trough. VI. Removal of tooth segments. VII. Irrigation of site and closure by suturing. Which of the following describes the correct steps in order for extraction of this tooth?,"I, III, V, VI, VII.","II, IV, III, VI, VII.","II, V, III, VI, VII.","I, III, IV, VI, VII.","II, IV, V, III, VI, VII.",,,,C,images/omfs-final-spring-2021/fig33.jpeg
Which of the following statements about absorbable sutures is FALSE?,They are dissolved by tissues.,They should not be used in deep layers.,They can cause scarring if used externally.,Chromic gut is commonly used intraorally.,They can be helpful in preventing hematoma formation in a deep wound.,,,,B,
Consider the following two statements: I. 3-0 and 4-0 sutures are commonly used intraorally. II. 7/0 sutures are larger in diameter than 2/0 sutures.,Both statements are true.,Both statements are false.,I is true. II is false.,I is false. II is true.,,,,,C,
Consider this image of a suture needle: The suture needle depicted here is a:,Taper point needle,Blunt point needle.,Conventional cutting needle.,Reverse cutting needle.,Needle from a pine tree.,,,,C,images/omfs-final-spring-2021/fig36.jpeg
The patient could be taking the warfarin for which of the following medical conditions?,Atrial fibrillation.,Renal failure.,Hepatitis.,COPD.,None of the above.,,,,A,
You work with the patient’s physician to implement a strategy to manage his warfarin in the perioperative period. Which of the following strategies makes the most sense?,Stop the warfarin for 3 days prior to the procedure.,"Check his platelet count.  If it is in the normal range, surgery can be done without adjusting the warfarin.",Adjust his warfarin dosing so that his INR is greater than 4 and then do the surgery.,"Do the surgery and if his post-operative bleeding is too heavy or too prolonged, stop the warfarin and resume it after the bleeding stops.",Adjust his warfarin dosing so that his INR is between 2.0 and 2.5 and do the surgery.,,,,E,
The patient is extremely anxious and opts to be sedated for the procedure.  Pre-operative sedation instructions include nothing to eat or drink for 8 hours prior to the procedure.  Which of the following strategies should be used to manage the patient’s insulin in the peri-operative period?,"Have the patient skip their morning insulin.  Check their glucose levels throughout the procedure. If their glucose level drops too low, give them IV dextrose as necessary to prevent hypoglycemia.","Even though normally a patient is supposed to not eat prior to being sedated, this patient should be allowed to eat since they are on insulin.","Have the patient take their usual dose of regular insulin and ½ dose NPH before the procedure.  Check their glucose levels throughout the procedure. If their glucose level drops too low, give them IV dextrose as necessary to prevent hypoglycemia.","Tell the patient to not take any insulin until they are able to eat normally.  When they can eat normally, they can resume their normal insulin dosing.","Have the patient skip their morning insulin.  After the procedure, the patient can call their physician and he/she can manage their insulin.",,,,A,
Several considerations figure into the design of the flap and placement of the incisions for this surgical procedure. Which of the following is not a pertinent consideration?,The position of the mental nerve.,The position of the mental foramen.,The position of the lingual nerve.,The flap should allow adequate access to remove the lesion.,Retraction of the flap should be able to be accomplished without tearing the flap.,,,,C,
Which of the following flap designs could be used for this procedure?,Vertical releasing incision made directly over the lesion.,Horizontal incision made directly over the lesion.,Double-Y incision made directly over the lesion.,Envelope flap with a vertical releasing incision at least two teeth anterior to the lesion.,Envelope flap confined to the gingival sulcus of teeth #28 and #29.,,,,D,
"Once the flap has been reflected, which of the following instruments can be used to remove the lesion from the boney cavity?",Spoon curette and rongeur.,Spoon curette and anterior forceps.,Rongeur and ash forceps.,Spoon curette and Minnesota forceps.,Periosteal and straight dental elevators.,,,,A,
Which of the following statements regarding post-surgical pain control for this patient is TRUE?,Acetaminophen should not be given to this patient since he is on warfarin.,Acetaminophen with codeine should not be given to this patient since he is on warfarin.,Ibuprofen should not be given to this patient since he is on warfarin.,Narcotics should not be given to this patient since he is on warfarin.,"Since this patient is on warfarin, he should not be given any analgesic medications.",,,,C,
"On post-op Day 1 the patient develops a soft facial swelling in the area overlying the surgical site. This swelling resolves by the end of post-op Day 3. On Post-op Day 6 the patient develops fever and extraoral swelling, tenderness, and erythema of his cheek confined to the area just lateral to tooth #29 and extending approximately 1 cm anterior and posterior to this area.  The swelling feels fluctuant.  It does not extend inferiorly under the patient’s mandible or into his neck.  There is no swelling on the lingual surface of his mandible or in the floor of his mouth. Which of the following statements is most consistent with the findings presented here?",The patient has developed a buccal space infection.,The patient has developed a submandibular space infection.,The patient has developed a sublingual space infection.,The patient has developed a submental space infection.,The patient does not have an infection.  This is normal post-operative swelling.,,,,A,
You find out that the patient’s hemoglobin A1C (HbA1c) is 10.  Which of the following statements is TRUE?,The patient’s diabetes is poorly controlled so he is more prone to developing an infection than a nondiabetic patient and any infection he develops would be more difficult to control than in a non-diabetic patient.,The patient’s diabetes is well-controlled so he is no more prone to developing an infection than a nondiabetic patient and any infection he develops would not be more difficult to control than in a nondiabetic patient.,The patient’s diabetes is poorly controlled so he is no more prone to developing an infection than a non-diabetic patient but any infection he develops would be more difficult to control than in a nondiabetic patient.,The patient’s diabetes is poorly controlled so he is more prone to developing an infection than a nondiabetic patient but any infection he develops would not be more difficult to control than in a non-diabetic patient.,Hemoglobin A1C (HbA1c) values do not provide any information regarding a patient’s diabetes control.,,,,A,
You decide that the patient does have an infection so you perform an incision and drainage procedure. Which of the following statements makes the most sense?,You obtain pus and conclude that the infection is a cellulitis.,You obtain pus and submit it for culture and sensitivity testing.  You hold off on prescribing antibiotics until you receive the results of this testing.,You obtain pus and submit it for culture and sensitivity testing.  You prescribe the antibiotic that you think will most likely work and will consider changing it based on the patient’s condition and the results of the sensitivity testing.,You obtain pus but do not need to prescribe antibiotics since you feel you removed all of the pus so the infection should resolve.,You do not obtain pus so you decide that you were wrong and the patient does not have an infection so you do not prescribe antibiotics.,,,,C,
"Everything resolves and the patient has no problems for 7 months.  At that time swelling and symptoms recur.  The patient returns and after a lengthy discussion, you and the patient agree that the best course of action is to extract #29 at this time. Which of the following statements is/are TRUE? I. The extraction forceps can be used to luxate the tooth with buccal and lingual movements. II. The extraction forceps can be used to luxate the tooth with mesial and distal movements. III. This tooth generally come out towards the buccal so the extraction forceps should only be used to luxate the tooth with buccal movements. IV. The extraction forceps can be used to rotate this tooth.",I and IV.,III and IV.,"II, III, and IV.","I, II, and IV.",III only.,IV only.,I only.,"I, II, and IV.",A,
Which of the instruments listed here can generally be used for extraction of tooth #29? I. Ash forceps. II. Rongeur. III. 151 forceps. IV. 150 forceps.,I and IV.,I and III.,II and III.,II and IV.,I only.,IV only.,"I, II, and III.","I, II, and IV.",B,
"The following scenario applies to questions 50 – 53: A 12 year-old patient presents to your office three days after suffering a traumatic dental injury. Upon clinical examination you notice that both teeth #8 and #9 are fractured. Tooth #8 has a small pinpoint pulpal exposure while tooth #9 does not. Patient reports severe pain in the upper anterior region which keeps him up at night. Clinical testing: #7 (-) percussion (-) palpation (+) cold, non lingering #8 (-) percussion (-) palpation (+) cold , non lingering. #9 (+) percussion (-) palpation (-) cold #10 (-) percussion (-) palpation (+) cold, non lingering.

The treatment of choice for tooth #9 is:",Restore fracture and monitor,Root canal therapy.,Partial pulpotomy,Indirect pulp cap.,Extraction,,,,B,
The treatment of choice for tooth #8 is:,Restore fracture and monitor,Root canal therapy,Direct pulp cap,Indirect pulp cap.,Extraction.,,,,C,
A possible negative outcome for the involved teeth is:,Internal root resorption,Apical periodontitis,Pulp canal calcification,Eventual need for extraction.,All of the above,,,,E,
"Five years after the traumatic incident you notice that tooth #8 has a horizontal fracture in the apical third.  This was picked up on a routine radiographic examination.  You look back at the initial radiographs and realize the fracture was present at that time, although you failed to diagnose it.  The patient is asymptomatic. There are no other radiographic findings. There is no mobility of the tooth.  The best approach at this point would be:",Root canal therapy up to the fracture line.,Extraction and replacement with an implant.,Apexogenesis.,Inform the patient about the fracture and eave it alone and monitor.,Leave it alone and don’t tell the patient since you missed diagnosing the fracture previously.,,,,D,
