title,Orthodontics Midterm Exam (Spring 2022),ortho,midterm
question,option_a,option_b,option_c,option_d,correct,image
Which is NOT a viable treatment option in this case:,Expansion,Extraction of bicuspids,IPR,Use of leeway space,D,images/ortho-midterm-spring-2022/fig19.jpg
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 sub Left,D,images/ortho-midterm-spring-2022/fig20.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-midterm-spring-2022/fig21.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2022/fig22.jpg
What best describes the transverse occlusion?,No crossbite,Right side posterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-midterm-spring-2022/fig23.jpg
Incisor inclination is best described as:,Normal inclination,"Proclined lower incisors, retroclined upper incisors","Retroclined lower incisors, proclined upper incisors",Proclined upper and lower incisors,A,images/ortho-midterm-spring-2022/fig24.jpg
Which of the following best describes alignment of the teeth?,No crowding,Mild crowding,Has leeway space available,Severe crowding,D,images/ortho-midterm-spring-2022/fig25.jpg
The line tangent to the mandibular plane shows the case to be:,Hyperdivergent,Hypodivergent,Normodivergent,None of the above,C,images/ortho-midterm-spring-2022/fig26.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Short upper face height,C,images/ortho-midterm-spring-2022/fig27.jpg
The direction of growth in this case is most likely:,"More downward, less forward","Less downward, more forward",Downward and forward,Upward and backward,C,images/ortho-midterm-spring-2022/fig28.jpg
"Based on e-line, facial balance would best be described as:",Full for Caucasian,The e-line does not describe facial balance,Showing a class 3 facial type,Balanced for Caucasian,D,images/ortho-midterm-spring-2022/fig29.jpg
The midline discrepancy in this case is most likely caused by?,Incisor Inclination,Differential spacing,Upper crowding,Crossbite,C,images/ortho-midterm-spring-2022/fig30.jpg
Which is NOT a viable treatment option in this case:,Expansion,Extraction of bicuspids,IPR,Use of leeway space,D,images/ortho-midterm-spring-2022/fig31.jpg
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 sub Left,C,images/ortho-midterm-spring-2022/fig32.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,D,images/ortho-midterm-spring-2022/fig33.jpg
What best describes the transverse occlusion?,No crossbite,Right side posterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,C,images/ortho-midterm-spring-2022/fig34.jpg
Incisor inclination is best described as:,Normal inclination,"Proclined lower incisors, retroclined upper incisors","Retroclined lower incisors, normal upper incisors",Proclined upper and lower incisors,C,images/ortho-midterm-spring-2022/fig35.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Short upper face height,B,images/ortho-midterm-spring-2022/fig36.jpg
The midline discrepancy in this case is most likely caused by?,Incisor inclination,Differential spacing,Asymmetric growth,Angle classification,C,images/ortho-midterm-spring-2022/fig37.jpg
"In this case one would find, as compared to the norm:",Smaller SNA,Larger SNB,Negative ANB,All of the above,D,images/ortho-midterm-spring-2022/fig38.jpg
Which is NOT a viable treatment option for the crowding:,Expansion,Extraction of upper bicuspids alone,IPR,Use of leeway space,B,images/ortho-midterm-spring-2022/fig39.jpg
"Camouflage treatment, if attempted in this case, would consist of:",Maxillary anterior retroclination,Mandibular anterior proclination,"Maxillary anterior proclination, mandibular anterior retroclination",Maxillary and mandibular anterior proclination,C,images/ortho-midterm-spring-2022/fig40.jpg
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 sub Right,D,images/ortho-midterm-spring-2022/fig41.jpg
The overbite is considered:,Openbite,Shallow,Normal,Deep,D,images/ortho-midterm-spring-2022/fig42.jpg
"The overjet, at 4, is considered:",Mild,Moderate,Severe,Negative,A,images/ortho-midterm-spring-2022/fig43.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Right side posterior crossbite only,D,images/ortho-midterm-spring-2022/fig44.jpg
Maxillary central incisors are:,Normal inclination,Proclined,Retroclined,Typical of class 3,A,images/ortho-midterm-spring-2022/fig45.jpg
Which of the following best describes alignment of the teeth?,Mild crowding,Moderate crowding,Severe crowding,Mild Spacing,D,images/ortho-midterm-spring-2022/fig46.jpg
Face height in this case would best be described as:,Short lower face height,long lower face height,Equal upper and lower face heights,Short upper face height,C,images/ortho-midterm-spring-2022/fig47.jpg
"Based on e-line, facial balance would best be described as:",Full for Caucasian,Balanced for caucasian,Showing a class 2 facial type,flat for Caucasian,D,images/ortho-midterm-spring-2022/fig48.jpg
The midline discrepancy in this case is most likely caused by?,Incisor Inclination,Differential spacing,Angle classification,Facial Asymmetry,C,images/ortho-midterm-spring-2022/fig49.jpg
Case would most likely be treated with:,Crossbite correction and space closure,Extraction of bicuspids,IPR,Use of leeway space,A,images/ortho-midterm-spring-2022/fig50.jpg
