title,Pain & Anxiety Control Exam 1 (Spring 2023),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
OSHA and NIOSH established maximum N2O exposure limits for personnel in the dental setting versus operating room settings. The maximum exposure allowable in the dental setting is _____; the maximum allowable in the operating room setting is _____.,25 ppm; 50 ppm,35 ppm; 75 ppm,50 ppm; 25 ppm,75 ppm; 35 ppm,,,C,
"Which stage of anesthesia presents with irregular respirations, lateral nystagmus, reactive laryngeal and pharyngeal reflexes and increased skeletal muscle tone?",Stage I,Stage II,Stage III,Stage IV,,,B,
"All of the following are advantages of general anesthesia, EXCEPT:",The patient is conscious,The patient doesn't respond to pain in the same way,The patient is amnestic,Patient cooperation is not absolutely necessary for success,,,A,
"All of the following represent contraindications for outpatient/ambulatory general anesthesia, EXCEPT:",ASA 2 patient with a history of nausea and vomiting after surgery,ASA 3 patients,ASA 4 patients,ASA 2 patients with morbid obesity,ASA 1 patient with a familial history of malignant hyperthermia,,A,
Statement #1: Laryngoscopes are held in the operator's right hand and the endotracheal tube in the left. Statement #2: The Macintosh blade is placed beneath the epiglottis.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,D,
"All of the following are nondepolarizing muscle blocking agents, EXCEPT:",Rocuronium,Pancuronium,Atracurium,Succinylcholine,,,D,
Which of the following is the most commonly used inhalational induction agent for pediatric patients in an operating room setting?,Isoflurane,Desflurane,Sevoflurane,Halothane,,,C,
"All of the following are triggering agents for malignant hyperthermia, EXCEPT (select all that may apply):",Succinylcholine,Rocuronium,Sevoflurane,Nitrous Oxide,Desflurane,,D,
Which of the following is a late clinical manifestation of malignant hyperthermia?,Fever,Masseteric rigidity,Tachypnea,Tachycardia,,,A,
A full E-cylinder of nitrous oxide contains _____ pounds of pressure per square inch (psi) at room temperature.,~1900,~750,~1590,~660,,,B,
"A 65-year-old male patient presents to your practice and requires full mouth extraction. The patient states he would like to be ""knocked out"" for the procedure. Upon review of his medical history, you find the patient has a history of coronary artery disease and requires nitroglycerin for anginal pain at rest. He used to only require nitroglycerin periodically after exertion, but in the last month, he has been experiencing anginal pain at rest. He states that he sees his cardiologist every 3 months and his cardiologist has already provided him with a ""clearance letter"" to receive sedation at the dental office. You review this letter and confirm that the cardiologist states the patient has ""stable angina"" and has checked off ""cleared for sedation in the ambulatory setting."" What are your next steps?",Schedule the patient for in-office sedation with your anesthesiologist,Refer the patient to a hospital-based setting for sedation,,,,,B,
"Controlled substances are classified into five Schedules which are indicated by a number. The letter ""N"" may appear after the Roman numeral number indicating the drug Schedule. The ""N"" indicates:",The drug is a Narcotic.,The drug is a Non-narcotic.,The drug may cause Noxious side-effects.,The drug can be administered by Novices.,The drug can be reversed by Naloxone.,,B,
Which of the following is not a drug-seeking behavior?,Reporting allergies to specific analgesics,Doctor-shopping,Requesting specific narcotic medications,Being more concerned about prescription than problem,Using excuses to not have treatment,ALL of these are drug seeking behaviors,F,
Which of the following statements about the I-stop Prescription Monitoring Program is TRUE?,It is optional when prescribing controlled substances in New York State.,It was considered successful because it resulted in a 40% decrease in doctor shopping in its first year.,Patient reports include all controlled substances that were dispensed in New York State and reported by the pharmacy/dispenser for the past year.,It must be utilized before a patient is issued any prescription.,It's use has been mandated since 1776.,,C,
Statement #1: NSAIDs have the potential to adversely affect the kidneys. Statement #2: Acetaminophen has the potential to adversely affect the liver.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,C,
Which of the following statements about opioid prescribing at TCDM is TRUE?,All faculty members can prescribe opioids.,"If a patient has used opioids without problems and requests them after an extraction, they should be prescribed.","If a patient calls to say they are still having pain and they finished their prescription, one renewal can be given without seeing the patient.","If an authorized TCDM faculty member thinks an opioid prescription is necessary, they may give no more than a three-day supply.",The TCDM Opioid Consent Form is only required to be completed when prescribing opioids to patients that have had a previous abuse problem with opioids.,,D,
