title,GDA Final Exam (Spring 2019),gda,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
You are counseling an elderly patient on ways to combat dry mouth caused by the long list of medications they are currently being prescribed by their physician for various health concerns. Which of the following is not an appropriate relief method for dry mouth?,Nightly use of a humidifier,Chewing bubble gum or sugary hard candies when the mouth is dry,Switching to an alcohol-free mouthwash,Over the counter products like Biotene or Closys,Avoiding spicy and salty foods,,,B,
You are concerned that a patient is not giving you a complete and accurate health history. The patient is in their late eighties and has come alone to the appointment. Which of the following is not an appropriate way to ensure you are obtaining an accurate medical history?,Speak with the pharmacist where the patient fills his prescriptions to get a complete medication list,Consult the patient's primary care physician,Call the patient's daughter who is also seen in your practice without asking permission of the patient so he does not get offended,All of the above are appropriate for obtaining more information about the patient,,,,C,
Which of the following is not a cause of an atrophic mandible?,An ill-fitting denture,Loss of permanent teeth at an early age,Osteoperosis,Implant placement,,,,D,
"During a periodic oral examination in the hygiene chair, you ask a 76 year old male patient to remove his maxillary complete denture so you can complete an oral cancer screening. When he removes the denture you see the condition shown in the picture. You diagnose this condition as ________ and recommend that patient remove his denture more frequently so the tissue has time to “breathe”.",Angular chelitis,Denture stomatitis,Candidiasis,Flabby ridge syndrome,,,,B,images/gda-final-spring-2019/fig47.jpeg
"A middle-aged patient presents to your office with history of myocardial infarction, anti-coagulant medication and placement of stents in the last 10 years. You need to perform an extraction of a mobile maxillary premolar. You only have 2% Lidocaine 1:100,000 epi. You know each carpule has 0.017 mg of epinephrine. The maximum number of full carpules you can use on this patient safely is:",1,2,4,6,,,,B,
You are educating a patient on the potential issues that can arise if several mandibular teeth are extracted without replacement. Which of the following is not a reason that teeth should be replaced when extracted?,Patient may experience drooping of facial features and non-age related wrinkles,Bone will continue to resorb after extractions until patient has a knife edge ridge,"If the patient waits to replace the teeth with a denture until more are last, there may be problems with fit",The lips will appear larger and the chin less prominent,,,,D,
"Statement 1: Periodontal disease is more prevalent in older adults because it is a normal process of aging. Statement 2:  Poor oral hygiene, changes in collagen and thinning gingival tissue all contribute to periodontal disease in elderly patients.",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,D,
"Statement 1: When treatment planning for elderly patients, you should assume the finances will prevent them from choosing more expensive restorative options. Statement 2: Pharmacologic treatment of systemic disease plays no role in dental health so there is no need to have an interdisciplinary approach to dental care.",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,B,
A family with three teenage children is being seen by your hygienist. As you complete your exams which of the following topics do you not expect to discuss with patients as it is not relevant to the treatment of adolescent patients?,Dental erosion as a cause of bulimia,Abrasion of teeth from a tongue piercing,Wear of a mouthguard when participating in contact sports,Occlusal decay caused by increased snacking and consumption of soda when spending time with friends after school,All of the above are topics that effect teenage patients,,,E,
(Bonus) You are seeing a long-time patient for an examination and note several areas of possible decay. You recommend that the patient have bitewings to better examine the areas. The patient refuses the radiographs because she has recently found out she is pregnant. The patient is 15 years old. Which of the following is the appropriate way to proceed?,Call the patient's mother into the exam room to discuss why she needs the radiographs and make sure she knows her daughter is pregnant,Insist that she have the radiographs anyway and that she does not need to wear a lead shield,Treat the patient as an adult and keep her medical history confidential,Dismiss the patient from your practice,,,,C,
A defect resulting in Amelogensis Imperfecta occurs in either the ________ or ________ phase of Odontogenesis?,"histodifferentiation, mineralization","initiation, apposition","proliferation, calcification","histodifferentiation, morphodifferentiation",,,,A,
Systemic factors generally _____________,only effect 1 or a few adjacent developing teeth.,affect any and all teeth developing at a specific time.,affect all teeth in both dentitions but to varying degrees.,,,,,B,
Which of the following statements is true concerning discoloration of teeth due to tetracycline therapy?,Tetracyclines cannot be transferred thorough the placenta.,The period for tetracycline induced discoloration in permanent teeth (excluding 3rd molars) is up until around the 6th year of a child's life.,Tetracycline staining of both primary and permanent teeth is extrinsic.,A boy who demonstrates no staining on any of his primary teeth and staining on at least some portion of each of his permanent teeth was most likely exposed to this drug post-natally.,,,,D,
"Of the following permanent teeth, which are most frequently congenitally missing?",mandibular 2nd molar,mandibular lateral incisor,maxillary 2nd premolar,mandibular 2nd premolar,maxillary lateral incisor,,,E,
"During development of the human dentition, the first permanent teeth to begin calcification are the:",maxillary 1st molars.,mandibular canines.,maxillary central incisors.,mandibular central incisors.,,,,A,
Which of the following statements is false:,Counting the number of teeth in the arch is a useful way to discern between fusion and gemination.,Fusion occurs less frequently in the permanent dentition than the primary dentition.,Fusion has a higher incidence than gemination.,Fusion of two teeth via cementum is known concrescence.,,,,C,
Which of the following is the most common cause of tooth discoloration due to hyperbilirubinemia?,ABO blood type incompatibility,Congenital Syphilis,Hepatitis Neonatalis,Erythroblastosis fetalis,,,,D,
The first crown of the primary dentition begins to mineralize at ________________________ and the last crown of the primary dentition completes the mineralization process at ________________________.,"4 months in utero, 11 months post-natal","4 months in utero, birth","at birth, 7-8 years post-natal","4 months in utero, 7-8 years post-natal",,,,A,
Enamel hypocalcification presents as:,deficient number of teeth.,pits or a linear depressions.,an opalescent hue.,chalky-white spots.,,,,D,
"According to Shield's classification system, brittle bones and bowing of limbs is associated with which type of Dentinogenesis Imperfecta?",I,II,III,IV,,,,A,
A tooth displaying enamel dysplasia as a result of a local infection is called a:,Dens in Dente,Hutchinson Incisor,Turner Tooth,Taurodont,,,,C,
