title,Pathomedicine Exam 6 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
"All of the following seizure types involve both hemispheres of the brain, EXCEPT one. Which one is the EXCEPTION?",Complex partial,Myoclonic,Absence (petit mal),Tonic,Atonic,,,,A,
"All of the following are appropriate actions WHILE a patient is experiencing a grand mal seizure in the dental chair, EXCEPT one. Which one is the EXCEPTION?",Removal of all instruments from the mouth,Clearing the area around the patient,Administration of oxygen,Placement of the patient on their side to avoid aspiration,,,,,C,
Behcet syndrome is associated with:,HLA-B51,HLA-B27,HLA-B47,HLA-DR2,HLA-DR4,,,,A,
Statement 1: Aphthous ulcers typically occur on attached mucosa. Statement 2: Intraoral herpes typically occurs on unattached mucosa.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,,B,
"All of the following are characteristics of Raynaud phenomenon, EXCEPT one. Which one is the EXCEPTION?",Erythema,Pain,May be induced by cold,May be induced by emotional stress,Reduced blood flow,,,,A,
A periapical radiograph of your female patient shows a cotton-wool mixed radiolucency-radiopacity. She reported elevated alkaline phosphatase on recent serum studies. What is the most likely diagnosis?,Fibrous dysplasia,Prostatic adenocarcinoma,Melanoma,Osteoma,Paget's disease of bone,,,,E,
Which type of fracture is more likely to be identified in children compared to adults?,Greenstick,Incomplete,Complete,Compound,Comminuted,,,,A,
"All of the following are considered secondary causes of osteoporosis, EXCEPT one. Which one is the EXCEPTION?",Cortical steroid use,Tobacco smoking,Alcohol,Diminished estrogen levels,,,,,D,
Statement 1: Postmenopausal osteoporosis is associated with loss of trabecular bone and compression fractures. Statement 2: Senile osteoporosis is associated with cortical bone loss and fracture of weight bearing bones.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,,A,
A periosteal reaction may be seen in:,Osteomyelitis,Osteosarcoma,Langerhans cell histiocytosis,A and B only,All of the above,,,,E,
Pott disease refers to tuberculosis infection involving the:,Long bones,Vertebrae,Craniofacial skeleton,Synovium,Oral mucosa,,,,B,
In which patient population are periosteal abscesses most likely to occur?,Pediatric,Adult,Young adults,Older adults,Prenatal,,,,A,
"The soft tissue callus includes all of the following, EXCEPT one. Which one is the EXCEPTION?",White blood cells (WBCs),Fibroblasts,Endothelium,Platelet-derived growth factor (PDGF),Woven bone,,,,E,
"All of the following are thought to play a role in the pathogenesis of osteoarthritis, EXCEPT one. Which one is the EXCEPTION?",Wear-and-tear,Bone morphology,Genetic predisposition,"Antibodies directed against the joint space tissues (cartilage, synovium, etc…)",,,,,D,
Statement 1: Bouchard's nodes represent early changes in osteoarthritis. Statement 2: Bouchard's nodes occur at the distal interphalangeal joints.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,,B,
Statement 1: Gout results from elevated uric acid levels. Statement 2: Ankylosis may occur as a complication of gout.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,,A,
Incidence of pseudogout increases with age.,True,False,,,,,,,A,
Statement 1: Osteosarcoma occurs more commonly in males compared to females. Statement 2: Osteosarcoma occurs more commonly in adult patients compared to pediatric patients.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,,,C,
A biopsy is taken from the metaphyseal region of the femur that demonstrates a sunburst appearance on radiography. Microscopic review shows sheets of bizarre appearing cells possessing atypical mitoses and high nuclear-to-cytoplasm ratios. The cells appear to be producing bone. What is the most likely diagnosis?,Osteoma,Osteosarcoma,Osteomyelitis,Fibrous dysplasia,Paget's disease of bone,,,,B,
"Marfan syndrome is result of a mutation in the gene responsible for fibrillin. Some of the clinical manifestations include a tall, thin body morphology; long arms, long legs, long fingers and long toes; arm span greater than height; and flexible joints. The most serious complications are mitral valve prolapse and aortic aneurysm.",True,False,,,,,,,A,
Patients with neurofibromatosis 2 develop bilateral acoustic neuromas (also known as vestibular schwannomas).,True,False,,,,,,,A,
Adult Huntington disease is less common than the juvenile form.,True,False,,,,,,,B,
Which of the following is a manifestation of alkaptonuria?,Café au lait spots,Optic gliomas,Multiple impacted 3rd molars,Elevated alkaline phosphatase,Darkly discolored urine,,,,E,
Cystic fibrosis results from a mutation on the gene responsible form an ion channel. Which ion is transported by this channel?,Chloride,Ferrous iron,Ferric iron,Mercury ion,Cobaltous cation,,,,A,
A 60-year-old patient presents for dental care and provides a past history of liver disease but is unsure of the type but was told he is all better. You request to speak with his physician which is granted. Upon discussion you find out that they have the following serology HBsAg positive. This patient would be classified as:,A carrier of Hepatitis B,A carrier of Hepatitis A,A carrier of Hepatitis C,None of the above,,,,,A,
A patient with a history of chronic liver disease has been informed that they need to have several teeth extracted.  In determining the hemostatic capability following extraction which of the following would you consider appropriate in ordering? 1. Alanine transaminase (ALT) 2. International Normalized Ratio INR 3. Aspartate transaminase (AST) 4. Complete Blood Count (CBC),1 and 2,2 and 3,2 and 4,3 and 4,,,,,C,
