title,GDA Final Exam (Summer 2021),gda,final,"No figures are available in this exam's source file, so 6 questions (cleft lip/palate classification, a suture, a plane of reference, and 2 clinical findings) reference a figure that is not shown."
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is true about the development of the thyroid?,The thyroid is derived from pharyngeal arch 4,The thyroid is connected to the tongue by the thyroglossal duct which remains throughout life and can be detected in the adult,Neural crest cells of from Pharyngeal Pouch 4 migrate into the gland and give rise to the parafollicular (aka Ccells) of the thyroid,All of the above,,C,
What is the classification of the cleft lip shown in the photo?,Unilateral Complete,Unilateral Incomplete,Bilateral Complete,Bilateral Incomplete,,A,
What is the classification of the cleft palate shown in the figure?,Class I,Class II,Class III,Class IV,,C,
Identify the suture from the figure provided (red line).,Metallic,Lambdoidal,Sagittal,Coronal,,D,
Pluripotential is the strict programming of only type of cell formation.,True,False,,,,B,
Which of the following is true about marijuana use during pregnancy?,Marijuana does not cross the placental barrier.,Carbon monoxide is decreased in the fetal bloodstream.,Maternal marijuana use may cause developmental delays in children seen later in life.,Babies tend to have a higher than normal birth weight.,,C,
"What class of drugs have no human studies to determine their safety, but have shown no issues with animal studies?",Class A,Class B,Class C,Class X,,B,
"A patient presents to the office with an infected third molar. Before the patient is referred to the oral surgeon for extraction, the patient requires a prescription for antibiotics. She is currently 24 weeks pregnant. Which of the following is an appropriate choice for this patient?",Macrolide's,Penicillins,Tetracyclines,Sulfonamides,,B,
What does not define fetal maturity?,32 weeks prenatal development,2500 grams,Adequate surfactant for independent respiration,All of the above define fetal maturity,,A,
Identify the plane of reference shown in the figure.,Coronal section,Transverse section,Median section,Sagittal plane,,A,
Meckel’s cartilage is associated with which pharyngeal arch?,Arch 1,Arch 3,Arch 5,Arch 6,,A,
Pharyngeal arches 4 and 6 are innervated by which Cranial Nerve?,CN II Optic,CN VII Facial,CN V Abducens,CN X Vagus,CN XI Spinal Accessory,D,
"What do aortic arch 5, pharyngeal arch 5 and pharyngeal pouch 5 have in common?",All are related to the common carotid artery,All give rise to structures in the ear,They have no derivatives,They are all related to development of the tongue,,C,
During what stage of odontogenesis does the enamel organ produce the inner and outer enamel epithelium?,Bud stage,Cap stage,Bell stage,None of the above,,B,
The growth spurt in girls peaks at ____cm at age _____.,9cm; 12,9cm; 14,10cm; 12,10cm; 14,,A,
"You are treating an elderly patient for whom you have collected a thorough medical history. The patient has presented for a routine restoration on tooth #30 DO. You are going to be using 2% Lidocaine 1:100,000 epic on this patient based on the fact that they have history of mild cardiovascular disease. What is the maximum number of carpules you would be comfortable using for this patient?",1 carpule,0.5 carpools,2 carpules,5 carpules,,C,
Which of the following is a successional tooth?,First molar,Second molar,Lateral incosor,Third molar,Supernumerary tooth,C,
A peg lateral is also known clinically as which of the following?,Macrodontia,Microdontia,Supernumerary tooth,Enamel hypoplasia,,B,
The attached figure is an example of what clinical finding?,Gemination,Dens invaginatus,Dens evaginatus,Fusion,Peg lateral,B,
Which cells are responsible for the production of dentin?,Ameloblasts,Cementoblasts,Odontoblasts,Osteoclasts,,C,
Enamel and dentin formation begins at the root of the tooth and progresses toward the future cusp tip.,True,False,,,,B,
The cell-free zone of the pulp is also known as what?,Odontogenic zone,Parietal zone,Zone of fibroblasts,Zone of Weil,,D,
Which of the following is not a physical characteristic of cementum?,Cementum is less mineral than enamel or dentin.,Cementum is bluish gray in color.,Cementum appears dull.,Cementum is softer to the touch than dentin.,,B,
Girls teeth tend to erupt earlier than boys. Maxillary central incisors are often the first to erupt around 8-10 months.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,C,
The first primary teeth to erupt are usually the mandibular central incisors. The last primary teeth to erupt are the canines.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,C,
What color primary teeth would you expect to find in a child with erythropoietic porphyria?,Purple,Red,Blue,Green,Grayish brown,B,
Gemination is more common in the primary dentition than the permanent dentition.,True,False,,,,A,
Gemination involves one tooth bud. Fusion and concrescence involve two tooth buds.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
Taurodontism is most likely seen in mandibular canines.,True,False,,,,B,
Supernumerary teeth are more likely to be found on the mandible than the maxilla. Supernumerary teeth are always associated with a syndrome.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,B,
Which of the following is not a good recommendation for individuals suffering from xerostomia?,Suck on sugar free candies during the day.,Utilize overt the counter products like Biotene,Eat spicy foods to stimulate saliva production,Ensure proper water intake and hydration,,C,
Teeth become more sensitive to pulp testing with age as the pulp chamber enlarges.,True,False,,,,B,
What is the rarest missing tooth?,Mandibular central incisor,Maxillary second molars,Primary canines,Maxillary central incisors,Maxillary second premolars,D,
The failure of one tooth to develop is known as:,Hypodontia,Anodontia,Oligodontia,,,A,
The roots of the third molars may not reach full development until age 25.,True,False,,,,A,
Which of the following is a true statement regarding squamous cell carcinomas?,Squamous cell carcinomas make up about 10% of oral malignancies.,Squamous cell carcinoma is only found in patients older than 75.,Tobacco and alcohol use increase the prevalence of squamous cell carcinoma.,Patients rarely need radiation as it will resolve on its own.,,C,
Which of the following describes tooth to tooth wear?,Attrition,Erosion,Abrasion,Abfraction,,A,
A narrow genial angle will yield a more square face shape.,True,False,,,,A,
Which of the following is not a consequence of an atrophic mandible?,Decreased risk of jaw fracture,Poorly fitting dentures,Mandibular canal and mental foramen closer to the border of the mandible,Difficulty placing implants due to lack of bone height and width,,A,
The figure provided shows what clinical condition which is a common finding in patients who have ill-fitting dentures?,Candidiasis,Denture Stomatitis,Angular chelitis,None of the above,,C,
Which of the following age-related changes to teeth may make extractions more difficult?,Hypercementosis,Obliteration of pulp,Thinning of enamel,Decreased fibroblasts in the periodontal ligament,,A,
Asymmetry of the sinuses is usually a sign of pathology.,True,False,,,,B,
Fetal alcohol syndrome has the largest effect on development during the first trimester.,True,False,,,,B,
