title,Preclinical Pediatric Dentistry Exam 1 (Spring 2021),pedo,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements regarding toxicity from a likely overdose of local anesthetics is false:,It is more likely to occur in children because of their lower body weight,Most likely to occur within 5-10 minutes of injection,There is depression of the central nervous system followed by excitation (biphasic),It is more common in intravascular injections,,C,
"For a long buccal nerve block, a small quantity of anesthetic is deposited in the mucobuccal fold at a point _____________ to the indicated tooth.",Mesial and buccal,Mesial and lingual,Distal and buccal,Distal and lingual,,C,
"The toxic dose of lidocaine would be attained if hardly more than ______ ml of 2% lidocaine with 1:100,000 epinephrine was injected at one time into a 30 pound child.",3,6,9,12,,A,
An inferior alveolar nerve block for a child must be made slightly ____________________ than an adult.,Higher and more anteriorly,Higher and more posteriorly,Lower and more anteriorly,Lower and more posteriorly,,D,
"Maximum dose of 2% lidocaine with 1:100,000 epinephrine is calculated at:",1.7 ml/kg,34 mg/kg,1.8 ml/kg,4.4 mg/kg,,D,
Use of this topical anesthetic can cause Methemoglobinemia and should not be used in children under the age of 2.,Bupivicaine,Articaine,Ethyl aminobenzoate,Mepivacaine,,C,
"2% lidocaine with 1:100,000 epinephrine is the most commonly used local anesthetic in children. Lidocaine is metabolized in the blood plasma.",Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true,,C,
Delayed or insufficient growth due to early childhood caries left untreated is called:,Dental neglect,Failure to thrive,Dental abuse,Social ostracism,,B,
Fluoride toxicity in children can occur with a dose equal to or greater than,2.2 mg F/kg,5 mg F/ kg,1.8 mg F/kg,0.5 mg F/ kg,,B,
The following image of a 24 month old child is an example of:,Early childhood caries,Fluorosis,Calculus buildup,Severe early childhood caries,,D,
Use of rubber dam isolation improves all of the following except:,Patient compliance,Infection control,Hemostasis control,Time management,,C,
A child friendly term for the use of rubber dam isolation is called:,Split dam,Raincoat,Slit dam,Both slit or split dam,,B,
When choosing the proper clamp size which of the following should be considered:,Type of tooth,Size of tooth,Condition of the tooth,All of the answer choices,,D,
"Prior to placing dental sealants, the tooth must be cleaned with ________ to remove plaque and debris.",Copious water spray,37% phosphoric Acid for 20 seconds,Pumice and water slurry,Prophy paste,,C,
Placement of dentin bonding layer under the resin-based sealant material has been shown to enhance long term retention because:,Dentin bonding agent is more hydrophobic than sealant material,Dentin bonding agent is less viscous than sealant material,Dentin bonding agent is more hydrophilic than sealant material,Dentin bonding agent is more viscous than sealant material,,C,
"When placing a sealant on tooth #14, it is important to dispense material on all vulnerable areas located on the occlusal and ________ surfaces.",Buccal,Lingual,Interproximal,Occlusal only,,B,
