title,Intro to Clinical Dentistry Final Exam (Spring 2022),icd,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
The TCDM axium extraction consent includes a section to be completed that asks: “What other risks might there be?” The student provider should list:,Neurosensory disturbance for lower third molars,Sinus exposure for upper third molars,Root fragments left in place,Infection,None of these,,,,E,
Members of the Emergency Response Team include: I: Doctors that have BLS training II: Doctors that are CPL's III: Doctors that have ACLS training IV: Dental assistants from any of the six clinics V: Dental assistants specific to Oral Surgery; knowledgeable in patient monitoring and emergency set-up,II &V,"I, III, and V",I &II,I &IV,"I, III &IV",,,,B,
"In severe bronchospasm, an intramuscular dose of epinephrine should be administered via auto-injector. Which of the following statements is accurate regarding the epinephrine administration?",The adult dose of epinephrine is 0.15mg and pediatric dose is 0.075mg,The adult dose of epinephrine is 0.3mg and pediatric dose is 0.15mg.,The adult and pediatric dose of epinephrine are both 0.3mg.,The adult and pediatric dose of epinephrine are both 0.15mg.,,,,,B,
"Statement 1: If you suspect a patient has a partial foreign body obstruction during dental treatment and are unable to retrieve the object, a chest radiograph is warranted. Statement 2: If you confirm a patient has a complete foreign body obstruction and is still conscious, abdominal thrusts (Heimlich Maneuver) should be performed.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,,,A,
Statement 1: Oxygen should be administered to a patient who is hyperventilating. Statement 2: Tachypnea is the increased elimination of O2.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,,,B,
Which of the following are contraindications for administering nitroglycerin to a patient with chest pain?,Systolic blood pressure less than 90mmHg,Heart rate above 80bpm,Heart rate below 60bpm,Diastolic blood pressure above 80,,,,,A,
"At Touro Dental Health, as a primary provider, once you have acknowledged and recognized that an emergency is imminent or occurring, the next step to take is:",Stay with your patient and have your assistant call the emergency response team (ERT) through the emergency line available on all clinic phones,Stay with your patient and have your assistant call Dr. Wachs' cell phone,Leave your patient to call the emergency response team (ERT) through the emergency line available on all clinic phones,Leave your patient to get your CPL.,,,,,A,
"Neck extension, jaw thrust, and chin lift are all appropriate methods of:",Providing breathing,Managing a seizure,Obtaining and maintaining airway,Managing a stroke,,,,,C,
What do the ABC's of life support stand for?,"Arteries, Breathing, Carotid","Airway, Baroreceptors, Circulation","Airway, Breathing, Circulation","Arteries, Bleeding, Carotid",,,,,C,
Which of the following actions is (are) required in preparation of medical emergencies?,Ensure the dentist's own education about emergency management is adequate and up to date,Have the office staff trained to assist in medical emergencies,Establish a system to gain ready access to other health care providers able to assist during emergencies,Equip the office with equipment and supplies necessary to care initially for patients having serious problems,All actions are required.,,,,E,
"Statement 1: Once those patients who are likely to have medical emergencies are recognized, the practitioner can prevent most problems from occurring by modifying the manner in which care is delivered Statement 2: Prevention is the cornerstone of management of medical emergencies.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,,,A,
A patient presents for a PFM crown on tooth number 3. Which of the following steps do NOT require a faculty check before moving forward with your treatment?,After your Ideal Crown Prep,After placement of the Matrix Band,After fabricating temporary crown,After taking an impression,After cementing the temporary crown,,,,B,
A patient arrives to Touro Dental for a 14 MO composite procedure. After the patient has been checked in at the upfront desk and before the patient is brought into the operatory all appropriate barriers are to be placed and all instruments are to be unwrapped and set up for a direct operative procedure.,True,False,,,,,,,B,
Faculty must check which of the following steps for a direct operative procedure,Final Prep,Final Restoration before rubber dam removal,Ideal Prep,Final restoration after rubber dam removal and occlusal adjustments,All of these steps need to be checked by faculty.,,,,E,
"A patient presents for a DO composite on tooth number 3. The patient was seen last week in oral surgery for an extraction of tooth number 2, and the note from the previous student provider has not been approved but was written in the chart. The resulting blue code from another provider will prevent you from being able to work on the patient at this time.",True,False,,,,,,,A,
Perio probing is considered an invasive procedure,True,False,,,,,,,A,
A patient presents for an MOD amalgam on tooth number 15. You are presenting to the faculty for a start check. Which of the following things are you NOT expected to present?,An updated medical history,An X-ray of tooth number 15,Updated Heart Rate,Updated SP02,Updated Blood Pressure,The treatment plan code that was signed and consented to,All of these are expected,None of these are expected,G,
A patient presents for a DO composite on tooth number 15. Which of the following cannot be performed on a patient if you do not have a start check?,Review of medical history,Head and neck exam review,Discussing with patient the details about procedure that will be performed for the day,Review of general consents,None of these steps require a start check,All of these steps are required for a start check,,,E,
A Biopsy Informed Consent From includes all of the following except,Diagnosis,Procedure,Additional Options,Differential Diagnosis,,,,,D,
During an oral pathology appointment if a biopsy is required the student should prepare the following instrument kit,Basic Oral Surgery Cassette from oral surgery,Basic Operative Cassette,Basic Biopsy Cassette,Basic Oral Surgery Cassette from general clinic,Basic Exam Kit,,,,A,
During An oral Pathology consult appointment as a student you should perform all of the following BEFORE calling the oral pathologist over for the exam I. Vitals II. Physical exam of the visible skin III. Update the Medical History IV. Update the Social History V. Develop a Differential diagnosis,"I, II and IV only","I, II, III and IV only","I, II, III and V only",All of the answers are correct,None of the answers are correct,,,,D,
