title,Preclinical Pediatric Dentistry Final Exam (Spring 2020),pedo,final
question,option_a,option_b,option_c,option_d,correct,image
STA,Is a painful way to give local anesthesia,Is used for a mandibular block,Is an intraligamentary injection,Pierces the mucosa,C,
Lasers in pediatric dentistry may be used for:,removal of caries,frenectomies,provide pain relief associated with apthous ulcers,All of the answer choices,D,
Advantages to using a handheld x-ray system (Nomad) include all of the following except:,It is portable,It is cost effective,Doesn’t require a lead shield for the patient,Enables you to stay with an anxious patient,C,
"A material that stimulates apatite formation and natural remineralization and has the added benefit of recharging calcium, phosphate and fluoride is:",Compomer,Glass Ionomer,Bioactive restorative material (Activa),Composite resin,C,
All of the following are true of the Hall technique except:,always requires local anesthesia,is a technique for stainless steel crown,should be cemented with glass ionomer,does not require removal of decay,A,
An example of a passive orthodontic appliance is:,a rapid palatal expander,a W-arch,a lower lingual holding arch,"a quad helix The following set of questions, (48-53): all apply to the same patient and the same set of x-rays",C,
"Below are x-rays of an 8 year old child who presented to the dentist, for her first dental visit ever, with mom. She lives in an optimally fluoridated community and drinks soda and juice several times per day, between meals. What is her Caries Risk Assessment?",Low,Moderate,High,Severe,C,images/pedo-final-spring-2020/fig48.png
The above patient reported intermittent pain upon eating that subsides after a few minutes and did not keep her awake at night. What tooth do you think is the most likely source of the pain?,B,I,L,T,B,
What is the most likely diagnosis for the tooth causing the intermittent pain in the above question?,Incipient carious lesion,Reversible pulpitis,Irreversible pulpitis,Necrotic tooth,B,
"Upon clinical examination, there are no soft tissue signs or symptoms and no radiographic pathology is noted. Which of the following would be your treatment of choice for the tooth described in the question above?",composite resin,pulpotomy and composite resin,pulpectomy and stainless steel crown,pulpotomy and stainless steel crown,D,
What would be your treatment of choice on tooth 30 in the above patient assuming there is an intact occlusal surface without any evidence of staining?,Composite resin,Stainless steel crown,Sealant,SDF,C,
Mom reports that the patient was a thumb sucker until age 4. What type of bite might this parafunctional habit have resulted in?,Class I,Anterior open bite,Anterior cross bite,Posterior bite collapse,B,
