title,GDA Final Exam (Summer 2019),gda,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
During which week of embryonic development does odontogenesis begin?,Week 4,Week 6,Week 8,Week 10,,,B,
The correct order for the stages of odontogenesis is:,"Bud, Cap, Bell","Bud, Bell, Cap","Bell, Bud, Cap","Cap, Bud, Bell",,,A,
A carious lesion triggers the formation of which type of dentin?,Primary dentin,Secondary dentin,Tertiary dentin,,,,C,
The major organic component of dentin is :,Collagen,Lipids,Hydroxyapatite,Lactate,,,A,
The figure shows an example of which clinical condition?,Macrodontia,Microdontia,Peg lateral,Oligodontia,,,A,images/gda-final-summer-2019/fig58.jpeg
Which structure is the organizer of the tooth and is responsible for its shape?,Enamel knot,Stellate reticulum,Dental sac,Outer enamel epithelium,,,A,
Which anomaly shown in the picture can arise during the cap stage of development?,Gemination,Fusion,Taurodontism,Dens in dente,,,A,images/gda-final-summer-2019/fig60.png
Hertwig's epithelial root sheath is made up of cuboidal cells from the IEE and OEE.,True,False,,,,,A,
Dentin is the hardest tissue in the body.,True,False,,,,,B,
The color of the crown of the tooth is largely determined by which layer?,Dentin,Enamel,Cementum,Pulp,,,A,
Which type of dentin is laid down first?,Mantle,Circumpulpal,Interglobular,Tertiary,,,A,
Where are denticles found?,Floating freely in the pulp,Attached to the dentin,Embedded in the dentin,All of the above,,,D,
What is the appropriate clinical term for over-production of cementum?,Hypercementosis,Hyper-proliferation,Hypocalcification,Gemination,,,A,
Maxillary central incisors are often the first teeth to erupt.,True,False,,,,,B,
