title,Fixed Prosthodontics Midterm Exam (Fall 2021),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
The three MOST common materials used to fabricate crowns are:,"Gold, Porcelain Fused to Metal, Resin","Metal, Porcelain Fused to Metal, Resin","Metal, Porcelain Fused to Metal, Ceramic","Metal, Porcelain Fused to Metal, Compomer",,,,C,
The length of a tooth preparation is indirectly proportional to the retention of that restoration:,True,False,,,,,,B,
"When using your reduction matrix to measure the amount of axial reduction, you would measure at the incisal or occlusal extent of the preparation:",True,False,,,,,,B,
Ceramic crown margins are most commonly:,Shoulder,Shoulder/bevel,Chamfer/bevel,Chamfer,"a, b and c",a and d,,F,
"When preparing a crown, tilting the head of the handpiece towards the surface of the tooth you are working on will create an undercut:",True,False,,,,,,B,
Statement One: Reduction is the amount of tooth structure removed during your preparation. Statement Two: Clearance is the amount of space created between the tooth prepared and the opposing tooth (teeth):,"Statement One is true, Statement Two is true.","Statement One is false, Statement Two is false.","Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,,A,
Parallel abutment walls are divergent:,True,False,,,,,,B,
"A crown preparation with a small diameter resists pivoting displacement better than a tooth preparation of equal length, but a larger diameter:",True,False,,,,,,A,
The property of an impression material that causes a change in viscosity from one form to another is known as:,Flowability,Dimensional stability,Flexibility,Thixotropic,None of the above,,,D,
"Statement One: Hydrophobic impression materials will wet intraoral structures better than hydrophilic impression materials. Statement Two: The lower the contact angle, the better the wetting ability of an impression material.","Statement One is true, Statement Two is true","Statement One is false, Statement Two is false","Statement One is true, Statement Two is false","Statement One is false, Statement Two is true",,,,D,
"If an impression material has an Elastic Recovery of 90%, the remaining 10% would represent:",Flexure Strength,Permanent Deformation,a and b,None of the above,,,,B,
Rigid impression materials are indicated for complete denture impressions with patients having bilateral mandibular tori:,True,False,,,,,,B,
Statement One: Viscous impression materials resist shear when stress is applied. Statement Two: Elastic impression materials will not return to their original state when the stress is eliminated.,"Statement One is true, Statement Two is true.","Statement One is false, Statement Two is false","Statement One is true, Statement Two is false.","Statement One is false, Statement Two is true.",,,,C,
Alginate has a very low Permanent Deformation value:,True,False,,,,,,B,
The putty we use for fabricating reduction and provisional matrices is a polysulfide impression material:,True,False,,,,,,B,
"When placing an alginate impression in a wet environment prior to fabricating a cast, the process of syneresis occurs:",True,False,,,,,,B,
"Statement One: When mixing alginate, we add the powder to the mixing bowl and then add water. Statement Two: When mixing stone, we add the powder to the mixing bowl and then add water.","Statement One is true, Statement Two is true","Statement One is false, Statement Two is false","Statement One is true, Statement Two is false","Statement One is false, Statement Two is true",,,,C,
The functional cusp bevel is placed to:,Assure adequate clearance from the opposing tooth/teeth,Prevent fracture of the tooth,Reduce stress at the line angles,All of the above,,,,D,
The 847-018 diamond is a chamfer diamond:,True,False,,,,,,B,
Zinc oxide is a medicated powder used in provisional restorations and provisional cements:,True,False,,,,,,B,
When positioning yourself in the proper ergonomic position you should have:,Forearms parallel to the floor.,Thighs parallel to the floor,Back upright and against backrest of operator stool,a and c,All of the above,,,E,
The primary function(s) of a putty matrix is/are:,Ability to reduce sufficiently,Prepare anatomic contours,Place depth cuts properly,a and b,All of the above,,,D,
You are responsible with your bench partner(s) for the following items: 1 Dental Engine 1 High speed handpiece 1 Straight nose slow speed handpiece 1 Contra-angle slow speed handpiece The approximate value of these items is:,$2500.,$5000.,$7000.,"$10,000.",,,,C,
What time is it when it is time to go to the dentist:,Eight o’clock,Midnight,Tooth Hurty (2:30),None of the above,,,,C,
