title,Ethics Final Exam (Summer 2016),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements are NOT TRUE when referring to OBLIGATIONS in the dentist-patient relationship?,Alll of the obligations belong to the dentist.  The patient has no obligations.,The dentist is obligated to disclose information pertinent to the relationship.,The dentist is obligated to respect patient privacy.,The dentist is obligated to maintain patient confidences.,The dentist is obligated to keep promises.,The dentist is obligated to consider patient values and personal preferences in treatment decisions.,,A,
Dentists should take Continuing Education Courses because it is their responsibility to their patients to maintain their competence and skill under the ethical principle of Autonomy.,True,False,,,,,,B,
"Risk management processes and decisions that do not include the perspective of the patient, may be unethical.",True,False,,,,,,A,
Which of the following statements are NOT TRUE?,Insurance coverage should not be the sole consideration in preparing a treatment plan.,The level of financial gain to the dentist must never be a consideration in any of the dentist's professional recommendations.,A patient's ability to pay for services may be a consideration in the dentist's professional recommendations.,It is ethical to provide substandard care as long as the patient understands that the care is substandard and that is what the patient desires.,,,,D,
Which of the following statements is NOT TRUE in regard to advertising by dentists?,A dentist my not mislead or deceive by partial disclosure of facts.,"A dentist may claim to be ""the best"" as long as he/she believes this to be true.",A dentist cannot guarantee results that he/she does not necessarily expect.,A dentist cannot misrepresent facts or fees.,,,,B,
Dentists are obligated to provide necessary treatment to their patients.  Which of the following three statements are TRUE when considering valid reasons for a dentist to refrain from providing treatment?,The dentist does not have the expertise or capability to provide competent treatment or to meet patient expectations.,"The dentist's professional ability is impaired from injury, illness, disability, medication, or addiction.",The patient requests treatment that is clearly contrary to the patient's best interests.,Two of these statements are true.,All three of these statements are true.,,,E,
"As you are aware, the American College of Dentists provides a wallet card describing the ACD Test for Ethical Decisions.  The three steps i n the decision process include: Assess Communicate Decide. During the Communication step, all of the following whould be considered, EXCEPT:",Have you listened?,Have you informed the patient?,Have you explained outcomes?,Have you presented alternatives?,Have you told the patient what you have decided that they must do?,,,E,
"In New York State, the practice of dentistry, including licensing of dentists and hygienists, falls under the auspices of the:",New York State Education Department.,New York State DMV.,New York State Dental Association.,Dental Society of the State of New York.,New York State Office of Professional Licensing,New York State Department of Dentistry and Dental Hygiene.,New York State Department of Health,A,
Licensure to practice Dentistry in New York State will be granted when all requirements set by the state are completed.  One of these requirements is:,"Satisfactory completion of a cliniclly-based postdoctoral general practice or specialty dental residency program, of at least one year's duration, in a hospital or dental facility accredited for teaching purposes by a national accrediting body.",Satisfacatory completion of a two year apprenticeship under the tutelage of a mentor dentist who has been certified by the state.,Certification by the dental school that the candidate for licensure has obtained the requisite education and experience insuring his/her capability of providing patient care without supervision.,Graduation from a dental school accredited by both New York State and CODA (Commission on Dental Accreditation) without any additional educational experience or training.,,,,A,
"In New York State, issues and complaints related to an individual involved in the practice of Dentistry are investigated and enforced by the:",Office of Professional Discipline (OPD),Division of Underperforming Dentists (DUD),Officials Pursuing Dentists (OPD),Commission on Dental Certification (CDC),Commission on Intraoral Abuse (CIA),,,A,
Which one of the following is NOT one of the Four Principles of Professionalism:,Excellence:  a commitment to always do your best.,Accountability:  a willingness to be accountable for choices and options,Humanism:  seeing the best in everyone in any given situation,Self-Determination:  determination on one's own without any influence from others or outside sources,Altruism:  the dedication to place the needs of the patient above your own self-interest,,,D,
The five key ethical principles as defined in the American Dental Association Coe of Ethics are:,"Autonomy, Justice, Beneficence, Non-maleficence, and Loyalty.","Maleficence, Non-beneficene, Veracity, Loyalty, and Autonomy.","Veracity, Thoughtfulness, Loyalty, Autonomy, and Beneficence.","Affabilty, Beneficence, Non-maleficence, Sincerity, and Veracity.","Veracity, Beneficence, Non-maleficence, Justice, and Autonomy.",,,E,
"As described by More from NYU, the Commercial Ethical View includes ALL of the following, EXCEPT:",The dentist's primary motivation is financial success.,Financial reward is a by-product of the good work of the dentist.,The patient consent is seen as a contract.,The patient pool is a resource to create wealth.,Patient recruitment is done based on solely financial motives.,,,B,
Which of the following is NOT included in pledges made by dental students when signing the TCDM Honor Code:,To act in a professional manner at all times.,"Not to cheat, plagiarize, use unauthorized material, misrepresent my work, falsify data or assist others in commiting such acts.",To commit oneself to understanding and preserving professional ethics.,"To conduct oneself with honesty, integrity, fairness and respect for all others and while doing so foster a community capable of the free exchange of ideas and excellence in patient care.",To maintain honesty and integrity in all aspects of my education.,To play a role in improving the facilities and thus the reputation of the College by promoting the most profitable procedures to patients in order to maximize revenue.,"To act respectfully during interactions with patients, staff, faculty, and peers.",F,
"During class we discussed a case involving a student who forged a faculty member's signature on a final clinical treatment plan.  Other students were aware of this occurrence.  This could have potential implications for all of the following individuals or groups, EXCEPT:",The patient for whom the treatment plan was developed.,The student who forged the signature.,The faculty member whose signature was forged.,All patients that may be treted by that student.,All faculty members.,All students.,This could have potential implications for all of the individuals and groups described above in answers a - f.,G,
According to the American Dental Association Ethics and Code of Professional Conduct document:,Legal duties often exceed ethical obligations.,Legal duties and ethical obligations are equivalent.,Ethical obligations aften exceed legal duties.,Ethical obligations are always immediately apparent to the honest practitioner.,"If you practice ethically, you will be guaranteed tremendous financial success.",,,C,
"All of the following are considered as relevant to patient Autonomy, EXCEPT:",Patient determination of treatment to be received.,Informed consent.,Confidentiality of patient information and records.,Use of certified auxiliaries to provide treatment.,Provision of records to other healthcare providers as requested by the patient.,,,D,
"One of your assignments was to read the abstract from the article, Faculty and Student Perceptions of Academic Integrity at U.S. and Canadian Dental Schools, from the Journal of Dental Education, August 2007.  Based on what you read, which of the following statements are NOT TRUE?",Data was collected by surveying dental students and faculty.,Cheating is a significant problem in dental schools.,Students' and faculty members' perceptions of academic integrity are the same.,Dental schools need to identify effective strategies to prevent cheating opportunities.,Dental schools need to implement and enforce effective means of dealing with specific examples of cheating.,,,C,
Which of the following statements about offenses for which a dentist may be disciplined are TRUE?,All offenses may result in criminal charges and prison sentencing.,Commission of any offense will result in permanent forfeiture of licensure.,"Penalties may be more lenient if the dentist committing the offense ""turns him/herself in"" rather than if his/her offense is first discovered by the appropriate authorities.",The public has no right to see any disciplinary actions taken against any healthcare professional.,"If a dentist is found to be guilty of an offense, penalties are meted out based on the rule, ""An eye for an eye and a tooth for a tooth.""",,,C,
"It is not a problem for a dentist to treat patients while impaired, as long as he does not physically harm them.",True,False,,,,,,B,
A dentist must be aware of the ethical standards of the state in which he is practicing when making decisions regarding patient care.,True,False,,,,,,B,
"The dentist who tells the patient the treatment plan with no discussion. applies to which model for Dentist-Patient Interaction, as defined by Ozar and Sokol: 1. Guild Model 2. Agent Model 3. Commercial Model 4. Interactive Model 5. Professional Model",1,2,3,4,5,,,A,
"The dentist who does whatever the patient wants just to keep them as a patient.. applies to which model for Dentist-Patient Interaction, as defined by Ozar and Sokol: 1. Guild Model 2. Agent Model 3. Commercial Model 4. Interactive Model 5. Professional Model",1,2,3,4,5,,,B,
"The dentist whose sole focus is making money through his patients and his practice. applies to which model for Dentist-Patient Interaction, as defined by Ozar and Sokol: 1. Guild Model 2. Agent Model 3. Commercial Model 4. Interactive Model 5. Professional Model",1,2,3,4,5,,,C,
"The dentist who takes the time to explain the ideal treatment plan, as well as alternative treatment plans, to the patient. applies to which model for Dentist-Patient Interaction, as defined by Ozar and Sokol: 1. Guild Model 2. Agent Model 3. Commercial Model 4. Interactive Model 5. Professional Model",1,2,3,4,5,,,D,
