title,Oral Radiology Final Exam (Fall 2021),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,A,images/oralrad-final-fall-2021/fig15.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral oblique radiograph,Reverse-Towne radiograph,C,images/oralrad-final-fall-2021/fig16.png
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,B,images/oralrad-final-fall-2021/fig17.jpeg
Which of the following radiographs would be BEST to evaluate the zygomatic arches (“cheek bones”)?,Bitewing radiograph,Reverse-Towne radiograph,Submentovertex radiograph,Waters view radiograph,C,
CBCTs typically give less radiation than medical CTs.,True,False,,,A,
The dark/hypodense area on this CBCT deep to the restoration on tooth #3 does NOT show on a bitewing radiograph. This dark/hypodense area is most likely:,Beam-hardening artifact,Dental caries,Osteomyelitis,Periodontal bone loss,A,images/oralrad-final-fall-2021/fig20.jpeg
Which of the following is NOT a typical use of a CBCT?,Pre-operative evaluation of wisdom tooth prior to extraction,Initial dental records,Evaluation of a tooth for a fracture,Evaluation of the temporomandibular joints,B,
The chair does NOT need to be covered with plastic barriers since you will be wiping it down with a disinfectant.,True,False,,,B,
A digital sensor should NOT be wiped down since it will be damaged by the chemicals.,True,False,,,B,
Which of the following is NOT a material in radiology that requires special waste management?,Silver from the fixer solution,Lead foil found in film packets,Barriers covering the keyboard and mouse,,C,
Universal precautions dictate that we should:,Treat all human blood and certain human body fluids as if they were known to be infectious,Use extra barriers when treating patients with known infectious diseases,Treat saliva but not blood as potentially infectious,Treat blood but not saliva as potentially infectious,A,
Which is the following statements is FALSE?,Many pediatric patients experience less discomfort than adult patients,Many pediatric patients have trouble sitting still,Many pediatric patients need to be yelled at to make them behave properly,Many pediatric patients require behavior management,C,
Patients with motor dysfunction usually have cognitive dysfunction.,True,False,,,B,
Which of the following is NOT a technique in our arsenal to deal with a misbehaving/fearful/anxious patient?,Papoose board (MIPS),Mouth prop,Tell-show-do,All of the other choices are valid techniques,D,
What is the typical shape of interproximal caries in the enamel layer?,"Triangular, with a point at the DEJ","Triangular, with a point at the surface of the enamel","Rectangular, with the long side towards the DEJ","Crescent-shaped, following the CEJ",A,
Early stage caries which is limited to the enamel is known as:,Kissing caries,Secondary caries,Root caries,Incipient caries,D,
Which of the following clinical situations is MOST like to result in in root caries?,Dry mouth (xerostomia),Periapical lucency / apical periodontitis,Lateral periodontal cyst,Impacted tooth,A,
Cervical burnout is usually located between the alveolar crest and the CEJ on the interproximal surfaces of teeth.,True,False,,,A,
Aggressive periodontitis tends to be localized to the ________ region(s):,premolar,first molar / incisor,wisdom tooth / canine,molar,B,
"When evaluating for alveolar bone loss, one should look to see if the bone level is more than 1.0 to 2.0 apical to the ___________.",dentinoenamel junction,cementoenamel junction,root apex,interproximal height of contours,B,
Restorations which are poorly contoured interproximally can cause periodontal bone loss,True,False,,,A,
A person who is born with NO teeth has a special kind of hypodontia called _______:,Anodontia,Taurodontism,Microdontia,Hyperdontia,A,
You notice that the patient’s wisdom tooth is much smaller than expected. This is an example of:,Hyperdontia,Transposition,Microdontia,Dilaceration,C,images/oralrad-final-fall-2021/fig37.jpeg
"When examining a patient, you notice that one of the premolars has an extra cusp which is fairly tall. This is an example of:",Dens invaginatus,Dens evaginatus,Dentin dysplasia,Dentinogenesis imperfecta,B,images/oralrad-final-fall-2021/fig38.jpeg
"When counting a patient’s teeth, you notice that there are only three mandibular central incisors. However, one of the incisors has a clinical crown that looks like two crowns in one. Which of the following BEST explains this situation?",Fusion,Gemination,Concrescence,Macrodontia,A,
Which of the following appears bright on radiographs and CBCT but dark on MRI?,Air,Mandibular canal,Saliva,Teeth,D,
"When looking at an MRI, dark spots are referred to as hypodense or radiolucent.",True,False,,,B,
"Despite the fact that we study it in radiology class, MRI imaging does NOT rely on ionizing radiation:",True,False,,,A,
Which type of injury might result in no visible radiographic changes?,Concussion,Lateral luxation,Intrusion,Extrusion,A,
A coronal fracture has a very good prognosis as long as it is limited to the enamel and dentin (no pulp involvement).,True,False,,,A,
"Which LeFort classification, also known as a horizontal fracture, is essentially a separation of ONLY the maxilla from the rest of the cranium?",I,II,III,IV,A,
What is the BEST name for an injury in which the tooth gets pushed further into its socket?,Luxation,Avulsion,Concussion,Intrusion,D,
"Sometimes, an infection due to osteomyelitis forms a drainage pathway for pus (neutrophils). Which of the following is a proper term to describe this drainage pathway?",Fistula,Periodontitis,Tumor,Cyst,A,
Which of the following correctly describes a periosteal reaction?,Internal dense reactive bone formation,External depositing new layers of bone,Periapical radiolucency,Gingivitis,B,
Which of the following is the BEST definition of osteomyelitis?,Infection of the bone,A fractured bone,Damaged muscle tissue,Large dose of radiation to the bone,A,
2022 is here! Your first fall semester is just about over! Feel free to choose the statement that resonates with you the most! (Note: Any answer choice to this question will give you full credit. They are all “correct answers.”),Dental school is NOT what I expected!,Dental school is EXACTLY what I expected!,Remote learning is fun!,Is the pandemic over yet?,D,
