title,GDA Midterm Exam (Summer 2017),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
A child presents to your office with his adoptive parents for his first dental visit. The parents report on the medical history that the child was born with fetal alcohol syndrome. What facial characteristics can you expect to note clinically on head and neck exam?,Thin upper lip,Flat mid-face,Large bulbous eyes,Deformed teeth and enamel defects,A and B,"A, B and C","A, B, C and D",E,
Which of the following is not a consequence of poor maternal nutrition on the developing fetus?,Increased IQ level,Increased risk of diabetes,Increased heart disease and high blood pressure,Increased risk of abnormal brain development,,,,A,
Rubella is the leading cause of what developmental defect in the developed world?,Blindness,Deafness,Mitral Valve Prolapse,Learning disorders,,,,B,
Which of the following is not true regarding infancy?,Infancy is defined as the first three years of a child's life.,Rapid development of the neuromuscular system occurs.,Peak velocity of growth occurs two months after birth.,On average 200 percent growth in weight occurs during the first year of life.,,,,A,
What defines the period of late childhood?,Eruption of primary teeth,Start of the eruption of permanent teeth,Prepubertal period,None of the above,,,,C,
During what season does increase in weight occur most rapidly?,Spring,Summer,Fall,Winter,,,,C,
"Deficiency of which of the following vitamins is related to the development of rickets, or defective mineralization and calcification of the bones that causes bowing and fracture?",Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin E,,,D,
Somatotropin (HGH) is the most important hormone related to growth and development and secreted by the thymus.,True,False,,,,,,B,
"According to the Rule of 5s, approximately how many centimeters in head growth occurs during the first year of life?",5 cm,10 cm,25 cm,50 cm,,,,C,
The only haploid cells (n) in the body are gametes.,True,False,,,,,,A,
"What specific step in the fertilization process causes a biochemical reaction that stops polyspermy, or the fertilization of the ovum by multiple sperm?",Release of hyaluronidase by the acrosome of the sperm,Formation of the female pronucleus,Cortical reaction,Formation of the ootid,,,,C,
What is the name of the stage during pre-embryonic development when the zygote enters the uterus and embeds itself in the uterine lining?,Ootid,Morula,Blastocyst,Pronucleus,,,,C,
Name the plane of reference identified by the red arrow in the figure.,Saggital plane,Median section,Transverse section,Coronal section,,,,C,images/gda-midterm-summer-2017/fig24.png
The structure identified in the figure with the red arrow is the syncytiotrophoblast.,True,False,,,,,,B,images/gda-midterm-summer-2017/fig25.jpeg
"Identify the germ layer that gives rise to cartilage, bones, skeletal muscle and most of the cardiovascular system.",Endoderm,Ectoderm,Mesoderm,,,,,C,
Which of the following is NOT true about Spina Bifida Occulta?,Neural arches fail to fuse in the median plane,Spina Bifida Occulta often presents with no symptoms,"The only identifying mark may be a dimple, birthmark or tuft of hair",Varying severe neurological effects such as anesthesia are common,,,,D,
The adult derivative of the forebrain is the medulla oblongata.,True,False,,,,,,B,
What is the adult analogue of the third aortic arch?,Maxillary Artery,Common Carotid Artery,Ductus Arteriosus,Pulmonary Arteries,,,,B,
Which is the following is an adult derivative of the foregut?,Gallbladder,Appendix,Jejunum,Rectum,,,,A,
Identify the statement that is NOT TRUE about the alveolar stage during lung maturation.,The alveolar stage lasts from 32 weeks after conception through 8 months after birth.,New alveoli are added up until 8 years of age.,Transition from dependence on the placenta for gas exchange to autonomous gas exchange occurs during the alveolar stage.,Adequate surfactant is present to avoud respiratiry distress.,,,,A,
What muscle group does pharyngeal arch 2 give rise to?,Muscles of mastication,Muscles of facial expression,Hyoid muscles,Stylopharyngeous,,,,B,
Which if the following pairings of pharyngeal arch and adult derivative is incorrect?,Pharyngeal Arch 1;  Meckel's cartilage,Pharyngeal Arch 5; Rudimentary,Pharyngeal Arch 6; Muscles of Facial Expression,Pharyngeal Arch 4; Pharyngeal and laryngeal musculature,,,,C,
What is the name and function of Cranial Nerve IV?,Trochlear; downward and inward eye movements,Trochlear; sense of sight,"Trigeminal; mastication, touch, pain and temperature",Trigeminal; downward and inward eye movements,,,,A,
After an accident a patient has difficulty swallowing. Which Cranial Nerve could possibly be affected?,Cranial Nerve IX,Cranial Nerve X,Cranial Nerve XII,Cranial Nerves IX and XII,None of the above,,,D,
Pharyngeal pouches 2 and 3 give rise to the parathyroid gland.,True,False,,,,,,B,
Which of the following statements are true regarding the stomodeum?,The stomodeum is an ectoderm lined cavity.,The stomodeum is located between branchial arch 1 and the forebrain.,Separated from the primitive pharynx by the bucopharyngealmembrane,All of the above,None of the above,,,D,
Which of the following is true about the development of the thyroid?,The thyroid is derived from pharyngeal arch 4,The thyroid is connected to the tongue by the thyroglossal duct which remains throughout life and can be detected in the adult,Neural crest cells of from Pharyngeal Pouch 4 migrate into the gland and give rise to the parafollicular (aka C-cells) of the thyroid,All of the above,,,,C,
What is the name of the pit at the center of the tongue that sits at the apex of the terminal sulcus and whose location was the origin on the thyroid?,Foramen cecum,Copula,Tuberculum impar,Hypopharyngeal eminence,,,,A,
What facial prominence gives rise to the zygomatic bone?,Nasal prominence,Frontonasal prominence,Maxilary prominence,Mandibular prominence,,,,C,
Macroglossia is the clinical term for a patient that is tongue-tied.,True,False,,,,,,B,
What is the Veau classification for the clefting shown in the figure?,Class I,Class II,Class III,Class IV,,,,C,images/gda-midterm-summer-2017/fig42.jpeg
What is the classification for the cleft lip seen in the figure?,Unilateral complete,Unilateral incomplete,Bilateral complete,Bilateral incomplete,,,,A,images/gda-midterm-summer-2017/fig43.jpeg
Choose the correct definition for neonatal teeth.,Those that are erupted and present at birth,Those that erupt sometime during the first month of life,Primary teeth with enamel defects due to Vitamin D deficiency,Permanent teeth present in an infant,,,,B,
Identify the suture outlined in red in the figure.,Metopic suture,Coronal suture,Sagittal suture,Lamboidal suture,,,,B,images/gda-midterm-summer-2017/fig45.jpeg
The cranial bones shown in color in the figure make up the viscerocranium.,True,False,,,,,,B,images/gda-midterm-summer-2017/fig46.jpeg
The mandible is formed from both intramembranous and endochondral ossification.,True,False,,,,,,A,
"A patient presents to the office with an endodontic abscess requiring a root canal to be performed. Before the patient is referred to the endodontist for treatment, you feel the patient requires a prescription for antibiotics. She is currently 32 weeks pregnant. Which of the following is an appropriate choice for this patient?",Macrolides,Penicillins,Tetracycline,Sulfanamides,,,,B,
Proper nutrition is as important for the mother as it is for the developing fetus. Deficiency in which of the following could cause neural tube defects?,Vitamin D,Calcium,Protein,Folic acid,Manganese,,,D,
What defines fetal maturity?,35 weeks prenatal development,Weight of 2500 grams or more,Adequate surfactant for indepenent respiration,All of the above,,,,D,
Which of the following is true of supine hypertensive syndrome?,Affects only non-pregnant women as the vena cava becomes compressed by the uterus,"Presents as an abrupt drop in blood pressure, bradycardia, nausea and sweating",Can be avoided by treating pregnant patients in a semi-supine position with a pillow under the left hip,None of the above,,,,B,
Which if the following statements is NOT true about oral health and pregnant women?,"Poor dental health may lead to pain, which patients may treat inappropriately with over the counter medication",Vertical transmission of bacteria between mother and child can increase the risk of childhood caries,Dental infections can spread and cause systemic disease that may be harmful to the fetus,It is safe for pregnant women to take all medications during pregnancy even if they are not approved by their OB/GYN,,,,D,
The endoderm gives rise to the lining of the respiratory tract.,True,False,,,,,,A,
"Which of the following stages of lung maturation is defined by occurrence from 26 weeks to birth, start of the development of surfactant and difficulty of fetal survival due to respiratory distress?",Pseudoglandular stage,Canalicular stage,Terminal sac stage,Alveolar stage,,,,C,
Pharyngeal arches 4 and 6 are innervated by which Cranial Nerve?,CN II Optic Nerve,CN V Trigeminal Nerve,CN VII Facial Nerve,CN X Vagus Nerve,,,,D,
Which of the following statement about the Rule of 10s is false?,Child must be at least 10 months old,Child must weight at least 10 pounds,Child must have hemoglobin of at least 10 grams,"Child must have white blood cell count of less than 10,000",,,,A,
Boys of what ethnic background are most commonly affected by cleft lip syndrome?,Africans,Native Americans,South Asians,Caucasions,,,,C,
Which of the following chemicals should women avoid that can be found in dental restorations and canned tuna?,Magnesium,Folic Acid,Mercury,Sodium Chloride,Phosphorus,,,C,
Programmed cell death is also known as:,Apoptosis,Induction,Complexity,Pluripotential,,,,A,
Prilocaine is the best choice of local anesthetic for pregnant women that need to undergo routine dental procedures.,True,False,,,,,,B,
Pregnancy-induced diabetes mellitus may cause the fetus to gain weight more slowly during development in utero.,True,False,,,,,,A,
"Statement 1: The exact function of the uvula is unknown. Statement 2: One theory is that it may aid swallowing, so food is correctly directed to the esophagus or ""down the right pipe"".",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,,A,
