title,Intro to Clinical Dentistry Exam 2 (Spring 2019),icd,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"“Administered 1 carpule 2% lidocaine 1 to 100,000k epinephrine via an inferior alveolar block with a 27-gauge long needle, aspiration negative”",This is has all the information needed in a treatment note (regarding anesthesia),There is missing information that needs to be added (regarding anesthesia),There is information that could be added but it is not essential (regarding anesthesia),Too much information is recorded notes should be shorter (regarding anesthesia),,,B,
"to properly begin each treatment appointment in the clinic, the sequence of events that should occur:",get a start check>review medical history with patient>brief your instructor on the plan for today,review medical history with patient>brief your instructor on the plan for today> get a start check,review medical history with patient> get a start check>brief your instructor on the plan for today,,,,B,
Necessary AxiUm instructor approvals in the clinic include,Comprehensive Treatment plan,Treatment notes,Consult request,a and b,all of the above,,E,
"a 70-year-old patient of yours, that has diabetes that is not well controlled, calls your emergency answering service on the weekend. You will be out of town until Monday The message you get is he is having a severe toothache with swelling. You call the patient and learn that this tooth had started to bother him last week but he thought it would go away. Last night his face began to swell and feel hot. This morning he has a slight fever, but he thinks he is catching a cold. The patient says he's all right and could wait until Monday to see you. choose the best course of action.",See him first thing Monday morning,Refer the patient to the dentist that is covering your emergencies,Tell the patient that you will prescribe him some antibiotics and see him Monday morning,Refer the patient to the dentist that is covering your emergencies and instruct the patient if the dentist cannot see you right away they should go to an emergency room for evaluation,,,D,
A tooth that has a periapical abscess that is draining through a fistula is usually very painful to percussion,True,False,,,,,B,
Pulpal Necrosis is a clinical diagnosis,that describes the death of the nerve of the tooth,is always infected or abscessed,is always symptomatic,responds to pulp testing,All of the Above,,A,
Reversible pulpitis is diagnosed using,good dental history,Vitality testing,treatment outcomes,Radiographs,All of the above,All except d,E,
"your patient has a probing depth of 8 mm only on the mesial aspect of tooth #3. Radiograph reveals a large periapical area near the apex of the MB root, with significant bone loss on the mesial aspect of the tooth. The patient is sensitive to palpation, percussion, and the gingiva is swollen. #3 is in hyper occlusion. Your initial diagnosis is a perio/endo lesion or an endo/perio lesion. How would you try to determine which diagnosis is more likely?",Take additional radiographs or a CBCT,Get a detailed history of how this situation progressed,Evaluate the general periodontal condition of the patient in other areas of the mouth,b and c,All of the above,,D,
"your patient has a probing depth of 8 mm only on the mesial aspect of tooth #3. Radiograph reveals a large periapical area near the apex of the MB root, with significant bone loss on the mesial aspect of the tooth. The patient is sensitive to palpation percussion with the gingiva being swollen. #3 is in hyper occlusion your initial diagnosis is a perio/endo lesion or an endo/perio lesion. You believe you have determined that this is most likely diagnosis is a perio/endo lesion. Your treatment sequence is to:",Scale and root plane under anesthesia to treat the periodontal condition then wait for healing,Scale and root plane under anesthesia to treat the periodontal condition then perform endodontic therapy immediately,Give antibiotics for two weeks the treat with Endodontic therapy and periodontal therapy,Treat with endodontic therapy and see if bone loss resolves once the area heals and then follow up with periodontal treatment if necessary,,,D,
A symptom that would classify impacted third molars as an emergency situation,mild pain but no signs of infection,Some pericoronitis that has resolved and returned,Swelling with partial airway obstruction,trismus,,,C,
Zirconium is best classified as a,ceramic,metal,composite,Bis Acrylic,,,B,
Yttrium Oxide is used to strengthen,Gold crowns,Silica crowns,Provisional crowns,Zirconia crowns,,,D,
Sintering all ceramic crowns adds,marginal precision,cost to the crown,strength,flexibility,,,C,
The level of difficulty in removing an old crown is dependent on:,luck,material of crown,cement used to lute the crown,All of the above,,,D,
the goal of cutting through a crown to remove it is to,break the cement seal,to see if there is decay under the crown,to determine how thick the crown is,None of the above,,,A,
The difference between the specialized crown cutter carbide bur and a standard carbide bur is:,the crown cutter is made from one piece for added strength,the standard carbide bur cannot cut through metal at all,The crown cutter is used for zirconia crowns as well,All of the above,,,A,
Details in a lab Rx is not important because the laboratory knows how to fabricate the restoration,True,False,,,,,B,
When selecting a shade for a crown including the stump shade in the lab RX does not increase the accuracy of the color match,True,False,,,,,B,
The placement of a thin layer of flowable composite on the gingival and pulpal floor of a composite restoration is to,allow for good marginal adaptation due to the low viscosity of the composite.,create a highly visible margin on radiograph due to the radiopacity of flowable composite,Fluoride release to protect dentin,All of the above,,,D,
