title,Preclinical Pediatric Dentistry Exam 1 (Fall 2018),pedo,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which statement(s) is(are) true regarding Cavernous Sinus Thrombosis and Ludwig's Angina?,They pose life-threatening complications that can result from an untreated dental abscess.,They tend to effect males 5-10 years of age more than any other demographic.,Appropriate therapy includes both over the counter pain relievers and antibiotics p.o. (by mouth).,All of the above,,A,
Which of the following is a function of a primary tooth?,Mastication,Space maintenance,Esthetics,All of the above,,D,
Which of the following is a contraindication of sealant application:,A fully erupted tooth with an open apex,A tooth with deep fissure,A tooth with a small cavitated carious lesion,None of the above,,C,
Success of sealant retention is directly related to:,Maintenance of a dry field,Tooth selection,Age of patient,Depth of pits and fissures,,A,
"Ideally, the width of a Class III composite preparation of a primary anterior tooth is _________ mesio-distal dimension of the facial or lingual surface:",half the,three quarters of the,the entire,,,A,
"Ideally, the height of a Class III composite restoration of a primary anterior tooth is limited to the __________ third of the facial or lingual surface in the inciso-gingival dimension.",gingival,incisal,middle,,,C,
Which of the following statements is true?,There is no correlation between the number of caries-causing bacteria harbored by a patient's primary caregiver and the child's risk of decay.,Caries-causing bacteria are usually transferred from mother to child during the last trimester of pregnancy.,There is an inverse relationship between age of inoculation with caries-causing bacteria and caries risk.,,,C,
Which of the following statements is true?,Extensive food processing can decrease the likelihood of bacteria fermentation of food carbohydrates.,Fats have no effect on a food's cariogenicity.,Cow's milk is rich in calcium therefore the addition of sucrose does not significantly increase it's cariogenicity.,Sipping on 1 can of soda continuously for hours is less cariogenic than consuming 3 cans of soda all at once.,,B,
Which of the following terminologies have been used to describe a form of dental caries in the very young?,Nursing Caries,Baby Bottle Tooth Decay,Early Childhood Caries,Comforter Caries,All of the above,E,
Which of the following factors is not required for the formation of caries?,A dietary substrate,Bacteria,Host such as a tooth,Adequate salivary flow,,D,
"As the household income of a child decreases, the likelihood of a child to experience ECC ________.",increases,decreases,remains the same,,,A,
"When the pH drops below ____, small amounts of mineral dissolve out of tooth structure.",5.5,5.0,4.5,6.0,,A,
"According to researchers, which of the following microorganisms have been implicated as the most virulent of the caries-producing organisms?",Streptococci,Lactobacilli,Staphylococci,Actinomyces,Dentophilus,A,
Which of the following has little or no impact on salivary flow rate?,Sleep state (i.e. awake or asleep),Medications,Emotions,Radiation,None of the above,E,
Which of the following is not a feasible treatment modality for the restoration of teeth affected by ECC?,Endodontic (pulpal) therapy,Extractions,Stainless Steel Crowns,None of the above,,D,
Which of the following statements concerning “white spot lesions” is false?,They are the result of demineralization beneath an intact enamel surface.,They appear as concentrated chalky and dull areas.,They are usually situated near the incisal third of any and/or all primary teeth.,The present as the initial stage of ECC.,,C,
At what age do most parents recognize their child has a serious caries problem?,7-10 months,15-18 months,20-23 months,26-29 months,33-36 months,C,
The first and most valuable step in treating children with ECC should be:,Restoring all carious surfaces.,Identifying the offending habit and eliminating it.,Extracting all non-restorable teeth.,Be patient and wait for the primary teeth to eventually exfoliate.,,B,
Establishment of a “dental home” should take place no later than:,2 weeks of age,6 months of age,1 year of age,2 years of age,,C,
The prevalence of Severe Early Childhood Caries (S-ECC) is similar among all ethnicities. The preceding statement is _____.,True,False,,,,B,
A longitudinal evaluation of caries patterns showed that children with ______ decay were at the highest risk of any group for developing additional carious lesions.,incisal,occlusal,facial,interproximal,,C,
Which of the following is not considered an advantage of amalgam?,Necessity for mechanical retention,Economics,Extent of application potential,Little operator variable sensitivity,,A,
Retrospective studies based on billing data from large 3rd party databases reveal that sealant use is:,very high in populations for which sealants are a covered benefit and very low for populations for which they are not a covered benefit.,very high regardless of whether or not sealants are a covered benefit.,not a covered befit.,"still surprisingly low, even in populations for which sealants are a covered benefit.",,D,
Which of the following forms of tooth isolation is considered to be ideal for the placement of sealant material?,Rubber dam,Cotton rolls and absorbent shields,Absorbent shields and high-speed suction,Soft tissue retraction by a dental mirror,,A,
The working time is ____ for chemically cured sealant than for a light-cured sealant.,longer,shorter,,,,B,
Which of the following is the most cost-effective caries prevention measure available?,Topical fluorides in the dental office,Fluoride containing dentifrices,Home fluoride mouth rinses and gels,Communal water fluoridation,,D,
Statement 1: A majority of children tend to become stressed with a rubber dam in place. Statement 2: The child perceives dentistry to be more invasive with a rubber dam in place than without.,The first statement is correct. The second statement is incorrect.,The first statement is incorrect. The second statement is correct.,Both statements are correct.,Both statements are incorrect.,,D,
A patient who exhibits poor oral hygiene is not a good candidate for sealant application. The preceding statement is:,True,False,,,,B,
Which of the following statements is true?:,It is imperative to arrive to class on time.,The main purpose of assigned reading material is to gain a deeper knowledge of material.,Shopping on Amazon or texting friends during lecture is highly inappropriate.,All of the above,None of the above,D,
