title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2023),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following statements regarding maxillary ridge extension is FALSE?,Improper case selection can result in shortening of the upper lip.,"Adequate bone height, bone contour, and mucosal length are necessary for a successful result.",Anterior vertical incision is the first step in maxillary ridge extension via submucosal vestibuloplasty.,Maxillary ridge extension via submucosal vestibuloplasty requires either submucosal or supraperiosteal tunneling but not both.,Maxillary ridge extension via submucosal vestibuloplasty requires excision of the submucosal soft tissue layer.,,,,D,
Consider the statements below regarding the positioning of a forceps when grasping a tooth during an extraction. Indicate which of these statements is/are TRUE. (CHOOSE ALL CORRECT CHOICES. NO PARTIAL CREDIT WILL BE GIVEN.),The forceps should be seated as coronally as possible.,The forceps should be seated along the long axis of the tooth in a buccal-lingual or buccal-palatal orientation.,The forceps should be seated along the long axis of the tooth in a mesial-distal orientation.,,,,,,C,
Which of the teeth pictured in the accompanying radiographs are most amenable to non-surgical extraction with rotational forces applied?,#30,#19,#1 (Indicated by arrow.),#9,#10,,,,D,images/omfs-midterm-spring-2023/fig13.jpeg
"It is your first day as a D3 and you have been assigned to your Surgery Clinic Rotation. Consider this radiograph taken on your very first patient: The patient presented with #3 missing. #2 is mesially inclined. The patient is complaining of acute pain in #2 and chronic food impaction in the narrowed #3 site. The patient insists on having #2 extracted. As you contemplate extracting #2, many thoughts are flying through your mind. Which of the following “thoughts” regarding the extraction of #2 is ACCURATE?",Risk of a sinus perforation does not exist because the root does not extend into the sinus.,Risk of a sinus perforation does not exist because it appears that the tooth has only one root.,Risk of a sinus perforation does not exist because the tooth and root are conical.,Risk of a sinus perforation does not exist because you know to apply very minimal force when extracting this tooth.,Repeat and/or additional imaging would not be helpful since the entire tooth is seen on this radiograph.,NONE of these “thoughts” is ACCURATE.,,,F,images/omfs-midterm-spring-2023/fig14.jpeg
Consider this panoramic radiograph: Which of the following statements is FALSE?,Extraction of #31 can result in fracture of the mandible.,Extraction of #30 can result in fracture of the mandible.,Extraction of #29 can result in fracture of the mandible.,Extraction of #17 can result in fracture of the mandible.,NONE of these statements is FALSE.,,,,E,images/omfs-midterm-spring-2023/fig15.jpeg
Which of the following statements regarding indications for tooth extraction is TRUE?,All impacted teeth should be extracted.,All supernumerary teeth should be extracted.,All teeth in the line of a mandible fracture should be extracted.,"If the apex of a tooth fractures off during extraction, the apical fragment must be extracted.",NONE of these statements is TRUE.,,,,E,
Which of the following statements regarding infected teeth is FALSE?,Extraction of impacted 3rd molars with severe active pericoronitis has an increased incidence of complications compared to extraction of impacted 3rd molars without severe active pericoronitis.,Resolution of severe pericoronitis involving an impacted 3rd molar cannot be achieved until the tooth is extracted.,The most rapid resolution for an acute dentoalveolar abscess associated with an erupted non-restorable carious tooth can be achieved by extraction.,Extraction of a tooth with an acute dentoalveolar abscess may be made more difficult because the infection may interfere with achieving adequate local anesthesia.,Extraction of a tooth when infection is present may be made more difficult by trismus caused by the infection.,,,,B,
Which of the following statements regarding potential nerve damage with extractions is FALSE?,Extraction of impacted supernumerary teeth in the mandibular bicuspid region could cause damage to the inferior alveolar nerve and result in subsequent neurosensory disturbance.,Extraction of a mandibular first molar with roots that extend to the inferior alveolar nerve could cause damage to the inferior alveolar nerve and result in subsequent neurosensory disturbance.,Extraction of a mandibular second molar with roots that extend to the inferior alveolar nerve could result in damage to the inferior alveolar nerve and subsequent neurosensory disturbance.,Extraction of a mandibular third molar with roots that extend to the inferior alveolar nerve could cause damage to the inferior alveolar nerve and cause subsequent neurosensory disturbance.,Extraction of impacted supernumerary teeth in the mandibular anterior region could result in damage to the inferior alveolar nerve and subsequent neurosensory disturbance.,,,,E,
Consider the following excerpt from a panoramic radiograph: Which of the following statements is FALSE?,The surgeon should anticipate that the erupted left mandibular 3rd molar may require sectioning during extraction.,The surgeon should anticipate that extraction of the erupted left mandibular 3rd molar may cause damage to the inferior alveolar nerve.,The surgeon should anticipate that it may be prudent to leave a root fragment in place during extraction of the erupted left mandibular 3rd molar.,"Due to the anatomy of the erupted left mandibular 3rd molar and its relationship to the inferior alveolar nerve, it could never be extracted.",Many factors need to be considered when planning extraction of the erupted left mandibular 3rd molar.,,,,D,images/omfs-midterm-spring-2023/fig19.jpeg
"A 13 year-old child presents for dental treatment. They were referred by their orthodontist for extraction of all remaining primary teeth due to delayed eruption. Tooth #30 also requires extraction as it was deemed non-restorable. Examination reveals the following: • Tooth L: Stainless steel crown in place, Recurrent caries extending through the furcation and onto the roots • Tooth #30:  Severely carious • Remaining primary teeth do not exhibit any mobility. Consider the periapical radiographs labelled “I” and “II” below: I. II. (See attachment) Which of the following statements is FALSE?",The thin mesial root of tooth T in radiograph I may fracture because of the unequal resorption which occurred.,The roots of tooth K in radiograph II may fracture because they are widespread.,"Although tooth S is not seen in its entirety in radiograph I, a new radiograph showing the whole tooth is not needed since the existing radiograph shows nearly complete resorption of the distal root.",The roots of tooth L in radiograph II may fracture off because of the recurrent caries extending through the furcation and onto the roots of tooth L.,#30 may require an open extraction technique since the crown may collapse and fracture off due to the extent of the caries.,,,,C,images/omfs-midterm-spring-2023/fig20.jpeg
"A new patient presents complaining of pain on the mandibular right. Examination reveals that #30 is tender to percussion and has severe caries on the distal and that #31 is missing. There is no swelling. The periapical radiograph taken is shown here: #30 has non-restorable caries and clearly requires extraction. When questioned, the patient reports that 31 was extracted “at least 10 years ago” and that the area has never bothered the patient. You examine and palpate the 31 area and find that the soft tissues appear normal, without tenderness, swelling, or the presence of a fistula. Which of the following statements is FALSE?",There is a retained root fragment from tooth #31 which requires extraction.,#30 will most likely fracture at the distal root during extraction.,"If the distal root of #30 fractures off, an open extraction technique may be required for its removal.","If the distal root of #30 fractures off, it may be necessary to remove bone to complete the extraction.",The #31 root fragment will require extraction if the patient plans on replacing #31 with an implant.,,,,A,images/omfs-midterm-spring-2023/fig21.jpeg
Which of the following instruments should NOT be used for splitting or removing bone?,Surgical handpiece with bur.,Mallet and chisel.,Rongeur.,Bone file.,Dental handpiece with bur.,ALL of these instruments can be used for splitting or removal of bone.,,,E,
Which of the following statements regarding surgical instruments is FALSE?,"In general, rongeurs should not be used for removal of an intact tooth during extraction procedures.",The working side of an elevator is the concave surface.,"When luxating a tooth with a straight elevator, the instrument should be held with a pen grasp.",A bite block should be used for mandibular extractions because if improves patient comfort.,A bite block should be used for mandibular extractions because it can help to prevent fracture of the mandible and to protect a patient's TMJ's.,,,,C,
Which of the following statements regarding buccal plate fractures is FALSE?,Application of excessive force during tooth extraction can result in buccal plate fracture.,Transitioning from a closed to an open surgical technique may prevent a buccal plate fracture.,The size of the bone fragment that fractured may influence whether or not the fragment should be removed.,"If a large bone fragment fractured but remained fully attached to the overlying soft tissue, the fragment should be removed with careful dissection to avoid damaging the soft tissue.",Thin buccal bone on the maxillary canine eminence can result in buccal plate fracture during maxillary canine extraction.,,,,D,
Which of the following statements regarding “Oral Surgery” is TRUE?,In New York State you are required to complete an Oral and Maxillofacial Surgery Residency to perform tooth extractions.,In New York State you are required to complete advanced training beyond dental school such as an Oral and Maxillofacial Surgery Residency to perform procedures such as orthognathic surgery.,In New York State you are required to have an Oral and Maxillofacial Surgery License to perform tooth extractions.,Having excellent hand skills and knowledge of anatomy are the sole requirements for being an excellent surgeon.,A patient's dental treatment should be solely determined by their diagnosis.,,,,B,
A healthy patient who you have seen many times before comes in for routine treatment. They have no chronic medical problems and you have previously classified them correctly as ASA I. You review their health history and learn that they are now pregnant and currently have some mild bronchitis. What is their current ASA status?,ASA I,ASA I-P,ASA II,ASA II-P,ASA III,ASA III-P,ASA IV,ASA IV-P,D,
"When performing surgical procedures, it is important for the operator to be able to anticipate the likelihood of potential bleeding issues and to take steps to minimize any bleeding risks. Which of the following statements does NOT describe an action that is helpful for assessing bleeding potential and/or minimizing bleeding risk?",Questioning a patient about all prescription medications they are taking; non-prescription medications are not important relative to bleeding risk.,"Questioning the patient about previous bleeding history including previous surgeries, trauma, nosebleeds, and menstruation.",Examining/observing the patient's skin.,Performing a “test” surgery to see how the patient responds.,Scheduling surgery on patients with an increased potential for bleeding early in the day and early in the week.,,,,A,
Which of the following statements regarding anticoagulation is TRUE?,A dentist should discontinue a patient's anticoagulation prior to surgery if they feel the patient's risk of developing a harmful clot is greater than the risk of bleeding from the surgical procedure.,A dentist should discontinue a patient's anticoagulation prior to surgery if they feel the patient's risk of bleeding from the surgical procedure is greater than the risk of developing a harmful clot.,A dentist and physician should consult with each other and discontinue a patient's anticoagulation prior to surgery if they feel the patient's risk of developing a harmful clot is greater than the risk of bleeding from the surgical procedure.,A dentist and physician should consult with each other and discontinue a patient's anticoagulation prior to surgery if they feel the patient's risk of bleeding from the surgical procedure is greater than the risk of developing a harmful clot.,Anticoagulation is given for an important medical reason and thus should never be discontinued for a dental procedure.,,,,D,
Which of the following statements regarding anticoagulation is FALSE?,The following INR values given are accurate: • Normal INR = 1.0 • Target INR for DVT/PE/AF = 2.5 • Target INR for mechanical heart valves = 3.0.,"The higher a patient's INR, the increased their likelihood for bleeding.",Patients on (DOACs) Direct Oral Anticoagulants should not eat green leafy vegetables as this can significantly increase their INR.,An extraction can usually be safely performed if a patient's INR is less than 4.0.,Vitamin K can be given to reverse the effects of warfarin but this may put a patient at increased risk of developing a harmful blood clot.,,,,C,
Which of the following statements regarding anticoagulation is FALSE?,"Whenever possible, surgery on patients on heparin should be delayed until the heparin is inactive which is 6 hours following intravenous administration and 24 hours following subcutaneous administration.","For moderate to high bleeding risk procedures, consideration should be given to discontinuing a DOAC (Direct Oral Anticoagulant) several days prior to the procedure.","For low bleeding risk procedures, it is generally not necessary to discontinue a DOAC (Direct Oral Anticoagulant) prior to the procedure.","When surgery is performed on an anticoagulated patient, adjunctive hemostatic measures should be taken.",NONE of these statements is FALSE.,,,,E,
A 17 year-old patient with a medical history significant for Type I diabetes since age 12 presents to your office. They are not compliant with their diet and medications and thus their diabetes is poorly controlled. They are complaining of pain associated with a partially impacted mandibular third molar. You examine them and confirm that they have pericoronitis - an acute infection in the area of the third molar. Which of the following statements is FALSE?,"Because their diabetes is poorly controlled, they were at higher risk of developing this infection than if their diabetes was well controlled.","Because their diabetes is poorly controlled, it will be more difficult to get their infection under control than if their diabetes was well controlled.",The patient is planning on extracting the tooth with intravenous sedation and will not be allowed to eat or drink for eight hours before the procedure and will have difficulty eating after the procedure. The patient should skip their morning insulin and their doctor should administer dextrose and monitor their glucose levels during and after the surgery.,"After surgery, the patient began experiencing hypotension, hunger, drowsiness, nausea, diaphoresis, and tachycardia. These symptoms are all consistent with hyperglycemia.",,,,,D,
Which of the following statements regarding antibiotic prophylaxis is FALSE?,Surgical manipulation of the oral cavity can result in bacteremia which can cause bacterial seeding of damaged native or prosthetic cardiac valves. This can then result in SBE (subacute bacterial endocarditis) with a possibly fatal outcome.,Dentists must follow American Heart Association recommendations for antibiotic prophylaxis to minimize the potential for SBE (subacute bacterial endocarditis).,Antibiotic prophylaxis for SBE (subacute bacterial endocarditis) is not required if a patient who would require it is already taking an antibiotic.,"For patients with prosthetic joints, prophylactic antibiotics are generally not recommended prior to dental treatment.",Patients with prosthetic joints who have immunocompromising medical conditions or joint replacement complications may require antibiotic premedication prior to dental treatment.,,,,C,
Which of the following statements regarding radiation therapy is FALSE?,Extractions performed in an area previously exposed to radiation can result in osteoradionecrosis of the jaw.,Extractions performed prior to radiation therapy planned for the area of the extractions should be accompanied by alveoplasty to reduce all sharp boney areas.,Extractions performed prior to radiation therapy planned for the area of the extractions should be accomplished with primary closure of the soft tissue.,"When extractions are planned in an area that will be exposed to radiation, they should be performed at least 6 weeks prior to the initiation of that radiation.",Non-restorable teeth in an area previously exposed to radiation should be endodontically treated and maintained rather than extracted.,,,,D,
Which of the following statements regarding adrenal insufficiency is FALSE?,"As a result of chronic corticosteroid administration, patients may develop Addison's Disease which is also known as primary adrenal insufficiency.",Patients who have had chronic corticosteroid administration may not be able to release endogenous corticosteroids with stress and thus may not respond adequately to surgical stress.,Patients with adrenal insufficiency will may require steroid supplementation during the peri-operative period based on both the length of time of steroid administration and the doses of steroids administered.,Patients with adrenal insufficiency may require steroid supplementation during the peri-operative period based on the complexity of the specific surgical procedure(s) performed.,Most dental procedures do not require steroid supplementation for adrenal insufficiency.,,,,A,
Which of the following statements is FALSE?,Avoid rapid positional changes in patients on vasodilating anti-hypertensives.,"When assessing patients pre-operatively, their blood pressure is a more critical factor than their heart rate.",An acronym that can be utilized for recognition of the signs of a CVA is “BEFAST”.,Normal heart rate is 60 - 100.,It is important to avoid or severely limit the amount of epinephrine administered to patients with tachydysrhythmias.,,,,B,
Which of the following statements regarding patients with cardiac conditions is FALSE?,"If a patient has had coronary artery stents placed, they must have previously had a myocardial infarction (heart attack).",Elective dental treatment should not be performed until at least six months after a myocardial infarction (heart attack).,Patients with CHF (congestive heart failure) should not be placed in the supine position.,"When undergoing dental treatment, patients with a history of angina or myocardial infarction (heart attack) should be treated with similar regimens.",Patients with drug-eluting coronary artery stents are usually on dual antiplatelet therapy for at least six months.,,,,A,
BONUS: Which of the following operator positions or forceps grips should NOT be used when extracting teeth?,Underhand grip.,Standing behind the patient.,Standing in front of the patient.,Overhand grip.,Sitting.,ALL of these operator positions and forceps grips can be used when extracting teeth - it depends on the preferences of the operator.,,,F,images/omfs-midterm-spring-2023/fig37.jpeg
