title,Pain & Anxiety Control Exam 1 (Spring 2020),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Following administration of a dental injection it is necessary to recap the needle. Which one of the following techniques is recommended?,Slide the needle into the cap without touching the cap to avoid a needle stick injury,"Hold the cap in one hand, place the needle into the cap carefully","Hold the cap in one hand, and rapidly place the needle into the cap to avoid potential exposure of the needle to your assistant","Slide the needle into the cap as rapidly as possible, using either a one handed or two handed technique",,,,A,
"You need to perform scaling and root planning on teeth #s 2, 3, 4 &5. Which one of the following injections WILL NOT help to provide adequate anesthesia?",Posterior superior alveolar nerve block on the right side,Greater palatine nerve block on the right side,Buccal nerve block on the right side,Middle superior nerve block on the right side,Supplemental infiltration on the palatal aspects of teeth #'s 4 &5.,,,C,
When administering a posterior superior alveolar nerve block the needle is advanced,45 degrees from the occlusal plane and directed medially,45 degrees from the occlusal plane and directed laterally,Parallel to the occlusal plane and directed medially,90 degrees from the occlusal plane and directed laterally,,,,A,
You are preparing to perform endodontic therapy on tooth #11 using a rubber dam. Which combination of injections will provide adequate pulpal and soft tissue anesthesia?,Infiltration #11 on the buccal combined with a greater palatine nerve block,Infiltration #11 on the buccal combined with infiltration of the palatal mucosa adjacent to #11,"Posterior superior alveolar nerve block on the left, combined with infiltration of the palatal mucosa adjacent to #11",Nasopalatine nerve block combined with greater palatine nerve block on the left.,,,,B,
You are preparing to extract an upper right third molar tooth. Which combination of injections will provide adequate anesthesia?,Right inferior alveolar nerve block and buccal nerve block,Right middle superior nerve block and palatal infiltration adjacent to #1,Right posterior superior nerve block and palatal infiltration adjacent to #16,Right posterior superior nerve block and right greater palatine nerve block,Right infraorbital nerve block and right greater palatine nerve block,,,D,
A nasopalatine nerve block will provide anesthesia to which areas?,The palatal mucosa of teeth #s 1 through 16,The palatal mucosa of teeth #s 2 through 15,The palatal mucosa of teeth #s 3 through 14,The palatal mucosa of teeth #s 6 through 11,,,,D,
The proper technique for administering a right greater palatine nerve block requires placement of the needle,Just distal to #1 and at the junction of the vertical and horizontal hard palate,Just distal to #2 and midway between the apex of the palatal root and the midline of the palate,Just distal to #2 and directly at the junction of the vertical and horizontal hard palate,Just distal to #3 and directly at the junction of the vertical and horizontal hard palate,,,,C,
Statement #1: A nerve block anesthetizes a larger area of hard and soft tissue because the sensory nerves are blocked more proximally compared to a local infiltration technique. Statement #2: Bilateral infraorbital nerve blocks will anesthetize the buccal aspects of the maxillary anterior teeth,Statement #1 and statement #2 are both true,"Statement #1 is true, statement #1 is false",Statement # 1 is false and statement #2 is true,Statement # 1 and statement #2 are both false,,,,A,
You are preparing a patient for extraction of tooth # 10. Which of the following injection techniques will provide adequate anesthesia,Left infraorbital nerve block with left greater palatine nerve block,Left buccal infiltration at apex of #10 and left greater palatine nerve block,Left infraorbital nerve bock and left posterior superior alveolar nerve block,Left buccal infiltration at apex of #10 and left palatal infiltration at #10,,,,D,
"You are preparing a patient for extraction of teeth #s 2, 4, 5, &7. Which combination of injections will provide adequate anesthesia?","Maxillary buccal infiltrations at the apices of #s 2, 4, 5, &7 along with a nasopalatine nerve block","Right posterior superior alveolar nerve block, maxillary buccal infiltrations at the apices of #s 2, 4, 5, 7, right greater palatine nerve block and palatal infiltrations at the apices of #s 5 and 7.","Right posterior superior alveolar nerve block, right buccal nerve block, right greater palatine nerve block","Right posterior superior alveolar nerve block, right greater palatine nerve block, nasopalatine nerve block",,,,B,
A patient presents with a right canine space abscess requiring incision and drainage of the infection and removal of tooth # 5. Which combination of injections is most likely to provide adequate anesthesia and avoid the spread of infection?,Maxillary infiltration at apex of #5 along with palatal infiltration at site #5,Maxillary right infraorbital nerve block,"Right V2 nerve block using either the greater palatine canal approach or pterygomaxillary fissure approach, combined with supplemental infiltration of local anesthesia around the periphery of the abscess and palatal infiltration at the apex of #5",Right inferior alveolar nerve block combined with right posterior superior nerve block and palatal infiltration at site #5,,,,C,
Which one of the following IS NOT an effective way of informing your patient prior to administration of local anesthesia?,“I will be giving you a shot with a needle that will take away your pain”,“I will be giving you a topical paste on the gum which will help take away some of the sting from the injection and I will check to make certain that you feel no discomfort prior to starting the procedure”,"“If you have any discomfort during the procedure, just raise your hand and I will stop and do what is needed to make you comfortable”","“I will be giving you an injection which will take away discomfort, but will not affect touch or vibration”",,,,A,
"Statement #1: when administering an inferior alveolar nerve block, the coronoid notch represents the horizontal plane to guide proper needle placement. Statement #2: when administering an inferior alveolar nerve block, the area just lateral &anterior to the pterygomandibular raphe represents the vertical plane to guide proper needle placement.",Both statement #s 1 and 2 are true,"Statement #1 is true, statement #2 is false","Statement # 1 is false, statement #2 is true",Both statement #s 1 and 2 are false,,,,A,
"You administer a right inferior alveolar nerve block, lingual nerve block and buccal nerve block for the removal of an impacted tooth #32. You proceed to perform the procedure and the patient indicates that they are having pain. What is your next step?",Proceed with the surgery and inform the patient that they are feeling pressure not pain,Administer local anesthesia to the right mylohyoid nerve and the periodontal ligament of #32,Administer local anesthesia to the right mental nerve,Provide supplemental anesthesia to the right buccal nerve,,,,B,
The third division of the Trigeminal Nerve exits the skull base at the:,Foramen Ovale,Foramen Rotundum,Foramen Spinosum,Stylomastoid Foramen,,,,A,
The lingual nerve is responsible for sensory input to the following areas EXCEPT:,Buccal mucosa,Lingual gingiva,Floor of the mouth,Lateral tongue,,,,A,
"During a routine dental procedure in which you are performing a DO restoration on tooth # 21, an instrument accidently slips, resulting in a laceration of the lower left lip oral mucosa. Due to the significant bleeding, you decide to suture the wound. Which local anesthetic technique will permit you to perform this wound repair?",Left lingual nerve block,Left buccal nerve block,Right inferior alveolar nerve block,Left mental nerve block,,,,D,
You are performing pulpotomies on teeth #'s 20 and 24. You perform a left inferior alveolar nerve block using Lidocaine 36 mg with Epinephrine 0.018 mg and the patient is very comfortable during the procedure on #20. You then proceed to do the pulpotomy on #24 and the patient complains of pain. The reason for this is:,The local anesthetic effect from the nerve block was wearing off,You need to provide supplemental anesthesia with a lingual nerve block on the left side,"There is cross over sensory innervation from branches of the left and right incisive nerves, necessitating supplemental local infiltration at site #24.",You need to perform bilateral inferior alveolar nerve blocks on a routine basis when you provide anesthesia to teeth #s 24 and 25.,,,,C,
"Statement #1: A local anesthetic infiltration on the buccal of tooth # 26 will usually provide adequate anesthesia for an extraction of this tooth. Statement #2: A local anesthetic infiltration on the buccal of tooth #26 will usually provide adequate anesthesia for scaling a root planing of the mesiobuccal, facial and distobuccal tissues of this tooth.",Both statement #s 1 and 2 are true,"Statement #1 is true, statement #2 is false","Statement # 1 is false, statement #2 is true",Both statement #s 1 and 2 are false,,,,C,
"You need to perform deep scaling and root planing of teeth #s 27, 28, 29, 30 and 31 on a patient who has significant periodontal disease. Which combination of injections will provide adequate anesthesia?",Right inferior alveolar nerve block and buccal nerve block,"Right inferior alveolar neve block, lingual nerve block and buccal infiltration teeth #'s 27, 28, 29 and 30.",Right posterior superior alveolar nerve block and buccal infiltration,"Right posterior superior alveolar nerve block, buccal infiltration and lingual nerve block",,,,B,
"You perform an inferior alveolar nerve block to remove tooth #32. As you insert the needle, you notice that you get resistance to advancing because the needle tip has contacted the bone of the medial ramus of the mandible at a depth of 1/3 of the length of a long #27 gauge needle. When this occurs what should you do?",Aspirate and inject the contents of the local anesthetic because your landmarks are correct.,Withdraw the needle and inform the patient that they have abnormal anatomy and you cannot remove the tooth,Withdraw the needle slightly and direct the barrel of the syringe over the mandibular left molar teeth then advance the needle until you contact the mandible 2/3 the length of the needle.,Withdraw the needle slightly and direct the barrel of the syringe medially over the mandibular incisor teeth then advance the needle until you contact the mandible 2/3 the length of the needle.,,,,D,
"You are performing a left inferior alveolar nerve block, lingual nerve block and buccal nerve block to achieve pain control for an endodontic procedure on #19. The correct technique for performing the inferior alveolar nerve and lingual nerve blocks is which one of the following?","After you have injected 1.5 ml of local anesthetic for the inferior alveolar nerve block, you withdraw the needle a few mm so that ½of the needle is remaining in the tissue, then you rapidly inject the remaining 0.3 ml of local anesthetic.","After you have injected 1.5 ml of local anesthetic for the inferior alveolar nerve block, you withdraw the needle a few mm so that ½of the needle is remaining in the tissue, you aspirate to determine if you are in a blood vessel then you inject the remaining 0.3 ml of local anesthetic.",You inject 1.8 ml of the local anesthetic posterior to the site of the mandibular foramen.,You aspirate and then inject 1.8 ml of local anesthetic directly at the site of the mandibular foramen.,,,,B,
Which of the following local anesthetic techniques is useful when a patient has very limited mouth opening and requires a dental procedure on #31?,V2 nerve block using a pterygomaxillary fissure approach,Gow Gates mandibular nerve block,Auriculotemporal nerve block,Vazirani-Akinosi mandibular nerve block,,,,D,
"You need to determine the site and source of pain from an individual who has left sided facial pain. You think that it is mostly coming from the temporomandibular joint, but you are not certain. You decide to perform a diagnostic nerve block to determine the site and source of the pain. Which injection would be most useful?",V2 nerve block using a pterygomaxillary fissure approach,Gow Gates mandibular nerve block,Auriculotemporal nerve block,Vazirani-Akinosi mandibular nerve block,,,,C,
Which nerve block(s) provide regional anesthesia to predominantly soft tissues?,Lingual nerve,Buccal nerve,Inferior alveolar nerve,Incisive nerve,(a) and (b),(c) and (d),All of the above,E,
Which injection technique provides regional anesthesia to all sensory branches of V3?,Gow Gates mandibular nerve block,Inferior alveolar nerve block + Lingual nerve block,Vazirani-Akinosi mandibular block,Mental nerve block,,,,A,
Which of the following are proper landmarks for administering an inferior alveolar nerve block?,Coronoid notch,Ptergyomandibular raphe,Mental foramen,(a) and (b),All of the above,,,D,
Statement #1: The buccal nerve is a branch of the posterior division of V2. Statement #2: The buccal nerve is anesthetized during an inferior alveolar nerve block.,The first statement is true; the second statement is false,The first statement is false; the second statement is true,Both statements are false,Both statements are true,,,,C,
Your patient has a non-restorable #19 and presents to your practice for an extraction. You have given an inferior alveolar nerve block. Your patient then begins complaining that they cannot close their left eye and their upper lip is beginning to droop. What is the cause of this complication?,The local anesthetic has been injected by the facial nerve,The needle has been advanced too far posteriorly,The posterior superior alveolar nerve has been anesthetized,"None of the above, that is a common after an inferior alveolar nerve block",(a) and (b),,,E,
A 32 year-old female patient presents to your office for endodontic treatment of a pulpitis of tooth #15. You perform a left posterior superior nerve block and within 10 minutes she develops left facial swelling and limited mouth opening. What is the most likely diagnosis for the swelling and trismus?,Infection #15 spreading to the muscles of mastication,Trauma to the muscles of mastication from the injection,Hematoma from trauma to the pterygoid plexus of veins,Acute temporomandibular joint inflammation with swelling from synovial inflammation,,,,C,
Tooth #3 has mesial and occlusal decay requiring deep caries excavation and a restoration. What nerves do you need to anesthetize for proper pain control?,Posterior Superior Alveolar nerve,Middle Superior Alveolar,Anterior superior Alveolar nerve,(a) and (b),(a) and (c),,,D,
The Middle Superior Alveolar Nerve Block anesthetizes which teeth?,Pulp of maxillary first premolar,Pulp of maxillary second premolar,Mesial buccal root of the first molar,All of the above,,,,D,
"The infraorbital/anterior superior alveolar nerve block will anesthetize the lower eyelid, lateral aspect of the nose and upper lip?",True,False,,,,,,A,
What is your target location for the infraorbital/anterior superior alveolar nerve block?,Infraorbital rim,Superior and inferior orbital foramina,Apex of the maxillary canine,Infraorbital foramen,,,,D,
The greater palatine foramen is most frequently located:,Distal to the maxillary second molar,Distal aspect of maxillary third molar,Distal to the maxillary first molar,None of the above,,,,A,
"You perform right inferior alveolar nerve, lingual nerve and buccal nerve blocks to administer local anesthetic to anesthetize tooth #31 for extraction. After 5 minutes, the patient's right lower lip and chin are totally numb. You proceed to elevate the tooth prior to placement of a forceps, however, the patient jumps immediately indicating that this was painful. You repeat the previous injections but the patient is still not numb enough for the extraction. What nerve is most likely providing accessory sensory innervation to #31 and where would you administer supplemental local anesthesia",Mental nerve - muccobuccal fold mandibular right aiming for the mental foramen located between and inferior to the apices of #28 &29,Mylohyoid nerve - muccolingual fold adjacent to the apex of #31,Buccal nerve - coronoid notch mandibular right,Incisive nerve - muccobuccal fold toward apex of #26,,,,B,
"A 63 year old male with coronary artery disease and a history of angina, requires removal of the mandibular left first molar. You administer a left inferior alveolar nerve bock, buccal gingival infiltration and lingual nerve block. After 5 minutes you provide supplementary periodontal ligament injections to #19 and he appears well anesthetized. You proceed to successfully remove #19. You deliver a total of 3 dental cartridges of 3% Mepivacaine for this procedure. How much Mepivacaine did this patient receive?",108 mg,72 mg,144 ng,162 mg,,,,D,
4% of drug X contains how many mg per ml?,20,40,54,72,,,,B,
"Drug X has a concentration of 1:200,000. How many mg per ml for drug X?",0.01,0.018,0.005,0.009,,,,C,
"A 71 year-old male who is healthy requires removal of periodontally hopeless teeth #'s 22, 23, 24, 25, 26 and 27. You successfully perform bilateral mental nerve blocks as well as lingual gingival infiltration giving a total of 1 dental cartridge of 3% Mepivacaine and 2 cartridges of 2% Lidocaine with Epinephrine 1:100,000. How many mg of local anesthetic drug did this patient receive?","Mepivacaine 54 mg, Lidocaine 36 mg, Epinephrine 0.018 mg","Mepivacaine 108 mg, Lidocaine 72 mg, Epinephrine 0.036 mg","Mepivacaine 108 mg, Lidocaine 36 mg, Epinephrine 0.036 mg","Mepivacaine 54 mg, Lidocaine 72 mg, Epinephrine 0.036 mg",,,,D,
"A 64 year-old female who weighs 108 lbs. has a history of coronary artery disease with a stent placed 2 years prior to her presentation to your office for treatment of a dental emergency. Her cardiac condition is stable and she is without cardiac symptoms of angina or shortness of breath. She also has hypertension which is well controlled with medication. Your oral examination reveals a periodontal abscess of tooth #21, requiring extraction. You obtain cardiac clearance and proceed to perform extraction of #21. Her blood pressure is 130/80, pulse 85 and regular, O2 saturation is 98%. What is the maximum number of dental cartridges you should give using 2% Lidocaine with Epinephrine 1;100,000?",1 dental cartridge,2 dental cartridges,6 dental cartridges,9 dental cartridges,,,,B,
"A 64 year-old female who weighs 108 lbs. has a history of coronary artery disease with a stent placed 2 years prior to her presentation to your office for treatment of a dental emergency. Her cardiac condition is stable and she is without cardiac symptoms of angina or shortness of breath. She also has hypertension which is well controlled with medication. Your oral examination reveals a periodontal abscess of tooth #21, requiring extraction. You obtain cardiac clearance and proceed to perform extraction of #21. Her blood pressure is 130/80, pulse 85 and regular, O2 saturation is 98%. What is the maximum number of dental cartridges you should give using 3% Mepivacaine?",1 dental cartridge,2 dental cartridges,6 dental cartridges,9 dental cartridges,,,,C,
Early signs of a local anesthetic overdose include,"Shivering, muscle tremors and slurred speech",Convulsions and ventricular tachycardia,Respiratory depression leading to respiratory arrest,Bronchoconstriction and coughing,,,,A,
The greatest anatomic barrier to diffusion of substance through the peripheral nerve are,Epineural sheath,Endoneurium,Perineurium,Periosteum,,,,C,
The main mechanism of action of local anesthetic drugs is,Blocking the sodium potassium pump,Increasing permeability of potassium across the axon membrane,Blocking of sodium channels,Blocking potassium channel,,,,C,
A deep space infection from inoculation with an infected dental needle can potentially result in airway obstruction and death,True,False,,,,,,A,
Which of the following local anesthetics provides the longest duration of pulpal and soft tissue anesthesia?,3% Mepivacaine,"2% Lidocaine with Epinephrine 1:50,000","0.5% Marcaine with Epinephrine 1:200,000","4% Articaine with Epinephrine 1:200,000",,,,C,
