title,Pathomedicine Exam 5 (Fall 2023),patho,exam5
question,option_a,option_b,option_c,option_d,correct,image
Which of the following describes biliary atresia?,Inflammation of the gallbladder secondary to gallstones,Complete obstruction of bile flow,Change in wall of gallbladder due to excess cholesterol,Acute inflammation of bile ducts secondary to bacterial infection,B,
What is the most common etiology of chronic pancreatitis?,Long-term alcohol abuse,Genetic predisposition,Gallstones,Frequent viral infections,A,
What is the most common etiology of acute pancreatitis in the US?,Long-term alcohol abuse,Genetic predisposition,Gallstones,Frequent viral infections,C,
Which component in gluten triggers the immune response in celiac disease?,Gliadin,Lactose,Casein,Sucrose,A,
Which of the following describes the etiology of Hirschprung disease?,Obstruction of lymphatic vessels of the small intestine,Defective migration of neural crest cells in segments of the colon,Remnant of vitelline duct in the small intestine,Bacterial infection in the colon,B,
What is the primary cause of Type 1 Diabetes Mellitus?,Insulin resistance in peripheral tissues,Overproduction of insulin by pancreatic beta cells,Autoimmune destruction of pancreatic beta cells,Genetic mutations leading to insulin deficiency,C,
What characterizes the pathology of Type 2 Diabetes Mellitus?,Insulin resistance in peripheral tissues,Complete absence of insulin production,Sudden onset of hyperglycemia in adulthood,Insulin overproduction and hyperactivity,A,
How does the polyol pathway contribute to diabetic neuropathy?,Increased insulin production,Diminished NADPH leading to reduced glutathione (GSH),Accelerated formation of advanced glycation end products (AGEs),Direct damage to nerve cells,B,
Which pathway related to hyperglycemia is responsible for vascular proliferations of diabetic retinopathy?,Formation of advanced glycation end products (AGEs),Activation of protein kinase C,Disturbances in polyol pathways,None of the above,B,
What characterizes Type 1 Diabetes Mellitus?,Absence of ketoacidosis,Hyperosmolar nonketotic coma,Increased insulin levels in the early stages of disease,"Polyuria, polydipsia, polyphagia, and weight loss",D,
What is a common complication of both Type 1 and Type 2 Diabetes Mellitus?,Hyperosmolar nonketotic coma,Dermatitis herpetiformis,Vascular abnormalities and renal damage,Ketoacidosis,C,
Which of the following can be a manifestation of diabetic neuropathy?,Deep burning pain,Impotence,Muscle weakness or cramps,All of the above,D,
Diabetes Mellitus is a leading cause of which renal condition?,Polycystic kidney disease,Nephrolithiasis (kidney stones),End-stage renal disease (ESRD),Acute kidney injury,C,
What is a suggested protocol to avoid insulin shock in a diabetic patient during a dental procedure?,Avoid morning appointments,Ensure the patient has eaten breakfast and has taken insulin,Provide meal replacement supplements prior to the appointment,Schedule appointments after an 8 hour window of fasting,B,
What is a recommended approach for a diabetic patient undergoing IV sedation?,Complete avoidance of insulin prior to procedure,Half dose of insulin prior to procedure and glucose added to IV solution,Double dose of insulin prior to procedure,No specific modifications required,B,
What is a feature of autosomal recessive polycystic kidney disease?,Small cysts in the cortex and medulla of the kidneys,Large cysts confined to the renal cortex,Unilateral renal involvement,Progressive decline in blood pressure,A,
What is a common presentation of autosomal dominant polycystic kidney disease?,Kidney stones,Elevated blood urea nitrogen,Decreased urinary output,Bilateral enlargement of kidneys,D,
Which of the following is a characteristic of nephrotic syndrome?,Daily protein loss of less than 3.5 g in adult patients,Daily protein loss of 3.5 g or more in adult patients,Hematuria with dysmorphic RBCs in the urine,Hypotension,B,
Which of the following is a characteristic of nephritic syndrome?,Daily protein loss of less than 3.5 g in adult patients,Daily protein loss of 3.5 g or more in adult patients,Hematuria with dysmorphic RBCs in the urine,Hypotension,C,
Which of the following causes arterionephrosclerosis?,Formation of calculi in the renal pelvis,Massive proteinuria and hypoalbuminemia,Inflammatory damage to the tubules and interstitium,Hypertension,D,
The majority of urinary stones are composed of:,Uric acid,Calcium oxalate,Cystine,Magnesium ammonium phosphate (struvate),B,
"Which of the following is a suppurative inflammatory disorder of the kidney and renal pelvis, typically caused by enteric gram-negative rods?",Acute pyelonephritis,Chronic obstructive pyelonephritis,Drug-induced interstitial nephritis,Urolithiasis,A,
What is the functional unit of the kidney?,Glomerulus,Renal pelvis,Nephron,Ureter,C,
"In a patient with chronic kidney disease, which of the following oral findings can be most likely attributed to their condition?",Increased salivation,Pallor of the mucosa,Rampant caries,Black hairy tongue,B,
How does chronic kidney disease affect serum phosphate and calcium levels?,Increased serum phosphate and decreased serum calcium,Increased serum phosphate and increased serum calcium,Decreased serum phosphate and increased serum calcium,Decreased serum phosphate and decreased serum calcium,A,
Which of the following can be a complication of chronic kidney disease?,Secondary hypothyroidism,Secondary hyperthyroidism,Secondary hypoparathyroidism,Secondary hyperparathyroidism,D,
What dermatologic manifestation is associated with chronic kidney disease?,Decreased melanin pigmentation leading to pallor,Hyperpigmentation and pruritus,Psoriasis-like lesions,Excessive oil production,B,
All of the following are oral manifestations of chronic kidney disease EXCEPT one. Which one is the EXCEPTION?,Urine-like odor to the breath,Oral ulceration,Candidiasis,Chronic apical abscess,D,
Which method is most commonly used to gain access for hemodialysis in chronic kidney disease patients?,Central catheter,Arteriovenous shunt in the forearm,Direct renal artery catheterization,Temporary external shunt,B,
"What type of dialysis uses a machine while the patient sleeps, with fluids accumulating in the abdomen during the day?",Continuous cyclic peritoneal dialysis (CCPD),Chronic ambulatory peritoneal dialysis (CAPD),Hemodialysis,All of the above,A,
Why are patients with chronic kidney disease who are undergoing dialysis at risk for endocarditis?,Fluctuant blood pressure,Potential for hemorrhage,Surgically created access site (arteriovenous shunt),Low platelet count,C,
In which stage of chronic kidney disease is dental treatment best provided in a hospital setting?,Stage 1,Stages 3-5,All stages of chronic kidney disease,Dental treatment is not recommended in any stage of chronic kidney disease,B,
