title,PCOD I Final Exam (Fall 2020),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
True/ False: All Alginate powder scoops and water vials are made to be the same size and measurements- therefore all measurements are universal?,True,False,,,,B,
Alginate is considered,an irreversible hydrocolloid,a reversible hydrocolloid,an irreversible monocolloid,a reversible monocolloid,,A,
The following occurs when additional water causes swelling and enlargement,Hydrocolloids,Syneresis,Imbibition,Gelatin time,,C,
True/False: We use alginate because it is a very accurate material,True,False,,,,B,
The mesiobuccal cusp of a maxillary first molar occludes with,The distal groove of the mandibular first molar,The embrasure space between the mandibular second premolar and the mandibular first molar,The buccal groove of the mandibular first molar,The buccal groove of the mandibular second molar,,C,
The tooth that only occludes with one other tooth on the opposing arch is,#24,#13,#31,#5,,A,
#11 Occludes with,The mesial of #22 and the distal of #23,The distal of #10 and mesial of #12,The distal of #27 and the mesial of #28,The mesial of #25 and distal of #26,,C,
True/False: All movements are controlled/determined by the movement of ONLY the mandible,True,False,,,,A,
During LEFT lateral movement the lingual cusp of the distolingual cusp of the mandibular RIGHT second molar passes through:,"Nothing, the distolingual cusp of the mandibular second molar doesn’t pass through anything.",The buccal embrasure between the second and third mandibular molar.,The distal embrasure between the second and third mandibular molar.,The mesial embrasure between the first and second mandibular molar.,,A,
What is working time?,The amount of time we have to manipulate the material before placing it in someone’s mouth,The amount of time it takes to set in the mouth,The amount of total time it takes a dentist to mix and take the impression,The amount of time it takes a dentist to take an impression,,A,
Creating a bevel is good for,Esthetics,Retention,Conservation of tooth structure,Esthetics and retention,All of the answer choices,D,
The answer is: Locks the end of the tofflemire band in place. The question is:,What is the function of the set screw/ outer knob,What is the function of the diagonal slot,What is the function of the sliding body,What is the function of the rotating spindle/ inner knob,,A,
An open contact can be caused by:,Not burnishing the matrix band,Placing a wedge upside down,Restoring a tooth without a matrix band,Misuse of a rubberdam,,A,
Uncured composite within the proximal box of a Class II can lead to,open margins,sensitivity,recurrent decay,all of the answer choices,none of the answer choices,D,
You should always place a wedge,From the buccal embrasure,From the lingual embrasure,Doesn’t matter as long as its in there,,,B,
The strip that is used to remove excess composite at the contact is called:,Mylar strip,Sandpaper strip,Proximal strip,Interproximal finishing strip,“C” shaped strip,D,
The basic set up consists of all the following except:,Mirror,Explorer,Condenser,Probe,College pliers,C,
The etch that is used to etch the teeth for bonding composite is:,3.5% phosphoric acid,50% phosphoric acid,35% hydrochloric acid,35% phosphoric acid,3.5% hydrochloric acid,D,
Where should the rubber dam clamp be if we are restoring 21MO?,on 21,on 22,on 20,any tooth,,C,
"If rubber dam is covering the height of contour, we use a plastic instrument to:",revert,introvert,tug back,invert,,D,
"After placement of the last layer of composite on a class II restoration, you have finished carving anatomy and cleaning off excess/flash you:","Cure, polish and finish","Cure, remove matrix and floss","Light cure, remove wedge, remove matrix and polish","Light cure, remove wedge, remove matrix, light cure again",,D,
"In a class one restoration, matrix band and wedge are used to:",avoid nicking the adjacent tooth,for better occlusion and anatomy,for better isolation,all the answer choice,none of the answer choice,E,
There is an overhang- this means:,That there is excess uncured material on the cusps,That there is excess cured material oozes out of the Class I,That there is excess cured material comes out toward the gingival floor,That there is excess uncured material is found on the buccal and/or lingual,,C,
Why would you be suspicious that someone is a bot and not a real Instagram account?,Their profile picture will be missing,User name is a series of numbers,They lack content on their page,All of the answer choices,,D,
"Which statement is true, select all that apply:",Social Media is a great way to learn new dental techniques,It is important to do research about the Influencer you are learning from,Not all standard of care is that same in all countries,Not all Instagram accounts are meant to educate,,D,
A good way to see how active someone is on Instagram you would have to check out,Responses to viewers questions,Likes on their posted content,How many followers they have,All of the answer choices,,D,
When removing a tofflemire you,Loosen the matrix retainer and pull both the matrix retainer and band off in one unit by pulling straight up,Take off matrix retainer and then remove the matrix band by removing the non-restored side first followed my restored side.,Take off matrix retainer and then remove the matrix band by removing the restored side first followed my non-restored side.,It doesn’t really matter how you remove it as long as its removed,,B,
Proper placement of a wedge is achieved by:,Placing a wedge between the tooth you are restoring and the matrix band,Placing a wedge between the adjacent tooth (to the one you are restoring) and the matrix band,Placing a wedge on the buccal aspect of the tooth you are restoring,,,B,
Open Sandwich technique is:,Using flowable composite on the floor of your gingival box and allowing it to reach the cavosurface margin,Using flowable composite on the floor of your gingival box and NOT allowing it to reach the cavosurface margin,When you place some flowable composite on the pulpal floor and then cure each layer incrementally,When you place flowable composite as the last layer of composite on the entire occlusal surface of your restoration,,A,
Macrofilled composites have a smaller amount of resin. Microfilled composites will shrink less.,Both statements are true,Both statements are false,"First statement is true, second statement is false.","First statement is false, second statement is true",,C,
Total etching:,Etches only the enamel for 15 seconds,Etches only the dentin for 15 seconds,Etches both the enamel and the dentin for 30 seconds,Etches only the enamel for 30 seconds,Etches both the enamel and dentin for 15 seconds,E,
When bonding (meaning using the bonding agent) a tooth for a composite restoration it is very important to:,rinse with high power suction and water,blast it with air and cure,go over it with light air and cure,cure only,,C,
Composites are made of all of the following except:,Gypsum products,Bis-GMA,Silica glass,Silane,A coupling agent,A,
Filler particles are added to enhance:,Dimensional stability,Color,Translucency,Wear resistance,All of the answer choices,E,
"Packing composite needs to be done in thin layers, with the light close to the restoration, to allow for:",Smaller silicates that take longer to cure,Lighter shades that take longer to cure,For full polymerization,Darker shades that cure faster,Larger silicates that cure faster,C,
"You have just completed the etching, rinsing and drying steps of the preparation when the rubber dam leaks and saliva touches the prep, your next steps is","to adjust the rubber dam to re-establish isolation, then continue to the bonding step","to adjust the rubber dam to re-establish isolation, rinse the prep, then continue to the bonding step","to adjust the rubber dam to re-establish isolation, repeat the etching, rinsing, and drying steps, then continue to the bonding step",to use a handpiece to recut the prep before completing the restoration,,C,
"To evaluate the placement of a tofflemire matrix band with wedge before you restore, you must check",That the band is stable and the gingival margin is sealed.,the proximal walls are sealed against the band,the height of the band is below the marginal ridge of the adjacent tooth,All of the answer choices should be checked,,A,
