title,Oral Pathology Exam 2 (Spring 2018),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"The patient in the clinical image is a 54-year-old male who presents with painful lesions on his gingiva that have been present for six-weeks. A dental cleaning and systemic antibiotics were not able to resolve the lesions. He has no medical history and is taking no medications. Beyond the changes seen on his gingiva there are no other intra-oral or extra-oral findings. A biopsy is performed, and tissue is submitted in formalin and Michel’s solution. Based on the patient history, clinical images, histopathology seen in the photomicrographs and direct immunofluoresce nce results seen in the photomicrographs, what is the diagnosis? (one word)",PEMPHIGOID|pemphigoid,,,,,,,FILL,
"The patient in the clinical image is a healthy, asymptomatic 25-year-old female. She has no medical history and is taking no medications. Beyond the changes seen on her tongue there are no other intra-oral or extra-oral findings. What is the diagnosis? (two words)",geographic tongue|GEOGRAPHIC TONGUE,,,,,,,FILL,
"The patient in the clinical image is a 48-year-old male. He has no systemic illnesses but is taking a single medication that is non-contributory. The clinical image depicts changes on the right buccal mucosa. Similar changes are present on the left buccal mucosa, labial mucosa and vermilion. The changes on his mucosal surfaces and vermilion appeared prior to the initiation of his medication regimen. He has no dental restorations and denies use of cinnamon-containing products. His dentifrice has already been ruled out as a potential etiology. An incisional biopsy of the involved tissue was taken and submitted for histopathological review. Based on the patient history, clinical image, and histopathology from the biopsied tissue seen in the photomicrograph, what is the most likely diagnosis? (two words)",lichen planus|lichenoid mucositis|LICHEN PLANUS|LICHENOID MUCOSITIS,,,,,,,FILL,
Post-herpetic neuralgia is a serious complication of:,Chicken pox,Herpetic gingivostomatitis,Herpes labialis,Herpes zoster,Secondary intraoral herpes,,,D,
What is the medication of choice for the treatment of syphilis?,Valacyclovir,Penicillin,Rituximab,Famciclovir,Acyclovir,,,B,
Which form of candidiasis clinically presents as a leukoplakia?,Erythematous,Pseudomembranous,Angular Cheilitis,Hyperplastic,Denture stomatitis,,,D,
A patient presents with an opacified maxillary sinus. It is later determined that the cause of opacification was a non-invasive fungal infection. The most likely diagnosis is aspergillosis (mycetmoma).,True,False,,,,,,A,
The term describing the detachment of epithelial cells from one another is:,Hyperkeratosis,Acanthosis,Acantholysis,Basal cell hyperplasia,Hyperchromatism,,,C,
The correct term for an adhesion that forms between the bulbar and palpebral conjunctivae is:,Symblepharon,Entropion,Trichiasis,Lyle’s syndrome,Forchheimer sign,,,A,
"Antiviral medications MAY be helpful in managing all of the following diseases, EXCEPT:",Erythema multiforme triggered by herpes simplex virus infection,Herpes zoster,Herpetiform aphthous ulcers,Primary herpetic gingivostomatitis,Secondary intraoral herpes,,,C,
"A patient presents with multiple shallow, painful ulcerations of the oral cavity, hemorrhagic crusting of the vermillion and bull’s eye lesions of the dorsal surface of their hands. What is the most likely diagnosis?",Erythema multiforme,Lichen planus,Pemphigoid,Chicken pox,Pemphigus,,,A,
Which of the following diseases is caused by a Coxsackie virus?,Herpangina,Shingles,Impetigo,Syphilis,Oral hairy leukoplakia,,,A,
Koplik’s spots are associated with which of the following viral entities?,Measles/Rubeola,Mumps,German measles/Rubella,Herpangina,Hand-foot-and-mouth disease,,,A,
Which of the following fungal infections is most frequently seen in the Southwestern United States and is associated with the development of Valley Fever?,Histoplasmosis,Blastomycosis,Coccidioidomycosis,Aspergillosis,Mucormycosis,,,C,
Which of the following fungal infections is seen endemically in the Ohio and Mississippi River Valleys?,Histoplasmosis,Blastomycosis,Coccidioidomycosis,Aspergillosis,Mucormycosis,,,A,
The most common systemic fungal infection in the United States is:,Histoplasmosis,Blastomycosis,Coccidiomycosis,Aspergillosis,Mucormycosis,,,A,
All of the following are features of tertiary syphilis except one. Which is the EXCEPTION?,Gumma,Interstitial glossitis,Luetic glossitis,Chancre,Argyll-Robertson pupil,,,D,
An area of indurated “wooden” fibrosis often occurs in infections caused by:,H. capsulatum,Tuberculosis,Actinomyces israelii,HSV I,Aspergillosis,,,C,
A patient with the clinical presentation of necrotizing ulcerative gingivitis but lacking the typical fetid odor is most likely to have:,HIV,Gonorrhea,Syphilis,Candida,Mucormycosis,,,B,
Pastia’s lines are seen in patients with:,Scarlet fever,Impetigo,Gonorrhea,Syphilis,Tuberculosis,,,A,
The causative organism for Cat-Scratch disease is:,T. pallidum,S. aureus,C. albicans,B. hensale,H. capsulatum,,,D,
The underlying etiology in herpetiform aphthous ulcers is:,Herpes simplex virus 1,Herpes simplex virus 2,Human herpes virus 3,S. aureus,Unknown,,,E,
The infiltrate of inflammatory cells at the junction of the epithelium and connective tissue seen in biopsies of lichen planus is primarily comprised of:,Dendritic cells,Plasma cells,Neutrophils,Lymphocytes,Eosinophils,,,D,
The tissue damage seen in aphthous ulcers is thought to be mediated by:,Dendritic cells,Plasma cells,Antibodies,T cells,B cells,,,D,
Which disease has a more severe prognosis?,Pemphigoid,Pemphigus,,,,,,B,
What is the most common fungal infection seen in (dental) clinical practice?,Candidiasis,Histoplasmosis,Coccidioidomycosis,Aspergillosis,,,,A,
