title,Oral Surgery II Final Exam (Fall 2021),osii,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,option_k,option_l,option_m,option_n,correct,image
Which of the following dysrhythmias is considered a MINOR RISK dysrhythmia?,3rd degree AV block.,Symptomatic ventricular dysrhythmias.,Supraventricular arrhythmias with uncontrolled ventricular rate.,1st or 2nd degree AV block.,Asymptomatic sinus tachycardia.,,,,,,,,,,E,
Which of the following statements is FALSE?,Approximately 55% of adults are healthy (ASA I) at age 65.,Up to 1/3 of dental patients who answer yes to “are you in good health” are found to be medically compromised.,Studies have shown that the sole use of either a self-administered questionnaire OR a verbal dialogue regarding a patient’s health history will result in an equal and complete understanding of the patient’s medical history.,A patient in poor health may have an impaired healing response to surgery.,A patient in poor health may have an increased risk of sustaining a medical emergency during a dental procedure.,,,,,,,,,,C,
Consider the following situations: I. A patient has undergone radiation therapy to the head and neck region. II. A patient has undergone radiation therapy for prostate cancer. III. A patient is taking an anticholinergic medication. IV. A patient is taking a psychotherapeutic medication. V. A patient is taking a cardiovascular medication. VI. A patient has Sjogren’s syndrome. Which of these patients could have a total lack of saliva as a result of the situation described?,"I, VI.","II, VI.","I, II, VI.","III, IV, V, VI.","I, II, IV, VI.","I, II, III, IV, V, VI.",,,,,,,,,A,
A 27 y.o. patient presents with extraoral findings of bilateral facial enlargement at the angle of the mandible and preauricular areas.  You are trying to assess if the patient has bilateral parotid swelling or masseter hypertrophy. Which of the following statements is/are accurate in helping you to arrive at the correct diagnosis?,"The patient has a habit of grinding and clenching their teeth, which does not point to either diagnosis.",The patient’s face has a rectangular appearance which is more consistent with parotid swelling.,Their face has an oval or tapered appearance which is more consistent with masseter hypertrophy.,Antegonial notching is exhibited on their panoramic radiograph which is consistent with masseter hypertrophy.,A CT scan will provide no useful information.,,,,,,,,,,D,
Which of the following statements is TRUE?,"If a patient has a salivary stone, they will have symptoms.","Once a swelling develops because of a salivary stone, it will not resolve until the stone is surgically removed.",Saliva may stagnate and form stones because Wharton’s duct extends posteriorly in the floor of the mouth and then at the posterior border of the mylohyoid muscle it makes a right-angle bend and dives down into the submandibular gland.,"After incising the salivary duct to excise a stone, non-resorbable sutures should be used for effective closure to prevent recurrence.",Salivary stones only require removal if they are located in a minor salivary gland.,,,,,,,,,,C,
CT digital planning is being used to treatment plan an implant and crown. CT digital planning is NOT useful for which of the following?,Determining the length of the implant to be placed.,Determining the width of the implant to be placed.,Determining the angulation of the implant to be placed.,Determining if the crown should be screw- or cement-retained.,Assessing the risk of MRONJ following implant placement in a patient with a history of taking Fosamax.,,,,,,,,,,E,
Which of the following statements is FALSE?,Implant treatment for a congenitally missing maxillary lateral incisor may be different than implant treatment to replace a maxillary lateral incisor that was extracted non-surgically and atraumatically due to non-restorable caries.,"When placing an implant for a congenitally missing maxillary lateral incisor, there is often a buccal concavity on the ridge that needs to be considered to optimize the aesthetic result.",The soft tissue on the lingual surface of the anterior mandible must be evaluated when treatment planning for implants in this region.,"When considering flapless implant placement, the amount of keratinized tissue present at the planned implant site must be considered.","Anytime an implant is utilized to treat a congenitally missing lateral incisor, bone grafting or soft tissue grafting alone or in combination must be performed.",,,,,,,,,,E,
Medication related osteonecrosis may occur in the jaw but not other bones because remodeling is more rapid in the alveolar crest compared to other bones.,TRUE.,FALSE.,,,,,,,,,,,,,A,
A tooth is infected and requires extraction on a patient on intravenous bisphosphonates. Which of the following statements is FALSE?,Obtaining proper informed consent is important.,Antibiotics should be utilized.,Chlorhexidine mouth rinse should be used prior to the procedure.,Chlorhexidine mouth rinse should be used after the procedure.,The risk of MRONJ does not increase with increased length of time the patient was on the medication.,,,,,,,,,,E,
Consider the following list of procedures and conditions. Which of these are NOT potential “insults” that can contribute to the development of MRONJ?,Non-surgical extraction.,Surgical extraction.,Extraction of impacted tooth.,Torus removal.,Implant placement.,Implant removal.,Alveoplasty.,Fibroma excision from upper lip.,Ill-fitting dentures.,Class II restoration.,Endodontic treatment.,Apicoectomy.,Hard tissue crown-lengthening.,Mucocoele excision from lower lip.,N,
Which of the following statements is FALSE?,Up to 10% of head and neck cancers are not SCC (squamous cell carcinoma).,Risk of neck metastasis arising from oral SCC increases sharply when the tumor is > 4 mm thick.,Sarcomas can occur in both bone and soft tissue.,Five-year survival rates for oropharyngeal cancers are dependent on the stage they are when they are first diagnosed and treated.,NONE of these statements are FALSE.,,,,,,,,,,E,
Consider the following potential characteristics of cells. I. Self-sufficiency in growth signals. II. Sensitivity to growth-inhibitory signals. III. Evasion of programmed cell death (apoptosis). IV. Limited replicative potential. V. Sustained angiogenesis. VI. Tissue invasion and metastasis. Which of the following answer choices include all characteristics from this list that are NOT essential hallmark of cancer cells?,"II, V.","II, IV.","IV, V.",V.,"I, III, VI.","I, V.",,,,,,,,,B,
Which of the following statements is FALSE?,"When excision of oral SCC is performed, surgical margins should be 1.5 – 2.0 cm.","Marginal resection of SCC of the mandible should be performed when the tumor is adjacent to, or invading, the periosteum.",Tumor size and nodal involvement are considered when determining the clinical stage of oral SCC lesions.,Metastasis is considered when determining the clinical staging of oral SCC lesions.,Brachytherapy involves externally administered radiation.,,,,,,,,,,E,
Which of the following statements is TRUE?,Blood supply to the maxillary sinus is via branches of the internal maxillary artery.,"Innervation of the maxillary sinus is via branches of V2 - the infraorbital nerve, greater palatine nerves, and mental nerve.","The natural ostium of the maxillary sinus is located in the inferior portion of the medial wall, opening into the superior meatus.",Mucocoeles extend from the walls or roof of the maxillary sinus.,When a nasal antrostomy is done as part of a Caldwell-Luc procedure the new ostium is placed in the posterior slope of the superior meatus to facilitate drainage.,,,,,,,,,,A,
Which of the following ideas/techniques are useful and accurate to help avoid or manage oro-antral communications and other sinus complications following tooth extraction? I. Careful pre-operative clinical evaluation. II. Appropriate pre-operative imaging that supports diagnosis and surgical planning. III. Initial flap design that allows for additional surgical treatment that may become necessary. IV. Appropriate referral for initial treatment if management of a potential complication with a real chance of occurrence falls outside a clinician’s comfort zone. V. Attempting to remove all maxillary molars intact with elevators and forceps and abandoning this technique for a surgical approach if problems occur. VI. Trisection of risk-posing maxillary molars with gentle removal of each root with no upward forces applied. VII. Delaying closure of a grossly infected sinus until the infection resolves or can be totally cleaned out. VIII. Enlarging the sinus opening to improve visualization and access to facilitate retrieval of a root tip that was displaced into the sinus.,"I, II, III, IV, V, VI, VII.","I, II, III, IV, VI, VII, VIII.","I, II, III, IV, VII.","I, II, III, IV, VI, VII.","I, II, III, IV, V, VI, VII. VIII.",,,,,,,,,,D,
Consider the following two images: I. II. Which of these images shows a condition that is the result of trauma?,I.,II.,,,,,,,,,,,,,B,images/osii-final-fall-2021/fig34.jpeg
Consider the following statement: The knowledge you obtained in this course will enable you to perform the surgeries described once you become a licensed dentist.,This statement is TRUE.,This statement is FALSE.,,,,,,,,,,,,,B,
