title,Preclinical Pediatric Dentistry Final Exam (Spring 2023),pedo,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
What antibiotic would you be your first choice to prescribe for a patient with penicillin allergy?,Amoxicillin,Augmentin,Azithromycin,Clindamycin,,,,,C,
Statement 1: Amoxicillin suspension comes in one dose only. Statement 2: All children get the same dose of amoxicillin suspension.,The first statement is false. the second statement is true,The first statement is true. the second statement is false,Both statements are true,Both statements are false,,,,,D,
Which bur would you most likely use for preparing a stainless-steel crown?,330,169L,#4 round,Shoulder bur,,,,,B,
"Statement 1: Stainless steel crowns can be adjusted for occlusion once cemented. Statement 2: When selecting a stainless-steel crown for tooth T, one would look in the section of the box for the lower right D tooth.",The first statement is false. the second statement is true,The first statement is true. the second statement is false,Both statements are true,Both statements are false,,,,,D,
"When performing a pulpotomy on tooth J, how many pulp horns would you expect to see?",1,2,3,0,,,,,C,
Talking to the parents about erupting 6-year molars is an example of:,Anticipatory guidance,Informed consent,Behavior guidance,All of the above,,,,,A,
A difference between primary and permanent teeth is:,Permanent teeth are whiter,"Permanent teeth have a broad, flat contact",Permanent teeth have larger pulp horns in relation to crown size,Permanent teeth have thicker enamel,,,,,D,
"Statement 1: Untreated ECC can interfere with a child's ability to eat properly and subsequently, they can become malnourished. Statement 2: A child's caries risk is the sole necessary factor to diagnose failure to thrive.",The first statement is false. the second statement is true,The first statement is true. the second statement is false,Both statements are true,Both statements are false,,,,,B,
"Statement 1: The primary mandibular central incisors are generally the first teeth to erupt, and therefore they are potentially exposed to a cariogenic environment for a longer period of time. Statement 2: The primary mandibular central incisors are first to show signs of ECC.",First statement is true. The second statement is false,First statement is false. The second statement is true,Both are true.,Both are false.,,,,,A,
Statement 1: Adderall is a common medication used to treat symptoms of ADHD. Statement 2: Tics can be a side effect of ADHD medication.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,,,C,
"A 4 year old patient presents to your office with oral bleeding and petechiae. Mom reports patient is lethargic, irritable, has lost weight and is not interested in eating. What condition might this patient have and therefore be referred to the pediatrician for immediate work up?",Acute Lymphocytic Leukemia (ALL),Candidiasis,Cellulitis,Eruption hematoma,,,,,A,
Resin Modified Glass Ionomer is an example of a compomer restorative material.,True,False,,,,,,,B,
"Even with proper isolation, it is always necessary to re-etch the occlusal surface of a PRR after the placement of the composite (packable or flowable) and before the application of the sealant.",True,False,,,,,,,B,
Dental sealants have been shown to prevent over___________% of pit and fissures cavities.,45,50,65,80,,,,,D,
"Statement 1: When placing sealants, we do not need to etch. Statement 2: When placing sealants, we always properly isolate.",The first statement is false. the second statement is true,The first statement is true. the second statement is false,Both statements are true,Both statements are false,,,,,A,
"When preparing a primary tooth for an ideal Class II proximal box for composite resin, the following is true:",The small end of a plugger must be able to fit in to the box,Axial wall is 2 mm into dentin,Flat gingival floor,A and B,A and C,All of the above,,,E,
A comprehensive treatment plan for a pediatric patient will take the following into consideration:,Parent's anticipated compliance for timely recall,The patient's oral hygiene,Developmental status of the sibling's dentition,The patient's ability to cooperate,Patient's caries risk assessment,"A, B, D and E","B, D and E",All of the above,F,
Which of the following is a primary premolar?,A,C,L,none of the above,,,,,D,
"The technique of using a personalized approach that raises caregiver and child awareness of the problems, setting oral health goals, and evaluating current behaviors is called ____________. This technique should be used to meet patients and caregivers where they are in an empathetic and nonjudgmental manner and discuss potential changes to a patient's diet and oral hygiene.",Anticipatory guidance,Motivational Interviewing,Positive Reinforcement,Pre-visit Imagery,,,,,B,
An orthodontist writes a prescription using the Palmer notation asking for extraction of the upper left C tooth. Which tooth is the orthodontist referring to using the universal lettering system?,I,C,H,M,,,,,C,
Statement 1: The AAPD has 2 different caries risk assessment tools for dental professionals. Statement 2: They vary based on the patient's age.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,,,C,
Researchers studying pediatric ER visits for dental emergencies found the most common diagnosis to be:,Failure to thrive,Dental alveolar trauma,Dental caries with infection,Soft tissue trauma,,,,,C,
"Fluoride is an important protective factor to prevent dental caries. According to the chart accepted by the AAPD, a dentist or pediatrician should prescribe fluoride supplementation for a child or infant who lives in a fluoride deficient community, starting at what age?",Birth,2 years,6 months,12 months,,,,,C,
Which of the following is considered to be an increased risk for caries?,Maternal untreated caries,Parents with low health literacy,Child drinks non spill cup with juice between meals and at bedtime,All of the above,,,,,D,
"Which of the following restorative materials used in pediatric dentistry exhibit the following properties: Uptakes and releases fluoride, Thermal expansion similar to that of tooth structure, Not as sensitive to moisture as resins?",SDF,Amalgam,Stainless steel crown,Glass Ionomer,,,,,D,
"The technique whereby SDF is used to arrest caries, and glass ionomer is placed to restore and remineralize the tooth, is called the:",SMART technique,Hall technique,Distraction technique,Resin infiltration technique,,,,,A,
All of the following are true regarding informed consent prior to the application of SDF except:,"It can potentially stain teeth, lips, skin, clothes, etc.",It may require additional applications for caries management,It is not definitive treatment for the caries but treats the symptoms of the disease,"It is not necessary to obtain informed consent when SDF is applied to a primary tooth, since the stain is not permanent because the tooth will eventually exfoliate",,,,,D,
Statement 1: Some space maintainers can be unilateral or bilateral. Statement 2: Some space maintainers can be fabricated by a lab or chairside.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements are true.,Both statements are false.,,,,,C,
In the radiograph above- which tooth has the deep carious lesion?,30,T,29,K,,,,,B,images/pedo-final-spring-2023/fig39.jpeg
What would be your treatment of choice for the tooth with the deep carious lesion in the radiograph above?,Pulpotomy and Stainless-steel crown,Pulpotomy and Composite resin,Extraction,SDF,,,,,A,images/pedo-final-spring-2023/fig40.jpeg
The most commonly used local anesthetic in pediatric dentistry is,"2% lidocaine with 1:100,000 epinephrine","2% lidocaine with 1: 50,000 epinephrine","4% Articaine with 1: 100,000 epinephrine","0.5% Bupivicaine with 1:200,000 epinephrine",,,,,A,
"A 3-year-old child requires lower right quadrant dentistry to include #R distal resin, #S extraction and #T pulpotomy/SSC. What is the best way to deliver local anesthesia to the child?","IAN block with 4% Articaine with 1:100,000 epinephrine","Buccal infiltration with 2% lidocaine with 1:100,000 epinephrine","IAN block with 2% lidocaine with 1:100,000 epinephrine","long buccal with 4% Articaine with 1:100,000 epinephrine",,,,,C,
Which of the following is a possible local anesthetic complication for younger patients?,post operative soft tissue injury,toxicity,paresthesia,A and B,all of the above,,,,E,
Which is not an indication for the usage of SDF?,Carious lesions in patients presenting with behavioral or medical management challenges,Active carious lesions with clinical signs of pulp involvement,Difficult to treat carious lesions,None of the above,,,,,B,
What is the recommended application time of SDF?,One minute,20 seconds,30 seconds,3 minutes,,,,,A,
"When performing a pulpotomy on a primary tooth, it is important to remember:",Never use a low speed at any time to excavate your pulp tissue,Only the pulp horn in direct communication with decay needs to be excavated,MTA should be mixed and placed to cover the pulpal stumps,All of the above,,,,,C,
Which teeth are circled in the panoramic X-Ray above?,G; T,B; 30,7; 19,7; K,D; K,,,,D,images/pedo-final-spring-2023/fig47.jpeg
A nance is used for:,Bilateral space maintenance on the maxilla,Bilateral space maintenance on the mandible,Unilateral space maintenance on the maxilla,Unilateral space maintenance on the mandible,,,,,A,
"The parent of a 4.5-year-old male calls your office service number and states that the patient has a swelling and pimple in his mouth. The patient cannot come in for treatment until the following week. You ask the father to send you a picture and you ascertain that the child has an abscess associated with tooth A. The child has reported pain while eating cold. The patient has no allergies and no relevant medical history. The patient weighs 50 pounds. Since the patient cannot come in right away, you decide to prescribe antibiotics. What will you recommend?",Prescribe Amoxicillin suspension 250mg/5ml. Take 5ml bid X10 days,Prescribe Amoxicillin suspension 400mg/5ml. Take 6ml bid X10 days,Prescribe Amoxicillin 500mg. Take 2 tablets bid X 10 days,Prescribe Amoxicillin suspension 125 mg/5ml. Take 7.5ml bid X10 days,,,,,B,
The parent of a 4.5-year-old male calls your office service number and states that the patient has a swelling and pimple in his mouth. The patient cannot come in for treatment until the following week. You ask the father to send you a picture and you ascertain that the child has an abscess associated with tooth A. The child has reported pain while eating cold. The patient has no allergies and no relevant medical history. The patient weighs 50 pounds. What is the ultimate treatment of choice for this tooth?,Pulpotomy and stainless-steel crown,Extraction and band and loop,Extraction and Distal shoe,Pulpotomy and composite resin,,,,,C,
"The parent of a 4.5-year-old male calls your office service number and states that the patient has a swelling and pimple in his mouth. The patient cannot come in for treatment until the following week. You ask the father to send you a picture and you ascertain that the child has an abscess associated with tooth A. The child has reported pain while eating cold. The patient has no allergies and no relevant medical history. The patient weighs 50 pounds. When the patient presents for the procedure a week later, what is the maximum amount of local anesthesia you can use, assuming a carpule is 1.7ml?","3.25 carpules of 2% lidocaine with 1:100,000 epinephrine","2.5 carpules of 2% lidocaine with 1:100,000 epinephrine","1 carpule of 2% lidocaine with 1:100,000 epinephrine",The patient has an infection and may have trouble getting numb. Use as much lidocaine as necessary.,,,,,B,
Your friend calls you to tell you that he ran out of his prescription steroid cream and his doctor is requiring him to come in for an appointment in order to send in another prescription. He asks you to just prescribe it for him since he really doesn't have time to go to the doctor. What should you do?,Tell him you are sorry but you can not prescribe it for him,Prescribe it for him since you know your friend needs it and he is busy,,,,,,,A,
The patient in the above picture presents to your office the day after you've extracted tooth T and completed S-DO composite resin. What condition is depicted in the above picture?,Odontogenic infection,Allergy to local anesthesia,Traumatic lip ulcer,Mucocele,,,,,C,images/pedo-final-spring-2023/fig53.jpeg
What would you recommend for this patient?,Amoxicillin suspension,Excision of lesion,Ice pop,Benadryl,,,,,C,images/pedo-final-spring-2023/fig54.jpeg
What type of splint is recommended to use when splinting an avulsed permanent incisor (without alveolar bone fracture)?,Flexible,Physiological,Rigid,Semi-rigid,All of the above,"A, B and D",,,F,
All of the following are examples of acceptable material when splinting an avulsed permanent maxillary incisor (without alveolar fracture) except:,Monofilament,Composite,Ribbond,"Heavy, rectangular orthodontic wire",,,,,D,
All of the following are true regarding proper splinting of an avulsed tooth except:,Allows for favorable healing of the PDL,Reduces the risk of ankylosis,Increases the risk of internal resorption,Allows for the physiological/ functional mobility of the traumatized tooth,,,,,C,
The ___ ___ behavioral rating scale is used to rate a child’s behavior in the chair.,Frankl,,,,,,,,FILL,
What is the name of the International Association of Dental Traumatology website that provides an evidenced based treatment guide for dental trauma? __ __,dentaltraumaguide.org,,,,,,,,FILL,
"The_________ _________ is the ongoing relationship between the dentist and the patient inclusive of all aspects of oral healthcare, delivered in a comprehensive continuously accessible, coordinated, and family centered way.",Dental Home,,,,,,,,FILL,
