title,Oral Pathology Exam 1 (Spring 2019),oralpath,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
See attached image. Intro: Male of 9-years presents for evaluation of a painful oral lesion. HPI: Similar lesions have developed in the past. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. There are not other lesions present. Which of the following should be at the top of your differential diagnosis?,Recurrent aphthae,Erythema multiforme,Oral and cutaneous lichen planus,Herpes labialis,Primary herpetic pharyngotonsillitis,Primary herpetic gingivostomatitis,A,images/oralpath-exam1-spring-2019/fig11.jpeg
Statement 1: In most cases geographic tongue is asymptomatic. Statement 2: Nystatin suspension is considered an appropriate treatment for symptomatic geographic tongue.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,C,
"All of the following are associated with aphthae, EXCEPT one. Which one is the EXCEPTION?",Behcet's syndrome,Celiac sprue,Crohn's disease,Ulcerative colitis,Sjogren's syndrome,,E,
"All of the following are features that may be identified with pemphigus vulgaris, EXCEPT one. Which one is the EXCEPTION?",Antibodies directed against desmoglein 1,Antibodies directed against desmoglein 3,Acantholysis,Desquamative gingivitis,Deposition of antibodies at the basement membrane zone that can be seen with immunofluorescence,,E,
"Symblepharon, entropion and trichaisis are features most commonly associated with:",Mucous membrane pemphigoid,Pemphigus vulgaris,Lichen planus,Cutaneous squamous cell carcinoma,Proliferative verrucous leukoplakia,,A,
"All of the following represent appropriate approaches to the management of erythema multiforme, EXCEPT one. Which one is the EXCEPTION?",Topical steroids (cortical),Systemic steroids (cortical),Hydration,Discontinuation of identified medications (that are thought to be implicated in the development of the process),Systemic fluconazole,,E,
See attached image. The clinical photos and text most likely describe:,Stomatitis medicamentosa,Lichen planus,Actinic cheilosis,Vermilion squamous cell carcinoma,Herpes labialis,,A,images/oralpath-exam1-spring-2019/fig17.jpeg
Statement 1: Patients with an initial diagnosis of oral lichen planus will develop cutaneous lichen planus in 60% of cases. Statement 2: Patients with an initial diagnosis of cutaneous lichen planus will develop oral lichen planus in 15% of cases.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,B,
"See attached image This patient is a male of 42-years. He reports “A white spot developed on my cheek and was found by my dentist two-weeks ago”. He is concerned that the change may represent cancer as several family members have been diagnosed. His medical history is limited to HTN, obesity and pre-type II diabetes mellitus. He takes hydrochlorothiazide. He denies both tobacco and ETOH. Formulate a differential diagnosis for the lesion (indicated by the arrow) seen in the attached image. There are no other extra-oral or intra-oral findings. All of the following are reasonable entities to include on the differential diagnosis, EXCEPT one. Which one is the EXCEPTION?",Recurrent intra-oral herpes,Lichen planus,Stomatitis medicamentosa (lichenoid drug eruption),Epithelial dysplasia,Oral squamous cell carcinoma,Hyperkeratosis,A,images/oralpath-exam1-spring-2019/fig19.jpeg
See attached image. What is the diagnosis based on the histopathology in the attached photomicrograph?,Candidaisis,Squamous cell carcinoma,Hyperkeratosis,Human herpes virus infection,Lichen planus,,D,images/oralpath-exam1-spring-2019/fig20.jpeg
Chemical injuries to the oral tissues typically resolve in:,1-2 days,3-5 days,3-9 days,10-14 days,15-21 days,,D,
"All of the following materials used in operative dentistry may cause injury to the oral tissues, EXCEPT one. Which one is the EXCEPTION?",Cotton rolls,There are no exceptions on this list,Sodium hypochlorite,Sliver nitrate,Acid etch,,B,
Statement 1: Traumatic ulcerative granuloma with stromal eosinophilia tends to have a longer duration than the typical traumatic ulcer. Statement 2: Healing following biopsy is a well-known occurrence.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,A,
Koilocytes refer to:,Reactive endothelial cells,Plump fibroblasts,A common finding in oral squamous cell carcinoma,A component of granulation tissue,Keratinocytes altered by the human papilloma virus (HPV),,E,
Statement 1: Verrucous carcinoma is a variant of oral squamous cell carcinoma. Statement 2: Verrucous carcinoma caries a poorer prognosis compared to common squamous cell carcinoma.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,C,
"All of the following are well-established complications of anti-neoplastic treatment for oral squamous cell carcinoma, EXCEPT one. Which one is the EXCEPTION?",Medication-related osteonecrosis of the jaw,Osteoradionecrosis,Mucositis,Xerostomia,Radiation dermatitis,,A,
See attached image. What is the diagnosis based on the histopathology in the attached photomicrograph?,Candidaisis,Squamous cell carcinoma,Hyperkeratosis,Human herpes virus infection,Lichen planus,,B,images/oralpath-exam1-spring-2019/fig27.jpeg
See attached image. Which etiologic factor is most often responsible for the development of squamous cell carcinoma at the anatomic site indicated by the arrow (and blue circle)?,Chewing tobacco (leaf),Chewing tobacco (snuff),Marijuana smoking via water pipe (aka bong),UV light,Human papilloma virus,Alcohol,D,images/oralpath-exam1-spring-2019/fig28.jpeg
A palatal torus is removed from a patient. Which of the following tissues is most likely to predominate upon review of the specimen by microscopy?,Trabecular bone,Dense fibrous connective tissues,"Nests, islands and cords of atypical epithelial cells","Tightly packed axons, Schwann cells and other neural elements",Loosely arranged endothelial lined channels,,A,
"See attached image. Of the choices listed below, which is the most appropriate treatment to address the changes on this patient's tongue?",Incisional biopsy,Excisional biopsy,50% Hydrogen peroxide 50% warm saline rinse,Initiate highly active antiretroviral therapy (HAART) regimen,Removal of (any identified) irritant,Low-dose radiation,E,images/oralpath-exam1-spring-2019/fig30.jpeg
"See attached image. Of the choices listed below, which is the most appropriate treatment (and terminology for that treatment) to address the issue indicated by the arrow?",Incisional biopsy,Excisional biopsy,Radiation therapy,Resection,Frenectomy,Chemotherapy,E,images/oralpath-exam1-spring-2019/fig31.jpeg
"All of the following are examples of acquired macroglossia, EXCEPT one. Which one is the EXCEPTION?",Myxedema,Acromegaly,Angioedema,Carcinoma,Hemihyperplasia,,E,
See attached image. What is the diagnosis for the finding in the attached image?,Median rhomboid lip pits,Lower labial clefting,Paramedian lip pits,Labial tori,Commissural lip pits,Fordyce granules,C,images/oralpath-exam1-spring-2019/fig33.jpeg
Antibodies directed against desmoglein 1 would provide support for a diagnosis of:,Lichen planus,Stomatitis medicamentosa,Severe epithelial dysplasia,Pemphigus vulgaris,Mucous membrane pemphigoid,Erythema multiforme,D,
Statement 1: Current evidence suggests that high-risk human papilloma virus plays a primary etiologic role in the development of very few cases of oral squamous cell carcinoma. Statement 2: Current evidence suggests that high-risk HPV plays a primary etiologic role in the development most cases of squamous papilloma.,Both statements are true,Both statements are false,"Statement 1 is true, the statement 2 is false","Statement 1 is false, the statement 2 is true",,,C,
Which human papilloma virus subtype is implicated in most cases of oropharyngeal squamous cell carcinoma?,16,18,31,32,33,,A,
Which of the following is not associated with the human papilloma virus?,Squamous papilloma,Proliferative verrucous leukoplakia,Verruca vulgaris,Inverted papilloma,Oropharyngeal squamous cell carcinoma,,B,
Oral submucous fibrosis has the strongest association with:,Betel quid (paan),Chewing tobacco,Snuff,Alcohol,Cigarettes,A and B,A,
Methotrexate is an example of a(an):,Antimetabolite,Plant alkaloid,Alkylating agent,Corticosteroid,Anthracyline,,A,
Nitrogen mustard is an example of a(an):,Antimetabolite,Plant alkaloid,Alkylating agent,Corticosteroid,Anthracyline,,C,
Vincristine is an example of a(an):,Antimetabolite,Plant alkaloid,Alkylating agent,Corticosteroid,Anthracyline,,B,
Adriamycin is an example of a(an):,Antimetabolite,Plant alkaloid,Alkylating agent,Corticosteroid,Anthracyline,,E,
Prednisone is an example of a(an):,Antimetabolite,Plant alkaloid,Alkylating agent,Corticosteroid,Anthracyline,,D,
The following is a description of a cause of cancer. The available responses are general classifications of the classic forms of carcinogenesis: The increased risk of cancer of the tongue in heavy users of alcohol and tobacco,Hormonal carcinogenesis,Viral carcinogenesis,Chemical carcinogenesis,Radiation carcinogenesis,,,C,
The following is a description of a prevention of cancer. The available responses are general classifications of the classic forms of carcinogenesis: The decreased risk of cervix cancer in nuns results from avoiding,Hormonal carcinogenesis,Viral carcinogenesis,Chemical carcinogenesis,Radiation carcinogenesis,,,B,
The following is a description of a cause of cancer. The available responses are general classifications of the classic forms of carcinogenesis: The increased risk of breast cancer in nuns,Hormonal carcinogenesis,Viral carcinogenesis,Chemical carcinogenesis,Radiation carcinogenesis,,,A,
The following is a description of a cause of cancer. The available responses are general classifications of the classic forms of carcinogenesis: An increased risk of soft tissue sarcoma in women treated with radiation therapy for breast cancer,Hormonal carcinogenesis,Viral carcinogenesis,Chemical carcinogenesis,Radiation carcinogenesis,,,D,
The following is a description of a cause of cancer. The available responses are general classifications of the classic forms of carcinogenesis: The production of cancer on the back of a rodent by painting the skin with coal tar and making a small incision,Hormonal carcinogenesis,Viral carcinogenesis,Chemical carcinogenesis,Radiation carcinogenesis,,,C,
"The following is a description of a cause of cancer. The available responses are general classifications of the classic forms of carcinogenesis: Peyton Rous' discovery of the transmission of cancer in fowl via an ""ultrafiltrable particle""",Hormonal carcinogenesis,Viral carcinogenesis,Chemical carcinogenesis,Radiation carcinogenesis,,,B,
"The following description is of radiation therapy treatment for cancer of the head and neck: Using two photon beams, one from the left lateral approach and one from the right lateral approach, to irradiate a cancer of the floor of mouth with a Cobalt 60 machine",Brachytherapy,Teletherapy,,,,,B,
The following description is of radiation therapy treatment for a cancer of the head and neck: Using a lateral approach electron beam to irradiate a cervical lymph node containing cancer with a linear accelerator,Brachytherapy,Teletherapy,,,,,B,
The following description is of radiation therapy treatment for a cancer of the head and neck: Placement of hollow tubes containing radioactive Cesium 137 inside the nasopharynx for treatment of a primary nasopharyngeal malignancy,Brachytherapy,Teletherapy,,,,,A,
Paget's Seed and Soil Hypothesis refers to the biology of,Cancer causation,Metastases,Initiation and promotion,Cell repair from toxins,Spontaneous tumor regression,,B,
The number of new cases of cancer in a population in a defined period to time is cancer,Prevalence,Incidence,,,,,B,
"Almost all forms of cancer in adults present more often and with more advanced disease in the poor. The one exception to this ""rule"" is",Breast cancer,Prostate cancer,Malignant melanoma,Colon cancer,Carcinoma of the cervix,,C,
The most common form of cancer in children is,Colon cancer,Lung cancer,Cancer of the brain,Leukemia,Wilms tumor,,D,
"Mr. John Doe is referred to your dental clinic by Dr. Mary Smith, an oncologist. Dr. Smith did not include a consult note or referral note. You are going to have to call Dr. Smith to get more information but Mr. Doe tells you he was recently diagnosed with T2N1M0 cancer of the oral tongue and that Dr. Smith told him that he ""needed to go to the dentist before starting treatment"". The most likely reason for Dr. Smith referring Mr. Doe to you is",For your recommendation regarding the appropriate route of administration of bleomycin,For your recommendation regarding the correct dose of external beam radiation,For you to do a pre- cancer therapy dental evaluation and ascertain if the patient needs any tooth extractions or other dental interventions to minimize the risk of oral complications of cancer treatment,For you to do blind biopsies of sites in the oral cavity to ascertain any evidence of tumor spread,For recommendations regarding tooth whitening,,C,
The three major causes of head and neck cancer worldwide are,"Alcohol, high dietary fiber, and consumption of processed meats","RNA retroviruses, high body mass index, and type two diabetes","A positive family history of head and neck cancer, failure to have been fed by breast feeding as an infant, and sun exposure","Alcohol, chewing betel nuts, and tobacco","Exposure to radon gas in building materials, environmental contamination from nuclear power plants, and high lead content in drinking water",,D,
"In human tumors, tumor hypoxia is a cause of",A high likelihood of tumor resection with negative margins,Radioresistance,A high likelihood of tumor response to vincristine,A low risk of tumor spread,All of the above,,B,
The most common type of cancer of the oral cavity in humans is,Acinic cell carcinoma,Non Hodgkin lymphoma,Squamous cell carcinoma,Adenocarcinoma,Large cell carcinoma,,C,
