title,Oral Pathology Exam 3 (Spring 2019),oralpath,exam3
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following is most likely to present as a mixed radiolucency-radiopacity?,Odontoma,Odontogenic myxoma,Cementoblastoma,Central giant cell granuloma,Ameloblastic fibro-odontoma,,E,
Which of the following is most likely to present with pain?,Odontoma,Odontogenic myxoma,Cementoblastoma,Amleblastoma,Stafne defect,,C,
Which of the following represents the most aggressive entity (most likely to recur)?,Adenomatoid odontogenic tumor,Odontoma,Ameloblastic fibro-odontoma,Orthokeratinizing odontogenic cyst,Odontogenic myxoma,,E,
"All of the following are features of the adenomatoid odontogenic cyst, EXCEPT one. Which one is the EXCEPTION?",More common in the maxilla than the mandible,Generally asymptomatic,Unilocular radiolucency or mixed radiolucency-radiopacity,More common in females compared to males,Commonly occurring odontogenic tumor,,E,
Which of the following are typical histopathological features of ameloblastoma?,Admixture of bone and fibrovascular connective tissues,Orthokeratinized epithelium,Mucous cells,Duct-like structures,Palisaded columnar epithelium demonstrating reverse nuclear polarity,,E,
Which variant of cemento-osseous dysplasia has the potential for the least favorable prognosis?,Focal,Periapical,Florid,,,,C,
Which variant of cemento-osseous dysplasia is most frequently diagnosed (90% of cases) in adult females of African descent?,Focal,Periapical,Florid,,,,C,
Radiation therapy for fibrous dysplasia is known to lead to higher rates of:,Odontogenic keratocyst,Carcinoma arising in a cyst,Chondrosarcoma,Osteosarcoma,Ameloblastoma,,D,
Which scenario best describes the formation of a periapical scar?,"A non-vital tooth with a periapical radiolucency that was treated by endodontic therapy; endodontic therapy was adequate, yet at six months dense scar tissue formed at the site of the periapical radiolucency in place of normal bone","A vital tooth with a periapical radiolucency that was treated by endodontic therapy; endodontic therapy was of good quality, yet at six months the radiolucency increased in size; biopsy was performed and showed colonic adenocarcinoma",A non-vital tooth with a periapical radiolucency was treated by endodontic therapy; endodontic therapy was of poor quality and at six months the periapical radiolucency and related inflammatory response to bacteria had not resolved,,,,A,
Which of the following accounts for the multilocularity of multilocular lesions on radiography?,Slow growth,Rapid growth,Presence of calcified material,Growth between bony trabeculae,Malignancy,,D,
Statement 1: Carcinoma arising in a cyst is more common in men than in women. Statement 2: Carcinoma arising in a cyst is the most common form of oral cancer.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,C,
"All of the following are components of nevoid basal cell carcinoma syndrome (Gorlin syndrome), EXCEPT one. Which one is the EXCEPTION?",Calcified falx cerebri,Multiple basal cell carcinomas,Rib and vertebral anomalies,Odontogenic keratocysts,Multiple osteomas,,E,
"All of the following are features of the odontogenic keratocyst, EXCEPT one. Which one is the EXCEPTION?",Often achieve large size,Palisaded basal layer,Recurrence in approximately 30% of cases,More common occurrence in the mandible compared to the maxilla,Orthokeratinized stratified squamous epithelium,,E,
"All of the following are features of the buccal bifurcation cyst, EXCEPT one. Which one is the EXCEPTION?",Most commonly occurs in children,Associated with permanent first mandibular molars,May occur bilaterally,May produce a foul-tasting discharge,Exodontia required for treatment,,E,
Statement 1: The periapical cyst has the potential to transform into carcinoma. Statement 2: The dentigerous cyst has the potential to transform into carcinoma.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
"All of the following are considered developmental odontogenic cysts, EXCEPT one. Which one is the EXCEPTION?",Dentigerous cyst,Calcifying odontogenic cyst,Orthokeratinized odontogenic cyst,Odontogenic keratocyst,Nasopalatine duct cyst,,E,
Which entity includes mucous cells and cilia as components of the histopathological features?,Calcifying odontogenic cyst,Odontogenic keratocyst,Orthokeratinized odontogenic cyst,Ameloblastic fibroma,Odontoma,Glandular odontogenic cyst,F,
Which of the following has the lowest rate of recurrence?,Ameloblastoma,Odontogenic keratocyst,Orthokeratinized odontogenic cyst,Calcifying epithelial odontogenic tumor,Glandular odontogenic cyst,,C,
Which entity includes ghost cells as a component of the histopathological features?,Calcifying epithelial odontogenic tumor,Dentigerous cyst,Ameloblastoma,Ameloblastic fibroma,Glandular odontogenic cyst,,A,
"All of the following represent “mixed tumors” comprised of both odontogenic epithelium and mesenchyme, EXCEPT one. Which one is the EXCEPTION?",Ameloblastic fibroma,Ameloblastic fibrosarcoma,Compound odontoma,Complex odontoma,Ameloblastic fibro-odontoma,Calcifying epithelial odontogenic tumor,F,
"All of the following are potential sources of epithelium for odontogenic cysts and tumors, EXCEPT one. Which one is the EXCEPTION?",Rests of Malassez,Rests of Seres,Mesenchyme from the neural crest,,,,C,
Which of the following is considered variant of the lateral periodontal cyst?,Gingival cyst,Calcifying odontogenic cyst,Peripheral ameloblastoma,Cyst of the palatine papilla,Oral lymphoepithelial cyst,,A,
Which of the following represents the most likely site for the development of the lateral periodontal cyst?,Between teeth #30 and #31,Between teeth #11 and #12,Between teeth #21 and #22,Between teeth #10 and #11,Between teeth #4 and #5,,C,
Statement 1: The eruption cyst is considered a pseudocyst as it does not contain a true epithelial lining. Statement 2: Recurrence is a common problem with the eruption cyst following treatment.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,B,
Statement 1: The dentigerous cyst generally presents as a multilocular radiolucency. Statement 2: A dentigerous cyst may give rise to an ameloblstoma.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,D,
Epidermoid cysts of the skin are associated with Gardner syndrome.,True,False,,,,,A,
Which of the following sites is least likely for the development of the oral lymphoepithelial cyst?,Floor of mouth,Ventral tongue,Soft palate,Palatine tonsil,Anterior hard palate,,E,
"All of the following generally occur at a midline location, EXCEPT one. Which one is the EXCEPTION?",Median palatine cyst,Nasopalatine duct cyst,Cyst of the palatine papilla,Branchial cleft cyst,Thyroglossal duct cyst,Dermoid cyst,D,
Statement 1: A periapical cyst DOES NOT possess a true epithelial lining. Statement 2: A periapical granuloma possesses a true epithelial lining.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,B,
A patient presenting with a periapical granuloma will usually report pain derived from the lesion.,True,False,,,,,B,
Statement 1: Transformation of the thyroglossal duct cyst is a common occurrence. Statement 2: Thyroglossal duct cysts may be attached to the tongue.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,D,
Statement 1: The nasolabial cyst often cups out underlying bone. Statement 2: The nasolabial cyst typically presents with pain.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,C,
Which of the following most accurately states the radiographic features of the palatal cysts of the newborn?,Multiple unilocular radiolucencies of the maxilla,Multiple multilocular radiolucencies of the maxilla,Multiple unilocular radiolucencies of the mandible,Multiple multilocular radiolucencies of the mandible,Not applicable,,E,
Which of the following demonstrates a “ground glass” appearance on radiography?,Fibrous dysplasia,Calcifying epithelial odontogenic tumor,Odontoma,Cemento-osseous dysplasia,Ossifying fibroma,,A,
