title,Endodontics Final Exam (Spring 2018),endo,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Ludwig's angina happens when,infection enters the mandibular buccal vestibule,infection enters the mental and submental space,sublingual and submandibular spaces,buccal vestibular space,,C,
Ludwig's angina is dangerous because it,it can spread rapidly throughout the body,it can produce an emobolism in the cavernous sinus,it can obstruct breathing,it can spread to the infraorbital region that can affect vision,,C,
Management of abcesses and cellulitis does not include the following:,the immediate application of antibiotics followed by a waiting period until the symptoms are reduced.,correct diagnosis,the removal of the cause,aggressive incision for drainage when appropriate,,A,
The pathway is open to infection into the area of the neck when the infectionspreads beyond,the buccinator muscle,the mentalis muscle,mylohyoid muscle,platysma muscle,,C,
In treating endodontic emergencies one must take into account,physical symptoms,emotional status,health status,all the above,,D,
Which one below would not be considered an iagtrogenic event?,the separation of an endodontic instrument,the exposure of the pulp due to deep decay,the extrusion of NaOCl over the apex causing extreme inflammation,the creation of ledges,,B,
Which statement is not true regarding NaOCl?,It is effective in concentrations from 0.5% to 6%,"It disrupts biofilms, dissolves necrotic tissue and removes the organic components of the smeanr layer.",It is cytotoxic in concentrations as low as 0.01%,It should be used to flush out the debris from the canals to assure cleanliness after instrumentation.,,D,
"If NaOCl is extruded over the apex, what immediate step should not be taken to ameliorate the damage?",The application of hot compresses to the external surface of the face over the area of damage to increase circulation,The application of anesthetics and analgesics for pain control,The application of cold compresses,Administration of antibiotics,,A,
"When injecting NaOCl into the canals, you do not want to do the following",think of floating debris out of the canals,think of flushing the debris from the canals to assure cleanliness,activate the NaOCl with the oscillating handpiece,use very little pressure when syringing the irrigant into the canal,,B,
The single most important cause of instrument separation is,inadequate access,absence of a glide path,rotation be it continuous or interrupted,excessive radicular pressure during instrumentation,,C,
The best way to eliminate instrument separation is to,use the instruments in slow interrupted rotations,gain straight-line access and have a well-prepared glide path,substitute 30º arcs of motion for both continuous and interrupted rotations,limit instrumentation to stainless steel twisted relieved reamers,,C,
Which statement is not compatible with eliminating instrument separations?,use short amplitudes of motion,use instruments with horizontally oriented flutes,shape with minimally tapered instruments,use the instruments in a 30º handpiece oscillating at 3000-4000 cycles per minute,,B,
Which statement is not true? An instrument highly resistant to separation,should like all instruments be discarded after a single use,can be used aggressively in the bucco-lingual plane,can be used in their thinnest configurations to enter the thinnest isthmuses more effectively,is also less likely to cause dentinal defects in the canal walls,,A,
What are the dangers in removing separated instruments from canals?,removing excess tooth structure and weakening the tooth,perforating the canal wall,creating a ledge,all the above,,D,
The best way to prevent the overfill of cement beyond the apex yet sealing the tooth well is to,use very little cement in the first place,use the bidirectional spiral 3 mm short of the apex,apply the sealer manually,limit the application of the sealer to a light coating of the master gutta perchapoint,,B,
When a periapical x-ray shows the IAN in close proximity to the apical ends of the roots it is most important to,get a correct measurement and go slightly short during instrumentation,make sure that you do not separate any instruments,take a CBCT scan to determine the bucco-lingual orientation of the IAN to theapices of the tooth,be sure that you have adequate anesthesia if and when you hit the nerve,,C,
The bidirectional spiral,coats the entire canal from orifice to apex,drives the cement apically more effectively than a lentulo spiral,is always taken to the apex to assure the sealing of the root apex,prevents cement from going over the apex as it is applying cement to thecanal walls,,D,
In practicing critical thinking it is important to evaluate “who” said something based on,their reputation,their agenda and whether it is fully disclosed,their expertise,their position,all the above,E,
What is least important in critical thinking when evaluating “what “a person says,their reputation,did they give facts or opinions,did they give all the facts,did they leave something out,,A,
In critically thinking “why” someone says something the least important factor is,their attitude when making the presentation,was a thorough explanation given for their statements,did they leave opportunity for challenging questions,determining whether or not there is an agenda and what that agenda is,,A,
The most important goal of hyper-connected critical thinking is,evaluating,analyzing,creating,applying,,C,
The basis of critical thinking is,remembering and understanding what is presented,conceptualizing what has been stated,synthesizing what has been presented,evaluating what has been presented,,D,
In attempting to find a solution to a problem what is not essential,identifying the problem,exploring and selecting what you think is the best idea,evaluating the opinions of others,evaluating the results,,C,
What factor doesn't stand in the way of critical thinking?,social conditioning,group think,arrogance,humility,,D,
The best approach is likely to be,based on clinical experience,based on best research evidence,patient's values,where the above three intersect,,D,
The least important goal of endodontics is,maintain a good coronal and apical seal of the root canal treatment,to do the treatment in a timely and efficient manner,to protect and preserve the remaining tooth structure,provide a supportive and retentive foundation for the placement of a definitive restoration,,B,
