title,TMD & Orofacial Pain Final Exam (Spring 2020),tmd,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Patients who have hyper-awareness of their bite, with an obsession that their bite is off with no obvious occlusal discrepancy on examination are likely to be diagnosed with",Occlusal dysesthesia,Osteochondroma of the mandibular condyle,Rheumatoid arthritis,First bite syndrome,,,,A,
"A 48-year-old female presents to your office with her “bite feeling off” that is ruining her life.  She informs you that she has been treated by 10 dentists over the past 2 years for this problem which continues to get worse.   Your examination reveals that the occlusion looks normal and appears stable. You check the occlusion with articulating paper and find a very slightly increased occlusal contact on the crown of #30, compared to the adjacent teeth.  Which of the following should be avoided?",Occlusal adjustments,Ask the patient for permission to discuss her prior treatments with previous dentists,Obtain radiographs to check for pathology,Reassure the patient and educate her on the potential causes of her problem,,,,A,
Which one of the following is an unlikely cause of trismus?,Dental injection causing muscle trauma,Infection of the masticator space with facial swelling and fever,"Temporomandibular joint internal derangement with a history of chronic painless clicking, followed by an acute episode of pain, limited opening and no clicking","Squamous cell carcinoma of the tongue, Stage I",,,,D,
Statement 1:  trismus that occurs immediately following a dental injection is most likely due to an infection. Statement 2:  trismus that occurs several days following dental treatment is most likely due to a temporomandibular joint internal derangement,Both statements 1 & 2 are true,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",Both statements 1 & 2 are false,,,,D,
Which one of the following is not an indication for temporomandibular joint surgery?,Failure for TMJ symptoms to improve after a full course of appropriate non-surgical therapy,"Masticatory muscle spasm and clenching as the sole cause of the pain, localized to the right and left masseter muscles",Solid evidence that the pain is coming from intra-articular temporomandibular joint pathology,MRI evidence of synovitis and internal derangement directly at the site of the worst pain,MRI evidence of an unusual pathologic lesion in the temporomandibular joint that is causing bone resorption and an ipsilateral posterior open bite,,,B,
You have a patient with all the appropriate indications for performing temporomandibular joint surgery.  Which factor is most important in determining whether the surgical procedure should be minimally invasive versus open joint surgery?,The intensity of the patient’s pain,The presence or absence of disk displacement,The presence or absence of synovial inflammation,The presence or absence of a joint space,,,,D,
Which of the following are procedures which are considered minimally invasive?,Arthrocentesis,Arthroscopy,Total joint replacement,Open joint surgery to reposition the disk,All of the above,a and b are correct,b and d are correct,F,
"A 50-year-old male complains of right sided jaw pain and a progressive shifting of the midline of his chin to the left.  He also shows you pictures of a portrait of his face 2 years ago.  His face appeared symmetrical in the old photograph, but today, his facial appearance is clearly asymmetrical.  He has been treated with occlusal appliances and NSAIDs.  You perform a medical history which is unremarkable and an examination which reveals a right posterior open bite and the mandibular dental midline 7 mm to the left of the maxillary midline. What is the most appropriate next step in your evaluation?",Perform trigger injections of local anesthesia into the muscles of mastication,Perform a detailed occlusal analysis,Obtain a panoramic radiograph and/or CBCT scan,Perform full mouth series of radiographs,,,,C,
"A 50-year-old male complains of right sided jaw pain and a progressive shifting of the midline of his chin to the left.  He also shows you pictures of a portrait of his face 2 years ago.  His face appeared symmetrical in the old photograph, but today, his facial appearance is clearly asymmetrical.  He has been treated with occlusal appliances and NSAIDs.  You perform a medical history which is unremarkable and an examination which reveals a right posterior open bite and the mandibular dental midline 7 mm to the left of the maxillary midline. Which one of the following is the most likely diagnosis?",Severe rheumatoid arthritis,Osteochondroma of the right mandibular condyle,Severe osteoarthritis of the right mandibular condyle,Acute synovitis and internal derangement of the right temporomandibular joint,,,,B,
"A 50-year-old male complains of right sided jaw pain and a progressive shifting of the midline of his chin to the left.  He also shows you pictures of a portrait of his face 2 years ago.  His face appeared symmetrical in the old photograph, but today, his facial appearance is clearly asymmetrical.  He has been treated with occlusal appliances and NSAIDs.  You perform a medical history which is unremarkable and an examination which reveals a right posterior open bite and the mandibular dental midline 7 mm to the left of the maxillary midline. What would be the most appropriate treatment for this 50-year-old patient?",Open joint surgery with right condylectomy with reconstruction,Disk repositioning open joint surgery,Arthrocentesis,Arthroscopy,,,,A,
"A 71 year old female has had left temporomandibular joint surgery with condylectomy 2 years ago, to treat a pathologic condition of the left condyle.  The surgery was done by oral and maxillofacial surgeon #1 (OMS#1).  OMS#1 performs a rib graft reconstruction of the condyle, which becomes infected and eventually requires removal.  The patient is now complaining of left sided jaw pain for the past 2 years, a significant change in her facial appearance with her chin now shifted to the left, and an inability to chew because she cannot get her teeth together.  Her past medical history is unremarkable.  Which of the following is the most appropriate course of treatment?",Fabricate an occlusal appliance and non-steroidal anti-inflammatory medications,Open joint surgery with a rib graft to reconstruct the left condyle,Total joint replacement surgery with a TMJ prosthesis,Referral to a pain management center,,,,C,
"Distraction osteogenesis is a surgical procedure in which there is an osteotomy (bone cut) made with two bone segments and securing a distraction device to each segment that slowly separates the bone segments following the surgery.  This procedure permits bone to form at the osteotomy site, lengthening the bone.",True,False,,,,,,A,
"Statement #1:  Tissue engineering is a procedure that may be used in the future to reconstruct diseased or lost tissues. Statement #2:  Tissue engineering involves obtaining pluripotential stem cells, growing them on a matrix which is the shape of the missing tissue, and ultimately surgically placing the engineered tissue to replace the missing or diseased body part.",Both statements 1 & 2 are true,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",Both statements 1 & 2 are false,,,,A,
Trismus that occurs within 24 hours of a dental injection is most likely due to,Trauma to medial pterygoid muscle from an inferior alveolar nerve block,Needle tract infection,Infection of the masticator space,Local anesthesia affecting the facial nerve,,,,A,
Treatment for trismus within 24 hours of a dental injection include,Soft diet,Non-steroidal anti-inflammatory medications,Muscle massage and jaw stretching exercises,Muscle relaxant medications,All of the above,,,E,
The most common tumor involving the temporomandibular joint is,Ameloblastoma,Osteogenic sarcoma,Synovial sarcoma,Chondrosarcoma,,,,D,
Which of the following conditions cause obliteration of the temporomandibular joint space?,Bony ankylosis,Fibrous ankylosis,Internal derangement,All of the above,a and b are both correct,,,E,
Radiation therapy for squamous cell carcinoma of the posterior tongue is associated with radiation induced fibrosis resulting in trismus,True,False,,,,,,A,
"A 70-year-old female presents to your office with pain in the lower right mandible and tooth #28, which has been present for over one year.  The patient has undergone endodontic therapy on tooth #30, extraction #30, endodontic therapy #29, apicoectomy #29, and extraction of #29.  Her pain has not resolved, and she now has pain on tooth #28 and she requests that you extract this tooth. Which treatment/management strategy is least likely to successfully reduce the pain?",Panoramic radiograph/CBCT of mandible and referral to an orofacial pain center,Extraction of #28,Panoramic radiograph/CBCT of mandible and referral to a neurologist for work-up,Perform a right inferior alveolar nerve block to determine if this can temporarily reduce the pain and provide some relief and refer the patient to an orofacial pain center.,,,,B,
"A 70-year-old female presents to your office with pain in the lower right mandible and tooth #28, which has been present for over one year.  The patient has undergone endodontic therapy on tooth #30, extraction #30, endodontic therapy #29, apicoectomy #29, and extraction of #29.  Her pain has not resolved, and she now has pain on tooth #28 and she requests that you extract this tooth. You refer the patient to an oral & maxillofacial surgeon who does a complete evaluation, including a detailed pain history, medical history, clinical and radiographic examination.  All the examination findings appear normal.  However, the oral & maxillofacial surgeon has a tentative diagnosis of trigeminal neuralgia, due to the shock like nature of the pain.  Which of the following would be the most appropriate treatment/management strategy recommended by the oral & maxillofacial surgeon?",Refer the patient for a full psychiatric evaluation,Refer the patient for a neurological evaluation which must include a brain MRI,"Extract tooth #28 to determine if the pain resolves.  If the pain persists, refer the patient to an orofacial pain center",Refer the patient for endodontic therapy on tooth #28,,,,B,
"The year is 2030 and your career has progressed nicely due to the superb education that you have received at TCDM.  You have had 10 years of experience in dentistry and you have seen and managed many patients with chronic orofacial pain.  You have been hired as an Assistant Professor at TCDM and have been given the task of developing the most ideal multidisciplinary center for the treatment/management of patients with chronic orofacial pain.  You have been awarded a grant and although you requested funds for 8 specialists, the grant provided you with funds for hiring 4 specialists to participate in the center.  Which of the following specialties would you include?",Oral & Maxillofacial Surgeon,Neurologist,Endodontist,Otolaryngologist,All of the above,a and c,,E,
"Statement #1:  Patients with a history of chronic orofacial pain who undergo oral surgery or extensive dental procedures, have an increased risk of exacerbation of pain. Statement #2:  Patients with a history of chronic orofacial pain should never undergo an oral surgical procedure, even if the clinical and radiographic findings are suggestive of a pathologic process",Both statements 1 & 2 are true,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",Both statements 1 & 2 are false,,,,B,
Complete the following statement which reflects your knowledge and ethics: Misdiagnosis of a patient with chronic orofacial pain…….,is an unfortunate consequence of being a dentist because one cannot be an expert in everything,is usually due to the patient having a psychiatric disorder,"is unfortunate, but if the patient has deep dental caries, this should be treated first and eventually if the pain continues after several dental treatments, referral to an expert is the best option","is common and it is the responsibility of the dentist to diligently make appropriate recommendations and referrals to the patient, since failure to do so can ultimately lead to delayed diagnosis of a malignant pathology",,,,D,
A reasonable strategy for managing a chronic orofacial pain patient with shock like pain and a peripheral trigger point that stimulates the shock is,establish the diagnosis and rule out serious pathology,"after establishing a diagnosis, treat the central mediated pain with medication and provide local anesthesia to the site which triggers the pain","obtain a full mouth series of dental radiographs, treat periodontal and carious dental disease, and once treatment is completed, if the pain does not resolve, refer the patient to a center for orofacial pain",All of the above,a and b,b and c,,E,
"If a patient has undiagnosed orofacial pain and a panoramic radiograph reveals 4 impacted 3rd molars, initial treatment should be to remove the wisdom teeth to determine if the pain goes away.",True,False,,,,,,B,
"A 30-year-old female seeks treatment with you on an emergency basis.  She has pain in the maxillary right quadrant involving all her teeth.  The pain started 3 days ago.  You obtain a panoramic radiograph which reveals gross caries and apical pathology on teeth #’s 2, 3, 4, 5 and 6.  She hasn’t seen a dentist in 9 years.  The medical history is negative.  The clinical exam reveals that all of the teeth in the maxillary right quadrant are painful to percussion, however, tooth #3 appears to be slightly more tender than the other teeth.  There is no intraoral or extraoral swelling.  You diagnose her with multiple carious, nonrestorable and infected teeth involving the apices of each tooth.  Since tooth #3 appears to be the most painful you believe that there is an abscess at the apex of this tooth, and you extract tooth #3.  You noticed that after you provided successful local anesthesia to #3, and removed this tooth painlessly, the patient was still experiencing some pain in the maxillary right quadrant.  The patient returns to your office in 3 days, still experiencing pain. Which of the following would be the appropriate course of treatment/management?","Refer the patient to an oral & maxillofacial surgeon for removal of teeth #’s 2,4,5 & 6, as you believe that all of these infected teeth are causing the pain","Refer the patient to a center for orofacial pain, as you believe that the pain may not be of dental origin and you want to rule out a neuralgia which may lead to chronic pain","Refer the patient to an endodontist to perform endodontic therapy on teeth #s 2, 4,5 & 6.","Perform extractions of #s 2,4,5, &6 in your general dental office and bone graft the sockets in preparation for implants since she is a young patient and the maxillary right quadrant should be restored as soon as possible.",,,,A,
"A 30-year-old female seeks treatment with you on an emergency basis.  She has pain in the maxillary right quadrant involving all her teeth.  The pain started 3 days ago.  You obtain a panoramic radiograph which reveals gross caries and apical pathology on teeth #’s 2, 3, 4, 5 and 6.  She hasn’t seen a dentist in 9 years.  The medical history is negative.  The clinical exam reveals that all of the teeth in the maxillary right quadrant are painful to percussion, however, tooth #3 appears to be slightly more tender than the other teeth.  There is no intraoral or extraoral swelling.  You diagnose her with multiple carious, nonrestorable and infected teeth involving the apices of each tooth.  Since tooth #3 appears to be the most painful you believe that there is an abscess at the apex of this tooth, and you extract tooth #3.  You noticed that after you provided successful local anesthesia to #3, and removed this tooth painlessly, the patient was still experiencing some pain in the maxillary right quadrant.  The patient returns to your office in 3 days, still experiencing pain. The patient eventually undergoes appropriate dental treatment and is happy with your care.  She returns to your office on a yearly basis and now has good oral hygiene and maintains her dentition.  Five years after her first emergency appointment with you, she develops shock like pain lasting 3 seconds, in the region of maxillary division of the right trigeminal nerve.  The pain is excruciating and stops her in the middle of talking.  You examine her and do not find any dental pathology but just touching her right upper lip causes a shock like pain.  Appropriate treatment/management of this patient should include all of the following EXCEPT:",Infraorbital nerve block to help reduce the pain at the trigger zone,Referral to a neurologist for further workup as the diagnosis is likely trigeminal neuralgia,"Place the patient on a course of antibiotics to determine if there is an underlying infection.  If after one week the patient does not get better, refer her to a center for orofacial pain",Obtain an appropriate radiographic examination to include a panoramic radiograph and/or CBCT to rule out the possibility of any maxillary sinus disease or maxillary pathology,,,,C,
"A 30-year-old female seeks treatment with you on an emergency basis.  She has pain in the maxillary right quadrant involving all her teeth.  The pain started 3 days ago.  You obtain a panoramic radiograph which reveals gross caries and apical pathology on teeth #’s 2, 3, 4, 5 and 6.  She hasn’t seen a dentist in 9 years.  The medical history is negative.  The clinical exam reveals that all of the teeth in the maxillary right quadrant are painful to percussion, however, tooth #3 appears to be slightly more tender than the other teeth.  There is no intraoral or extraoral swelling.  You diagnose her with multiple carious, nonrestorable and infected teeth involving the apices of each tooth.  Since tooth #3 appears to be the most painful you believe that there is an abscess at the apex of this tooth, and you extract tooth #3.  You noticed that after you provided successful local anesthesia to #3, and removed this tooth painlessly, the patient was still experiencing some pain in the maxillary right quadrant.  The patient returns to your office in 3 days, still experiencing pain. Ultimately, the patient gets appropriately treated for trigeminal neuralgia.  Her anti-neuralgia medications included Neurontin, Tegretol, Trileptal, none of which provided her with relief.  She is eventually referred to a neurosurgeon who performs a microvascular decompression surgery which is partially successful in reducing her pain.  The patient does not return to your office for one year despite numerous recalls and a certified letter.   Soon thereafter, you receive a letter from her attorney that she is claiming a lawsuit against you for malpractice indicating that the initial dental treatment and extractions caused the trigeminal neuralgia causing pain and suffering. Statement#1:  Based on this information you should tell your attorney to settle the case against you because you are likely to lose in court. Statement#2:  The dental extractions that were performed was a likely cause of trigeminal neuralgia",Both statements 1 & 2 are true,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",Both statements 1 & 2 are false,,,,D,
