title,Oral & Maxillofacial Surgery Final Exam (Spring 2020),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements about decision-making regarding intentional coronectomies is TRUE?,"If a root of a maxillary third molar overlies the sinus on any radiograph, a coronectomy should be performed.","If a root of a mandibular third molar overlies the inferior alveolar nerve canal on a bite-wing radiograph, a coronectomy should be performed.","If a root of a mandibular third molar overlies the inferior alveolar nerve canal on a periapical radiograph, a coronectomy should be performed.","If a root of a mandibular third molar overlies the inferior alveolar nerve canal on a panoramic radiograph, a coronectomy should be performed.",None of the above statements are TRUE.,,,E,
Which of the following factors affects the likelihood of success of bringing an impacted tooth into the most ideal position after surgical exposure?,Initial position of the incisal edge.,Existence of adequate arch space to accommodate the tooth.,Successful removal of any pathology or supernumerary teeth that might be preventing eruption.,Angulation of crown or root.,All of the above.,,,E,
Which of the following are characteristics of lesions that do NOT raise suspicion of malignancy?,Lesion bleeds on gentle manipulation.,Lesion has persisted longer than 3 days.,Lesion is totally red or has a red-and-white speckled appearance.,Lesion feels attached to adjacent structures.,Lesion exhibits rapid growth.,Lesion and surrounding tissue are firm to touch.,Lesion is ulcerated or presents as an ulcer.,B,
"Consider the following statements: I. During an incisional biopsy, the entire lesion is removed. II. During an excisional biopsy, the entire lesion is removed. III. During an incisional biopsy, a portion of the lesion is removed. IV. During an excisional biopsy, a portion of the lesion is removed.",All of these statements are TRUE.,None of these statements are TRUE.,I and IV are TRUE.,II and III are TRUE.,,,,D,
Which of the following statements is TRUE?,"It is not necessary to provide any information to an Oral and Maxillofacial Pathologist about a lesion or patient, because a good Oral and Maxillofacial Pathologist only cares about what she/he sees when looking at a specimen under the microscope.",Microscopic examination of different areas of the same lesion might yield different diagnoses.,A general pathologist can make as accurate a diagnosis of odontogenic lesions as an Oral and Maxillofacial Pathologist.,"If a dentist advises a patient of the need for biopsy of a potentially dangerous oral lesion and the patient does not follow-up, the dentist bears no responsibility to attempt to have the patient obtain treatment.","If you observe a lesion whose appearance is highly suspicious of malignancy and the specimen is read as benign, you do not need to re-evaluate or follow the lesion.",,,B,
Which of the following statements about cystic lesions is FALSE?,Enucleation of a cystic lesion is often performed as an excisional biopsy and no further treatment is necessary.,The existence of a cleavage layer where fibrous connective tissue meets bone enables enucleation by curettage.,Large cysts may “push” nerves and blood vessels to the side.,Marsupialization may decrease the risk of damage to vital structures by allowing a cystic lesion to shrink prior to excision.,"Once marsupialization of a cystic lesion is performed, no further treatment will be necessary.",,,E,
Which of the following characteristics of a lesion should be considered when determining what management is indicated?,Aggressiveness of the lesion.,Duration of the lesion.,Pace of growth of the lesion.,Size of the lesion.,Proximity of the lesion to vital structures.,All of the above.,,F,
Which of these lesions does NOT require composite resection?,Malignant ameloblastoma.,Ameloblastic fibrosarcoma.,Ameloblastic odontosarcoma.,Primary intraosseous carcinoma.,Ameloblastic fibro-odontoma.,,,E,
Consider the following statements. I. The sublingual space is located inferior to the mylohyoid muscle. II. Infection located in the sublingual space can travel around the free border of the mylohyoid muscle to enter the submandibular space. III. Infection located in the sublingual space can present clinically as a raised tongue. IV. The submandibular space does not communicate with the sublingual space.,II and III are TRUE.,I and III are TRUE.,III and IV are TRUE.,"I, II, and III are TRUE.",IV is TRUE.,,,A,
The pterygomandibular raphe serves as an anatomical landmark when administering local anesthetic for an inferior alveolar nerve block. This raphe represents the joining of which two muscles?,Orbicularis oris and superior pharyngeal constrictor.,Orbicularis oris and the middle pharyngeal constrictor.,Buccinator and superior pharyngeal constrictor.,Buccinator and middle pharyngeal constrictor.,Gluteus maximus and gluteus minimus.,,,C,
Which of the following statements about infections related to partially impacted third molars is FALSE?,"Pericoronitis describes a painful condition of an inflamed, swollen operculum overlying the coronal portion of a third molar.","Long-term resolution of pericoronitis can be predictably accomplished by either extraction of the involved tooth, or operculectomy, excision of the tissue overlying the tooth.",An arcuate zone of radiolucency posterior to a mandibular third molar is indicative of bone loss due to chronic infection.,Measures such as local curettage and antibacterial rinses may allow for resolution of acute pericoronitis.,Removal of the etiology of the pericoronitis is necessary to predictably prevent continued recurrences.,,,B,
Which of the following clinical signs are NOT indicative of advanced infection?,Facial swelling,Trismus,Dysphagia,Dyspnea,Pyrexia,Dehydration,All of the clinical signs listed here are indicative of advanced infection.,G,
Which of the following statements about incision and drainage procedures are FALSE?,Incision and drainage of an abscess can be effective as it allows release of purulence from the abscess.,Incision and drainage of a cellulitis can be effective as it changes the anaerobic environment by allowing oxygen into the site.,"If a successful incision and drainage procedure is performed, i.e. copious amounts of purulence are obtained, culture and sensitivity studies ae not necessary.",Drains should be placed to allow continued drainage of any additional purulence that develops.,Gram stain of the purulence may be helpful as it narrows the list of likely causative organisms immediately.,,,C,
Which of the following statements regarding incision and drainage procedures is FALSE?,Blunt dissection techniques will reduce the risk of damaging nerves.,Blunt dissection techniques will reduce the risk of damaging blood vessels.,Incision sites for extraoral incision and drainage procedures should be selected to minimize noticeable scarring whenever possible.,Incision sites for extraoral incision and drainage procedures should be positioned superior to the abscess so that the purulence is drawn away from the airway.,None of these statements is FALSE.,,,D,
A patient presents to you several days after tooth #8 being avulsed and replanted. The tooth also had a crown fracture which exposed the root canal space. The most important factor in terms of long term prognosis for this tooth is:,Current pulpal status.,Current periapical status.,Previous extra-oral dry time.,Current pain level.,How the avulsion occurred.,,,C,
"As a general rule, we manage the pulp the same way after a traumatic injury no matter the age of the patient.",True.,False.,,,,,,B,
Intrusive luxation injuries tend to also have an associated alveolar fracture.,True.,False.,,,,,,B,
A patient presents with a history of trauma 3 months previously. Upon radiographic examination you notice that tooth #10 has a significant periapical lesion. You also notice that the root is not completely formed (open apex). The best treatment for this tooth would be:,Apexogenesis.,Apexification.,Direct pulp cap.,Indirect pulp cap.,Apeximitation.,,,B,
A patient presents with a history of trauma 3 months previously. Upon radiographic examination you notice that tooth #10 has a significant periapical lesion. You also notice that the root is not completely formed (open apex). You would expect a tooth like this to have a negative response to your vitality testing (cold test).,True.,False.,,,,,,A,
Horizontal root fractures after trauma ALWAYS need to be treated endodontically (root canal therapy).,True.,False.,,,,,,B,
The major difference on examination between a tooth concussion injury and a subluxation injury is that one of these is percussion sensitive while the other is not.,True.,False.,,,,,,B,
All of the following are potential negative sequelae to the permanent dentition after primary tooth trauma EXCEPT:,Gingival hyperplasia.,Disturbance in eruption.,Crown laceration.,Enamel hypoplasia.,,,,A,
Consider the following two statements: For a primary tooth root fracture… I. …coronal fragments should be extracted. II. …removal of non-infected apical fragments should be avoided.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,Both statements are TRUE.,Both statements are FALSE.,,,,C,
"A 26 year-old male was playing hockey without a proper mask and was hit in the mouth with a puck. On examination, teeth 4, 5, and 6 have mobility, moving together when any of the teeth are pushed individually. They are NOT separately mobile and move almost as an entire segment. The remainder of the oral/dental examination is within normal limits. Which of the following statements are TRUE?","You diagnose this as luxation of teeth 4, 5, 6 and place a semi-rigid composite splint.","You diagnose this as an alveolar fracture, digitally reduce the segment and check occlusion. Then you place a rigid splint for fixation.","You diagnose this as luxation of teeth 4, 5, 6 and an alveolar fracture so you place a composite splint spanning across teeth 2-8 and a rigid splint from 2-15.","You diagnose this as intrusion and luxation of teeth 4, 5, 6 and place a composite semi-rigid splint across teeth 4, 5, 6.",,,,B,
"A 33 year-old male presents to your office after a minor motor vehicle accident. He refused to be seen in the hospital prior to coming to you, mostly concerned about his “front tooth” that was fractured. On examination, you note that tooth 9 has a class III fracture (with fractured enamel, dentin, pulp). The most important question(s) you ask this patient is which of the following?",What was the manner of the motor vehicle accident? Did the airbag deploy? Did you lose consciousness when you hit the steering wheel/airbag?,How does the tooth feel? Can I take a radiograph?,Does it feel like any other teeth were affected?,Was there anyone else in the car who was injured?,Where were you going when this occurred?,,,A,
Which of the following statements is TRUE?,Fractures of the alveolar process occur most frequently in the mandibular molar regions.,"When dealing with alveolar process fractures, early reduction and stabilization is most important.",Alveolar process fractures take 10-14 days to heal with non-rigid stabilization.,"After an alveolar process fracture heals, you do not need to address the associated teeth.",Alveolar fractures can only occur in one jaw in a given patient.,,,B,
"A 46 year-old female presents to your office for extraction of tooth 12. It was previously endodontically treated with post/core and pfm crown. The pfm crown has fractured and is loosely attached to the remainder of the tooth root. The tooth also has a periapical radiolucent lesion with an associated draining fistula on the palate. You attempt to extract the tooth surgically – raising a flap and using a handpiece to trough the buccal aspect and find a purchase. However, the tooth continues to fracture until you have less than 2mm of the dilacerated palatal root remaining. Note that the tooth apex is not proximal to the maxillary sinus. What is your next step?",Retrieve the entirety of the root surgically and curette the granulomatous tissue from the area corresponding to the periapical radiolucency,Leave the root in place to avoid any further complications.,Tell the patient that you are going to leave the root fragment in place today and retrieve it in another 6 months once it has erupted more,"Drill as much of the tooth root down so that it is less than 1mm in size, and then it is okay to leave it.",,,,A,
Which of the following spaces is the MOST DANGEROUS for a tooth to be displaced to?,Submandibular space.,Maxillary sinus.,Mandibular canal.,Infratemporal space.,Sinister Space.,,,D,
The most common site for an oral antral communication is the maxillary third molar site.,True.,False.,,,,,,B,
"You are extracting stand-alone, erupted tooth 16 on a 59 year-old male. You administer local anesthesia and begin to gently elevate the tooth. While you are elevating the tooth, you hear a loud crack. What do you do next?",Continue to elevate and extract the tooth. A crack is part of the normal sounds you would hear when extracting any tooth.,"Check to see if the maxillary tuberosity is still intact. If it has fractured, you just continue to perform the extraction as usual and just remove it if it comes with the tooth.","Check to see if the maxillary tuberosity is still intact. If it has fractured, you gently dissect the soft tissue off around it and deliver it with the tooth atraumatically. You then smooth any sharp bony ridges and suture any mucosal tears.","Check to see if there’s an oral antral communication. If there is, you continue to extract the tooth as you usually would and leave the socket open to heal by secondary intention.",,,,C,
"A 78 year-old male presents for extraction of stand-alone tooth 2. The sinus is severely pneumatized on both the distal and mesial aspects. You perform the extraction surgically, raising a flap and using a surgical handpiece.  However, you realize that an oral antral communication occurs and you treat it correctly, as follows:","The oral antral communication is <2mm, so you opt to perform a buccal fat pad graft to achieve primary closure.","The oral antral communication is somewhere between 3-6mm, so you place a solitary suture over the site for closure.","The oral antral communication is >6mm, so you perform a tension free primary closure and instruct the patient to follow strict sinus precautions for the following 6-8 weeks.","The oral antral communication is <2mm, so you do not suture it but you do instruct the patient to follow strict sinus precautions for the following 6-8 weeks.","The oral antral communication is 3-6mm, so you don’t tell the patient and if he notices it later, you tell him it was his fault for not following the post-op instructions.",,,C,
Consider the following two statements: I. It is fairly common and acceptable to have a thermal/rotary injury to the lip from a bur/handpiece. II. A throat screen is only necessary when you are extracting posterior teeth.,I and II are both TRUE.,I and II are both FALSE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,,,,B,images/omfs-final-spring-2020/fig42.jpeg
"CONSIDER THE CASE SCENARIO DESCRIBED BELOW WHEN ANSWERING QUESTIONS 43 -50, FOLLOWING THE CASE. PATIENT: 62 year-old obese female presents. “There is something sharp cutting the side of my tongue in the back on the left.  I know it’s something really bad and I’m really scared.  You need to take care of this now because, nothing personal, I hate the dentist, and I am NOT coming back.” Denies any other oral/dental symptoms or pain. Medical history: PMH: Diabetes Hypertension Anxiety disorder Severe medical/dental phobia Previous fibroids Hyperthyroid GIRD Elevated cholesterol PSH: Hysterectomy 13 years ago Medications: Famotidine (histamine-2 blocker) 20 mg daily Synthroid (thyroid hormone) 150 mcg daily Metoprolol (beta-blocker) 25 mg daily Metformin (oral hypoglycemic) 500 mg TID Atorvastatin (statin) 40 mg daily Aspirin 81 mg daily Alprazolam (anxiolytic) Takes .5 mg prn anxiety Allergies: NKDA Social: Smokes 3 ppd (packs per day) cigarettes daily for 40 years Drinks 1 bottle of wine daily Vital Signs: BP: 150/91 HR: 55 Oral exam: Dental exam: #19 – PFM with fractured porcelain on lingual surface with extremely sharp edges. Radiograph:

The statement printed in RED above is the:",Chief Complaint,Social history,Family history,Review of systems,Physical examination,,,A,
Which of the following statements is MOST ACCURATE?,The patient’s pulse is considered NORMAL because it is between the low and high normal limits of 50-80.,The patient’s pulse is considered SLOW because it is NOT between the low and high normal limits of 60-110.,The patient’s pulse is considered SLOW because it is NOT between the low and high normal limits of 60-100.,The patient’s pulse is considered SLOW because it is NOT between the low and high normal limits of 70-110.,The patient’s pulse is considered FAST because it is NOT between the low and high normal limits of 20-50.,,,C,
What is the most likely reason for the patient’s current heart rate of 55?,Diabetes.,Metoprolol.,Alprazolam.,Hyperthyroidism.,GERD.,This is a trick question - this is a normal heart rate.,,B,
"Given the patient’s medical history, the procedure can be performed at the patient’s current blood pressure.",True.,False.,,,,,,A,
You note the lesion on the left lateral border of the tongue. What is your plan?,The diagnosis is traumatic ulcer so plan to smooth the edges on the sharp PFM crown on tooth 19. No follow up is required.,"You come up with a differential that includes a spectrum of traumatic ulcer (from sharp pfm tooth 19) to possible squamous cell carcinoma (secondary to her social history). You plan to extract tooth 19 today, and at the same time (since she will already be numb), you will take an incisional biopsy of the tongue lesion.",You diagnose this lesion as squamous cell carcinoma and immediately discuss this with the patient and refer her directly to a head and neck oncologist.,You diagnose this lesion as a traumatic ulcer and plan to extract tooth 19 (with sharp pfm crown) today. You tell the patient this lesion will go away. No follow up is required.,"You come up with a differential that includes a spectrum of traumatic ulcer (from sharp pfm tooth 19) to possible squamous cell carcinoma (secondary to her social history). You plan to extract tooth 19 today, and have the patient return in two months to see if the lesion has resolved.",,,B,
Do you consider the extraction of tooth 19 to be complicated or uncomplicated?,Complicated.,Uncomplicated.,,,,,,A,
"You perform the extraction of tooth 19 on this patient during your first visit. Despite her dislike of the dentist, she follows up two weeks later. She reports that the lesion is still there and still painful. What is your next step?",Immediately refer the patient to the oral & maxillofacial surgeon,Prescribe her a topical steroid mouthrinse to help reduce the inflammation more quickly and assure her that it will go away in time,Begin to assess her other lower left lingual cusps for sharp edges and smooth them out.,Prescribe her an antifungal mouthrinse (nystatin) and tell her that she must have a traumatic ulcer with an overlying fungal infection.,Give her a night guard so she stops biting her tongue. BONUS QUESTIONS:,,,A,
"THIS BONUS QUESTION CAN EARN YOU 1 EXTRA POINT: The patient returns to your office 10 days following the extraction of# 19.  They are complaining of tooth pain and facial swelling. Extraoral examination reveals facial asymmetry with fluctuant swelling over the left mandibular body, as well as inferior to the mandible. Intraoral exam reveals swelling in the left floor of the mouth with raised tongue. You are concerned because you suspect:",The patient has an infection of the infraorbital space which could lead to cavernous sinus thrombosis,The patient has an infection of the infraorbital space which can travel to the mediastinum.,The patient has an abscess of the sublingual and submandibular spaces which could compromise the airway,The patient has an abscess contained to the buccal space.,The patient has a dry socket.,,,C,
THIS BONUS QUESTION CAN EARN YOU 0 POINTS: Which of the following statements is TRUE?,Pericoronitis is a very pleasant condition.,Perry Allman is a very pleasant individual who did a great job as your class rep and everyone should thank him.,,,,,,B,
