title,Fixed Prosthodontics Midterm Exam 2 (Fall 2018),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
(BOARD QUESTION) The MOST important characteristic of the finish line of a cast gold restoration is:,Removes unsupported enamel,Excellent marginal adaptation,Should always be a shoulder,a and b,,,D,
The retentive capability of a post is indirectly proportional to its length:,True,False,,,,,B,
"(BOARD QUESTION) In a fully dentulous patient, what occlusal relationship is most frequently used when treatment planning a fixed prosthesis?",Centric relation,Protrusive excursion,Lateral excursion,Maximal intercuspation (Centric occlusion),None of the above,,D,
"(BOARD QUESTION) When preparing a crown, adequate anesthesia is imperative. If a patient experiences sensitivity during preparation, what area of the tooth is most likely involved?",Dentin,Cementum,CEJ,Enamel,DEJ,,E,
(BOARD QUESTION) The ideal preparation for a ceramic crown includes all of the following EXCEPT:,Adequate incisal/occlusal reduction.,Sharp mesial/incisal and distal/incisal line angles.,Shoulder or chamfer of adequate width,Axial walls of appropriate taper.,,,B,
(BOARD QUESTION) The modulus of elasticity of an impression material is determined by:,Dividing strain by stress,Dividing stress by strain below the elastic line,Both of the above,Neither of the above,,,B,
"(BOARD QUESTION) When treatment planning for a fixed prosthesis, which of the following information MUST be obtained: 1) Diagnostic casts 2) Records of mandibular movements 3) Full mouth radiographs 4) Salivary flow tests 5) Clinical examination","1,2,3","1,3,5","1,2,3,4","1,3,5",None of the above,,D,
"(BOARD QUESTION) A tooth elicits a sharp, stabbing pain when eating sweets and ingesting cold drinks. The most likely cause of this pain would be:",Traumatic occlusion,A carious lesion with pulpal necrosis,A moderate carious lesion with pulpal inflammation,None of the above,,,C,
(BOARD QUESTION) Progressive destruction of the periodontal tissues after insertion of a fixed prosthesis is MOST likely due to:,Type of material used to fabricate prosthesis,Trauma caused by tooth preparation,Rough surfaces and ill fitting margins,Impression technique,None of the above,,C,
Alloys are softer than pure metals:,True,False,,,,,B,
Horizontal overlap of the anterior teeth is known as overbite:,True,False,,,,,B,
"(BOARD QUESTION) When a crown casting does not fit, the dentist is generally responsible for which errors: 1) Preparation 2) Impression 3) Die inaccuracies 4) Casting inaccuracies","1,2","1,2,4","2,3,4",All of the above,,,A,
"When removing gutta percha from an endodontically treated tooth, we MUST leave a minimum of ____ gutta percha from the apex of the tooth",2 mm,5mm,3mm,Makes no difference,,,C,
What color was George Washington's white horse?,Brown,Black,Tan,None of the above,,,D,
"Metals, in general, have low melting and boiling temperatures:",True,False,,,,,B,
The lowest point when viewing a sagittal view of the Envelope of motion is:,Centric Relation,Rest Position,Maximal opening,Maximal mandibular protrusion,,,C,
I will be glad when this exam is over:,True,False,,,,,A,
